,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-11-24,sh.688777,110.0000000000,115.0000000000,100.1000000000,108.6300000000,35.7300000000,30693348,3284507117.2900,204.030200,137.047011,25.226854,18.292300,1176.761866
1,2020-11-25,sh.688777,108.0100000000,127.5500000000,107.0700000000,120.7000000000,108.6300000000,18796507,2224549030.0100,11.111100,152.274457,28.029838,20.324778,1307.513184
2,2020-11-26,sh.688777,122.5500000000,127.3800000000,116.5500000000,124.7500000000,120.7000000000,12828035,1567115372.7500,3.355400,157.383914,28.970359,21.006761,1351.385830
3,2020-11-27,sh.688777,122.9200000000,130.6000000000,119.2300000000,123.0000000000,124.7500000000,10041869,1254835639.0200,-1.402800,155.176124,28.563961,20.712077,1332.428514
4,2020-11-30,sh.688777,122.0000000000,125.4900000000,114.4100000000,124.0000000000,123.0000000000,10930259,1309340143.2900,0.813000,156.437718,28.796188,20.880467,1343.261266
5,2020-12-01,sh.688777,123.1100000000,124.9800000000,114.5000000000,116.2000000000,124.0000000000,9124180,1079369667.4100,-6.290300,146.597281,26.984815,19.567019,1258.765799
6,2020-12-02,sh.688777,116.2000000000,118.4000000000,106.6600000000,107.0000000000,116.2000000000,10591512,1181580460.6400,-7.917400,134.990612,24.848324,18.017823,1159.104480
7,2020-12-03,sh.688777,105.0000000000,110.0000000000,103.0000000000,107.0700000000,107.0000000000,6379755,682296154.7300,0.065400,135.078923,24.864580,18.029610,1159.862772
8,2020-12-04,sh.688777,106.0000000000,109.4400000000,104.3600000000,106.3900000000,107.0700000000,3263997,348094814.5300,-0.635100,134.221039,24.706665,17.915104,1152.496501
9,2020-12-07,sh.688777,108.2500000000,112.6000000000,102.0000000000,108.9900000000,106.3900000000,5738829,619519458.9100,2.443800,137.501185,25.310456,18.352920,1180.661656
10,2020-12-08,sh.688777,108.0100000000,120.0000000000,108.0000000000,115.5500000000,108.9900000000,7725326,894721496.9800,6.018900,145.777245,26.833867,19.457565,1251.724510
11,2020-12-09,sh.688777,115.5000000000,117.5700000000,112.3000000000,115.3800000000,115.5500000000,3855775,442414973.7600,-0.147100,145.562774,26.794389,19.428938,1249.882942
12,2020-12-10,sh.688777,114.0000000000,114.1600000000,103.8000000000,103.9000000000,115.3800000000,7786067,830516315.4800,-9.949700,131.079669,24.128419,17.495811,1125.522948
13,2020-12-11,sh.688777,101.8800000000,104.7900000000,95.2600000000,98.7200000000,103.9000000000,7283954,723847506.9700,-4.985600,124.544609,22.925482,16.623546,1069.409292
14,2020-12-14,sh.688777,97.1100000000,102.5000000000,95.3500000000,100.7700000000,98.7200000000,3495437,348553524.7900,2.076600,127.130878,23.401548,16.968748,1091.616434
15,2020-12-15,sh.688777,100.5000000000,105.1900000000,99.0200000000,104.0000000000,100.7700000000,3233365,330770935.2600,3.205300,131.205828,24.151642,17.512650,1126.606223
16,2020-12-16,sh.688777,102.6000000000,103.8500000000,98.2000000000,98.7500000000,104.0000000000,2623633,263753705.2100,-5.048100,124.582457,22.932448,16.628598,1069.734274
17,2020-12-17,sh.688777,98.0000000000,102.0100000000,97.5000000000,98.9200000000,98.7500000000,2595832,258728792.6800,0.172200,124.796928,22.971927,16.657224,1071.575842
18,2020-12-18,sh.688777,99.7000000000,100.9600000000,95.0000000000,96.0000000000,98.9200000000,3187201,309792008.6100,-2.951900,121.113072,22.293823,16.165523,1039.944206
19,2020-12-21,sh.688777,96.9800000000,104.0700000000,94.0000000000,103.0000000000,96.0000000000,5143348,514832022.0400,7.291700,129.944234,23.919415,17.344259,1115.773471
20,2020-12-22,sh.688777,102.0100000000,107.1800000000,100.1900000000,101.3700000000,103.0000000000,3492248,364067036.2700,-1.582500,127.887835,23.540884,17.069782,1098.116085
21,2020-12-23,sh.688777,100.0000000000,106.3000000000,100.0000000000,104.2400000000,101.3700000000,2713610,283348944.9100,2.831200,131.508611,24.207376,17.553064,1129.206084
22,2020-12-24,sh.688777,104.2800000000,105.2500000000,99.9600000000,100.1200000000,104.2400000000,2284115,232845871.0100,-3.952400,126.310842,23.250600,16.859293,1084.575145
23,2020-12-25,sh.688777,99.0200000000,100.9700000000,97.3500000000,98.3000000000,100.1200000000,2092246,206750307.0700,-1.817800,124.014740,22.827946,16.552822,1064.859536
24,2020-12-28,sh.688777,97.0000000000,103.8800000000,94.5800000000,102.3500000000,98.3000000000,3328281,335065167.5600,4.120000,129.124197,23.768467,17.234805,1108.732182
25,2020-12-29,sh.688777,101.9100000000,102.5500000000,98.3500000000,98.4100000000,102.3500000000,2315876,232717772.3200,-3.849500,124.153515,22.853491,16.571345,1066.051139
26,2020-12-30,sh.688777,98.0000000000,103.8800000000,98.0000000000,99.9800000000,98.4100000000,2546089,258132546.6500,1.595400,126.134218,23.218088,16.835719,1083.058559
27,2020-12-31,sh.688777,99.5800000000,102.5300000000,98.6500000000,100.2000000000,99.9800000000,2164677,217684619.9600,0.220000,126.411769,23.269178,16.872765,1085.441765
28,2021-01-04,sh.688777,99.1900000000,105.6500000000,99.0500000000,105.0200000000,100.2000000000,3783798,389600419.5000,4.810400,132.492655,24.388514,17.684409,1137.655630
29,2021-01-05,sh.688777,104.8900000000,110.0000000000,103.3400000000,105.3500000000,105.0200000000,3182513,337297047.0500,0.314200,132.908981,24.465149,17.739978,1141.230438
30,2021-01-06,sh.688777,104.0000000000,104.8900000000,99.5600000000,100.7000000000,105.3500000000,3143511,320165596.6300,-4.413900,127.042566,23.385292,16.956960,1090.858141
31,2021-01-07,sh.688777,100.7000000000,100.7000000000,95.6700000000,98.2200000000,100.7000000000,3547439,346254505.8200,-2.462800,123.913812,22.809368,16.539351,1063.992916
32,2021-01-08,sh.688777,97.0200000000,99.7700000000,96.6900000000,97.3800000000,98.2200000000,1875987,183692439.1000,-0.855200,122.854073,22.614297,16.397903,1054.893404
33,2021-01-11,sh.688777,98.0300000000,99.5000000000,95.8100000000,97.3600000000,97.3800000000,1766331,172910780.8800,-0.020500,123.527377,22.738235,16.487772,1060.674768
34,2021-01-12,sh.688777,96.3500000000,98.8000000000,96.3500000000,98.6600000000,97.3600000000,1864749,182034757.7200,1.335300,125.176777,23.041847,16.707925,1074.837434
35,2021-01-13,sh.688777,97.5000000000,102.3000000000,97.1000000000,100.1800000000,98.6600000000,2691089,270505441.1500,1.540600,127.105306,23.396840,16.965334,1091.396860
36,2021-01-14,sh.688777,101.7900000000,104.9800000000,98.6800000000,101.3400000000,100.1800000000,3277098,334942754.1300,1.157900,128.577079,23.667756,17.161779,1104.034316
37,2021-01-15,sh.688777,102.0000000000,102.6500000000,96.8200000000,98.9100000000,101.3400000000,2802994,278597284.4600,-2.397900,125.493969,23.100234,16.750262,1077.561024
38,2021-01-18,sh.688777,98.7800000000,100.2900000000,96.0000000000,98.8500000000,98.9100000000,2496362,244280618.9100,-0.060700,125.417843,23.086222,16.740101,1076.907363
39,2021-01-19,sh.688777,99.4100000000,106.2000000000,98.5800000000,102.0800000000,98.8500000000,3830765,394847540.0800,3.267600,129.515968,23.840582,17.287097,1112.096141
40,2021-01-20,sh.688777,102.6900000000,103.4100000000,98.0300000000,99.4000000000,102.0800000000,3022066,302399554.0200,-2.625400,126.115666,23.214673,16.833243,1082.899260
41,2021-01-21,sh.688777,98.6900000000,101.5000000000,97.3200000000,100.1700000000,99.4000000000,2562275,255132190.1200,0.774600,127.092619,23.394505,16.963641,1091.287916
42,2021-01-22,sh.688777,99.5000000000,103.3000000000,99.0000000000,102.2000000000,100.1700000000,2606867,264291170.2100,2.026600,129.668220,23.868607,17.307418,1113.403464
43,2021-01-25,sh.688777,101.8000000000,104.5600000000,98.5300000000,99.1700000000,102.2000000000,3201597,321357287.3900,-2.964800,125.823849,23.160957,16.794292,1080.393557
44,2021-01-26,sh.688777,98.5000000000,98.8700000000,95.1500000000,95.2000000000,99.1700000000,2577608,249496943.9500,-4.003200,120.786835,22.233771,16.121979,1037.142953
45,2021-01-27,sh.688777,96.0000000000,96.0000000000,85.1000000000,88.0800000000,95.2000000000,5878262,522895048.6400,-7.479000,111.753198,20.570909,14.916217,959.575119
46,2021-01-28,sh.688777,86.8800000000,88.4300000000,83.0000000000,83.8500000000,88.0800000000,2419880,205604269.0200,-4.802500,106.386304,19.583001,14.199873,913.491981
47,2021-01-29,sh.688777,84.8300000000,85.3200000000,82.0100000000,83.3800000000,83.8500000000,1553828,129867810.0100,-0.560500,105.789982,19.473234,14.120279,908.371633
