,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000027,41.2785811000,42.8548515000,41.1800642000,41.3770980000,41.0322888500,25919317,220580795.9900,0.840332,14.773495,2.300485,1.439804,294.940721
1,2007-01-05,sz.000027,41.3770980000,45.3177740000,40.9830304000,44.3326050000,41.3770980000,46058580,406716009.2300,7.142862,15.828744,2.464805,1.542647,316.007916
2,2007-01-08,sz.000027,44.6281557000,47.4851458000,44.6281557000,46.8447859500,44.3326050000,34741268,327553819.5100,5.666669,16.725706,2.604477,1.630063,333.915031
3,2007-01-09,sz.000027,47.2881120000,47.5344042500,46.2044261000,46.7462690500,46.8447859500,18197958,172619827.8400,-0.210310,16.690531,2.599000,1.626635,333.212791
4,2007-01-10,sz.000027,46.7955275000,47.6329211500,45.5640662500,47.5836627000,46.7462690500,21131293,200123315.5800,1.791360,16.989519,2.645557,1.655774,339.181829
5,2007-01-11,sz.000027,47.4851458000,49.6525176000,46.3522014500,47.2881120000,47.5836627000,22624851,221299036.7400,-0.621112,16.883994,2.629125,1.645490,337.075110
6,2007-01-12,sz.000027,47.0418197500,47.5344042500,43.8892789500,44.0370543000,47.2881120000,21067865,194886540.5200,-6.875009,15.723219,2.448373,1.532363,313.901196
7,2007-01-15,sz.000027,44.0370543000,46.7955275000,44.0370543000,46.7955275000,44.0370543000,22446945,206726037.2800,6.263987,16.708119,2.601739,1.628349,333.563911
8,2007-01-16,sz.000027,47.2881120000,47.6821796000,45.8596169500,46.4014599000,46.7955275000,17123768,161370066.2600,-0.842105,16.567419,2.579829,1.614637,330.754952
9,2007-01-17,sz.000027,46.6477521500,48.2732810000,45.7118416000,46.7955275000,46.4014599000,22815323,218388429.3100,0.849256,16.708119,2.601739,1.628349,333.563911
10,2007-01-18,sz.000027,46.7462690500,47.2388535500,44.7759310500,46.2044261000,46.7955275000,14226777,132451383.6700,-1.263157,16.497069,2.568875,1.607781,329.350472
11,2007-01-19,sz.000027,46.4014599000,49.0614162000,46.4014599000,48.6673486000,46.2044261000,30492497,297736020.7000,5.330490,17.376444,2.705808,1.693483,346.906467
12,2007-01-22,sz.000027,49.5540007000,51.1302711000,49.0614162000,51.0810126500,48.6673486000,25197959,258238033.1900,4.959512,18.238231,2.840003,1.777472,364.111343
13,2007-01-23,sz.000027,51.7213725000,51.8198894000,49.1599331000,50.5884281500,51.0810126500,20124162,205806352.4100,-0.964315,18.062356,2.812616,1.760331,360.600144
14,2007-01-24,sz.000027,50.7362035000,51.6721140500,49.4062253500,50.8347204000,50.5884281500,18542233,190494732.8300,0.486847,18.150293,2.826310,1.768902,362.355743
15,2007-01-25,sz.000027,50.3913943500,50.7362035000,48.5688317000,48.9136408500,50.8347204000,20908045,210695775.0200,-3.779064,17.464381,2.719502,1.702054,348.662067
16,2007-01-26,sz.000027,48.2732810000,49.8988098500,45.7118416000,48.7658655000,48.9136408500,19782202,190885200.3600,-0.302122,17.411619,2.711286,1.696911,347.608707
17,2007-01-29,sz.000027,49.0121577500,50.1943605500,48.2240225500,49.7017760500,48.7658655000,21605109,216346893.2900,1.919197,17.745781,2.763320,1.729478,354.279985
18,2007-01-30,sz.000027,49.9480683000,51.2287880000,49.5540007000,49.7510345000,49.7017760500,18200073,185977010.0400,0.099110,17.763368,2.766059,1.731193,354.631105
19,2007-01-31,sz.000027,49.6525176000,51.0810126500,46.7955275000,47.7806965000,49.7510345000,20825204,208776261.4200,-3.960402,17.059869,2.656512,1.662630,340.586309
20,2007-02-01,sz.000027,47.5344042500,48.4703148000,46.0073923000,47.5836627000,47.7806965000,13846846,132989275.2000,-0.412371,16.989519,2.645557,1.655774,339.181829
21,2007-02-02,sz.000027,47.5344042500,47.5836627000,45.8103585000,45.8103585000,47.5836627000,11295185,106440325.2700,-3.726704,16.356369,2.546965,1.594068,326.541513
22,2007-02-05,sz.000027,45.8103585000,46.3029430000,44.7266726000,44.9237064000,45.8103585000,9044643,83004080.5800,-1.935487,16.039794,2.497669,1.563215,320.221355
23,2007-02-06,sz.000027,44.8251895000,46.0566507500,44.6774141500,45.5148078000,44.9237064000,14736791,135490219.2000,1.315788,16.250844,2.530533,1.583784,324.434793
24,2007-02-07,sz.000027,46.0073923000,47.0910782000,45.2685155500,45.5640662500,45.5148078000,17606184,164820454.7100,0.108228,16.268431,2.533272,1.585498,324.785913
25,2007-02-08,sz.000027,47.0910782000,50.1451021000,47.0910782000,50.1451021000,45.5640662500,18332117,184073902.5200,10.054060,17.904068,2.787968,1.744905,357.440065
