,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000031,38.3696887500,39.6942087500,37.8729937500,37.9971675000,38.1627325000,22875550,214664123.5400,-0.433839,56.129365,5.086139,17.224987,758.828614
1,2007-01-05,sz.000031,37.9557762500,38.2041237500,36.7140387500,37.2521250000,37.9971675000,17480989,157192212.1900,-1.960788,55.028789,4.986411,16.887242,743.949622
2,2007-01-08,sz.000031,37.2521250000,39.9839475000,36.8796037500,39.7356000000,37.2521250000,23171886,216634623.6000,6.666671,58.697375,5.318839,18.013058,793.546263
3,2007-01-09,sz.000031,39.8183825000,41.2256850000,39.2802962500,40.7703812500,39.7356000000,26953627,264600020.4000,2.604167,60.225952,5.457350,18.482148,814.211530
4,2007-01-10,sz.000031,40.9773375000,43.0469000000,40.5634250000,42.8813350000,40.7703812500,31451615,316768063.6100,5.177657,63.344250,5.739913,19.439092,856.368676
5,2007-01-11,sz.000031,42.9227262500,43.1710737500,41.1015112500,41.3084675000,42.8813350000,24261661,247542351.2300,-3.667955,61.020812,5.529376,18.726075,824.957469
6,2007-01-12,sz.000031,41.3084675000,42.0949012500,38.7008187500,39.1975137500,41.3084675000,19935149,194719822.5000,-5.110214,57.902514,5.246813,17.769131,782.800324
7,2007-01-15,sz.000031,38.9077750000,42.0535100000,38.8663837500,42.0535100000,39.1975137500,19942606,197738178.7400,7.286162,62.121388,5.629104,19.063820,839.836462
8,2007-01-16,sz.000031,43.0469000000,46.2754175000,43.0469000000,46.2754175000,42.0535100000,50285030,552245824.1200,10.039380,68.357984,6.194231,20.977707,924.150752
9,2007-01-17,sz.000031,48.1380237500,49.0900225000,42.0535100000,43.2952475000,46.2754175000,73029706,814679833.1900,-6.440074,63.955681,5.795318,19.626728,864.634783
10,2007-01-18,sz.000031,42.5502050000,44.0816812500,39.1147312500,44.0816812500,43.2952475000,43519730,432952482.1400,1.816440,65.117400,5.900587,19.983236,880.340386
11,2007-01-19,sz.000031,44.5369850000,45.8615050000,43.0882912500,44.3714200000,44.0816812500,37493671,402846684.3000,0.657283,65.545402,5.939370,20.114582,886.126661
12,2007-01-22,sz.000031,44.9095062500,47.3101987500,44.2886375000,47.3101987500,44.3714200000,32803475,359863980.5200,6.623135,69.886562,6.332742,21.446797,944.816020
13,2007-01-23,sz.000031,47.5171550000,47.9310675000,44.2886375000,46.8135037500,47.3101987500,25371636,282572201.4800,-1.049868,69.152845,6.266257,21.221634,934.896691
14,2007-01-24,sz.000031,46.3582000000,48.8416750000,45.1164625000,47.5585462500,46.8135037500,23522335,271082573.1700,1.591506,70.253420,6.365985,21.559379,949.775684
15,2007-01-25,sz.000031,47.3101987500,48.8416750000,44.7025500000,47.5999375000,47.5585462500,28141488,318440176.4700,0.087034,70.314563,6.371526,21.578142,950.602294
16,2007-01-26,sz.000031,46.9790687500,52.3599312500,46.4823737500,52.3599312500,47.5999375000,58409053,711954747.7500,9.999996,77.346020,7.008678,23.735957,1045.662524
17,2007-01-29,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
18,2007-01-30,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
19,2007-01-31,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
20,2007-02-01,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
21,2007-02-02,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
22,2007-02-05,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
23,2007-02-06,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
24,2007-02-07,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
25,2007-02-08,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
26,2007-02-09,sz.000031,52.3599312500,52.3599312500,52.3599312500,52.3599312500,52.3599312500,0,0.0000,0.000000,77.346020,7.008678,23.735957,1045.662524
27,2007-02-12,sz.000031,47.1446337500,55.8781875000,47.1446337500,52.1529750000,52.3599312500,46321190,570312510.1200,-0.395251,77.040304,6.980976,23.642139,1041.529470
28,2007-02-13,sz.000031,51.6976712500,52.9808000000,49.1728050000,52.1115837500,52.1529750000,32111284,393217016.1400,-0.079367,76.979161,6.975435,23.623375,1040.702860
29,2007-02-14,sz.000031,51.3251500000,52.9394087500,50.7042812500,52.2357575000,52.1115837500,16139452,202737745.1000,0.238282,77.162591,6.992057,23.679666,1043.182692
30,2007-02-15,sz.000031,53.4361037500,55.8781875000,53.3947125000,54.1397550000,52.2357575000,19393003,255576054.0000,3.645008,79.975173,7.246918,24.542792,1081.206784
31,2007-02-16,sz.000031,54.4294937500,55.0503625000,51.6976712500,51.7390625000,54.1397550000,27700316,355355802.3900,-4.434250,76.428873,6.925571,23.454503,1033.263363
32,2007-02-26,sz.000031,52.5668875000,52.5668875000,49.4211525000,52.3599312500,51.7390625000,25359705,311171615.4500,1.199997,77.346020,7.008678,23.735957,1045.662524
33,2007-02-27,sz.000031,52.5668875000,55.6712312500,48.4277625000,49.3797612500,52.3599312500,37130217,475299288.5600,-5.691694,72.943717,6.609765,22.384977,986.146554
34,2007-02-28,sz.000031,49.3797612500,51.9460187500,48.8830662500,51.5321062500,49.3797612500,17083690,208491728.5600,4.358755,76.123158,6.897869,23.360685,1029.130310
35,2007-03-01,sz.000031,51.2837587500,51.2837587500,47.1860250000,48.2621975000,51.5321062500,18122102,215376978.9400,-6.345382,71.292853,6.460173,21.878360,963.828065
36,2007-03-02,sz.000031,48.5105450000,49.7108912500,47.8068937500,48.9244575000,48.2621975000,9544090,112792335.8600,1.372211,72.271143,6.548820,22.178578,977.053837
37,2007-03-05,sz.000031,48.6347187500,50.7870637500,47.8068937500,50.7456725000,48.9244575000,13869971,166493609.8600,3.722509,74.961439,6.792600,23.004176,1013.424707
38,2007-03-06,sz.000031,50.7456725000,50.7456725000,48.8416750000,49.6695000000,50.7456725000,9016449,108494961.3600,-2.120720,73.371718,6.648548,22.516323,991.932829
39,2007-03-07,sz.000031,49.7936737500,51.1181937500,49.6695000000,50.2903687500,49.6695000000,10411187,126418791.7800,1.249997,74.288865,6.731655,22.797777,1004.331989
40,2007-03-08,sz.000031,50.3317600000,51.2423675000,49.1314137500,50.9940200000,50.2903687500,17854668,215961353.0400,1.399178,75.328298,6.825843,23.116758,1018.384371
41,2007-03-09,sz.000031,50.8698462500,51.2423675000,49.6281087500,49.9592387500,50.9940200000,11131878,135277634.6000,-2.029221,73.799720,6.687332,22.647668,997.719104
42,2007-03-12,sz.000031,50.1661950000,51.5734975000,48.5105450000,51.5734975000,49.9592387500,22495584,271279125.8800,3.231154,76.184301,6.903409,23.379448,1029.956921
43,2007-03-13,sz.000031,51.8632362500,54.5122762500,51.5321062500,53.0635825000,51.5734975000,30495275,392556726.5300,2.889243,78.385453,7.102866,24.054938,1059.714906
44,2007-03-14,sz.000031,52.0701925000,53.7258425000,50.4145425000,52.1529750000,53.0635825000,17757036,224204744.4000,-1.716063,77.040304,6.980976,23.642139,1041.529470
