,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000581,15.8895078000,16.5750957000,15.8491791000,15.9298365000,15.6072069000,13930533,111992812.4300,2.067188,56.348252,2.051282,1.768585,65.526144
1,2007-01-05,sz.000581,15.9096721500,16.8977253000,15.7281930000,16.7969035500,15.9298365000,10555289,86282930.5400,5.443036,59.415308,2.162934,1.864849,69.092757
2,2007-01-08,sz.000581,16.8573966000,18.4705446000,16.8573966000,18.4705446000,16.7969035500,20737121,186470721.8800,9.963984,65.335441,2.378448,2.050663,75.977149
3,2007-01-09,sz.000581,18.7326811500,19.3577760000,18.5512020000,19.2569542500,18.4705446000,16070683,151631443.4900,4.257646,68.117190,2.479714,2.137973,79.211984
4,2007-01-10,sz.000581,19.1561325000,19.9627065000,18.7528455000,19.5392551500,19.2569542500,13287155,127702101.4000,1.465962,69.115767,2.516066,2.169315,80.373207
5,2007-01-11,sz.000581,19.4384334000,20.4668152500,19.1158038000,19.1158038000,19.5392551500,12757006,125242532.9000,-2.167183,67.617902,2.461538,2.122302,78.631372
6,2007-01-12,sz.000581,18.9544890000,19.7005699500,18.6318594000,19.2771186000,19.1158038000,13418464,127171992.2700,0.843891,68.188517,2.482310,2.140211,79.294928
7,2007-01-15,sz.000581,19.2972829500,21.1725675000,19.2771186000,21.1725675000,19.2771186000,14003822,141279964.5300,9.832631,74.893246,2.726387,2.350651,87.091710
8,2007-01-16,sz.000581,20.7692805000,21.3338823000,20.5474726500,20.9507596500,21.1725675000,9252908,95709517.0200,-1.047616,74.108650,2.697825,2.326025,86.179321
9,2007-01-17,sz.000581,20.9507596500,21.7774980000,19.1561325000,20.7491161500,20.9507596500,12338753,127959961.9800,-0.962468,73.395381,2.671859,2.303638,85.349876
10,2007-01-18,sz.000581,20.6684587500,20.7491161500,19.5594195000,20.4869796000,20.7491161500,13958554,138761675.8000,-1.263364,72.468131,2.638104,2.274534,84.271597
11,2007-01-19,sz.000581,20.5878013500,22.1404563000,20.3659935000,21.9388128000,20.4869796000,14740286,157314264.3000,7.086617,77.603668,2.825056,2.435722,90.243600
12,2007-01-22,sz.000581,22.5437433000,22.5639076500,21.9388128000,22.1001276000,21.9388128000,10212629,112634388.9900,0.735293,78.174283,2.845829,2.453631,90.907156
