,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
1,2007-01-05,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
2,2007-01-08,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
3,2007-01-09,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
4,2007-01-10,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
5,2007-01-11,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
6,2007-01-12,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
7,2007-01-15,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
8,2007-01-16,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
9,2007-01-17,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
10,2007-01-18,sz.000661,15.8171452000,15.8171452000,15.8171452000,15.8171452000,15.8171452000,0,0.0000,0.000000,-11.362629,2.849067,1.502490,15.024751
11,2007-01-19,sz.000661,18.2715298000,21.1895203800,17.9988204000,20.8622691000,15.8171452000,24306347,174909245.7000,31.896550,-14.986916,3.757822,1.981732,19.817128
12,2007-01-22,sz.000661,21.2440622600,22.9621314800,20.4532050000,22.9621314800,20.8622691000,11474383,93541608.0900,10.065360,-16.495403,4.136060,2.181200,21.811794
13,2007-01-23,sz.000661,23.3166537000,25.2528904400,22.9348605400,25.2528904400,22.9621314800,8882829,78923953.7800,9.976249,-18.141025,4.548684,2.398802,23.987792
14,2007-01-24,sz.000661,26.8891468400,26.8891468400,24.5711169400,24.7620135200,25.2528904400,7261512,67863763.7400,-1.943848,-17.788392,4.460264,2.352173,23.521507
15,2007-01-25,sz.000661,24.2711366000,24.9529101000,23.0984861800,23.3166537000,24.7620135200,5352328,46783222.0200,-5.837002,-16.750082,4.199918,2.214877,22.148555
16,2007-01-26,sz.000661,22.9075896000,23.9166143800,22.0894614000,23.0984861800,23.3166537000,5101284,42551187.0200,-0.935672,-16.593357,4.160621,2.194153,21.941317
17,2007-01-29,sz.000661,23.2348408800,24.4893041200,22.9075896000,23.6166340400,23.0984861800,4990928,43111637.7500,2.243206,-16.965581,4.253952,2.243372,22.433507
18,2007-01-30,sz.000661,23.5348212200,25.8528511200,22.9894024200,24.2165947200,23.6166340400,6559071,59258912.6400,2.540419,-17.396577,4.362021,2.300363,23.003412
19,2007-01-31,sz.000661,24.0256981400,24.5438460000,21.8167520000,21.8440229400,24.2165947200,3988523,34112730.7800,-9.797296,-15.692182,3.934660,2.074990,20.749699
20,2007-02-01,sz.000661,21.5167716600,22.8530477200,21.5167716600,22.3076289200,21.8440229400,3987467,32553855.9300,2.122348,-16.025225,4.018168,2.119028,21.190080
21,2007-02-02,sz.000661,22.1167323400,22.3621708000,20.9986238000,21.1622494400,22.3076289200,3509195,27953779.5400,-5.134475,-15.202414,3.811856,2.010227,20.102081
22,2007-02-05,sz.000661,21.0258947400,21.9803776400,21.0258947400,21.3531460200,21.1622494400,1755670,13859632.2500,0.902058,-15.339549,3.846241,2.028361,20.283414
23,2007-02-06,sz.000661,21.3804169600,22.3076289200,20.5350178200,21.7622101200,21.3531460200,2973289,23317143.5300,1.915710,-15.633410,3.919924,2.067218,20.671985
24,2007-02-07,sz.000661,21.7349391800,23.4530084000,21.7076682400,23.0984861800,21.7622101200,8989130,73605492.2000,6.140354,-16.593357,4.160621,2.194153,21.941317
25,2007-02-08,sz.000661,23.2075699400,23.3439246400,22.2258161000,22.3894417400,23.0984861800,6382106,53080283.0900,-3.069660,-16.083997,4.032904,2.126800,21.267794
26,2007-02-09,sz.000661,22.6076092600,24.6256588200,21.8167520000,24.6256588200,22.3894417400,8784436,75469099.2200,9.987816,-17.690438,4.435703,2.339221,23.391983
27,2007-02-12,sz.000661,25.0619938600,25.5801417200,24.5438460000,24.9529101000,24.6256588200,7978422,73198209.4500,1.328902,-17.925527,4.494650,2.370307,23.702840
28,2007-02-13,sz.000661,25.0347229200,27.4618365800,24.9529101000,27.4618365800,24.9529101000,6306366,61804482.0300,10.054650,-19.727875,4.946571,2.608633,26.086076
29,2007-02-14,sz.000661,27.9527135000,29.0435511000,27.2982109400,28.4981323000,27.4618365800,5976079,61595229.7000,3.773586,-20.472323,5.133234,2.707072,27.070456
30,2007-02-15,sz.000661,28.2254229000,28.9071964000,27.5709203400,28.9071964000,28.4981323000,5946900,61481341.9000,1.435412,-20.766184,5.206916,2.745929,27.459028
31,2007-02-16,sz.000661,28.6617579400,31.7979160400,27.8709006800,30.7888912600,28.9071964000,7785972,85948057.9100,6.509430,-22.117945,5.545857,2.924674,29.246455
32,2007-02-26,sz.000661,30.5161818600,32.9705664600,29.9980340000,32.7251280000,30.7888912600,7055049,82790977.4900,6.288751,-23.508888,5.894622,3.108599,31.085692
33,2007-02-27,sz.000661,32.7251280000,34.8522613200,29.4526152000,29.4526152000,32.7251280000,8046032,95637283.3900,-9.999999,-21.157999,5.305160,2.797739,27.977122
34,2007-02-28,sz.000661,29.3162605000,31.7979160400,28.3890485400,31.6888322800,29.4526152000,4876404,54358155.2200,7.592589,-22.764439,5.707959,3.010160,30.101311
35,2007-03-01,sz.000661,31.7706451000,31.9069998000,28.9617382800,29.3980733200,31.6888322800,3586044,40021049.7800,-7.228917,-21.118817,5.295336,2.792558,27.925313
36,2007-03-02,sz.000661,29.1799058000,30.9797878400,28.9071964000,30.2707434000,29.3980733200,3479796,38725356.7800,2.968466,-21.745721,5.452526,2.875454,28.754265
37,2007-03-05,sz.000661,30.2707434000,31.6070194600,29.8889502400,30.5434528000,30.2707434000,3397631,38031592.9800,0.900896,-21.941628,5.501648,2.901359,29.013312
38,2007-03-06,sz.000661,30.5434528000,31.5797485200,30.3525562200,30.5161818600,30.5434528000,1933348,21874043.4100,-0.089288,-21.922038,5.496735,2.898769,28.987407
39,2007-03-07,sz.000661,30.5707237400,30.8979750200,29.7253246000,30.3525562200,30.5161818600,2736738,30430557.2200,-0.536188,-21.804493,5.467262,2.883226,28.831979
40,2007-03-08,sz.000661,30.3525562200,31.6070194600,29.7253246000,30.7888912600,30.3525562200,3667501,41366709.8800,1.437555,-22.117945,5.545857,2.924674,29.246455
41,2007-03-09,sz.000661,30.7616203200,31.1434134800,29.4526152000,30.4889109200,30.7888912600,3641824,40273580.3200,-0.974310,-21.902447,5.491823,2.896178,28.961503
42,2007-03-12,sz.000661,30.5434528000,30.7343493800,29.4526152000,30.1071177600,30.4889109200,2869816,31492793.8100,-1.252239,-21.628177,5.423053,2.859911,28.598836
43,2007-03-13,sz.000661,30.1071177600,31.3615810000,29.9980340000,31.0343297200,30.1071177600,4650452,52814146.3000,3.079711,-22.294262,5.590067,2.947988,29.479597
44,2007-03-14,sz.000661,30.8161622000,34.1432168800,29.5889699000,34.0068621800,31.0343297200,8448447,101967246.7700,9.578209,-24.429652,6.125495,3.230353,32.303214
45,2007-03-15,sz.000661,33.4887143200,34.3068425200,33.0251083400,33.6796109000,34.0068621800,3266738,40257586.4700,-0.962309,-24.194563,6.066549,3.199267,31.992358
46,2007-03-16,sz.000661,33.7068818400,35.3158673000,30.8434331400,31.6342904000,33.6796109000,4201673,51415879.3200,-6.072875,-22.725258,5.698135,3.004979,30.049502
47,2007-03-19,sz.000661,30.4070981000,31.7706451000,29.7798664800,30.7343493800,31.6342904000,3354117,37905608.8600,-2.844827,-22.078764,5.536033,2.919493,29.194645
48,2007-03-20,sz.000661,30.8979750200,32.3978767200,30.7070784400,31.3070391200,30.7343493800,1646069,18973903.0600,1.863346,-22.490169,5.639189,2.973893,29.738645
49,2007-03-21,sz.000661,31.3615810000,31.7706451000,30.4616399800,30.6252656200,31.3070391200,2884437,32546784.7300,-2.177701,-22.000401,5.516384,2.909131,29.091026
50,2007-03-22,sz.000661,31.3070391200,31.7706451000,30.7616203200,31.2252263000,30.6252656200,3909171,44972191.8600,1.959041,-22.431397,5.624452,2.966122,29.660931
51,2007-03-23,sz.000661,31.2524972400,33.5432562000,31.2524972400,33.5432562000,31.2252263000,5051380,60098953.3300,7.423584,-24.096610,6.041988,3.186314,31.862834
52,2007-03-26,sz.000661,33.8432365400,36.8975818200,33.8432365400,36.8975818200,33.5432562000,11042420,147401583.6000,9.999996,-26.506271,6.646187,3.504945,35.049117
53,2007-03-27,sz.000661,37.4702715600,38.9429023200,36.5430596000,37.2248331000,36.8975818200,8387068,115660997.9900,0.886917,-26.741360,6.705133,3.536031,35.359974
54,2007-03-28,sz.000661,37.0884784000,37.5793553200,34.0886750000,37.4975425000,37.2248331000,5305406,70252808.5300,0.732603,-26.937267,6.754255,3.561936,35.619022
55,2007-03-29,sz.000661,36.8703108800,39.1337989000,35.7249314000,38.1793160000,37.4975425000,5392027,74172747.7900,1.818182,-27.427036,6.877059,3.626699,36.266640
56,2007-03-30,sz.000661,37.6338972000,39.5428630000,36.7612271200,38.2065869400,38.1793160000,4636079,65578083.3400,0.071430,-27.446626,6.881972,3.629289,36.292545
57,2007-04-02,sz.000661,38.1247741200,38.4520254000,36.5430596000,37.6338972000,38.2065869400,3394969,46557627.8800,-1.498930,-27.035221,6.778816,3.574889,35.748545
58,2007-04-03,sz.000661,37.5793553200,38.3156707000,36.8157690000,38.0702322400,37.6338972000,3169367,43455012.9700,1.159419,-27.348673,6.857411,3.616337,36.163021
59,2007-04-04,sz.000661,37.9066066000,37.9066066000,36.9521237000,37.5248134400,38.0702322400,3757756,51506114.3000,-1.432663,-26.956858,6.759167,3.564527,35.644926
60,2007-04-05,sz.000661,37.4430006200,38.9974442000,37.2793749800,38.1520450600,37.5248134400,2807265,39431268.8800,1.671508,-27.407445,6.872147,3.624108,36.240735
61,2007-04-06,sz.000661,37.8520647200,39.4065083000,37.2248331000,39.0792570200,38.1520450600,4777398,67616855.3800,2.430308,-28.073530,7.039162,3.712185,37.121497
62,2007-04-09,sz.000661,39.2428826600,41.1791194000,39.2428826600,40.0882818000,39.0792570200,4521456,67028856.1300,2.581995,-28.798387,7.220912,3.808034,38.079972
63,2007-04-10,sz.000661,40.4700749600,40.4700749600,38.4792963400,38.6701929200,40.0882818000,3864045,55284763.0500,-3.537412,-27.779669,6.965479,3.673328,36.732925
64,2007-04-11,sz.000661,38.7247348000,39.4065083000,37.3611878000,38.0975031800,38.6701929200,3601285,49969085.4800,-1.480959,-27.368263,6.862323,3.618927,36.188926
