,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000703,5.4931926000,5.7155361100,5.2708490900,5.5193506600,5.3231652100,5802918,23959247.6700,3.685494,-34.702265,2.404417,1.505998,-59.169173
1,2007-01-05,sz.000703,5.5193506600,5.5193506600,5.3362442400,5.4670345400,5.5193506600,1820865,7522819.9000,-0.947866,-34.373334,2.381626,1.491723,-58.608327
2,2007-01-08,sz.000703,5.4670345400,5.7416941700,5.3885603600,5.7155361100,5.4670345400,2708016,11478510.5200,4.545456,-35.935758,2.489882,1.559528,-61.272342
3,2007-01-09,sz.000703,5.6239829000,5.8332473800,5.6239829000,5.7416941700,5.7155361100,2333189,10231555.7600,0.457666,-36.100224,2.501277,1.566666,-61.552765
4,2007-01-10,sz.000703,5.6893780500,5.7678522300,5.5324296900,5.7678522300,5.7416941700,1930386,8352500.7000,0.455580,-36.264690,2.512673,1.573803,-61.833188
5,2007-01-11,sz.000703,5.7678522300,5.9378796200,5.6501409600,5.7155361100,5.7678522300,2309889,10236095.2300,-0.907029,-35.935758,2.489882,1.559528,-61.272342
6,2007-01-12,sz.000703,5.6501409600,5.8332473800,5.3885603600,5.4016393900,5.7155361100,1612857,6949008.5400,-5.491986,-33.962170,2.353138,1.473879,-57.907271
7,2007-01-15,sz.000703,5.3885603600,5.5716667800,5.3885603600,5.5716667800,5.4016393900,1367826,5770992.2800,3.147702,-35.031197,2.427208,1.520273,-59.730018
8,2007-01-16,sz.000703,5.5978248400,5.8463264100,5.5193506600,5.8201683500,5.5716667800,2851878,12441551.8100,4.460083,-36.593621,2.535463,1.588078,-62.394033
9,2007-01-17,sz.000703,5.8201683500,5.9901957400,5.7155361100,5.7940102900,5.8201683500,3694175,16517719.0600,-0.449438,-36.429155,2.524068,1.580941,-62.113610
10,2007-01-18,sz.000703,5.7286151400,5.9901957400,5.4670345400,5.9509586500,5.7940102900,5526105,24094435.8400,2.708812,-37.415950,2.592440,1.623765,-63.796146
11,2007-01-19,sz.000703,5.8986425300,6.2517763400,5.8855635000,6.2386973100,5.9509586500,4695539,21909799.2000,4.835160,-39.225072,2.717789,1.702277,-66.880795
12,2007-01-22,sz.000703,6.4871988800,6.7880165700,6.2517763400,6.6441472400,6.2386973100,8118004,39804822.4000,6.498951,-41.774291,2.894417,1.812907,-71.227345
13,2007-01-23,sz.000703,6.5787520900,6.5787520900,6.3956456700,6.5264359700,6.6441472400,3968653,19595320.0100,-1.771657,-41.034195,2.843138,1.780789,-69.965444
14,2007-01-24,sz.000703,6.5264359700,6.6441472400,6.4087247000,6.5264359700,6.5264359700,2731772,13582214.9400,0.000000,-41.034195,2.843138,1.780789,-69.965444
15,2007-01-25,sz.000703,6.4218037300,6.4741198500,6.2517763400,6.2779344000,6.5264359700,2175202,10499541.4800,-3.807607,-39.471771,2.734882,1.712983,-67.301429
16,2007-01-26,sz.000703,6.2125392500,6.2517763400,5.9248005900,6.2125392500,6.2779344000,1996581,9318543.6200,-1.041671,-39.060607,2.706393,1.695140,-66.600372
17,2007-01-29,sz.000703,6.2125392500,6.4479617900,6.2125392500,6.4348827600,6.2125392500,1315889,6405197.0400,3.578949,-40.458565,2.803254,1.755808,-68.983964
18,2007-01-30,sz.000703,6.4348827600,6.5395150000,6.3564085800,6.4479617900,6.4348827600,1635484,8071965.9600,0.203247,-40.540798,2.808952,1.759376,-69.124176
19,2007-01-31,sz.000703,6.3825666400,6.4871988800,5.8201683500,6.0032747700,6.4479617900,1815607,8565636.7500,-6.896546,-37.744881,2.615231,1.638040,-64.356991
20,2007-02-01,sz.000703,5.8201683500,6.2125392500,5.8201683500,6.1733021600,6.0032747700,1653716,7748250.8900,2.832236,-38.813908,2.689300,1.684433,-66.179738
21,2007-02-02,sz.000703,6.1602231300,6.1994602200,6.0555908900,6.0686699200,6.1733021600,958306,4477246.4400,-1.694914,-38.156045,2.643719,1.655884,-65.058048
22,2007-02-05,sz.000703,6.0686699200,6.3040924600,6.0163538000,6.1863811900,6.0686699200,771397,3632498.1300,1.939658,-38.896141,2.694998,1.688002,-66.319950
23,2007-02-06,sz.000703,6.2125392500,6.3694876100,6.1340650700,6.3694876100,6.1863811900,748002,3600042.9800,2.959828,-40.047401,2.774766,1.737964,-68.282908
24,2007-02-07,sz.000703,6.4087247000,6.4871988800,6.2125392500,6.3694876100,6.3694876100,1120578,5469230.6400,0.000000,-40.047401,2.774766,1.737964,-68.282908
25,2007-02-08,sz.000703,6.3956456700,6.4218037300,6.2779344000,6.3956456700,6.3694876100,1016882,4950232.3900,0.410677,-40.211867,2.786161,1.745102,-68.563330
26,2007-02-09,sz.000703,6.3956456700,6.4348827600,6.2779344000,6.4218037300,6.3956456700,1119711,5446908.2700,0.408998,-40.376332,2.797556,1.752239,-68.843753
27,2007-02-12,sz.000703,6.4741198500,6.6441472400,6.4087247000,6.5918311200,6.4218037300,1479657,7403367.4500,2.647660,-41.445360,2.871626,1.798632,-70.666500
28,2007-02-13,sz.000703,6.6179891800,6.6179891800,6.4610408200,6.5395150000,6.5918311200,1159003,5786731.9900,-0.793650,-41.116428,2.848835,1.784357,-70.105655
29,2007-02-14,sz.000703,6.5395150000,6.7357004500,6.5395150000,6.6703053000,6.5395150000,1440816,7343185.1000,1.999998,-41.938757,2.905812,1.820045,-71.507768
30,2007-02-15,sz.000703,6.6833843300,6.9449649300,6.6179891800,6.9449649300,6.6703053000,1754649,9189104.7100,4.117648,-43.665647,3.025463,1.894988,-74.452205
31,2007-02-16,sz.000703,7.0365181400,7.0888342600,6.8795697800,6.9972810500,6.9449649300,1436993,7682911.3000,0.753295,-43.994578,3.048254,1.909263,-75.013051
32,2007-02-26,sz.000703,7.0103600800,7.6250744900,6.9972810500,7.5335212800,6.9972810500,1688756,9578774.4900,7.663558,-47.366125,3.281858,2.055580,-80.761714
33,2007-02-27,sz.000703,7.5596793400,7.9782083000,6.8795697800,6.8795697800,7.5335212800,2988361,17221538.6400,-8.680555,-43.254482,2.996975,1.877144,-73.751149
34,2007-02-28,sz.000703,6.8141746300,7.5727583700,6.8141746300,7.5727583700,6.8795697800,2554015,14278628.0600,10.076040,-47.612824,3.298951,2.066286,-81.182348
35,2007-03-01,sz.000703,7.9782083000,8.0959195700,7.5858374000,7.9258921800,7.5727583700,3659061,21999317.2000,4.663212,-49.833111,3.452788,2.162641,-84.968054
36,2007-03-02,sz.000703,8.2528679300,8.4752114400,8.0828405400,8.1743937500,7.9258921800,3590371,22638171.4100,3.135314,-51.395535,3.561044,2.230447,-87.632069
37,2007-03-05,sz.000703,8.3575001700,8.3575001700,7.7166277000,8.0959195700,8.1743937500,2644896,16337059.4500,-0.959999,-50.902138,3.526858,2.209035,-86.790801
38,2007-03-06,sz.000703,8.0043663600,8.0436034500,7.7297067300,7.8997341200,8.0959195700,1958510,11803515.8800,-2.423265,-49.668645,3.441393,2.155504,-84.687631
39,2007-03-07,sz.000703,7.9520502400,8.0828405400,7.9258921800,8.0174453900,7.8997341200,1215849,7444382.8100,1.490069,-50.408741,3.492672,2.187622,-85.949533
40,2007-03-08,sz.000703,8.0174453900,8.3575001700,8.0174453900,8.3575001700,8.0174453900,2209079,13912868.4800,4.241432,-52.546795,3.640811,2.280409,-89.595027
41,2007-03-09,sz.000703,8.3182630800,9.1422419700,8.2397889000,8.9460565200,8.3575001700,3910153,26030981.6700,7.042258,-56.247274,3.897207,2.441001,-95.904536
42,2007-03-12,sz.000703,8.9329774900,9.6784822000,8.8283452500,9.4299806300,8.9460565200,2778080,19714121.2200,5.409355,-59.289889,4.108020,2.573043,-101.092354
43,2007-03-13,sz.000703,9.3907435400,9.5215338400,9.1553210000,9.2468742100,9.4299806300,2830088,20078090.9400,-1.941746,-58.138629,4.028253,2.523081,-99.129396
44,2007-03-14,sz.000703,9.1291629400,9.4822967500,8.9460565200,9.3776645100,9.2468742100,2779411,19554955.6700,1.414426,-58.960958,4.085230,2.558769,-100.531509
45,2007-03-15,sz.000703,9.3776645100,9.9923789200,9.3515064500,9.6784822000,9.3776645100,2254360,16806678.5700,3.207811,-60.852314,4.216276,2.640849,-103.756369
46,2007-03-16,sz.000703,9.6915612300,9.8877466800,9.1945580900,9.3253483900,9.6784822000,2401283,17514814.4200,-3.648649,-58.632027,4.062439,2.544494,-99.970664
47,2007-03-19,sz.000703,9.0245307000,9.5346128700,8.9591355500,9.4038225700,9.3253483900,1573595,11248066.5700,0.841514,-59.125424,4.096625,2.565906,-100.811932
48,2007-03-20,sz.000703,9.4169016000,9.6784822000,9.4038225700,9.6654031700,9.4038225700,1481875,10843804.7600,2.781639,-60.770081,4.210579,2.637280,-103.616158
49,2007-03-21,sz.000703,9.7961934700,9.8746676500,9.5738499600,9.8746676500,9.6654031700,1740641,13036754.3700,2.165092,-62.085807,4.301741,2.694380,-105.859539
50,2007-03-22,sz.000703,9.8746676500,10.2670385500,9.8746676500,9.9792998900,9.8746676500,2415913,18563545.6400,1.059602,-62.743669,4.347323,2.722930,-106.981229
51,2007-03-23,sz.000703,9.9792998900,9.9792998900,9.9792998900,9.9792998900,9.9792998900,0,0.0000,0.000000,-62.743669,4.347323,2.722930,-106.981229
52,2007-03-26,sz.000703,10.9733061700,10.9733061700,10.8555949000,10.9733061700,9.9792998900,3137841,26315953.2100,9.960684,-68.993366,4.780346,2.994152,-117.637289
53,2007-03-27,sz.000703,11.1956496800,11.3656770700,10.9994642300,11.1694916200,10.9733061700,4998452,42625597.6500,1.787838,-70.226859,4.865811,3.047683,-119.740459
54,2007-03-28,sz.000703,11.1825706500,12.2812091700,11.1302545300,12.2812091700,11.1694916200,6874161,63333302.6200,9.953166,-77.216652,5.350113,3.351023,-131.658420
55,2007-03-29,sz.000703,12.3073672300,12.3727623800,11.3656770700,11.7449689400,12.2812091700,4825437,43439894.0800,-4.366355,-73.845105,5.116508,3.204706,-125.909756
56,2007-03-30,sz.000703,11.5146720000,12.0106886400,11.1780892800,11.5678166400,11.7449654400,3020504,19795047.4600,-1.508294,-72.492374,5.022781,3.146001,-123.603280
57,2007-04-02,sz.000703,11.6032464000,12.4712755200,11.6032464000,12.4181308800,11.5678166400,6388967,43815149.7700,7.350689,-77.821064,5.391990,3.377253,-132.688973
58,2007-04-03,sz.000703,12.4889904000,12.4889904000,12.0461184000,12.2232672000,12.4181308800,4470319,30862477.7400,-1.569189,-76.599906,5.307380,3.324258,-130.606835
