,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000738,3.9287280000,3.9549195200,3.8239619200,3.8632492000,3.9025364800,3616120,10640023.0700,-1.006710,228.074980,2.801595,3.211875,-85.703259
1,2007-01-05,sz.000738,3.8501534400,4.0203983200,3.8108661600,3.9942068000,3.8632492000,3369978,10173267.9100,3.389827,235.806336,2.896564,3.320752,-88.608454
2,2007-01-08,sz.000738,4.0073025600,4.1382601600,3.9156322400,4.0596856000,3.9942068000,4316645,13310089.3300,1.639343,239.672013,2.944049,3.375190,-90.061051
3,2007-01-09,sz.000738,4.0596856000,4.1644516800,4.0465898400,4.1251644000,4.0596856000,3131629,9849132.9700,1.612910,243.537691,2.991533,3.429629,-91.513649
4,2007-01-10,sz.000738,4.1251644000,4.1775474400,4.0465898400,4.1513559200,4.1251644000,5194260,16298176.8400,0.634920,245.083962,3.010527,3.451404,-92.094688
5,2007-01-11,sz.000738,4.1120686400,4.3608880800,4.1120686400,4.3608880800,4.1513559200,11834567,38990730.0600,5.047314,257.454130,3.162478,3.625608,-96.743000
6,2007-01-12,sz.000738,4.4001753600,4.5180372000,4.1382601600,4.2561220000,4.3608880800,6897560,22748255.4600,-2.402400,251.269046,3.086503,3.538506,-94.418844
7,2007-01-15,sz.000738,4.2299304800,4.4263668800,4.1906432000,4.3608880800,4.2561220000,6420956,21166067.3700,2.461536,257.454130,3.162478,3.625608,-96.743000
8,2007-01-16,sz.000738,4.3608880800,4.5442287200,4.3085050400,4.4263668800,4.3608880800,9633586,32431478.9800,1.501507,261.319808,3.209963,3.680046,-98.195598
9,2007-01-17,sz.000738,4.5835160000,4.6097075200,4.3608880800,4.4525584000,4.4263668800,12315520,42201927.7000,0.591715,262.866079,3.228957,3.701822,-98.776637
10,2007-01-18,sz.000738,4.5573244800,4.6751863200,4.5442287200,4.6751863200,4.4525584000,5748191,20452743.5000,4.999995,276.009383,3.390404,3.886913,-103.715469
11,2007-01-19,sz.000738,4.9109100000,4.9109100000,4.7799524000,4.9109100000,4.6751863200,14225751,53168456.3000,5.042019,289.925823,3.561349,4.082892,-108.944820
12,2007-01-22,sz.000738,5.0942506400,5.0942506400,4.8323354400,4.9763888000,4.9109100000,10437504,39419311.6500,1.333332,293.791500,3.608834,4.137330,-110.397418
13,2007-01-23,sz.000738,4.9763888000,5.2252082400,4.8454312000,5.2252082400,4.9763888000,10084831,38924647.8100,5.000001,308.481075,3.789275,4.344197,-115.917289
14,2007-01-24,sz.000738,5.2644955200,5.4871234400,5.2383040000,5.3430700800,5.2252082400,9817931,40197364.4000,2.255637,315.439295,3.874748,4.442186,-118.531964
15,2007-01-25,sz.000738,5.2513997600,5.3168785600,5.0811548800,5.0811548800,5.3430700800,8240409,32301786.9300,-4.901956,299.976584,3.684809,4.224432,-112.721574
16,2007-01-26,sz.000738,4.9109100000,4.9632930400,4.8323354400,4.8585269600,5.0811548800,7150833,26559712.7700,-4.381445,286.833280,3.523361,4.039341,-107.782742
17,2007-01-29,sz.000738,4.8454312000,5.1073464000,4.8192396800,5.0942506400,4.8585269600,8409270,31992752.1300,4.851754,300.749720,3.694306,4.235320,-113.012093
18,2007-01-30,sz.000738,5.0942506400,5.1990167200,4.9632930400,5.0811548800,5.0942506400,5658666,21959714.5200,-0.257069,299.976584,3.684809,4.224432,-112.721574
19,2007-01-31,sz.000738,5.0549633600,5.2775912800,4.8323354400,4.8716227200,5.0811548800,7971438,30971238.5100,-4.123713,287.606416,3.532858,4.050229,-108.073262
20,2007-02-01,sz.000738,4.8454312000,4.9894845600,4.6751863200,4.8454312000,4.8716227200,4452610,16441893.2600,-0.537634,286.060145,3.513864,4.028453,-107.492223
21,2007-02-02,sz.000738,4.8454312000,5.0942506400,4.7930481600,5.0418676000,4.8454312000,5759043,21714467.2500,4.054050,297.657178,3.656318,4.191769,-111.850015
22,2007-02-05,sz.000738,5.0418676000,5.2252082400,5.0025803200,5.1990167200,5.0418676000,5559724,21867963.9000,3.116887,306.934804,3.770282,4.322421,-115.336250
23,2007-02-06,sz.000738,5.1990167200,5.4609319200,5.1073464000,5.4609319200,5.1990167200,7954221,32335388.9100,5.037785,322.397515,3.960220,4.540176,-121.146640
24,2007-02-07,sz.000738,5.5918895200,5.6835598400,5.4085488800,5.5918895200,5.4609319200,9063614,38313297.3900,2.398079,330.128870,4.055190,4.649053,-124.051835
25,2007-02-08,sz.000738,5.5656980000,5.6442725600,5.4871234400,5.5002192000,5.5918895200,4646295,19706921.7000,-1.639348,324.716921,3.988711,4.572839,-122.018199
26,2007-02-09,sz.000738,5.5133149600,5.6311768000,5.4609319200,5.4740276800,5.5002192000,3405140,14443253.2000,-0.476190,323.170650,3.969717,4.551063,-121.437160
27,2007-02-12,sz.000738,5.4347404000,5.5787937600,5.4216446400,5.5264107200,5.4740276800,3743225,15709897.4700,0.956937,326.263192,4.007705,4.594614,-122.599238
28,2007-02-13,sz.000738,5.5264107200,5.7097513600,5.4740276800,5.6311768000,5.5264107200,4803948,20538962.5700,1.895744,332.448276,4.083680,4.681716,-124.923394
29,2007-02-14,sz.000738,5.6311768000,5.9192835200,5.6049852800,5.8930920000,5.6311768000,6418125,28691634.0800,4.651158,347.910987,4.273619,4.899470,-130.733784
30,2007-02-15,sz.000738,5.8930920000,6.0895284000,5.8669004800,6.0371453600,5.8930920000,5234290,23978562.3700,2.444447,356.415478,4.378085,5.019235,-133.929499
31,2007-02-16,sz.000738,5.9978580800,6.3252520800,5.9978580800,6.2728690400,6.0371453600,4524649,21568624.2700,3.904552,370.331917,4.549030,5.215214,-139.158850
32,2007-02-26,sz.000738,6.2859648000,6.5871672800,6.2728690400,6.5871672800,6.2728690400,3890676,19449896.0100,5.010444,388.887170,4.776956,5.476519,-146.131319
33,2007-02-27,sz.000738,6.9145612800,6.9145612800,6.2597732800,6.2597732800,6.5871672800,14280066,72230287.1900,-4.970179,369.558782,4.539533,5.204326,-138.868331
34,2007-02-28,sz.000738,5.9978580800,6.4693054400,5.9847623200,6.3907308800,6.2597732800,8804837,41655048.7200,2.092048,377.290137,4.634502,5.313203,-141.773526
35,2007-03-01,sz.000738,6.2990605600,6.3907308800,6.0764326400,6.0895284000,6.3907308800,7919631,37151850.7500,-4.713115,359.508020,4.416073,5.062786,-135.091577
36,2007-03-02,sz.000738,6.1026241600,6.3383478400,6.1026241600,6.2204860000,6.0895284000,6182521,29494425.5800,2.150536,367.239375,4.511042,5.171663,-137.996772
37,2007-03-05,sz.000738,6.4169224000,6.5347842400,6.1550072000,6.5347842400,6.2204860000,14083051,69498597.2800,5.052627,385.794628,4.738969,5.432968,-144.969241
38,2007-03-06,sz.000738,6.5609757600,6.8621782400,6.5609757600,6.8621782400,6.5347842400,7232487,37762794.9100,5.010020,405.123016,4.976392,5.705161,-152.232229
39,2007-03-07,sz.000738,7.0586146400,7.1764764800,6.7705079200,6.9014655200,6.8621782400,12840466,68283329.6500,0.572523,407.442423,5.004883,5.737824,-153.103787
40,2007-03-08,sz.000738,6.9276570400,7.2419552800,6.9276570400,7.2419552800,6.9014655200,7315094,40030783.5200,4.933591,427.543946,5.251803,6.020904,-160.657295
41,2007-03-09,sz.000738,7.6086365600,7.6086365600,7.3991044000,7.6086365600,7.2419552800,12263083,71098899.3500,5.063286,449.191741,5.517717,6.325760,-168.791841
42,2007-03-12,sz.000738,7.8312644800,7.9884136000,7.6348280800,7.9622220800,7.6086365600,11965010,71602737.3400,4.647160,470.066400,5.774134,6.619728,-176.635868
43,2007-03-13,sz.000738,7.9229348000,8.1717542400,7.6610196000,7.9491263200,7.9622220800,12076090,73069957.5800,-0.164470,469.293265,5.764637,6.608841,-176.345349
44,2007-03-14,sz.000738,7.8312644800,8.3419991200,7.5693492800,8.2634245600,7.9491263200,12257623,75007231.9900,3.953868,487.848517,5.992563,6.870146,-183.317817
45,2007-03-15,sz.000738,8.2110415200,8.4467652000,8.0407966400,8.1717542400,8.2634245600,8829440,55454243.1500,-1.109353,482.436569,5.926085,6.793932,-181.284181
46,2007-03-16,sz.000738,8.1717542400,8.3289033600,7.7657856800,7.7657856800,8.1717542400,15782509,95410868.9900,-4.967948,458.469367,5.631680,6.456413,-172.278076
47,2007-03-19,sz.000738,7.3860086400,7.9360305600,7.3729128800,7.8312644800,7.7657856800,12608934,74187434.7900,0.843174,462.335045,5.679165,6.510851,-173.730673
48,2007-03-20,sz.000738,7.9360305600,8.2241372800,7.7919772000,8.2241372800,7.8312644800,9250282,56657900.3600,5.016726,485.529111,5.964073,6.837483,-182.446259
49,2007-03-21,sz.000738,8.5777228000,8.6301058400,8.4860524800,8.6301058400,8.2241372800,9557345,62853537.3200,4.936305,509.496312,6.258478,7.175002,-191.452364
50,2007-03-22,sz.000738,9.0098828800,9.0622659200,8.9705956000,9.0622659200,8.6301058400,6521018,45079680.1900,5.007586,535.009784,6.571876,7.534296,-201.039508
51,2007-03-23,sz.000738,9.5206175200,9.5206175200,9.5206175200,9.5206175200,9.0622659200,2965897,21562071.1900,5.057802,562.069528,6.904269,7.915366,-211.207691
52,2007-03-26,sz.000738,9.9920648800,9.9920648800,9.0622659200,9.6515751200,9.5206175200,25305038,184047737.6600,1.375515,569.800883,6.999238,8.024243,-214.112887
53,2007-03-27,sz.000738,9.5991920800,10.1361182400,9.2979896000,10.1361182400,9.6515751200,22006225,166790947.7100,5.020351,598.406898,7.350625,8.427088,-224.862109
54,2007-03-28,sz.000738,10.4766080000,10.6468528800,10.0182564000,10.6468528800,10.1361182400,19198957,152843153.5200,5.038764,628.559183,7.721005,8.851709,-236.192370
55,2007-03-29,sz.000738,10.7123316800,10.8432892800,10.1099267200,10.1099267200,10.6468528800,14314676,113648312.1000,-5.043055,596.860627,7.331631,8.405313,-224.281070
56,2007-03-30,sz.000738,9.8087242400,10.1099267200,9.5991920800,9.8218200000,10.1099267200,15104978,112614201.2900,-2.849738,579.851645,7.122698,8.165783,-217.889640
57,2007-04-02,sz.000738,9.8218200000,10.3194588800,9.8218200000,10.2146928000,9.8218200000,7462402,58030035.9700,4.000002,603.045711,7.407606,8.492415,-226.605226
58,2007-04-03,sz.000738,10.2146928000,10.4373207200,9.9658733600,10.0968309600,10.2146928000,6586988,51001510.5000,-1.153848,596.087491,7.322134,8.394425,-223.990550
59,2007-04-04,sz.000738,10.0575436800,10.2146928000,9.6908624000,9.8087242400,10.0968309600,9346261,70080947.5100,-2.853441,579.078510,7.113201,8.154896,-217.599121
60,2007-04-05,sz.000738,9.7956284800,9.7956284800,9.4158514400,9.5860963200,9.8087242400,9068821,66230300.7400,-2.269688,565.935206,6.951754,7.969805,-212.660289
61,2007-04-06,sz.000738,9.4813302400,10.0706394400,9.3765641600,10.0706394400,9.5860963200,10058767,75355696.1700,5.054643,594.541220,7.303140,8.372650,-223.409511
62,2007-04-09,sz.000738,10.2146928000,10.5682783200,10.0837352000,10.0837352000,10.0706394400,10505878,82919869.1400,0.130036,595.314356,7.312637,8.383538,-223.700031
63,2007-04-10,sz.000738,10.2015970400,10.3194588800,9.7825327200,10.1230224800,10.0837352000,8389917,64331747.4700,0.389613,597.633762,7.341128,8.416201,-224.571589
64,2007-04-11,sz.000738,10.1361182400,10.2015970400,9.7956284800,9.9265860800,10.1230224800,7716997,58777666.5800,-1.940493,586.036729,7.198674,8.252885,-220.213797
65,2007-04-12,sz.000738,9.9265860800,10.3849376800,9.9265860800,10.2277885600,9.9265860800,9514861,74153819.9800,3.034301,603.818846,7.417103,8.503302,-226.895746
66,2007-04-13,sz.000738,10.2277885600,10.4766080000,10.0575436800,10.3587461600,10.2277885600,12922111,102061370.0600,1.280409,611.550202,7.512072,8.612180,-229.800941
67,2007-04-16,sz.000738,10.4242249600,10.7254274400,10.0837352000,10.1885012800,10.3587461600,15907204,126116508.7000,-1.643485,601.499440,7.388612,8.470639,-226.024187
68,2007-04-17,sz.000738,10.1492140000,10.6992359200,10.0575436800,10.6992359200,10.1885012800,24871008,196984573.7000,5.012852,631.651725,7.758993,8.895260,-237.354448
69,2007-04-18,sz.000738,10.8563850400,11.2361620800,10.8301935200,11.2361620800,10.6992359200,19729989,166789674.7100,5.018358,663.350282,8.148367,9.341656,-249.265749
70,2007-04-19,sz.000738,11.6290348800,11.6552264000,10.6730444000,10.6730444000,11.2361620800,18139393,152916343.8100,-5.011659,630.105454,7.739999,8.873485,-236.773409
71,2007-04-20,sz.000738,10.5551825600,11.1313960000,10.5551825600,10.9742468800,10.6730444000,14124489,116966371.3100,2.822092,647.887571,7.958428,9.123902,-243.455358
72,2007-04-23,sz.000738,10.9480553600,11.5242688000,10.7778104800,11.3802154400,10.9742468800,20864801,177873817.0500,3.699278,671.854773,8.252833,9.461421,-252.461463
73,2007-04-24,sz.000738,11.3409281600,11.6159391200,11.0790129600,11.1837790400,11.3802154400,17857026,154688921.8800,-1.726118,660.257740,8.110379,9.298105,-248.103671
74,2007-04-25,sz.000738,11.1313960000,11.1313960000,10.6206613600,10.6599486400,11.1837790400,14281549,117023596.5600,-4.683836,629.332319,7.730502,8.862597,-236.482890
75,2007-04-26,sz.000738,10.7385232000,11.1444917600,10.4111292000,10.8694808000,10.6599486400,14931180,123437766.6300,1.965600,237.670387,7.248107,10.014787,-357.319532
76,2007-04-27,sz.000738,10.8694808000,10.8694808000,10.4897037600,10.4897037600,10.8694808000,8657794,70234223.7700,-3.493975,229.366241,6.994860,9.664873,-344.834873
77,2007-04-30,sz.000738,10.4766080000,10.7254274400,10.4504164800,10.5944698400,10.4897037600,10558762,85413007.6000,0.998751,231.657040,7.064721,9.761401,-348.278917
78,2007-05-08,sz.000738,10.6992359200,11.0659172000,10.5420868000,10.9349596000,10.5944698400,14901896,122491543.7000,3.213847,239.102136,7.291770,10.075117,-359.472059
79,2007-05-09,sz.000738,10.8956723200,11.4849815200,10.6861401600,11.4849815200,10.9349596000,23443783,201863364.0500,5.029941,251.128831,7.658542,10.581889,-377.553288
80,2007-05-10,sz.000738,11.6028433600,12.0611949600,11.6028433600,11.9957161600,11.4849815200,17985677,164247194.4600,4.446971,262.296475,7.999116,11.052463,-394.343001
81,2007-05-11,sz.000738,12.0219076800,12.0219076800,11.3933112000,11.5373645600,11.9957161600,13816994,122897951.6600,-3.820955,252.274230,7.693473,10.630153,-379.275310
82,2007-05-14,sz.000738,11.0004384000,12.0219076800,11.0004384000,11.7338009600,11.5373645600,12713124,112723609.0300,1.702606,256.569478,7.824462,10.811143,-385.732892
