,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000807,20.9420520000,22.7235120000,20.7837000000,21.7338120000,21.1004040000,16459894,180578200.5500,3.001873,36.442487,3.579453,0.976241,11.564717
1,2007-01-05,sz.000807,21.6546360000,22.9808340000,20.9816400000,22.5849540000,21.7338120000,11512985,128513416.5600,3.916214,37.869652,3.719632,1.014473,12.017616
2,2007-01-08,sz.000807,22.1890740000,23.1985680000,21.9317520000,22.8224820000,22.5849540000,10466378,120043858.1000,1.051708,38.267931,3.758752,1.025142,12.144007
3,2007-01-09,sz.000807,22.9214520000,24.9404400000,22.5849540000,24.7622940000,22.8224820000,12181052,147310577.7700,8.499571,41.520539,4.078229,1.112275,13.176194
4,2007-01-10,sz.000807,24.8414700000,27.2365440000,24.8414700000,27.2365440000,24.7622940000,14814183,199988055.5900,9.992006,45.669274,4.485726,1.223413,14.492761
5,2007-01-11,sz.000807,27.3553080000,27.9095400000,25.9301400000,26.1874620000,27.2365440000,9216786,126598441.5700,-3.851749,43.910210,4.312948,1.176290,13.934537
6,2007-01-12,sz.000807,25.5342600000,28.7013000000,25.5342600000,27.1177800000,26.1874620000,9321945,128726405.7900,3.552534,45.470134,4.466166,1.218079,14.429565
7,2007-01-15,sz.000807,27.1177800000,28.1074800000,25.7322000000,27.4146900000,27.1177800000,13092198,177750838.0500,1.094895,45.967982,4.515066,1.231415,14.587553
8,2007-01-16,sz.000807,27.7313940000,28.8596520000,26.8802520000,27.2167500000,27.4146900000,13999821,195092274.2800,-0.722024,45.636084,4.482466,1.222524,14.482228
9,2007-01-17,sz.000807,27.2365440000,27.4146900000,24.9602340000,25.7322000000,27.2167500000,12934666,171113225.7900,-5.454545,43.146843,4.237968,1.155841,13.692288
10,2007-01-18,sz.000807,25.7124060000,26.7021060000,25.2571440000,26.3260200000,25.7322000000,5829108,76376505.8800,2.307694,44.142539,4.335767,1.182514,14.008264
11,2007-01-19,sz.000807,26.3260200000,27.4938660000,26.1676680000,26.5833420000,26.3260200000,9863549,132315886.4000,0.977445,44.574008,4.378147,1.194073,14.145187
12,2007-01-22,sz.000807,26.8604580000,28.4241840000,26.1676680000,28.1668620000,26.5833420000,21019529,290201527.8300,5.956807,47.229198,4.638945,1.265201,14.987790
13,2007-01-23,sz.000807,28.0678920000,28.6221240000,26.4843720000,28.2856260000,28.1668620000,17780157,247329889.2800,0.421647,47.428337,4.658505,1.270536,15.050985
14,2007-01-24,sz.000807,28.3054200000,29.1763560000,27.0188100000,27.1375740000,28.2856260000,19962925,281941076.3700,-4.058782,45.503324,4.469426,1.218968,14.440098
