,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000831,10.0417401600,10.1903843400,9.6618717000,9.9426440400,9.6123236400,11266812,67429872.3900,3.436423,144.793529,2.032905,0.872116,21.476837
1,2007-01-05,sz.000831,9.7444518000,10.3555445400,9.6288396600,10.1738683200,9.9426440400,7979145,48431399.3100,2.325579,148.160820,2.080182,0.892397,21.976299
2,2007-01-08,sz.000831,10.2069003600,10.6363168800,10.0417401600,10.5041887200,10.1738683200,10783425,67056608.1300,3.246758,152.971236,2.147720,0.921371,22.689815
3,2007-01-09,sz.000831,10.7023809600,10.9501212600,10.4050926000,10.7188969800,10.5041887200,10623494,68851218.9000,2.044019,156.098007,2.191620,0.940204,23.153600
4,2007-01-10,sz.000831,10.8179931000,11.5281819600,10.7354130000,11.3795377800,10.7188969800,16374475,110668197.9500,6.163330,165.718839,2.326697,0.998152,24.580633
5,2007-01-11,sz.000831,11.2308936000,11.5281819600,10.7849610600,10.9005732000,11.3795377800,12851482,87486340.2100,-4.208998,158.743736,2.228766,0.956140,23.546034
6,2007-01-12,sz.000831,10.8675411600,11.5281819600,10.6858649400,10.7023809600,10.9005732000,9669038,64514500.1300,-1.818180,155.857486,2.188243,0.938756,23.117924
7,2007-01-15,sz.000831,10.6858649400,11.3299897200,10.5372207600,11.1978615600,10.7023809600,9486239,63129587.1400,4.629632,163.073110,2.289550,0.982216,24.188199
8,2007-01-16,sz.000831,11.2308936000,11.3630217600,10.9831533000,11.2143775800,11.1978615600,8977109,60789956.5300,0.147489,163.313631,2.292927,0.983665,24.223875
9,2007-01-17,sz.000831,11.2804416600,11.2969576800,10.4381246400,10.6528329000,11.2143775800,9835843,64573933.0500,-5.007366,155.135924,2.178112,0.934409,23.010897
10,2007-01-18,sz.000831,10.6858649400,10.9005732000,10.5702528000,10.8179931000,10.6528329000,5563617,36158513.8100,1.550394,157.541132,2.211881,0.948896,23.367655
11,2007-01-19,sz.000831,10.8014770800,11.2308936000,10.7849610600,11.1317974800,10.8179931000,8449505,56461534.4000,2.900757,162.111027,2.276043,0.976422,24.045496
12,2007-01-22,sz.000831,11.1978615600,11.9741145000,11.1978615600,11.9741145000,11.1317974800,15754855,111712295.8700,7.566770,174.377589,2.448266,1.050305,25.864962
13,2007-01-23,sz.000831,12.3044349000,12.6843033600,11.9906305200,12.5521752000,11.9741145000,19969823,149061445.5100,4.827585,182.795817,2.566458,1.101010,27.113615
14,2007-01-24,sz.000831,12.5521752000,12.6512713200,12.1723067400,12.4530790800,12.5521752000,10532740,78953757.4100,-0.789473,181.352692,2.546196,1.092317,26.899560
15,2007-01-25,sz.000831,12.3704989800,12.4200470400,11.5777300200,11.5942460400,12.4530790800,8766626,63779873.7100,-6.896552,168.845610,2.370597,1.016985,25.044418
16,2007-01-26,sz.000831,11.3960538000,11.9410824600,10.9996693200,11.8585023600,11.5942460400,8115566,56370018.2800,2.279200,172.693943,2.424627,1.040164,25.615231
17,2007-01-29,sz.000831,11.9245664400,12.2714028600,11.5612140000,12.2714028600,11.8585023600,13947831,101184288.7100,3.481894,178.706963,2.509050,1.076382,26.507126
18,2007-01-30,sz.000831,12.3044349000,12.3704989800,11.7759222600,11.8750183800,12.2714028600,11472179,83280769.3500,-3.230145,172.934464,2.428004,1.041613,25.650907
19,2007-01-31,sz.000831,11.8750183800,12.1227586800,11.0161853400,11.3795377800,11.8750183800,10184920,72624216.0000,-4.172464,165.718839,2.326697,0.998152,24.580633
