,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000959,5.1032450000,5.4677625000,5.0449222000,5.3656976000,4.9720187000,39760130,146795223.4400,7.917888,16.866877,1.471694,0.361020,5.865536
1,2007-01-05,sz.000959,5.3948590000,5.9051835000,5.2636327000,5.8468607000,5.3656976000,46207843,181561597.4900,8.967396,18.379396,1.603666,0.393394,6.391521
2,2007-01-08,sz.000959,5.7739572000,6.0509905000,5.6573116000,6.0218291000,5.8468607000,35407334,140950842.3300,2.992516,18.929403,1.651656,0.405166,6.582789
3,2007-01-09,sz.000959,6.0072484000,6.4884115000,5.8760221000,6.1822168000,6.0218291000,42888452,180289230.4800,2.663430,19.433576,1.695647,0.415958,6.758117
4,2007-01-10,sz.000959,6.1238940000,6.2988624000,6.0364098000,6.1530554000,6.1822168000,42010075,177243019.6600,-0.471698,19.341908,1.687649,0.413995,6.726239
5,2007-01-11,sz.000959,6.1530554000,6.1530554000,6.1530554000,6.1530554000,6.1530554000,0,0.0000,0.000000,19.341908,1.687649,0.413995,6.726239
6,2007-01-12,sz.000959,6.0072484000,6.0364098000,5.5406660000,5.5698274000,6.1530554000,46606433,184447320.1900,-9.478670,17.508552,1.527682,0.374754,6.088681
7,2007-01-15,sz.000959,5.5406660000,5.8468607000,5.4386011000,5.8176993000,5.5698274000,32218658,125686835.5100,4.450264,18.287728,1.595668,0.391432,6.359643
8,2007-01-16,sz.000959,5.9343449000,5.9489256000,5.7739572000,5.9197642000,5.8176993000,40880132,164839535.3300,1.754384,18.608566,1.623662,0.398299,6.471216
9,2007-01-17,sz.000959,5.9635063000,6.1822168000,5.6864730000,5.9051835000,5.9197642000,54246764,224345864.6000,-0.246299,18.562732,1.619663,0.397318,6.455277
10,2007-01-18,sz.000959,5.9051835000,5.9780870000,5.6427309000,5.8322800000,5.9051835000,28319983,112365162.1100,-1.234573,18.333562,1.599667,0.392413,6.375582
11,2007-01-19,sz.000959,5.8176993000,6.2988624000,5.7593765000,6.1967975000,5.8322800000,54963548,226813207.2000,6.250000,19.479410,1.699646,0.416939,6.774056
12,2007-01-22,sz.000959,6.1530554000,6.6779606000,6.1093133000,6.6779606000,6.1967975000,76131393,333524507.9800,7.764704,20.991929,1.831619,0.449313,7.300042
13,2007-01-23,sz.000959,6.7654448000,7.3486728000,6.6487992000,7.3486728000,6.6779606000,174115314,835006014.1800,10.043670,25.628483,2.236174,0.548554,8.912425
14,2007-01-24,sz.000959,6.9695746000,7.6840289000,6.8820904000,7.4944798000,7.3486728000,136357182,676908560.9900,1.984125,26.136985,2.280543,0.559438,9.089259
15,2007-01-25,sz.000959,7.2028658000,7.3924149000,6.9258325000,6.9695746000,7.4944798000,112155013,547245794.8600,-7.003885,24.306379,2.120816,0.520255,8.452657
16,2007-01-26,sz.000959,6.7654448000,6.9695746000,6.3426045000,6.8091869000,6.9695746000,71965715,329936304.1700,-2.301258,23.747027,2.072011,0.508283,8.258140
17,2007-01-29,sz.000959,6.9258325000,7.1008009000,6.8237676000,7.0133167000,6.8091869000,53629409,256571609.4600,2.997856,24.458929,2.134127,0.523521,8.505708
18,2007-01-30,sz.000959,7.0278974000,7.0278974000,6.7800255000,6.8383483000,7.0133167000,43570543,205939023.4400,-2.494800,23.848727,2.080885,0.510460,8.293507
19,2007-01-31,sz.000959,6.8237676000,6.8383483000,6.2697010000,6.3426045000,6.8383483000,43148584,195323818.2900,-7.249470,22.119822,1.930032,0.473454,7.692272
20,2007-02-01,sz.000959,6.2551203000,6.3717659000,5.9197642000,6.2842817000,6.3426045000,45847371,194374661.8000,-0.919539,21.916421,1.912284,0.469101,7.621538
21,2007-02-02,sz.000959,6.2988624000,6.3280238000,5.9926677000,6.0072484000,6.2842817000,25070713,105721124.8700,-4.408354,20.950268,1.827984,0.448421,7.285554
22,2007-02-05,sz.000959,5.9780870000,6.1530554000,5.9197642000,6.0509905000,6.0072484000,21828970,90672911.4700,0.728160,21.102818,1.841294,0.451686,7.338604
23,2007-02-06,sz.000959,6.0655712000,6.3571852000,5.9489256000,6.3280238000,6.0509905000,27380070,115795595.2500,4.578314,22.068971,1.925595,0.472366,7.674589
24,2007-02-07,sz.000959,6.3571852000,6.5467343000,6.2842817000,6.4884115000,6.3280238000,45788206,202307032.7900,2.534554,22.628323,1.974400,0.484338,7.869106
25,2007-02-08,sz.000959,6.6487992000,6.7946062000,6.5613150000,6.7654448000,6.4884115000,72124922,329921694.5000,4.269664,23.594476,2.058700,0.505018,8.205090
26,2007-02-09,sz.000959,6.7362834000,6.7362834000,6.5321536000,6.5904764000,6.7654448000,34847166,158083172.0400,-2.586205,22.984274,2.005458,0.491957,7.992889
27,2007-02-12,sz.000959,6.5467343000,6.6925413000,6.5029922000,6.6633799000,6.5904764000,29422750,133565413.3800,1.106199,23.238525,2.027642,0.497399,8.081306
28,2007-02-13,sz.000959,6.6633799000,6.7217027000,6.6196378000,6.6925413000,6.6633799000,30439932,139287797.9800,0.437636,23.340226,2.036516,0.499576,8.116673
29,2007-02-14,sz.000959,6.7071220000,6.8820904000,6.6342185000,6.7946062000,6.6925413000,45521873,211764228.7700,1.525048,23.696177,2.067574,0.507195,8.240457
30,2007-02-15,sz.000959,6.8091869000,7.0570588000,6.7800255000,6.9841553000,6.7946062000,57822088,274399286.0700,2.789702,24.357229,2.125253,0.521344,8.470341
31,2007-02-16,sz.000959,7.0424781000,7.2611886000,6.9258325000,7.1008009000,6.9841553000,70030834,341568537.1400,1.670145,24.764030,2.160748,0.530051,8.611808
32,2007-02-26,sz.000959,7.1445430000,7.6402868000,7.1008009000,7.6257061000,7.1008009000,86371709,439213766.6400,7.392200,28.869856,2.518996,0.617932,10.039628
