,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000967,4.4153647000,4.4667061500,4.3332183800,4.3845598300,4.4769744400,670422,2862834.9000,-2.064224,-9.470827,1.498849,1.715853,25.214826
1,2007-01-05,sz.000967,4.3229500900,4.3742915400,4.2716086400,4.3537549600,4.3845598300,896438,3760454.5800,-0.702581,-9.404287,1.488318,1.703797,25.037673
2,2007-01-08,sz.000967,4.3126818000,4.5077793100,4.3126818000,4.4564378600,4.3537549600,730246,3132888.8800,2.358500,-9.626087,1.523420,1.743981,25.628184
3,2007-01-09,sz.000967,4.4564378600,4.6823402400,4.4359012800,4.6823402400,4.4564378600,2500580,11249417.1800,5.069119,-10.114045,1.600644,1.832386,26.927308
4,2007-01-10,sz.000967,4.6823402400,4.7542182700,4.6207305000,4.6823402400,4.6823402400,1156864,5264737.4300,0.000000,-10.114045,1.600644,1.832386,26.927308
5,2007-01-11,sz.000967,4.6823402400,4.8363645900,4.6207305000,4.7234134000,4.6823402400,1577230,7309681.5700,0.877192,-10.202765,1.614685,1.848459,27.163513
6,2007-01-12,sz.000967,4.7234134000,4.9287792000,4.6207305000,4.7439499800,4.7234134000,1263973,5874305.7100,0.434782,-10.247124,1.621705,1.856496,27.281615
7,2007-01-15,sz.000967,4.7439499800,4.9082426200,4.7028768200,4.8877060400,4.7439499800,1298738,6101453.9800,3.030311,-10.557643,1.670848,1.912754,28.108331
8,2007-01-16,sz.000967,4.9082426200,4.9185109100,4.7952914300,4.8877060400,4.8877060400,1265977,5959482.4400,0.000000,-10.557643,1.670848,1.912754,28.108331
9,2007-01-17,sz.000967,4.8569011700,5.0519986800,4.7336816900,4.9185109100,4.8877060400,1577505,7596404.1300,0.630247,-10.624183,1.681379,1.924809,28.285484
10,2007-01-18,sz.000967,4.9185109100,4.9801206500,4.7850231400,4.9698523600,4.9185109100,1113737,5303616.8300,1.043845,-10.735083,1.698929,1.944901,28.580740
11,2007-01-19,sz.000967,4.9390474900,5.0314621000,4.9287792000,5.0211938100,4.9698523600,1223048,5936062.0000,1.033052,-10.845982,1.716480,1.964993,28.875995
12,2007-01-22,sz.000967,5.0211938100,5.2676327700,5.0006572300,5.2676327700,5.0211938100,2878920,14508578.3200,4.907980,-11.378301,1.800725,2.061434,30.293222
13,2007-01-23,sz.000967,5.2881693500,5.4319254100,5.1546815800,5.3395108000,5.2676327700,1739889,8928974.3000,1.364516,-11.533560,1.825296,2.089563,30.706580
14,2007-01-24,sz.000967,5.3292425100,5.5346083100,5.2881693500,5.4113888300,5.3395108000,1657573,8776277.9300,1.346157,-11.688819,1.849867,2.117692,31.119937
15,2007-01-25,sz.000967,5.4011205400,5.4729985700,5.1444132900,5.1444132900,5.4113888300,1519090,7768164.1200,-4.933581,-11.112141,1.758603,2.013213,29.584608
16,2007-01-26,sz.000967,5.1136084200,5.1341450000,4.8877060400,5.1136084200,5.1444132900,2218218,10783055.8100,-0.598807,-11.045602,1.748072,2.001158,29.407455
