,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.000990,9.1473600000,9.4486848000,9.0612672000,9.1473600000,9.1258368000,2563237,11013576.7000,0.235854,23.203745,1.230254,0.784229,-42.428450
1,2007-01-05,sz.000990,9.1043136000,9.4271616000,9.0827904000,9.4056384000,9.1473600000,3193246,13718815.0200,2.823527,23.858910,1.264991,0.806372,-43.626429
2,2007-01-08,sz.000990,9.3410688000,10.0513344000,9.3410688000,9.7715328000,9.4056384000,6687941,30161044.6100,3.890162,24.787060,1.314201,0.837742,-45.323567
3,2007-01-09,sz.000990,9.9221952000,9.9867648000,9.7500096000,9.7715328000,9.7715328000,5459964,24984375.1600,0.000000,24.787060,1.314201,0.837742,-45.323567
4,2007-01-10,sz.000990,9.7500096000,10.0082880000,9.6423936000,9.9867648000,9.7715328000,6018642,27529471.0300,2.202641,25.333030,1.343148,0.856194,-46.321884
5,2007-01-11,sz.000990,10.0513344000,10.3741824000,9.9437184000,10.1159040000,9.9867648000,7918801,37461853.4100,1.293102,25.660612,1.360517,0.867265,-46.920874
6,2007-01-12,sz.000990,10.0513344000,10.2019968000,9.5347776000,9.5563008000,10.1159040000,5176195,23663823.2900,-5.531909,24.241089,1.285254,0.819289,-44.325251
7,2007-01-15,sz.000990,9.5778240000,10.0082880000,9.5132544000,10.0082880000,9.5563008000,4354190,19972818.0800,4.729731,25.387627,1.346043,0.858039,-46.421715
8,2007-01-16,sz.000990,10.0728576000,10.4172288000,10.0298112000,10.3311360000,10.0082880000,7122274,33857730.0900,3.225809,26.206583,1.389464,0.885718,-47.919190
9,2007-01-17,sz.000990,10.3311360000,10.4817984000,9.9006720000,10.0943808000,10.3311360000,7482072,35672094.2800,-2.291669,25.606015,1.357622,0.865420,-46.821042
10,2007-01-18,sz.000990,10.0728576000,10.7400768000,9.9867648000,10.7185536000,10.0943808000,9539548,46428050.9000,6.183368,27.189330,1.441569,0.918932,-49.716160
11,2007-01-19,sz.000990,10.6539840000,11.3857728000,10.6109376000,11.2781568000,10.7185536000,11628661,60002799.8000,5.220879,28.608853,1.516831,0.966909,-52.311783
12,2007-01-22,sz.000990,11.2996800000,11.7086208000,11.1705408000,11.6655744000,11.2781568000,12993390,69127741.0200,3.435120,29.591600,1.568936,1.000123,-54.108752
13,2007-01-23,sz.000990,11.6870976000,11.8377600000,11.2351104000,11.7731904000,11.6655744000,9175469,49267610.3300,0.922504,29.864585,1.583410,1.009349,-54.607910
14,2007-01-24,sz.000990,11.7731904000,12.0099456000,11.5149120000,11.6655744000,11.7731904000,8201064,44688938.8300,-0.914072,29.591600,1.568936,1.000123,-54.108752
15,2007-01-25,sz.000990,11.5579584000,11.5579584000,10.8261696000,10.8907392000,11.6655744000,6672838,34749468.1800,-6.642069,27.626106,1.464726,0.933694,-50.514813
16,2007-01-26,sz.000990,10.7831232000,11.0414016000,10.3096128000,10.9553088000,10.8907392000,5909168,29464824.3400,0.592889,27.789897,1.473411,0.939230,-50.814308
17,2007-01-29,sz.000990,10.9553088000,11.5794816000,10.9122624000,11.4288192000,10.9553088000,6447343,33785634.4100,4.322196,28.991032,1.537094,0.979825,-53.010604
18,2007-01-30,sz.000990,11.5364352000,11.7301440000,11.2566336000,11.4503424000,11.4288192000,6982030,37313578.3700,0.188328,29.045629,1.539989,0.981671,-53.110436
19,2007-01-31,sz.000990,11.4072960000,12.5910720000,11.1490176000,12.5910720000,11.4503424000,28735119,164962399.5100,9.962400,31.939273,1.693409,1.079469,-58.401513
20,2007-02-01,sz.000990,12.1606080000,13.8609408000,12.0529920000,13.8609408000,12.5910720000,24691839,151890923.8600,10.085470,35.160499,1.864197,1.188338,-64.291580
21,2007-02-02,sz.000990,13.8609408000,13.8609408000,13.8609408000,13.8609408000,13.8609408000,0,0.0000,0.000000,35.160499,1.864197,1.188338,-64.291580
22,2007-02-05,sz.000990,13.8609408000,13.8609408000,13.8609408000,13.8609408000,13.8609408000,0,0.0000,0.000000,35.160499,1.864197,1.188338,-64.291580
23,2007-02-06,sz.000990,13.8609408000,14.1622656000,12.6986880000,13.1721984000,13.8609408000,11765675,72905059.0400,-4.968947,33.413393,1.771566,1.129290,-61.096967
24,2007-02-07,sz.000990,13.3013376000,14.4851136000,13.2798144000,14.4851136000,13.1721984000,3207664,20771965.3300,9.967322,36.743813,1.948144,1.241850,-67.186698
25,2007-02-08,sz.000990,15.9271680000,15.9271680000,15.2814720000,15.9271680000,14.4851136000,1858595,13724087.3200,9.955425,40.401815,2.142090,1.365482,-73.875418
26,2007-02-09,sz.000990,17.4983616000,17.4983616000,15.9486912000,16.4006784000,15.9271680000,15324553,118708611.1900,2.972970,41.602950,2.205774,1.406077,-76.071714
27,2007-02-12,sz.000990,16.4006784000,16.4006784000,16.4006784000,16.4006784000,16.4006784000,0,0.0000,0.000000,41.602950,2.205774,1.406077,-76.071714
28,2007-02-13,sz.000990,17.0033280000,17.1755136000,15.5182272000,16.6374336000,16.4006784000,10129746,77133004.0500,1.443571,42.203518,2.237616,1.426375,-77.169862
29,2007-02-14,sz.000990,16.3145856000,17.1755136000,16.1424000000,16.7665728000,16.6374336000,6500637,50229770.1000,0.776196,42.531100,2.254984,1.437446,-77.768852
30,2007-02-15,sz.000990,16.7665728000,18.2731968000,16.4867712000,17.7351168000,16.7665728000,9569357,76685555.8700,5.776634,44.987967,2.385246,1.520482,-82.261276
