,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2022-01-17,sz.001227,4.2800000000,5.1400000000,4.2800000000,5.1400000000,3.5700000000,106215711,537479078.0800,43.977600,13.639681,1.247996,3.360984,27.458826
1,2022-01-18,sz.001227,5.6500000000,5.6500000000,5.6500000000,5.6500000000,5.1400000000,10711459,60519743.3500,9.922200,14.993034,1.371825,3.694467,30.183339
2,2022-01-19,sz.001227,6.2200000000,6.2200000000,5.8100000000,6.2200000000,5.6500000000,146142676,905467137.0100,10.088500,16.505606,1.510221,4.067183,33.228384
3,2022-01-20,sz.001227,6.4900000000,6.8400000000,5.7500000000,6.8400000000,6.2200000000,334730720,2163390045.2800,9.967800,18.150859,1.660758,4.472594,36.540538
4,2022-01-21,sz.001227,6.8800000000,7.5200000000,6.7400000000,7.2000000000,6.8400000000,401745824,2940120064.3000,5.263200,19.106168,1.748166,4.707993,38.463725
5,2022-01-24,sz.001227,6.4800000000,6.7800000000,6.4800000000,6.4800000000,7.2000000000,67579298,439198815.2500,-10.000000,17.195551,1.573350,4.237194,34.617352
6,2022-01-25,sz.001227,5.8300000000,6.1800000000,5.8300000000,5.8300000000,6.4800000000,291965584,1721411861.4200,-10.030900,15.470688,1.415529,3.812167,31.144932
7,2022-01-26,sz.001227,5.6200000000,5.7900000000,5.2500000000,5.3000000000,5.8300000000,259535837,1397912617.8200,-9.090900,14.064262,1.286845,3.465606,28.313575
8,2022-01-27,sz.001227,5.0700000000,5.8300000000,4.9300000000,5.8300000000,5.3000000000,218980992,1187870596.5700,10.000000,15.470688,1.415529,3.812167,31.144932
9,2022-01-28,sz.001227,5.6500000000,6.0400000000,5.2500000000,5.3000000000,5.8300000000,239593722,1346306020.1000,-9.090900,14.064262,1.286845,3.465606,28.313575
10,2022-02-07,sz.001227,5.3000000000,5.7800000000,5.1000000000,5.4700000000,5.3000000000,198613581,1074829900.0900,3.207500,14.515380,1.328121,3.576767,29.221746
11,2022-02-08,sz.001227,5.4000000000,6.0200000000,5.3100000000,6.0200000000,5.4700000000,267967800,1576883389.8600,10.054800,15.974879,1.461661,3.936406,32.159947
12,2022-02-09,sz.001227,6.3000000000,6.6200000000,6.0100000000,6.3200000000,6.0200000000,377034416,2410052801.5300,4.983400,16.770969,1.534501,4.132572,33.762603
13,2022-02-10,sz.001227,6.0800000000,6.3300000000,5.8500000000,6.2300000000,6.3200000000,249417790,1520715338.4900,-1.424100,16.532142,1.512649,4.073722,33.281806
14,2022-02-11,sz.001227,6.1700000000,6.8500000000,6.1500000000,6.8500000000,6.2300000000,328499152,2159573913.0900,9.951800,18.177396,1.663186,4.479133,36.593960
15,2022-02-14,sz.001227,6.5000000000,6.7700000000,6.1700000000,6.2500000000,6.8500000000,258657325,1675045987.0300,-8.759100,16.585215,1.517505,4.086800,33.388650
16,2022-02-15,sz.001227,6.1600000000,6.5200000000,6.1600000000,6.3900000000,6.2500000000,185153294,1172120406.8400,2.240000,16.956724,1.551497,4.178344,34.136556
17,2022-02-16,sz.001227,6.3800000000,6.4700000000,6.1000000000,6.3400000000,6.3900000000,148992927,936069593.8600,-0.782500,16.824042,1.539357,4.145650,33.869446
18,2022-02-17,sz.001227,6.2000000000,6.2500000000,5.8200000000,5.8800000000,6.3400000000,197014955,1179559731.7700,-7.255500,15.603370,1.427669,3.844861,31.412042
19,2022-02-18,sz.001227,5.8100000000,6.0000000000,5.6300000000,5.9200000000,5.8800000000,139620126,815126296.0900,0.680300,15.709516,1.437381,3.871017,31.625729
20,2022-02-21,sz.001227,5.8100000000,5.9100000000,5.7300000000,5.8100000000,5.9200000000,114083020,660645255.7800,-1.858100,15.417616,1.410673,3.799089,31.038089
21,2022-02-22,sz.001227,5.7000000000,5.8800000000,5.6000000000,5.6500000000,5.8100000000,112479708,641622851.9700,-2.753900,14.993034,1.371825,3.694467,30.183339
22,2022-02-23,sz.001227,5.6400000000,5.7500000000,5.5100000000,5.7100000000,5.6500000000,116843907,655507598.9000,1.061900,15.152252,1.386393,3.733700,30.503870
23,2022-02-24,sz.001227,5.6000000000,5.8200000000,5.5100000000,5.6600000000,5.7100000000,137234889,779059736.6900,-0.875700,15.019571,1.374253,3.701006,30.236761
24,2022-02-25,sz.001227,5.6500000000,5.7300000000,5.5700000000,5.5900000000,5.6600000000,73940232,415597721.2100,-1.236700,14.833816,1.357257,3.655234,29.862808
25,2022-02-28,sz.001227,5.5800000000,5.6200000000,5.3800000000,5.4300000000,5.5900000000,70623962,385066752.0000,-2.862300,14.409235,1.318409,3.550612,0.000000
26,2022-03-01,sz.001227,5.4200000000,5.6200000000,5.3900000000,5.6100000000,5.4300000000,91802044,503830016.0000,3.314900,14.886889,1.362113,3.668312,29.969652
27,2022-03-02,sz.001227,5.5200000000,5.6100000000,5.4800000000,5.5400000000,5.6100000000,62541072,346311728.0000,-1.247800,14.701135,1.345117,3.622539,29.595699
28,2022-03-03,sz.001227,5.5700000000,5.6200000000,5.4700000000,5.4700000000,5.5400000000,61420978,339690928.0000,-1.263500,14.515380,1.328121,3.576767,29.221746
29,2022-03-04,sz.001227,5.4100000000,5.4300000000,5.2200000000,5.2400000000,5.4700000000,77179298,408033632.0000,-4.204800,13.905044,1.272277,3.426373,27.993044
30,2022-03-07,sz.001227,5.1800000000,5.3500000000,5.1600000000,5.2500000000,5.2400000000,58971355,309160048.0000,0.190800,13.931581,1.274705,3.432912,28.046466
