,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.002001,15.7300278500,15.8234735600,15.4496907200,15.5119878600,15.7300278500,4315204,21538575.8800,-1.386142,31.720003,2.214946,1.157692,-9.497572
1,2007-01-05,sz.002001,15.4496907200,15.9480678400,15.3873935800,15.9480678400,15.5119878600,2936123,14840683.8900,2.811242,32.611730,2.277213,1.190237,-9.764572
2,2007-01-08,sz.002001,15.8857707000,16.7267820900,15.8857707000,16.7267820900,15.9480678400,5664981,29849297.3100,4.882813,34.204099,2.388405,1.248354,-10.241358
3,2007-01-09,sz.002001,16.8513763700,16.9448220800,16.5087421000,16.6956335200,16.7267820900,5555399,29795052.0100,-0.186215,34.140404,2.383957,1.246029,-10.222286
4,2007-01-10,sz.002001,16.6956335200,17.2874563500,16.3529992500,17.1940106400,16.6956335200,8422175,45270116.7600,2.985072,35.159521,2.455120,1.283224,-10.527429
5,2007-01-11,sz.002001,17.1940106400,18.2219134500,16.8825249400,17.6300906200,17.1940106400,12111692,68715174.0000,2.536229,36.051248,2.517388,1.315770,-10.794429
6,2007-01-12,sz.002001,17.4743477700,17.9727248900,16.6021878100,16.6333363800,17.6300906200,7681731,42598602.9200,-5.653705,34.013015,2.375062,1.241380,-10.184143
7,2007-01-15,sz.002001,16.5087421000,17.4431992000,16.4775935300,17.4120506300,16.6333363800,6840896,37392215.6200,4.681648,35.605385,2.486254,1.299497,-10.660929
8,2007-01-16,sz.002001,17.5677934800,17.7546849000,17.0071192200,17.5677934800,17.4120506300,7337715,40892522.6000,0.894449,35.923858,2.508492,1.311121,-10.756286
9,2007-01-17,sz.002001,17.5989420500,18.3465077300,17.4431992000,18.0661706000,17.5677934800,12917191,74566980.7800,2.836885,36.942975,2.579655,1.348315,-11.061429
10,2007-01-18,sz.002001,18.0661706000,19.8727876600,17.7858334700,19.8727876600,18.0661706000,15139949,91331292.5400,9.999999,40.637273,2.837621,1.483147,-12.167572
11,2007-01-19,sz.002001,20.1842733600,20.5580562000,19.6547476700,20.4023133500,19.8727876600,17769483,115302137.0000,2.664578,41.720084,2.913232,1.522667,-12.491786
12,2007-01-22,sz.002001,20.4023133500,21.9285932800,20.2777190700,21.4613647300,20.4023133500,11857858,80714001.2400,5.190835,43.885707,3.064453,1.601706,-13.140215
13,2007-01-23,sz.002001,21.4302161600,21.5236618700,20.1531247900,20.8072447600,21.4613647300,10504550,70138341.0600,-3.047896,42.548116,2.971051,1.552887,-12.739715
14,2007-01-24,sz.002001,20.8072447600,21.3679190200,20.7449476200,20.9629876100,20.8072447600,7970693,53829637.1800,0.748506,42.866590,2.993290,1.564511,-12.835072
15,2007-01-25,sz.002001,20.5580562000,20.5580562000,19.2498162600,19.3744105400,20.9629876100,8887364,56852490.2200,-7.578012,39.618156,2.766458,1.445952,-11.862429
16,2007-01-26,sz.002001,19.3432619700,19.4678562500,17.8792791800,19.2186676900,19.3744105400,8238289,49284595.2900,-0.803854,39.299682,2.744220,1.434329,-11.767072
17,2007-01-29,sz.002001,18.8760334200,20.0908276500,18.2219134500,19.7170448100,19.2186676900,13690246,83647514.8600,2.593190,40.318799,2.815383,1.471524,-12.072215
18,2007-01-30,sz.002001,19.6235991000,19.6235991000,18.9383305600,19.0629248400,19.7170448100,7533324,46472552.8700,-3.317536,38.981208,2.721981,1.422705,-11.671715
19,2007-01-31,sz.002001,19.0317762700,19.2809648300,18.0038734600,18.1596163100,19.0629248400,6166736,37124995.5600,-4.738562,37.134059,2.592998,1.355289,-11.118643
20,2007-02-01,sz.002001,17.9104277500,18.5022505800,17.4743477700,18.4399534400,18.1596163100,5783180,33511662.8100,1.543742,37.707312,2.633028,1.376212,-11.290286
21,2007-02-02,sz.002001,18.2219134500,18.7514391400,18.0661706000,18.1284677400,18.4399534400,4554579,26992728.5500,-1.689188,37.070365,2.588551,1.352965,-11.099572
22,2007-02-05,sz.002001,18.0661706000,18.4711020100,17.8169820400,18.3776563000,18.1284677400,2990026,17544192.1200,1.374569,37.579923,2.624132,1.371562,-11.252143
23,2007-02-06,sz.002001,18.2219134500,18.9694791300,18.2219134500,18.9694791300,18.3776563000,3804220,22848559.5600,3.220340,38.790124,2.708638,1.415731,-11.614501
24,2007-02-07,sz.002001,19.0317762700,19.1875191200,18.6579934300,18.9071819900,18.9694791300,6963337,42146729.1200,-0.328407,38.662734,2.699743,1.411082,-11.576358
25,2007-02-08,sz.002001,18.9694791300,19.1875191200,18.7514391400,19.0940734100,18.9071819900,4195115,25554615.7500,0.988467,39.044903,2.726429,1.425030,-11.690786
26,2007-02-09,sz.002001,19.1252219800,19.1252219800,18.6891420000,18.8137362800,19.0940734100,4155974,25156652.4200,-1.468192,38.471650,2.686400,1.404108,-11.519143
27,2007-02-12,sz.002001,18.8137362800,19.7793419500,18.7202905700,19.4990048200,18.8137362800,7073158,43702888.4400,3.642388,39.872935,2.784249,1.455251,-11.938715
28,2007-02-13,sz.002001,19.4678562500,19.6858962400,19.2186676900,19.6547476700,19.4990048200,5296566,33141877.8300,0.798717,40.191409,2.806487,1.466874,-12.034072
29,2007-02-14,sz.002001,19.8416390900,21.6171075800,19.8104905200,21.4925133000,19.6547476700,18618289,124919960.9200,9.350241,43.949401,3.068900,1.604030,-13.159286
