,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.002002,5.6238624000,5.6454926400,5.5265263200,5.5589716800,5.5914170400,675390,3486570.2100,-0.580275,31.352667,1.541329,1.551208,-2.728090
1,2007-01-05,sz.002002,5.5589716800,5.6995682400,5.5157112000,5.6995682400,5.5589716800,1115836,5771097.1200,2.529185,32.145633,1.580312,1.590441,-2.797088
2,2007-01-08,sz.002002,5.6995682400,5.8293496800,5.6454926400,5.8185345600,5.6995682400,1638341,8755389.1800,2.087289,32.816605,1.613298,1.623638,-2.855472
3,2007-01-09,sz.002002,5.8293496800,5.9266857600,5.7752740800,5.8401648000,5.8185345600,1637574,8871294.9100,0.371747,32.938599,1.619295,1.629674,-2.866087
4,2007-01-10,sz.002002,5.8401648000,5.9915764800,5.7860892000,5.9807613600,5.8401648000,2279642,12405250.9600,2.407409,33.731566,1.658278,1.668907,-2.935085
5,2007-01-11,sz.002002,5.9807613600,6.1429881600,5.9050555200,5.9483160000,5.9807613600,2484482,13872502.3300,-0.542499,33.548573,1.649282,1.659853,-2.919163
6,2007-01-12,sz.002002,5.9158706400,6.0132067200,5.7320136000,5.7644589600,5.9483160000,1620577,8801902.8900,-3.090910,32.511618,1.598304,1.608549,-2.828934
7,2007-01-15,sz.002002,5.7536438400,5.9915764800,5.7103833600,5.9699462400,5.7644589600,1623682,8837813.3600,3.564729,33.670568,1.655280,1.665889,-2.929778
8,2007-01-16,sz.002002,6.0456520800,6.1105428000,5.9050555200,6.0889125600,5.9699462400,2248278,12450644.6600,1.992756,34.341540,1.688265,1.699086,-2.988161
9,2007-01-17,sz.002002,6.0780974400,6.1862486400,5.9375008800,6.0023916000,6.0889125600,2438442,13697165.1200,-1.420958,33.853560,1.664276,1.674943,-2.945700
10,2007-01-18,sz.002002,6.0132067200,6.2295091200,5.9483160000,6.2186940000,6.0023916000,2870065,16246668.0100,3.603600,35.073509,1.724250,1.735301,-3.051852
11,2007-01-19,sz.002002,6.2295091200,6.3701056800,6.1970637600,6.3484754400,6.2186940000,3776777,21939389.3000,2.086955,35.805477,1.760234,1.771516,-3.115543
12,2007-01-22,sz.002002,6.3701056800,6.6512988000,6.3484754400,6.6080383200,6.3484754400,4247665,25443160.2900,4.088590,37.269415,1.832203,1.843946,-3.242924
13,2007-01-23,sz.002002,6.6188534400,6.6621139200,6.3376603200,6.5647778400,6.6080383200,3318332,19924754.5000,-0.654664,37.025426,1.820208,1.831874,-3.221694
14,2007-01-24,sz.002002,6.5864080800,6.7918953600,6.5107022400,6.6404836800,6.5647778400,2800465,17230515.5500,1.153207,37.452407,1.841199,1.853000,-3.258847
15,2007-01-25,sz.002002,6.5972232000,6.5972232000,6.2835847200,6.2943998400,6.6404836800,2561056,15209903.2800,-5.211721,35.500490,1.745241,1.756426,-3.089005
16,2007-01-26,sz.002002,6.2511393600,6.3160300800,6.0240218400,6.2403242400,6.2943998400,1959667,11221068.0200,-0.859110,35.195503,1.730247,1.741337,-3.062467
17,2007-01-29,sz.002002,6.2619544800,6.5647778400,6.2511393600,6.4998871200,6.2403242400,2690837,15914643.2500,4.159450,50.086428,1.802216,1.835656,-3.189848
18,2007-01-30,sz.002002,6.4890720000,6.6404836800,6.4349964000,6.4998871200,6.4998871200,2292057,13838887.6000,0.000000,50.086428,1.802216,1.835656,-3.189848
19,2007-01-31,sz.002002,6.5107022400,6.6837441600,6.3809208000,6.4241812800,6.4998871200,3319140,20072101.7700,-1.164728,49.503058,1.781225,1.814276,-3.152696
20,2007-02-01,sz.002002,6.3917359200,6.4241812800,6.1754335200,6.3701056800,6.4241812800,2107081,12301821.7900,-0.841754,49.086366,1.766231,1.799004,-3.126158
21,2007-02-02,sz.002002,6.3809208000,6.6512988000,6.3376603200,6.4241812800,6.3701056800,2617181,15777301.9300,0.848900,49.503058,1.781225,1.814276,-3.152696
22,2007-02-05,sz.002002,6.4890720000,6.8027104800,6.4025510400,6.7594500000,6.4241812800,4275339,26441144.0600,5.218854,52.086551,1.874184,1.908960,-3.317230
23,2007-02-06,sz.002002,6.8676012000,6.8676012000,6.5972232000,6.7378197600,6.7594500000,2641260,16431740.2700,-0.320000,51.919874,1.868187,1.902852,-3.306615
24,2007-02-07,sz.002002,6.7161895200,6.9324919200,6.6404836800,6.9324919200,6.7378197600,3128695,19549409.3000,2.889243,53.419967,1.922164,1.957830,-3.402151
25,2007-02-08,sz.002002,6.9541221600,6.9757524000,6.7918953600,6.8135256000,6.9324919200,2998842,19038682.2600,-1.716063,52.503244,1.889178,1.924232,-3.343768
26,2007-02-09,sz.002002,6.8135256000,6.9108616800,6.6621139200,6.7053744000,6.8135256000,2315706,14474904.1200,-1.587308,51.669859,1.859191,1.893689,-3.290692
27,2007-02-12,sz.002002,6.7053744000,6.8892314400,6.6837441600,6.8243407200,6.7053744000,2838628,17809853.6600,1.774196,52.586582,1.892177,1.927286,-3.349076
28,2007-02-13,sz.002002,6.8351558400,6.8892314400,6.7702651200,6.8351558400,6.8243407200,2134948,13474381.2900,0.158482,52.669921,1.895175,1.930341,-3.354383
29,2007-02-14,sz.002002,6.8351558400,7.1920548000,6.5972232000,7.0514582400,6.8351558400,3738088,24288055.2600,3.164554,54.336690,1.955149,1.991427,-3.460534
30,2007-02-15,sz.002002,7.0622733600,7.2677606400,6.9324919200,7.2245001600,7.0514582400,3394199,22358508.2300,2.453985,55.670106,2.003128,2.040297,-3.545456
31,2007-02-16,sz.002002,7.2245001600,7.4624328000,7.1163489600,7.2461304000,7.2245001600,3308098,22414451.4500,0.299401,55.836783,2.009126,2.046405,-3.556071
32,2007-02-26,sz.002002,7.3110211200,7.9707434400,7.3110211200,7.9707434400,7.2461304000,5616410,40302524.8700,10.000000,61.420461,2.210038,2.251046,-3.911678
33,2007-02-27,sz.002002,8.1221551200,8.2843819200,7.1704245600,7.2245001600,7.9707434400,6286825,45451059.8900,-9.362280,55.670106,2.003128,2.040297,-3.545456
34,2007-02-28,sz.002002,7.2353152800,7.9166678400,7.2353152800,7.8193317600,7.2245001600,4074848,28529911.7000,8.233536,60.253723,2.168056,2.208285,-3.837372
