,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.002008,47.4883525000,48.4149545000,44.3147406500,44.6622164000,47.9053234000,4081781,80718719.7400,-6.769824,60.715197,9.773979,6.349737,-92.783130
1,2007-01-05,sz.002008,44.2220804500,44.6622164000,42.8553425000,44.6622164000,44.6622164000,2249965,42534961.9200,0.000000,60.715197,9.773979,6.349737,-92.783130
2,2007-01-08,sz.002008,44.7085465000,45.8667990000,44.0367600500,45.0096921500,44.6622164000,3104220,60319805.5300,0.778006,61.187567,9.850022,6.399138,-93.504990
3,2007-01-09,sz.002008,45.2181776000,47.5346826000,45.1718475000,46.6544107000,45.0096921500,2284539,45831726.4400,3.654138,63.423448,10.209956,6.632972,-96.921796
4,2007-01-10,sz.002008,46.4459252500,47.4420224000,45.3571679000,47.0250515000,46.6544107000,3122970,62303219.9000,0.794438,63.927308,10.291067,6.685667,-97.691781
5,2007-01-11,sz.002008,47.0018864500,48.8782555000,46.1216145500,46.5617505000,47.0250515000,3365580,69004227.2700,-0.985216,63.297483,10.189678,6.619798,-96.729300
6,2007-01-12,sz.002008,46.0984495000,46.5154204000,43.7819445000,44.0135950000,46.5617505000,2185031,42761791.8700,-5.472639,59.833441,9.632034,6.257521,-91.435657
7,2007-01-15,sz.002008,43.6661192500,45.9131291000,42.8553425000,45.9131291000,44.0135950000,1801932,34905887.0800,4.315788,62.415727,10.047732,6.527582,-95.381827
8,2007-01-16,sz.002008,45.9362941500,47.6736729000,44.5000610500,46.9787214000,45.9131291000,3152708,62545377.8300,2.320893,63.864326,10.280928,6.679080,-97.595533
9,2007-01-17,sz.002008,47.0250515000,50.2218284000,46.0984495000,48.1833040000,46.9787214000,4804758,100169188.0000,2.564095,65.501873,10.544542,6.850338,-100.097982
10,2007-01-18,sz.002008,47.9284884500,50.4534789000,47.4883525000,50.2681585000,48.1833040000,4132272,87957961.6100,4.326931,68.336088,11.000796,7.146747,-104.429145
11,2007-01-19,sz.002008,50.2218284000,52.5383334000,49.9206827500,50.9631100000,50.2681585000,4685683,103723722.3000,1.382485,69.280827,11.152881,7.245550,-105.872866
12,2007-01-22,sz.002008,50.9631100000,55.5497899000,50.4534789000,54.8780034500,50.9631100000,4750502,107377768.3600,7.681820,74.602854,12.009625,7.802140,-114.005827
13,2007-01-23,sz.002008,55.3181394000,57.4493240000,54.3915374000,55.8277705000,54.8780034500,4137882,99355644.2100,1.730687,75.893997,12.217474,7.937171,-115.978912
14,2007-01-24,sz.002008,55.5729549500,56.2910715000,54.4378675000,55.8277705000,55.8277705000,3428959,81703995.0200,0.000000,75.893997,12.217474,7.937171,-115.978912
15,2007-01-25,sz.002008,54.6926830500,54.9011685000,50.2449934500,52.0750324000,55.8277705000,4098039,93610090.5000,-6.721995,70.792409,11.396216,7.403635,-108.182819
16,2007-01-26,sz.002008,51.7738867500,53.1869548000,49.1099060000,52.8858091500,52.0750324000,2055848,45325647.9700,1.556941,71.894604,11.573649,7.518905,-109.867160
17,2007-01-29,sz.002008,53.9050713500,53.9050713500,51.1947605000,52.8163140000,52.8858091500,2429580,54884809.5300,-0.131409,71.800130,11.558440,7.509025,-109.722788
18,2007-01-30,sz.002008,52.8163140000,52.8163140000,50.9631100000,51.4264110000,52.8163140000,1757346,39189746.5700,-2.631572,69.910653,11.254271,7.311419,-106.835346
19,2007-01-31,sz.002008,51.4959061500,51.8897120000,47.3725272500,49.9901779000,51.4264110000,2221302,47743283.0600,-2.792797,67.958193,10.939962,7.107226,-103.851656
20,2007-02-01,sz.002008,49.3415565000,49.8511876000,47.7200030000,49.4573817500,49.9901779000,1718705,36060816.7900,-1.065800,67.233893,10.823364,7.031477,-102.744804
21,2007-02-02,sz.002008,49.4573817500,49.5732070000,47.2567020000,47.3725272500,49.4573817500,1252891,26080690.0100,-4.215455,64.399678,10.367110,6.735068,-98.413641
22,2007-02-05,sz.002008,46.7007408000,47.9979836000,46.6775757500,47.4883525000,47.3725272500,745492,15194180.8600,0.244495,64.557134,10.392457,6.751535,-98.654261
23,2007-02-06,sz.002008,48.0674787500,48.0674787500,44.9401970000,46.7007408000,47.4883525000,2423277,48112315.5100,-1.658537,63.486430,10.220095,6.639559,-97.018044
24,2007-02-07,sz.002008,46.5617505000,47.8358282500,46.5617505000,47.0945466500,46.7007408000,1888471,38457089.7200,0.843254,64.021782,10.306276,6.695547,-97.836153
25,2007-02-08,sz.002008,47.6041777500,48.5771098500,47.1177117000,48.1138088500,47.0945466500,1492785,30874265.2200,2.164292,65.407399,10.529333,6.840458,-99.953610
26,2007-02-09,sz.002008,47.8358282500,48.1138088500,46.1216145500,47.3956923000,48.1138088500,1677187,33992001.9200,-1.492544,64.431169,10.372179,6.738362,-98.461765
27,2007-02-12,sz.002008,47.3956923000,51.2874207000,46.4459252500,51.2874207000,47.3956923000,2116019,45224569.9400,8.211145,69.721705,11.223854,7.291658,-106.546602
28,2007-02-13,sz.002008,50.9631100000,52.2371877500,50.4998090000,51.6812265500,51.2874207000,1578946,35015735.6600,0.767841,70.257057,11.310035,7.347646,-107.364711
29,2007-02-14,sz.002008,52.0055372500,52.0981974500,50.9862750500,51.6812265500,51.6812265500,1554492,34711572.9400,0.000000,70.257057,11.310035,7.347646,-107.364711
30,2007-02-15,sz.002008,52.0055372500,55.2486442500,51.9823722000,53.1637897500,51.6812265500,2244849,52009847.8700,2.868675,72.272499,11.634483,7.558426,-110.444649
31,2007-02-16,sz.002008,53.5575956000,54.6463529500,52.2371877500,53.2796150000,53.1637897500,1396047,32100412.6800,0.217862,72.429955,11.659830,7.574893,-110.685269
32,2007-02-26,sz.002008,53.2796150000,53.8587412500,52.1213625000,53.2796150000,53.2796150000,1780587,40572118.8700,0.000000,72.429955,11.659830,7.574893,-110.685269
33,2007-02-27,sz.002008,52.8163140000,52.8163140000,47.9516535000,47.9516535000,53.2796150000,3589775,76134021.6800,-9.999996,56.328094,10.493847,6.054727,-99.616742
34,2007-02-28,sz.002008,46.9092262500,47.9516535000,45.6351485000,47.3030321000,47.9516535000,2882085,58106938.2600,-1.352660,55.566168,10.351901,5.972827,-98.269269
35,2007-03-01,sz.002008,47.3725272500,49.0635759000,45.4729931500,49.0635759000,47.3030321000,3641954,74324014.6000,3.721843,57.634253,10.737183,6.195126,-101.926695
36,2007-03-02,sz.002008,49.5963720500,52.3993431000,49.5963720500,50.9631100000,49.0635759000,4523627,100138500.5900,3.871575,59.865607,11.152881,6.434975,-105.872866
37,2007-03-05,sz.002008,51.6580615000,53.2332849000,49.4805468000,51.1947605000,50.9631100000,3507941,77645544.3500,0.454547,60.137724,11.203576,6.464225,-106.354106
38,2007-03-06,sz.002008,51.1484304000,51.8665469500,49.8511876000,51.3105857500,51.1947605000,1641109,36204445.0400,0.226241,60.273782,11.228923,6.478850,-106.594726
39,2007-03-07,sz.002008,51.4032459500,52.7468188500,51.4032459500,52.7004887500,51.3105857500,1964999,44326110.2500,2.708805,61.906480,11.533093,6.654349,-109.482168
40,2007-03-08,sz.002008,52.8163140000,54.9243335500,52.5846635000,54.9243335500,52.7004887500,3526070,81852303.3000,4.219776,64.518798,12.019764,6.935148,-114.102075
41,2007-03-09,sz.002008,55.3644695000,55.7351103000,52.5846635000,53.4649354000,54.9243335500,2536428,59112729.7200,-2.657103,62.804464,11.700386,6.750874,-111.070261
42,2007-03-12,sz.002008,54.4147024500,54.4147024500,52.4225081500,52.9321392500,53.4649354000,1398411,32053167.6600,-0.996532,62.178597,11.583788,6.683599,-109.963408
43,2007-03-13,sz.002008,52.8394790500,58.2369357000,52.7931489500,58.2369357000,52.9321392500,4590802,111536124.7200,10.021880,68.410062,12.744701,7.353422,-120.983811
44,2007-03-14,sz.002008,58.1674405500,61.1557320000,54.0208966000,58.6075765000,58.2369357000,3680547,93353031.6600,0.636435,68.845448,12.825813,7.400222,-121.753796
45,2007-03-15,sz.002008,58.3295959000,60.2291300000,57.4724890500,57.7041395500,58.6075765000,2810911,71818510.6400,-1.541500,67.784194,12.628103,7.286147,-119.876958
46,2007-03-16,sz.002008,57.2176735000,58.3759260000,55.0864889000,55.8277705000,57.7041395500,2297098,55711138.3800,-3.251704,65.580051,12.217474,7.049223,-115.978912
47,2007-03-19,sz.002008,53.2796150000,56.4763919000,52.8163140000,55.3644695000,55.8277705000,1978367,46544352.3500,-0.829879,65.035819,12.116084,6.990723,-115.016431
48,2007-03-20,sz.002008,54.9243335500,56.0130909000,54.6695180000,55.1559840500,55.3644695000,1765948,42096440.9000,-0.376570,64.790914,12.070459,6.964398,-114.583315
49,2007-03-21,sz.002008,55.9435957500,56.6848773500,54.9011685000,55.9435957500,55.1559840500,2989801,72064918.0200,1.427972,65.716110,12.242822,7.063848,-116.219532
50,2007-03-22,sz.002008,56.0825860500,59.4183532500,56.0825860500,56.2910715000,55.9435957500,3178642,79355278.7800,0.621116,66.124284,12.318864,7.107723,-116.941393
51,2007-03-23,sz.002008,56.4068967500,57.6346444000,55.3181394000,56.7775375500,56.2910715000,2071705,50235789.0200,0.864202,66.695729,12.425323,7.169147,-117.951997
52,2007-03-26,sz.002008,56.9860230000,58.3759260000,56.9860230000,57.8894599500,56.7775375500,1822940,45454604.7500,1.958382,68.001887,12.668659,7.309547,-120.261951
53,2007-03-27,sz.002008,57.9126250000,58.7234017500,57.1250133000,57.9126250000,57.8894599500,1336273,33171979.7200,0.040017,68.029099,12.673728,7.312472,-120.310075
