,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.002027,13.5779044500,13.5779044500,13.1390226900,13.2213130200,13.4407539000,3174335,15354162.3300,-1.632651,22.403391,2.266389,0.438197,-14.996576
1,2007-01-05,sz.002027,13.1664528000,13.7150550000,13.0018721400,13.5779044500,13.2213130200,2532302,12279511.8900,2.697088,23.007632,2.327516,0.450016,-15.401048
2,2007-01-08,sz.002027,13.6053345600,14.0716464300,13.6053345600,14.0442163200,13.5779044500,3506693,17767305.3400,3.434345,23.797793,2.407451,0.465471,-15.929973
3,2007-01-09,sz.002027,14.1265066500,14.4556679700,14.0442163200,14.2636572000,14.0442163200,5397671,28086017.5500,1.562499,24.169634,2.445067,0.472744,-16.178879
4,2007-01-10,sz.002027,14.2910873100,14.5105281900,13.9619259900,14.4556679700,14.2636572000,5953858,30897763.3700,1.346157,24.494994,2.477981,0.479108,-16.396672
5,2007-01-11,sz.002027,14.5379583000,15.0317002800,14.3459475300,14.6476787400,14.4556679700,9809496,52623484.4400,1.328277,24.820355,2.510896,0.485471,-16.614464
6,2007-01-12,sz.002027,14.6751088500,14.9768400600,13.6601947800,13.8522055500,14.6476787400,5975147,31531901.6800,-5.430711,23.472433,2.374536,0.459107,-15.712181
7,2007-01-15,sz.002027,13.9344958800,14.5105281900,13.9344958800,14.5105281900,13.8522055500,4167698,21856465.5600,4.752470,24.587954,2.487386,0.480926,-16.458898
8,2007-01-16,sz.002027,14.5653884100,15.2237110500,14.4282378600,15.1688508300,14.5105281900,9082157,49255134.1000,4.536867,25.703476,2.600235,0.502745,-17.205616
9,2007-01-17,sz.002027,15.3608616000,15.4980121500,14.5379583000,14.8945497300,15.1688508300,8016167,44345081.6000,-1.808325,25.238675,2.553214,0.493654,-16.894483
10,2007-01-18,sz.002027,14.7025389600,15.7174530300,14.7025389600,15.6900229200,14.8945497300,7381193,41131449.1000,5.340699,26.586597,2.689574,0.520018,-17.796767
11,2007-01-19,sz.002027,15.9094638000,16.2660552300,15.6351627000,16.1837649000,15.6900229200,10194821,59190926.1000,3.146858,27.423238,2.774211,0.536382,-18.356805
12,2007-01-22,sz.002027,16.4580660000,16.8420875400,16.1837649000,16.6775068800,16.1837649000,11793140,70795542.3000,3.050845,28.259880,2.858848,0.552747,-18.916843
13,2007-01-23,sz.002027,16.6775068800,16.6775068800,16.0191842400,16.4854961100,16.6775068800,8300271,49443612.4600,-1.151311,27.934519,2.825933,0.546383,-18.699051
14,2007-01-24,sz.002027,16.4580660000,16.6500767700,16.1837649000,16.3483455600,16.4854961100,7193373,43089795.2900,-0.831950,27.702119,2.802423,0.541837,-18.543484
15,2007-01-25,sz.002027,16.3209154500,16.3209154500,15.3060013800,15.3334314900,16.3483455600,6333698,36417846.2400,-6.208052,25.982356,2.628447,0.508200,-17.392295
16,2007-01-26,sz.002027,15.1962809400,15.4705820400,14.6202486300,15.3060013800,15.3334314900,4860027,26687216.2100,-0.178895,25.935876,2.623745,0.507290,-17.361182
17,2007-01-29,sz.002027,15.3608616000,16.0466143500,15.3608616000,16.0466143500,15.3060013800,6148731,35327565.1200,4.838709,27.190838,2.750700,0.531837,-18.201239
18,2007-01-30,sz.002027,16.3209154500,16.6775068800,15.8546035800,16.5677864400,16.0466143500,12141408,72326852.9700,3.247864,28.073959,2.840039,0.549110,-18.792390
19,2007-01-31,sz.002027,16.7049369900,17.8295715000,16.4580660000,16.9243778700,16.5677864400,21180271,132677755.2600,2.152320,28.678200,2.901166,0.560929,-19.196862
20,2007-02-01,sz.002027,16.7597972100,17.0340983100,15.5803024800,16.6775068800,16.9243778700,9202415,55123900.3200,-1.458673,28.259880,2.858848,0.552747,-18.916843
21,2007-02-02,sz.002027,16.4580660000,16.6226466600,15.5803024800,15.8546035800,16.6775068800,4567407,26841981.8400,-4.934206,27.289880,2.717786,0.522666,-17.983446
22,2007-02-05,sz.002027,15.7174530300,16.2111950100,15.6625928100,16.0466143500,15.8546035800,3011618,17568995.5600,1.211067,27.620380,2.750700,0.528996,-18.201239
23,2007-02-06,sz.002027,16.3757756700,16.7323671000,16.1014745700,16.5677864400,16.0466143500,3408763,20348180.0500,3.247864,28.517452,2.840039,0.546177,-18.792390
24,2007-02-07,sz.002027,16.5403563300,16.9518079800,16.2660552300,16.8420875400,16.5677864400,7238893,43785518.5100,1.655628,28.989595,2.887060,0.555220,-19.103523
25,2007-02-08,sz.002027,16.8695176500,16.9243778700,16.5129262200,16.5952165500,16.8420875400,6567786,39929887.3500,-1.465793,28.564666,2.844742,0.547082,-18.823504
26,2007-02-09,sz.002027,16.7323671000,16.7597972100,16.1837649000,16.3209154500,16.5952165500,4593870,27521642.0400,-1.652899,28.092523,2.797721,0.538039,-18.512371
27,2007-02-12,sz.002027,16.4580660000,17.0615284200,16.4306358900,17.0615284200,16.3209154500,7479251,45927436.2100,4.537815,29.367310,2.924676,0.562454,-19.352428
28,2007-02-13,sz.002027,17.2535391900,17.7747112800,17.0340983100,17.5278402900,17.0615284200,8619840,54488050.0300,2.733120,30.169953,3.004611,0.577827,-19.881353
