,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sz.002064,13.9900000000,14.0000000000,13.2100000000,13.2800000000,13.7700000000,1654540,22482793.4600,-3.558465,45.267996,2.458352,2.884443,47.549531
1,2007-01-05,sz.002064,13.3000000000,13.6400000000,13.0000000000,13.6100000000,13.2800000000,808510,10788170.8100,2.484939,46.392878,2.519440,2.956120,48.731109
2,2007-01-08,sz.002064,13.5100000000,14.3500000000,13.4900000000,14.3300000000,13.6100000000,1402723,19855218.3700,5.290230,48.847167,2.652725,3.112505,51.309095
3,2007-01-09,sz.002064,14.5000000000,15.0100000000,14.4900000000,14.9400000000,14.3300000000,1640356,24290868.8500,4.256802,50.926496,2.765646,3.244999,53.493223
4,2007-01-10,sz.002064,14.9700000000,16.3000000000,14.9000000000,16.1200000000,14.9400000000,2517237,39285270.4100,7.898268,54.948802,2.984084,3.501297,57.718256
5,2007-01-11,sz.002064,16.1500000000,16.9800000000,15.5000000000,15.9900000000,16.1200000000,2570105,41838539.6100,-0.806458,54.505667,2.960019,3.473061,57.252787
6,2007-01-12,sz.002064,15.8200000000,16.4800000000,15.8000000000,15.9000000000,15.9900000000,1314722,21138132.5000,-0.562853,54.198881,2.943358,3.453513,56.930538
7,2007-01-15,sz.002064,16.0000000000,16.8000000000,16.0000000000,16.7600000000,15.9000000000,1592927,26407055.9400,5.408809,57.130393,3.102559,3.640306,60.009800
8,2007-01-16,sz.002064,17.0000000000,18.4400000000,16.8500000000,18.4400000000,16.7600000000,2217397,39791475.5000,10.023870,62.857067,3.413555,4.005206,66.025102
9,2007-01-17,sz.002064,18.5000000000,19.4800000000,18.0000000000,18.7800000000,18.4400000000,1789942,33776836.2900,1.843819,64.016037,3.476495,4.079054,67.242485
10,2007-01-18,sz.002064,18.8200000000,19.7800000000,18.7000000000,19.2400000000,18.7800000000,1135177,21733426.3900,2.449409,65.584054,3.561648,4.178967,68.889532
11,2007-01-19,sz.002064,19.3800000000,19.8800000000,18.8000000000,19.5900000000,19.2400000000,1316254,25257987.6000,1.819129,66.777112,3.626439,4.254988,70.142720
12,2007-01-22,sz.002064,20.0000000000,21.5500000000,19.6500000000,21.4500000000,19.5900000000,1756659,36619122.9900,9.494643,73.117358,3.970757,4.658984,76.802519
13,2007-01-23,sz.002064,21.4400000000,22.5000000000,20.5500000000,22.1400000000,21.4500000000,2450982,53505069.9300,3.216777,75.469385,4.098487,4.808853,79.273089
14,2007-01-24,sz.002064,22.2000000000,23.5800000000,21.8000000000,22.1800000000,22.1400000000,1665668,37533713.0000,0.180673,75.605734,4.105892,4.817541,79.416311
15,2007-01-25,sz.002064,21.7000000000,22.8000000000,20.5100000000,22.3000000000,22.1800000000,1614282,35163075.1600,0.541023,76.014782,4.128106,4.843606,79.845975
16,2007-01-26,sz.002064,21.6500000000,22.7900000000,21.2000000000,22.4000000000,22.3000000000,1094338,24255474.5000,0.448432,76.355656,4.146618,4.865326,80.204029
17,2007-01-29,sz.002064,22.3800000000,24.1000000000,22.0200000000,23.7000000000,22.4000000000,1762104,41548893.9000,5.803576,80.787011,4.387270,5.147689,84.858727
18,2007-01-30,sz.002064,23.7500000000,25.0000000000,23.3000000000,24.7400000000,23.7000000000,766901,18537424.1900,4.388182,84.332095,4.579791,5.373579,88.582485
