,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-07-19,sz.002142,20.3800000000,23.4500000000,19.4900000000,22.1300000000,9.2000000000,197364082,4119470084.8700,140.543500,74.435328,17.309706,29.488667,-386.299324
1,2007-07-20,sz.002142,21.4000000000,24.3400000000,21.3000000000,24.3400000000,22.1300000000,94848251,2154975046.0700,9.986448,81.868770,19.038330,32.433536,-424.876889
2,2007-07-23,sz.002142,24.7900000000,26.4500000000,24.5400000000,25.3100000000,24.3400000000,99483316,2546044200.4500,3.985207,85.131412,19.797047,33.726081,-441.809123
3,2007-07-24,sz.002142,25.3100000000,26.9500000000,24.8100000000,25.9800000000,25.3100000000,53914975,1397098913.0000,2.647176,87.384989,20.321110,34.618869,-453.504584
4,2007-07-25,sz.002142,25.8700000000,28.5800000000,25.6000000000,28.5800000000,25.9800000000,54381047,1465465699.4200,10.007700,96.130215,22.354785,38.083421,-498.889954
5,2007-07-26,sz.002142,28.4700000000,30.3900000000,27.8000000000,28.7000000000,28.5800000000,66923819,1949880897.6100,0.419877,96.533841,22.448647,38.243323,-500.984664
6,2007-07-27,sz.002142,28.0600000000,29.0000000000,27.8300000000,28.7500000000,28.7000000000,34176568,969020491.7100,0.174213,96.702018,22.487756,38.309949,-501.857459
7,2007-07-30,sz.002142,28.5000000000,29.3000000000,28.0000000000,28.4500000000,28.7500000000,29776338,851815816.3600,-1.043476,95.692954,22.253101,37.910193,-496.620686
8,2007-07-31,sz.002142,28.0200000000,28.8800000000,27.2300000000,28.1100000000,28.4500000000,32196922,899301542.9600,-1.195080,94.549347,21.987159,37.457136,-490.685676
9,2007-08-01,sz.002142,28.1000000000,29.3000000000,27.0000000000,28.2100000000,28.1100000000,32989740,939223208.1100,0.355740,94.885702,22.065378,37.590388,-492.431267
10,2007-08-02,sz.002142,28.3200000000,31.0300000000,28.3200000000,30.6000000000,28.2100000000,55242555,1634024361.4000,8.472178,102.924583,23.934795,40.775111,-534.150896
11,2007-08-03,sz.002142,30.7000000000,32.1600000000,29.9200000000,31.4500000000,30.6000000000,43584823,1344531129.6800,2.777779,105.783599,24.599650,41.907753,-548.988421
12,2007-08-06,sz.002142,31.0000000000,31.1800000000,30.0000000000,30.5700000000,31.4500000000,33719079,1027897691.5300,-2.798095,102.823674,22.655087,40.735135,-47.114052
13,2007-08-07,sz.002142,30.4000000000,30.4000000000,29.4500000000,29.7700000000,30.5700000000,26969323,804214182.8000,-2.616942,100.132835,22.062216,39.669119,-45.881103
14,2007-08-08,sz.002142,29.2000000000,30.5000000000,28.9000000000,29.4800000000,29.7700000000,24031820,715001402.5000,-0.974138,99.157406,21.847300,39.282689,-45.434159
