,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-08-13,sz.002152,69.2900000000,84.8000000000,69.0000000000,78.2800000000,16.8800000000,21829203,1606374061.4200,363.744100,69.383251,35.377685,19.114110,562.220483
1,2007-08-14,sz.002152,78.7900000000,85.3000000000,77.7000000000,81.8800000000,78.2800000000,8766874,710207687.1000,4.598874,72.574101,37.004661,19.993144,588.076305
2,2007-08-15,sz.002152,80.9900000000,81.9900000000,78.5100000000,79.5800000000,81.8800000000,4257859,340211470.6200,-2.808983,70.535502,35.965204,19.431539,571.557308
3,2007-08-16,sz.002152,78.0000000000,79.4000000000,74.0000000000,76.4800000000,79.5800000000,4189425,318425265.2400,-3.895449,67.787826,34.564197,18.674593,549.292572
4,2007-08-17,sz.002152,75.5200000000,81.0000000000,74.8200000000,78.9800000000,76.4800000000,2531117,197962400.9800,3.268828,70.003694,35.694042,19.285033,567.248004
5,2007-08-20,sz.002152,81.0000000000,86.5000000000,80.1600000000,84.9500000000,78.9800000000,2975640,250769135.5700,7.558867,75.295186,38.392110,20.742765,610.125575
6,2007-08-21,sz.002152,83.7100000000,84.8000000000,82.5000000000,83.9000000000,84.9500000000,1985950,165445999.9400,-1.236016,74.364522,37.917575,20.486380,602.584294
7,2007-08-22,sz.002152,82.5100000000,86.0000000000,81.5200000000,82.8800000000,83.9000000000,1687354,140469613.4400,-1.215738,73.460448,37.456599,20.237320,595.258478
8,2007-08-23,sz.002152,83.4000000000,84.0000000000,80.6500000000,81.0100000000,82.8800000000,1969643,160468540.9900,-2.256268,71.802979,36.611475,19.780711,581.827815
9,2007-08-24,sz.002152,81.0800000000,82.9000000000,79.1000000000,82.6000000000,81.0100000000,1582026,128484134.2200,1.962716,73.212270,37.330056,20.168951,593.247469
10,2007-08-27,sz.002152,82.3000000000,86.9800000000,80.5000000000,86.7000000000,82.6000000000,2316331,194562439.5300,4.963678,76.846294,39.183001,21.170073,622.694378
11,2007-08-28,sz.002152,85.9900000000,86.0000000000,83.2000000000,84.0000000000,86.7000000000,1301809,109988932.1700,-3.114183,74.453156,37.962769,20.510798,603.302511
12,2007-08-29,sz.002152,83.4000000000,88.5000000000,82.3000000000,85.2300000000,84.0000000000,1642686,141835903.9200,1.464290,75.543363,38.518652,20.811134,612.136584
13,2007-08-30,sz.002152,85.6100000000,85.9500000000,83.5300000000,84.3900000000,85.2300000000,1084239,91870865.8500,-0.985573,74.798832,38.139025,20.606026,606.103558
14,2007-08-31,sz.002152,84.5000000000,85.3800000000,82.7000000000,83.6000000000,84.3900000000,876555,73242233.4300,-0.936131,74.098618,37.781994,20.413127,600.429642
15,2007-09-03,sz.002152,83.8800000000,84.7700000000,82.0100000000,82.9300000000,83.6000000000,1043918,87134772.7800,-0.801433,73.504765,37.479196,20.249529,595.617586
16,2007-09-04,sz.002152,82.9000000000,83.2000000000,78.6000000000,78.6000000000,82.9300000000,1210596,98054152.7700,-5.221273,69.666882,35.522305,19.192246,564.518778
17,2007-09-05,sz.002152,79.0000000000,82.2100000000,79.0000000000,81.4500000000,78.6000000000,1094683,88242313.4100,3.625952,72.192971,36.810328,19.888148,584.987971
18,2007-09-06,sz.002152,81.6000000000,82.1600000000,78.8800000000,80.2900000000,81.4500000000,1568966,125731849.3800,-1.424182,71.164809,36.286080,19.604904,576.656650
19,2007-09-07,sz.002152,79.2200000000,80.0000000000,76.7500000000,78.6600000000,80.2900000000,1186050,92297180.7100,-2.030137,69.720063,35.549421,19.206897,564.949709
20,2007-09-10,sz.002152,77.6900000000,77.6900000000,74.5000000000,75.8000000000,78.6600000000,1152820,86916290.6300,-3.635902,67.185110,34.256880,18.508553,544.408695
21,2007-09-11,sz.002152,75.9900000000,77.9900000000,72.5000000000,73.0000000000,75.8000000000,825181,62744288.7700,-3.693935,64.703338,32.991454,17.824860,524.298611
22,2007-09-12,sz.002152,74.0000000000,75.1000000000,70.6100000000,74.8000000000,73.0000000000,939550,68681802.0600,2.465758,66.298763,33.804942,18.264377,537.226522
23,2007-09-13,sz.002152,74.8000000000,75.4400000000,72.5900000000,74.8600000000,74.8000000000,784173,57708972.1900,0.080211,66.351944,33.832058,18.279027,537.657452
24,2007-09-14,sz.002152,74.7800000000,78.0000000000,73.5000000000,77.7700000000,74.8600000000,1156804,88538735.6500,3.887251,68.931214,35.147197,18.989580,558.557575
25,2007-09-17,sz.002152,75.8800000000,77.9000000000,75.8800000000,77.5000000000,77.7700000000,745515,57038275.8700,-0.347173,68.691900,35.025174,18.923652,556.618388
26,2007-09-18,sz.002152,76.2800000000,77.4000000000,73.5100000000,74.5000000000,77.5000000000,718741,53762089.2200,-3.870968,66.032859,33.669361,18.191124,535.071870
27,2007-09-19,sz.002152,74.4600000000,77.6800000000,74.0100000000,75.0200000000,74.5000000000,943633,71981265.8700,0.697982,66.493759,33.904368,18.318096,538.806600
28,2007-09-20,sz.002152,74.9900000000,77.7300000000,74.6000000000,77.5000000000,75.0200000000,898515,68662629.2600,3.305790,68.691900,35.025174,18.923652,556.618388
29,2007-09-21,sz.002152,77.5000000000,78.6800000000,75.6100000000,78.4000000000,77.5000000000,730588,56602951.3300,1.161292,69.489613,35.431918,19.143411,563.082344
30,2007-09-24,sz.002152,78.4800000000,78.5000000000,76.2500000000,77.4000000000,78.4000000000,327740,25322237.2800,-1.275510,68.603266,34.979980,18.899235,555.900171
31,2007-09-25,sz.002152,77.4000000000,77.4000000000,77.4000000000,77.4000000000,77.4000000000,0,0.0000,0.000000,68.603266,34.979980,18.899235,555.900171
32,2007-09-26,sz.002152,77.3300000000,77.3300000000,73.3200000000,74.3900000000,77.4000000000,539706,40344084.2100,-3.888892,65.935361,33.619647,18.164265,534.281831
33,2007-09-27,sz.002152,74.0600000000,76.0000000000,73.8100000000,75.1000000000,74.3900000000,418682,31509425.3500,0.954428,66.564667,33.940523,18.337630,539.381174
34,2007-09-28,sz.002152,76.1000000000,80.5000000000,74.9900000000,78.9800000000,75.1000000000,797796,62182096.4200,5.166451,70.003694,35.694042,19.285033,567.248004
35,2007-10-08,sz.002152,80.5100000000,82.4500000000,79.0000000000,79.6300000000,78.9800000000,658177,53169210.7100,0.822985,70.579820,35.987801,19.443748,571.916416
36,2007-10-09,sz.002152,79.6300000000,87.5900000000,77.8800000000,87.5900000000,79.6300000000,1518608,128882528.1900,9.996232,77.635142,39.585225,21.387390,629.086511
37,2007-10-10,sz.002152,88.2500000000,95.2500000000,88.2500000000,92.0000000000,87.5900000000,1604441,147843568.6800,5.034826,81.543933,41.578271,22.464207,660.759893
38,2007-10-11,sz.002152,91.0000000000,96.2500000000,89.0200000000,94.0800000000,92.0000000000,963005,89793291.0500,2.260872,83.387535,42.518301,22.972093,675.698812
39,2007-10-12,sz.002152,95.0800000000,97.0000000000,88.3200000000,92.8800000000,94.0800000000,1015259,93646607.5300,-1.275515,82.323919,41.975976,22.679082,667.080205
40,2007-10-15,sz.002152,93.0000000000,93.6600000000,88.3100000000,89.1900000000,92.8800000000,1342661,120868193.3300,-3.972863,79.053298,40.308326,21.778072,640.577988
41,2007-10-16,sz.002152,89.1900000000,91.0000000000,87.2000000000,88.9500000000,89.1900000000,664702,58939290.9000,-0.269095,78.840575,40.199861,21.719470,638.854266
42,2007-10-17,sz.002152,89.2000000000,91.6600000000,88.0000000000,90.0900000000,88.9500000000,459283,41382310.3000,1.281618,79.851010,40.715070,21.997830,647.041943
43,2007-10-18,sz.002152,90.0900000000,90.1200000000,85.8100000000,86.1000000000,90.0900000000,462404,40230134.8300,-4.428902,76.314485,38.911838,21.023567,618.385074
44,2007-10-19,sz.002152,86.5800000000,93.5000000000,86.5800000000,89.5000000000,86.1000000000,581920,52752853.1100,3.948899,79.328065,40.448426,21.853766,642.804461
45,2007-10-22,sz.002152,87.0100000000,94.6900000000,87.0100000000,90.0500000000,89.5000000000,544357,49672208.9000,0.614529,79.815556,40.696992,21.988063,646.754656
46,2007-10-23,sz.002152,90.7000000000,92.9900000000,87.5200000000,90.8000000000,90.0500000000,341919,30828709.2100,0.832871,80.480317,41.035945,22.171195,652.141286
