,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2008-05-12,sz.002230,28.2100000000,31.1700000000,28.2100000000,30.3100000000,12.6600000000,18212540,541669795.9100,139.415500,57.343910,21.282622,14.600541,-154.021467
1,2008-05-13,sz.002230,30.4500000000,33.3400000000,30.4100000000,33.3400000000,30.3100000000,4998231,159771423.3900,9.996703,63.076409,23.410182,16.060114,-169.418532
2,2008-05-14,sz.002230,34.2000000000,34.9800000000,32.3000000000,33.9500000000,33.3400000000,4922130,164265608.9000,1.829636,64.230477,23.838502,16.353955,-172.518271
3,2008-05-15,sz.002230,33.4500000000,35.9000000000,33.4500000000,34.0000000000,33.9500000000,4635873,160713642.4000,0.147273,64.325073,23.873611,16.378040,-172.772348
4,2008-05-16,sz.002230,33.5000000000,35.2900000000,32.7000000000,32.9600000000,34.0000000000,3477867,117697746.3600,-3.058826,62.357482,23.143359,15.877065,-167.487547
5,2008-05-19,sz.002230,33.4900000000,36.2600000000,33.0500000000,36.2600000000,32.9600000000,2706178,94316536.5300,10.012130,68.600798,25.460504,17.466698,-184.256628
6,2008-05-20,sz.002230,36.8800000000,38.1700000000,35.2600000000,36.5000000000,36.2600000000,3350159,123501299.1300,0.661891,69.054857,25.629023,17.582308,-185.476197
7,2008-05-21,sz.002230,36.7000000000,37.0000000000,34.8000000000,36.8500000000,36.5000000000,2727333,98212403.8100,0.958900,69.717027,25.874781,17.750905,-187.254736
8,2008-05-22,sz.002230,36.0000000000,37.2000000000,35.0100000000,35.6800000000,36.8500000000,2299376,83469082.6400,-3.175029,67.503488,25.053248,17.187308,-181.309335
9,2008-05-23,sz.002230,35.0800000000,37.6300000000,35.0800000000,37.4000000000,35.6800000000,2350531,86204254.7100,4.820631,70.757580,26.260972,18.015844,-190.049583
10,2008-05-26,sz.002230,37.0000000000,37.8000000000,35.9000000000,36.1800000000,37.4000000000,1072142,39240214.6400,-3.262035,68.449445,25.404330,17.428162,-183.850105
11,2008-05-27,sz.002230,35.8700000000,36.6000000000,34.3000000000,34.5000000000,36.1800000000,1002699,35070271.8000,-4.643450,65.271030,24.224693,16.618894,-175.313118
12,2008-05-28,sz.002230,34.5600000000,35.8000000000,33.5100000000,35.0000000000,34.5000000000,898586,31234459.7000,1.449275,66.216987,24.575776,16.859747,-177.853888
13,2008-05-29,sz.002230,34.6000000000,36.5000000000,34.4000000000,36.1900000000,35.0000000000,837634,30003547.7800,3.399996,68.468364,25.411352,17.432979,-183.900920
14,2008-05-30,sz.002230,35.8000000000,37.1800000000,35.8000000000,36.6900000000,36.1900000000,807523,29505652.0500,1.381597,69.414321,25.762434,17.673832,-186.441690
15,2008-06-02,sz.002230,36.4800000000,36.5600000000,35.2100000000,36.2600000000,36.6900000000,487290,17483471.4800,-1.171982,68.600798,25.460504,17.466698,-184.256628
16,2008-06-03,sz.002230,36.1000000000,39.7500000000,36.0200000000,38.6800000000,36.2600000000,1597372,61035620.6400,6.674026,73.179230,27.159743,18.632429,-196.553954
17,2008-06-04,sz.002230,38.4500000000,38.7500000000,37.0300000000,38.2600000000,38.6800000000,881802,33519118.7400,-1.085838,72.384626,26.864834,18.430112,-194.419707
18,2008-06-05,sz.002230,37.7000000000,38.8800000000,37.0500000000,38.5000000000,38.2600000000,567628,21575724.3900,0.627291,72.838685,27.033353,18.545722,-195.639277
19,2008-06-06,sz.002230,39.1900000000,39.7500000000,38.2500000000,38.8000000000,38.5000000000,634327,24751934.1200,0.779219,73.406259,27.244003,18.690234,-197.163738
20,2008-06-10,sz.002230,37.6600000000,38.4900000000,35.0000000000,36.8800000000,38.8000000000,1176500,42927016.1400,-4.948449,69.773785,25.895846,17.765357,-187.407182
21,2008-06-11,sz.002230,36.0100000000,36.9600000000,34.5000000000,35.9000000000,36.8800000000,1232929,44124564.0500,-2.657265,67.919709,25.207724,17.293284,-182.427274
22,2008-06-12,sz.002230,35.4300000000,35.9000000000,34.0300000000,35.6000000000,35.9000000000,700601,24486150.5100,-0.835663,67.352135,24.997075,17.148771,-180.902812
23,2008-06-13,sz.002230,35.4100000000,35.4500000000,32.3100000000,32.9900000000,35.6000000000,1469408,49327860.5100,-7.331452,62.414240,23.164424,15.891516,-167.639993
24,2008-06-16,sz.002230,32.6100000000,32.9900000000,30.0100000000,32.2000000000,32.9900000000,1820979,56927761.5900,-2.394668,60.919628,22.609714,15.510967,-163.625577
25,2008-06-17,sz.002230,31.6100000000,32.1900000000,30.2800000000,30.3000000000,32.2000000000,345980,10744426.6600,-5.900626,57.324991,21.275600,14.595724,-153.970651
26,2008-06-18,sz.002230,30.0200000000,31.9700000000,28.6000000000,31.8900000000,30.3000000000,631943,19211650.2400,5.247526,60.333134,22.392042,15.361638,-162.050300
27,2008-06-19,sz.002230,31.0000000000,31.4500000000,28.7200000000,29.5800000000,31.8900000000,531042,15755302.4800,-7.243648,55.962813,20.770041,14.248895,-150.311943
28,2008-06-20,sz.002230,29.2500000000,31.4000000000,27.7100000000,30.3400000000,29.5800000000,487879,14484567.5800,2.569304,57.400668,21.303687,14.614992,-154.173913
29,2008-06-23,sz.002230,29.5000000000,30.1900000000,29.0000000000,29.8500000000,30.3400000000,348145,10318036.7800,-1.615029,56.473630,20.959626,14.378956,-151.683959
30,2008-06-24,sz.002230,29.7000000000,31.4900000000,29.3000000000,31.4000000000,29.8500000000,558432,17197718.7700,5.192627,59.406097,22.047982,15.125602,-159.560345
31,2008-06-25,sz.002230,31.0100000000,32.1800000000,30.5200000000,31.8000000000,31.4000000000,471032,14873547.8000,1.273884,60.162862,22.328848,15.318285,-161.592961
32,2008-06-26,sz.002230,31.8000000000,31.8800000000,30.3000000000,31.2000000000,31.8000000000,641741,19945631.5000,-1.886788,59.027714,21.907549,15.029260,-158.544037
33,2008-06-27,sz.002230,30.0000000000,30.8300000000,29.4000000000,29.4200000000,31.2000000000,381986,11565177.1400,-5.705130,55.660107,20.657695,14.171822,-149.498897
34,2008-06-30,sz.002230,29.5500000000,30.1800000000,28.5600000000,30.0900000000,29.4200000000,217617,6450682.8600,2.277363,56.927689,21.128145,14.494566,-152.903528
35,2008-07-01,sz.002230,30.0900000000,30.1000000000,29.0000000000,30.0000000000,30.0900000000,144180,4255158.0400,-0.299103,56.757417,21.064951,14.451212,-152.446190
36,2008-07-02,sz.002230,30.0000000000,30.9800000000,29.6100000000,30.5600000000,30.0000000000,197415,6020738.4000,1.866665,57.816889,21.458163,14.720968,-155.291852
37,2008-07-03,sz.002230,29.6800000000,32.0000000000,29.3300000000,31.6000000000,30.5600000000,511395,16040703.7800,3.403144,59.784479,22.188415,15.221943,-160.576653
38,2008-07-04,sz.002230,31.2000000000,31.3000000000,30.2000000000,30.5800000000,31.6000000000,215576,6619180.7200,-3.227850,57.854727,21.472206,14.730602,-155.393483
39,2008-07-07,sz.002230,31.4800000000,31.9600000000,30.8100000000,31.2100000000,30.5800000000,425147,13358120.2200,2.060167,59.046633,21.914570,15.034077,-158.594853
40,2008-07-08,sz.002230,31.3000000000,32.0000000000,31.2000000000,32.0000000000,31.2100000000,780133,24559413.5300,2.531243,60.541245,22.469281,15.414626,-162.609269
41,2008-07-09,sz.002230,32.4500000000,32.5000000000,30.9000000000,31.7100000000,32.0000000000,697438,21955923.8200,-0.906253,59.992590,22.265653,15.274931,-161.135622
42,2008-07-10,sz.002230,31.2000000000,34.3300000000,31.1200000000,33.8000000000,31.7100000000,1026309,33313270.6800,6.590982,63.946690,23.733178,16.281699,-171.756040
43,2008-07-11,sz.002230,32.6800000000,34.7500000000,32.6800000000,34.7000000000,33.8000000000,809875,27425337.7800,2.662726,65.649412,24.365126,16.715235,-176.329426
44,2008-07-14,sz.002230,34.6000000000,35.4600000000,34.1200000000,35.0000000000,34.7000000000,697997,24377452.5400,0.864551,66.216987,24.575776,16.859747,-177.853888
45,2008-07-15,sz.002230,34.9000000000,35.0500000000,32.8000000000,33.8000000000,35.0000000000,367863,12426968.5200,-3.428574,63.946690,23.733178,16.281699,-171.756040
46,2008-07-16,sz.002230,33.2000000000,33.7000000000,31.3500000000,32.2000000000,33.8000000000,246096,7952946.8200,-4.733724,60.919628,22.609714,15.510967,-163.625577
47,2008-07-17,sz.002230,32.6900000000,32.7800000000,31.3600000000,31.3600000000,32.2000000000,165303,5300707.9200,-2.608696,59.330420,22.019895,15.106334,-159.357083
48,2008-07-18,sz.002230,31.3900000000,32.3200000000,31.0100000000,32.0500000000,31.3600000000,141839,4488330.9000,2.200251,60.635841,22.504389,15.438711,-162.863346
49,2008-07-21,sz.002230,32.0500000000,33.4500000000,31.8000000000,33.1000000000,32.0500000000,314346,10338410.5600,3.276129,62.622350,23.241662,15.944504,-168.198962
50,2008-07-22,sz.002230,32.8000000000,33.4400000000,32.5100000000,32.6200000000,33.1000000000,129874,4257682.8000,-1.450150,61.714231,22.904623,15.713284,-165.759823
51,2008-07-23,sz.002230,32.3800000000,33.2300000000,32.3800000000,32.5700000000,32.6200000000,162320,5331235.9000,-0.153278,61.619636,22.869515,15.689199,-165.505746
52,2008-07-24,sz.002230,32.6400000000,33.1800000000,32.4600000000,32.7100000000,32.5700000000,462466,15259795.0800,0.429841,61.884504,22.967818,15.756638,-166.217162
53,2008-07-25,sz.002230,32.8000000000,34.3500000000,32.7100000000,33.5000000000,32.7100000000,311721,10435192.4800,2.415166,63.379116,23.522528,16.137187,-170.231578
54,2008-07-28,sz.002230,33.8000000000,34.3300000000,33.0200000000,34.0000000000,33.5000000000,291691,9865125.1400,1.492537,64.325073,23.873611,16.378040,-172.772348
55,2008-07-29,sz.002230,34.0000000000,34.0000000000,33.3300000000,33.7900000000,34.0000000000,137303,4618373.2600,-0.617644,63.927771,23.726156,16.276882,-171.705225
56,2008-07-30,sz.002230,33.5000000000,33.8000000000,31.8100000000,31.9900000000,33.7900000000,430802,14081071.2800,-5.327023,62.824534,7.066488,16.290649,13.733431
57,2008-07-31,sz.002230,31.6000000000,32.2500000000,30.5000000000,30.5900000000,31.9900000000,375813,11592899.1500,-4.376366,60.075102,6.757232,15.577710,13.132405
58,2008-08-01,sz.002230,30.0000000000,31.6900000000,30.0000000000,31.0800000000,30.5900000000,263629,8053343.2400,1.601800,61.037403,6.865472,15.827239,13.342764
59,2008-08-04,sz.002230,30.5400000000,31.3500000000,30.4000000000,30.4400000000,31.0800000000,89760,2760872.9200,-2.059200,59.780520,6.724098,15.501324,13.068010
60,2008-08-05,sz.002230,30.7800000000,30.7800000000,30.1500000000,30.3200000000,30.4400000000,173037,5248123.2600,-0.394200,59.544854,6.697590,15.440215,13.016493
61,2008-08-06,sz.002230,30.2000000000,31.0000000000,29.2000000000,30.1500000000,30.3200000000,272672,8193410.3000,-0.560700,59.210994,6.660038,15.353644,12.943512
62,2008-08-07,sz.002230,30.4800000000,30.4800000000,29.3100000000,30.1000000000,30.1500000000,66600,1979940.0000,-0.165800,59.112800,6.648993,15.328182,12.922046
63,2008-08-08,sz.002230,30.1000000000,30.1000000000,28.0000000000,29.9700000000,30.1000000000,286285,8223369.0000,-0.431900,58.857496,6.620276,15.261980,12.866237
64,2008-08-11,sz.002230,28.7100000000,29.5400000000,28.5000000000,28.8000000000,29.9700000000,200318,5784081.6100,-3.903900,56.559756,6.361827,14.666167,12.363951
65,2008-08-12,sz.002230,25.9200000000,26.3500000000,25.9200000000,25.9200000000,28.8000000000,2383685,61869923.7900,-10.000000,50.903780,5.725644,13.199551,11.127556
66,2008-08-13,sz.002230,24.6500000000,25.5000000000,23.6000000000,25.0500000000,25.9200000000,1974039,47738470.0200,-3.356500,49.195204,5.533464,12.756510,10.754062
