,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2008-05-20,sz.002236,48.5000000000,49.7000000000,42.0000000000,42.0100000000,24.2400000000,9918108,459282335.4500,73.308580,31.600247,11.948251,6.474145,120.077359
1,2008-05-21,sz.002236,44.0000000000,46.2100000000,43.6000000000,46.2100000000,42.0100000000,3883133,174170944.2000,9.997622,34.759519,13.142791,7.121405,132.082237
2,2008-05-22,sz.002236,45.5000000000,47.5400000000,45.3600000000,46.7800000000,46.2100000000,3094864,144697548.6500,1.233499,35.188278,13.304908,7.209248,133.711470
3,2008-05-23,sz.002236,46.1000000000,47.2000000000,44.0000000000,44.0000000000,46.7800000000,2007746,91856110.1000,-5.942708,33.097140,12.514236,6.780823,125.765384
4,2008-05-26,sz.002236,42.7000000000,44.8200000000,41.3000000000,41.8800000000,44.0000000000,1083321,45973305.3300,-4.818180,31.502460,11.911277,6.454110,119.705779
5,2008-05-27,sz.002236,42.0000000000,43.3800000000,41.3800000000,42.5800000000,41.8800000000,648209,27516445.7100,1.671444,32.029005,12.110367,6.561987,121.706592
6,2008-05-28,sz.002236,42.1000000000,43.7500000000,41.8000000000,43.6000000000,42.5800000000,550596,23491652.6700,2.395483,32.796257,12.400470,6.719179,124.622063
7,2008-05-29,sz.002236,43.6000000000,47.7000000000,43.5500000000,46.1000000000,43.6000000000,1289680,59265055.7700,5.733945,34.676776,13.111506,7.104453,131.767823
8,2008-05-30,sz.002236,46.1000000000,48.5000000000,46.0000000000,46.5900000000,46.1000000000,853755,40384353.6600,1.062910,35.045358,13.250869,7.179967,133.168392
9,2008-06-02,sz.002236,46.6000000000,48.2000000000,46.0000000000,47.9000000000,46.5900000000,540688,25675906.0800,2.811765,36.030750,13.623452,7.381850,136.912771
10,2008-06-03,sz.002236,47.8400000000,51.7500000000,47.6600000000,50.2000000000,47.9000000000,1021757,51115192.0400,4.801668,37.760828,14.277605,7.736302,143.486870
11,2008-06-04,sz.002236,50.2000000000,50.9300000000,48.5700000000,50.0000000000,50.2000000000,573678,28348921.3400,-0.398408,37.610386,14.220722,7.705480,142.915209
12,2008-06-05,sz.002236,49.1000000000,52.4300000000,49.1000000000,49.8300000000,50.0000000000,579266,29343936.3800,-0.339996,37.482511,14.172372,7.679282,142.429298
13,2008-06-06,sz.002236,49.5600000000,51.2700000000,49.5600000000,51.2500000000,49.8300000000,473614,23819092.5700,2.849685,38.550646,14.576240,7.898117,146.488090
14,2008-06-10,sz.002236,50.0000000000,50.6800000000,46.1300000000,47.3300000000,51.2500000000,953633,45911140.1000,-7.648777,35.601992,13.461336,7.294008,135.283537
15,2008-06-11,sz.002236,47.0100000000,48.0000000000,44.7100000000,45.4000000000,47.3300000000,969507,44719167.2200,-4.077752,34.150231,12.912416,6.996576,129.767010
16,2008-06-12,sz.002236,45.0000000000,45.8600000000,43.5000000000,45.3200000000,45.4000000000,396987,17756636.6400,-0.176215,34.090054,12.889663,6.984248,129.538346
17,2008-06-13,sz.002236,45.3600000000,46.9700000000,43.7000000000,44.3300000000,45.3200000000,435781,19658197.9800,-2.184461,33.345369,12.608092,6.831679,126.708625
18,2008-06-16,sz.002236,44.9900000000,44.9900000000,39.9000000000,39.9100000000,44.3300000000,1467274,60405931.2900,-9.970678,30.020610,11.350980,6.150515,114.074920
19,2008-06-17,sz.002236,39.1800000000,40.4800000000,37.0100000000,37.9000000000,39.9100000000,562233,21477401.6100,-5.036328,28.508673,10.779307,5.840754,108.329729
20,2008-06-18,sz.002236,37.9000000000,40.8100000000,37.0000000000,40.4000000000,37.9000000000,551736,21704181.3400,6.596306,30.389192,11.490344,6.226028,115.475489
21,2008-06-19,sz.002236,39.6100000000,40.3000000000,36.3600000000,36.3600000000,40.4000000000,670035,24936378.4800,-10.000000,27.350273,10.341309,5.603425,103.927940
22,2008-06-20,sz.002236,36.3600000000,39.0000000000,34.0800000000,37.6000000000,36.3600000000,391202,14515670.7300,3.410335,28.283011,10.693983,5.794521,107.472237
23,2008-06-23,sz.002236,36.0000000000,38.0000000000,35.5200000000,36.8800000000,37.6000000000,134596,4958124.5600,-1.914887,27.741421,10.489205,5.683562,105.414258
24,2008-06-24,sz.002236,36.1800000000,38.4000000000,36.1800000000,38.3900000000,36.8800000000,171903,6528982.8800,4.094356,28.877255,10.918671,5.916268,109.730298
25,2008-06-25,sz.002236,38.0100000000,39.9400000000,38.0100000000,39.5300000000,38.3900000000,260496,10228698.6300,2.969522,29.734772,11.242903,6.091953,112.988765
26,2008-06-26,sz.002236,39.5300000000,39.5300000000,39.5300000000,39.5300000000,39.5300000000,0,0.0000,0.000000,29.734772,11.242903,6.091953,112.988765
27,2008-06-27,sz.002236,37.0000000000,38.3100000000,35.7000000000,36.2700000000,39.5300000000,330186,12187952.4000,-8.246897,27.282574,10.315712,5.589556,103.670693
28,2008-06-30,sz.002236,35.9000000000,36.2200000000,34.6100000000,36.0000000000,36.2700000000,153684,5440339.9600,-0.744418,27.079478,10.238920,5.547946,102.898951
29,2008-07-01,sz.002236,35.9800000000,36.7600000000,35.2500000000,36.2100000000,36.0000000000,91234,3269590.6400,0.583331,27.237442,10.298647,5.580309,103.499195
30,2008-07-02,sz.002236,36.4000000000,36.7600000000,35.7500000000,36.7000000000,36.2100000000,110411,4026763.9600,1.353222,27.606024,10.438010,5.655823,104.899764
31,2008-07-03,sz.002236,36.1500000000,39.4500000000,35.1000000000,38.4000000000,36.7000000000,196983,7490889.9400,4.632154,28.884777,10.921515,5.917809,109.758881
32,2008-07-04,sz.002236,37.8200000000,38.8500000000,37.5100000000,38.3800000000,38.4000000000,94308,3605668.9000,-0.052085,28.869733,10.915826,5.914727,109.701715
33,2008-07-07,sz.002236,38.5800000000,39.7800000000,37.8200000000,39.4200000000,38.3800000000,195465,7667272.7200,2.709737,29.652029,11.211617,6.075001,112.674351
34,2008-07-08,sz.002236,39.7000000000,40.4000000000,38.8000000000,40.0000000000,39.4200000000,352753,14092042.5400,1.471339,30.088309,11.376578,6.164384,114.332168
35,2008-07-09,sz.002236,40.1200000000,41.0000000000,39.4100000000,40.5100000000,40.0000000000,193841,7786677.6300,1.274996,30.471935,11.521629,6.242980,115.789903
36,2008-07-10,sz.002236,39.6100000000,41.2800000000,39.1900000000,39.8800000000,40.5100000000,321251,12920853.7000,-1.555165,29.998044,11.342448,6.145891,113.989171
37,2008-07-11,sz.002236,39.7800000000,40.0000000000,39.1100000000,39.6000000000,39.8800000000,154695,6128946.6000,-0.702113,29.787426,11.262812,6.102741,113.188846
38,2008-07-14,sz.002236,39.5000000000,40.0800000000,38.9800000000,39.7700000000,39.6000000000,67516,2677504.9100,0.429298,29.915301,11.311162,6.128939,113.674758
39,2008-07-15,sz.002236,39.7700000000,40.0000000000,38.0000000000,38.9900000000,39.7700000000,171296,6651866.6200,-1.961274,29.328579,11.089319,6.008734,111.445280
40,2008-07-16,sz.002236,38.7600000000,38.7600000000,35.7800000000,36.5000000000,38.9900000000,281620,10328674.1300,-6.386257,27.455582,10.381127,5.625001,104.328103
41,2008-07-17,sz.002236,37.0100000000,37.3900000000,35.5300000000,36.3500000000,36.5000000000,279090,10194244.0100,-0.410963,27.342751,10.338465,5.601884,103.899357
42,2008-07-18,sz.002236,36.0100000000,36.9800000000,35.3300000000,36.8500000000,36.3500000000,247708,8984289.2800,1.375516,27.718855,10.480672,5.678939,105.328509
43,2008-07-21,sz.002236,36.2000000000,38.5000000000,35.9000000000,38.1000000000,36.8500000000,231165,8478894.9200,3.392131,26.101311,10.836190,4.801049,108.901390
44,2008-07-22,sz.002236,37.8800000000,38.2500000000,37.1000000000,37.9600000000,38.1000000000,120739,4576309.6200,-0.367453,26.005400,10.796372,4.783408,108.501227
45,2008-07-23,sz.002236,37.5600000000,38.3300000000,37.2000000000,37.2000000000,37.9600000000,86430,3252217.7100,-2.002103,25.484744,10.580217,4.687639,106.328916
46,2008-07-24,sz.002236,37.2100000000,39.5000000000,37.2100000000,39.0000000000,37.2000000000,315025,12186533.4000,4.838707,26.717877,11.092163,4.914460,111.473863
47,2008-07-25,sz.002236,38.1000000000,39.1500000000,38.0000000000,38.9900000000,39.0000000000,133414,5158426.8100,-0.025637,26.711026,11.089319,4.913200,111.445280
48,2008-07-28,sz.002236,39.1000000000,40.6900000000,38.7300000000,40.6500000000,38.9900000000,533346,21365593.7800,4.257501,27.848249,11.561447,5.122379,116.190065
49,2008-07-29,sz.002236,40.3800000000,41.8000000000,39.4400000000,41.7800000000,40.6500000000,407812,16681341.4100,2.779821,28.622382,11.882835,5.264773,119.419949
50,2008-07-30,sz.002236,41.6900000000,42.1800000000,40.8000000000,41.7000000000,41.7800000000,247178,10259938.1600,-0.191474,28.567576,11.860082,5.254692,119.191285
51,2008-07-31,sz.002236,41.0200000000,41.8000000000,39.6100000000,40.0000000000,41.7000000000,186250,7529114.2000,-4.076741,27.402951,11.376578,5.040472,114.332168
52,2008-08-01,sz.002236,39.6200000000,41.3000000000,39.5000000000,40.4800000000,40.0000000000,188778,7640212.6800,1.200000,27.731786,11.513097,5.100957,115.704154
53,2008-08-04,sz.002236,40.0600000000,40.6400000000,39.5500000000,39.5500000000,40.4800000000,117784,4723548.0600,-2.297400,27.094668,11.248591,4.983767,113.045931
54,2008-08-05,sz.002236,39.5600000000,40.0000000000,38.7100000000,39.2800000000,39.5500000000,130070,5080709.7700,-0.682700,26.909698,11.171799,4.949743,112.274189
55,2008-08-06,sz.002236,39.0800000000,39.6400000000,37.9900000000,39.2800000000,39.2800000000,137369,5298369.5100,0.000000,26.909698,11.171799,4.949743,112.274189
56,2008-08-07,sz.002236,38.9800000000,39.3000000000,38.0000000000,38.9100000000,39.2800000000,128168,4953475.1000,-0.942000,26.656220,11.066566,4.903119,111.216616
57,2008-08-08,sz.002236,38.9900000000,39.2500000000,37.0000000000,37.0000000000,38.9100000000,120628,4591839.3500,-4.908800,25.347730,10.523334,4.662436,105.757255
58,2008-08-11,sz.002236,37.2200000000,37.8700000000,35.7100000000,36.4000000000,37.0000000000,122020,4431732.4000,-1.621600,24.936685,10.352686,4.586829,104.042272
59,2008-08-12,sz.002236,36.0000000000,37.2000000000,35.0000000000,37.2000000000,36.4000000000,302428,10974910.2600,2.197800,25.484744,10.580217,4.687639,106.328916
60,2008-08-13,sz.002236,36.9800000000,38.2000000000,36.0900000000,37.7000000000,37.2000000000,151443,5668279.1000,1.344100,25.827281,10.722425,4.750645,107.758068
61,2008-08-14,sz.002236,37.6800000000,38.1700000000,36.7100000000,38.0800000000,37.7000000000,121726,4581618.8400,1.008000,26.087609,10.830502,4.798529,108.844223
62,2008-08-15,sz.002236,37.9000000000,38.3600000000,37.8000000000,38.0000000000,38.0800000000,124996,4752390.2000,-0.210100,26.032803,10.807749,4.788448,108.615559
63,2008-08-18,sz.002236,37.3300000000,38.0200000000,36.0000000000,36.0000000000,38.0000000000,63739,2331333.1000,-5.263200,24.662656,10.238920,4.536425,102.898951
64,2008-08-19,sz.002236,35.6000000000,36.0000000000,35.2000000000,35.9900000000,36.0000000000,163400,5799496.1900,-0.027800,24.655805,10.236076,4.535165,102.870368
65,2008-08-20,sz.002236,33.0000000000,37.9800000000,33.0000000000,37.7400000000,35.9900000000,2386133,83887160.2300,4.862500,25.854684,10.733801,4.755685,107.872400
66,2008-08-21,sz.002236,36.0000000000,38.2900000000,36.0000000000,38.0000000000,37.7400000000,987425,36763818.1000,0.688900,26.032803,10.807749,4.788448,108.615559
67,2008-08-22,sz.002236,37.6100000000,38.2500000000,36.0100000000,36.7000000000,38.0000000000,338060,12416348.7100,-3.421100,25.142207,10.438010,4.624633,104.899764
68,2008-08-25,sz.002236,36.8700000000,36.9800000000,34.8000000000,35.0000000000,36.7000000000,450109,15961718.3800,-4.632200,23.876638,3.567586,4.410413,6.943700
69,2008-08-26,sz.002236,34.2200000000,35.6800000000,34.2200000000,35.3800000000,35.0000000000,451251,15805129.9800,1.085700,24.135870,3.606320,4.458297,7.019089
70,2008-08-27,sz.002236,35.3500000000,35.8000000000,34.0000000000,34.8000000000,35.3800000000,199098,6892385.2000,-1.639300,23.740200,3.547200,4.385210,6.904022
71,2008-08-28,sz.002236,34.7500000000,34.8500000000,33.3300000000,34.8000000000,34.8000000000,155058,5301007.9500,0.000000,23.740200,3.547200,4.385210,6.904022
