,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2008-08-06,sz.002266,22.0100000000,23.9000000000,22.0100000000,23.6200000000,14.2900000000,24851317,573453079.6300,65.290420,31.455711,12.646808,5.827706,511.408644
1,2008-08-07,sz.002266,24.3200000000,24.6800000000,22.5000000000,22.6000000000,23.6200000000,10237821,241889169.6700,-4.318400,30.097336,12.100672,5.576044,489.324105
2,2008-08-08,sz.002266,22.0700000000,24.0600000000,21.9800000000,23.0000000000,22.6000000000,9972343,231652171.1400,1.769900,30.630032,12.314843,5.674735,497.984709
3,2008-08-11,sz.002266,22.9000000000,24.1800000000,22.3000000000,24.0000000000,23.0000000000,8766624,205936289.8500,4.347800,31.961772,12.850271,5.921462,519.636218
4,2008-08-12,sz.002266,24.0000000000,24.4700000000,22.8000000000,22.9000000000,24.0000000000,5615267,133015910.6600,-4.583300,30.496858,12.261300,5.650062,495.819558
5,2008-08-13,sz.002266,22.3000000000,22.3500000000,20.6100000000,20.6100000000,22.9000000000,7061563,148080915.9200,-10.000000,27.447172,11.035170,5.085056,446.237602
6,2008-08-14,sz.002266,21.4000000000,22.6700000000,21.4000000000,22.6700000000,20.6100000000,4024274,88759118.0400,9.995100,30.190558,12.138152,5.593315,490.839711
7,2008-08-15,sz.002266,22.5000000000,23.4400000000,21.9100000000,22.8400000000,22.6700000000,3833237,87478885.3100,0.749900,30.416953,12.229174,5.635258,494.520467
8,2008-08-18,sz.002266,22.7000000000,22.7500000000,20.6000000000,20.7200000000,22.8400000000,2777194,59673407.4200,-9.282000,27.593664,11.094067,5.112196,448.619268
9,2008-08-19,sz.002266,20.0100000000,21.1900000000,19.6000000000,20.3000000000,20.7200000000,2471759,50085724.2600,-2.027000,27.034332,10.869187,5.008570,439.525634
10,2008-08-20,sz.002266,19.9900000000,21.8900000000,19.1000000000,21.3600000000,20.3000000000,4142119,86106531.9500,5.221700,28.445977,11.436741,5.270102,462.476234
11,2008-08-21,sz.002266,20.6000000000,20.9800000000,19.2200000000,19.2300000000,21.3600000000,3443365,69150726.1100,-9.971900,25.609370,10.296280,4.744572,416.358519
12,2008-08-22,sz.002266,18.7500000000,19.5900000000,18.3100000000,18.6200000000,19.2300000000,2165013,40561072.6300,-3.172100,24.797008,9.969669,4.594068,403.151099
13,2008-08-25,sz.002266,18.5800000000,19.4800000000,18.5000000000,18.7200000000,18.6200000000,1012801,19175460.4300,0.537100,24.930182,10.023211,4.618741,405.316250
14,2008-08-26,sz.002266,18.4100000000,18.7000000000,17.0600000000,17.5100000000,18.7200000000,2112416,37700143.4800,-6.463700,23.318776,9.375343,4.320200,379.117924
15,2008-08-27,sz.002266,17.8000000000,17.8000000000,16.6500000000,17.0200000000,17.5100000000,1310020,22529121.3300,-2.798400,22.666224,9.112984,4.199304,368.508684
16,2008-08-28,sz.002266,16.7200000000,17.6600000000,16.7200000000,17.4700000000,17.0200000000,1200731,20859107.4400,2.643900,23.265507,9.353926,4.310331,378.251863
17,2008-08-29,sz.002266,17.4500000000,18.1400000000,17.3100000000,17.8800000000,17.4700000000,823643,14680396.1200,2.346900,23.811520,9.573452,4.411490,387.128982
18,2008-09-01,sz.002266,17.5700000000,18.2400000000,17.2200000000,17.6900000000,17.8800000000,592171,10500144.7700,-1.062600,23.558490,9.471721,4.364611,383.015195
19,2008-09-02,sz.002266,17.3500000000,17.8900000000,17.3100000000,17.8500000000,17.6900000000,568253,10000385.3900,0.904500,23.771568,9.557389,4.404088,386.479437
20,2008-09-03,sz.002266,17.7800000000,17.8800000000,17.0000000000,17.4100000000,17.8500000000,741419,12817145.9900,-2.465000,23.185602,9.321801,4.295528,376.952773
21,2008-09-04,sz.002266,17.4000000000,17.8800000000,17.1600000000,17.3000000000,17.4100000000,449385,7845934.6000,-0.631800,23.039111,9.262904,4.268388,374.571107
