,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2009-10-21,sz.002299,27.4000000000,27.8000000000,26.2300000000,26.2500000000,19.7500000000,21884443,593695329.2500,32.911390,60.448819,14.257444,8.056902,56.529971
1,2009-10-22,sz.002299,26.0100000000,28.5000000000,25.8000000000,28.3900000000,26.2500000000,15902598,430918234.7900,8.152400,65.376837,15.419765,8.713731,61.138510
2,2009-10-23,sz.002299,27.7100000000,28.0800000000,27.1800000000,27.4700000000,28.3900000000,11731281,324209281.3800,-3.240600,63.258250,14.920076,8.431356,59.157269
3,2009-10-26,sz.002299,27.2900000000,27.4000000000,26.3500000000,26.6000000000,27.4700000000,5692261,151767642.6900,-3.167100,61.254804,14.447543,8.164327,57.283704
4,2009-10-27,sz.002299,26.4800000000,27.1700000000,25.9000000000,26.6600000000,26.6000000000,5496975,145888335.8400,0.225600,61.392972,14.480132,8.182743,57.412915
5,2009-10-28,sz.002299,26.3000000000,27.1500000000,26.0300000000,27.0600000000,26.6600000000,4671504,124453497.1600,1.500374,62.314097,14.697388,8.305515,58.274324
6,2009-10-29,sz.002299,26.7000000000,26.7700000000,25.6000000000,25.6100000000,27.0600000000,4381506,114410524.4400,-5.358500,58.975020,13.909834,7.860467,55.151716
7,2009-10-30,sz.002299,25.9900000000,26.4800000000,25.2600000000,25.6000000000,25.6100000000,5758326,148956814.8800,-0.039000,58.951991,13.904403,7.857397,55.130181
8,2009-11-02,sz.002299,24.9300000000,25.7800000000,24.8000000000,25.5100000000,25.6000000000,4013602,101361331.3900,-0.351600,58.744738,13.855520,7.829774,54.936364
9,2009-11-03,sz.002299,25.4800000000,25.9000000000,25.3500000000,25.6200000000,25.5100000000,3494535,89492206.0100,0.431200,58.998048,13.915266,7.863536,55.173252
10,2009-11-04,sz.002299,25.6200000000,25.8900000000,25.3500000000,25.4800000000,25.6200000000,3272874,83920022.1000,-0.546400,58.675654,13.839226,7.820566,54.871758
11,2009-11-05,sz.002299,25.5800000000,25.8800000000,25.3000000000,25.8000000000,25.4800000000,3510270,89770958.6400,1.255900,59.412554,14.013031,7.918783,55.560886
12,2009-11-06,sz.002299,25.8800000000,25.9200000000,25.6500000000,25.6700000000,25.8000000000,2910970,74983915.4800,-0.503900,59.113188,13.942423,7.878882,55.280928
13,2009-11-09,sz.002299,25.5500000000,25.8800000000,25.3000000000,25.8800000000,25.6700000000,3056649,78115117.4700,0.818100,59.596779,14.056482,7.943338,55.733168
14,2009-11-10,sz.002299,25.9900000000,26.0900000000,25.7200000000,25.7400000000,25.8800000000,2871789,74358705.7500,-0.541000,59.274385,13.980442,7.900368,55.431674
15,2009-11-11,sz.002299,25.7000000000,25.7000000000,25.2500000000,25.4000000000,25.7400000000,2118512,53794512.0200,-1.320900,58.491429,13.795775,7.796012,54.699477
16,2009-11-12,sz.002299,25.4000000000,25.6300000000,25.3100000000,25.3800000000,25.4000000000,1796523,45806993.4700,-0.078700,58.445373,13.784912,7.789873,54.656406
17,2009-11-13,sz.002299,25.5000000000,25.9000000000,25.3800000000,25.8600000000,25.3800000000,2692328,69079404.1100,1.891300,59.550723,14.045619,7.937199,55.690097
18,2009-11-16,sz.002299,25.8500000000,26.3500000000,25.7400000000,26.2300000000,25.8600000000,4110963,107254744.2700,1.430800,60.402763,14.246581,8.050763,56.486900
19,2009-11-17,sz.002299,26.2300000000,26.2400000000,25.8000000000,25.9800000000,26.2300000000,2884551,74849591.5300,-0.953100,59.827060,14.110796,7.974031,55.948520
20,2009-11-18,sz.002299,26.0000000000,26.0700000000,25.7600000000,25.9900000000,25.9800000000,2611806,67654372.3800,0.038500,59.850088,14.116228,7.977100,55.970055
21,2009-11-19,sz.002299,26.0400000000,26.6000000000,25.9200000000,26.4100000000,25.9900000000,4251194,111747020.2200,1.616000,60.817269,14.344347,8.106010,56.874535
22,2009-11-20,sz.002299,26.4100000000,26.4100000000,26.4100000000,26.4100000000,26.4100000000,0,0.0000,0.000000,60.817269,14.344347,8.106010,56.874535
23,2009-11-23,sz.002299,26.3900000000,27.3800000000,26.3900000000,27.2000000000,26.4100000000,5212327,140279652.0500,2.991300,62.636491,14.773428,8.348485,58.575818
24,2009-11-24,sz.002299,27.2700000000,27.3000000000,25.4000000000,25.5000000000,27.2000000000,4900025,129667647.6700,-6.250000,58.721710,13.850089,7.826704,54.914829
25,2009-11-25,sz.002299,25.4000000000,26.4900000000,25.3400000000,26.3000000000,25.5000000000,3267847,84895331.1200,3.137300,60.563960,14.284601,8.072248,56.637647
26,2009-11-26,sz.002299,26.3500000000,26.3900000000,25.3000000000,25.3400000000,26.3000000000,3580449,92247945.8900,-3.650200,58.353260,13.763186,7.777596,54.570265
27,2009-11-27,sz.002299,25.3700000000,26.2300000000,25.3500000000,26.0500000000,25.3400000000,4176337,107622462.7800,2.801900,59.988257,14.148816,7.995516,56.099266
28,2009-11-30,sz.002299,26.1200000000,26.7800000000,25.8100000000,26.6900000000,26.0500000000,3898709,102687210.8400,2.456800,61.462057,14.496426,8.191951,57.477521
29,2009-12-01,sz.002299,26.6800000000,26.7700000000,26.2000000000,26.7000000000,26.6900000000,3548272,93904380.2800,0.037500,61.485085,14.501858,8.195020,57.499056
30,2009-12-02,sz.002299,26.7900000000,26.9200000000,26.4100000000,26.5500000000,26.7000000000,3908909,104220277.6300,-0.561800,61.139663,14.420386,8.148981,57.176028
31,2009-12-03,sz.002299,26.6000000000,27.6800000000,26.4300000000,27.3200000000,26.5500000000,6515427,177773505.9600,2.900200,62.912828,14.838605,8.385316,58.834240
32,2009-12-04,sz.002299,27.3000000000,27.3000000000,25.5200000000,26.2200000000,27.3200000000,5207550,138045333.5100,-4.026400,60.379735,14.241150,8.047694,56.465365
33,2009-12-07,sz.002299,26.1000000000,26.6700000000,26.0000000000,26.2900000000,26.2200000000,2518559,66441149.7100,0.267000,60.540932,14.279170,8.069179,56.616112
34,2009-12-08,sz.002299,26.3000000000,26.4500000000,25.5500000000,25.9900000000,26.2900000000,2500534,64829890.8700,-1.141100,59.850088,14.116228,7.977100,55.970055
35,2009-12-09,sz.002299,25.9000000000,26.3500000000,25.6100000000,26.1000000000,25.9900000000,2137512,55796406.5400,0.423200,60.103398,14.175973,8.010862,56.206943
36,2009-12-10,sz.002299,26.1300000000,26.4300000000,26.1000000000,26.3100000000,26.1000000000,1820915,47863800.7500,0.804600,60.586988,14.290033,8.075317,56.659182
37,2009-12-11,sz.002299,26.4200000000,26.8000000000,26.2000000000,26.2600000000,26.3100000000,2081929,55146361.7300,-0.190000,60.471848,14.262876,8.059971,56.551506
38,2009-12-14,sz.002299,26.1900000000,26.3600000000,25.5100000000,25.8800000000,26.2600000000,1646814,42461651.9600,-1.447100,59.596779,14.056482,7.943338,55.733168
