,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-05-18,sz.002407,39.0000000000,39.3900000000,37.0100000000,37.4100000000,39.3900000000,6959275,265407825.4300,-5.026655,50.100647,10.598005,5.138378,24.518428
1,2010-05-19,sz.002407,38.5000000000,41.1500000000,38.1500000000,41.1500000000,37.4100000000,8924128,359342672.4400,9.997300,55.109372,11.657522,5.652079,26.969616
2,2010-05-20,sz.002407,41.3000000000,42.9900000000,40.2000000000,41.1000000000,41.1500000000,10114015,419079182.0700,-0.121500,55.042411,11.643357,5.645211,26.936846
3,2010-05-21,sz.002407,38.9800000000,45.2100000000,38.8000000000,45.2100000000,41.1000000000,8761542,372862075.1200,10.000000,60.546652,12.807693,6.209732,29.630531
4,2010-05-24,sz.002407,45.6100000000,49.7300000000,45.5500000000,48.5000000000,45.2100000000,8243217,396239648.2700,7.277200,64.952723,13.739728,6.661624,31.786789
5,2010-05-25,sz.002407,48.5000000000,50.2100000000,46.9300000000,48.2300000000,48.5000000000,8230238,398518976.6000,-0.556700,64.591131,13.663239,6.624539,31.609832
6,2010-05-26,sz.002407,47.7600000000,48.7700000000,46.5000000000,47.4000000000,48.2300000000,5106667,243047923.1100,-1.720900,63.479569,13.428106,6.510536,31.065852
7,2010-05-27,sz.002407,47.4100000000,49.7300000000,46.1100000000,49.0000000000,47.4000000000,6766650,327637609.6200,3.375500,65.622339,13.881375,6.730300,32.114488
8,2010-05-28,sz.002407,48.4000000000,48.5500000000,45.7700000000,46.1800000000,49.0000000000,6896076,323866444.9000,-5.755100,61.845706,13.082488,6.342965,30.266266
9,2010-05-31,sz.002407,47.2300000000,50.6000000000,46.8100000000,46.9700000000,46.1800000000,6627157,322023124.7700,1.710700,62.903699,13.306290,6.451474,30.784031
10,2010-06-01,sz.002407,46.8000000000,48.4000000000,44.5000000000,47.0600000000,46.9700000000,4797202,222396569.6600,0.191600,63.024230,13.331786,6.463835,30.843016
11,2010-06-02,sz.002407,46.8800000000,51.7700000000,45.4500000000,51.6600000000,47.0600000000,7255617,355788570.9900,9.774800,69.184694,14.634935,7.095660,33.857846
12,2010-06-03,sz.002407,51.0000000000,53.4800000000,50.1800000000,50.6900000000,51.6600000000,5976167,308088380.4400,-1.877700,67.885640,14.360141,6.962427,33.222110
13,2010-06-04,sz.002407,50.1800000000,52.5000000000,49.4900000000,52.0400000000,50.6900000000,3628587,185440425.0200,2.663200,69.693602,14.742587,7.147854,34.106897
14,2010-06-07,sz.002407,51.0000000000,54.5000000000,50.9500000000,53.3500000000,52.0400000000,4365457,229748648.0200,2.517300,71.447996,15.113701,7.327786,34.965468
15,2010-06-08,sz.002407,53.0000000000,53.9000000000,51.7000000000,52.1100000000,53.3500000000,3343997,175693222.3000,-2.324300,69.787349,14.762417,7.157469,34.152775
16,2010-06-09,sz.002407,52.1100000000,53.1900000000,50.8000000000,51.4400000000,52.1100000000,3424093,177875264.4800,-1.285746,68.890064,14.572611,7.065442,33.713658
17,2010-06-10,sz.002407,51.0000000000,53.8800000000,51.0000000000,52.9200000000,51.4400000000,3781123,198430349.7100,2.877100,70.872126,14.991885,7.268724,34.683647
18,2010-06-11,sz.002407,53.0500000000,53.5000000000,51.5600000000,51.8000000000,52.9200000000,2870953,149948353.8300,-2.116400,69.372187,14.674597,7.114889,33.949602
19,2010-06-17,sz.002407,52.2000000000,52.9000000000,46.8800000000,47.1100000000,51.8000000000,4711626,231849296.2300,-9.054100,63.091192,13.345951,6.470703,30.875786
20,2010-06-18,sz.002407,46.8800000000,47.5400000000,45.3900000000,46.1200000000,47.1100000000,2853181,132876725.0100,-2.101500,61.765352,13.065490,6.334724,30.226943
21,2010-06-21,sz.002407,46.0000000000,47.9900000000,44.6000000000,47.7900000000,46.1200000000,2326643,108923572.5000,3.621000,64.001869,13.538590,6.564103,31.321457
22,2010-06-22,sz.002407,47.3000000000,49.5300000000,47.0000000000,48.3900000000,47.7900000000,2661486,128615762.4000,1.255500,64.805408,13.708566,6.646515,31.714695
23,2010-06-23,sz.002407,47.8900000000,48.9000000000,47.0000000000,48.2000000000,48.3900000000,1849011,88589271.4400,-0.392600,64.550954,13.654740,6.620418,31.590170
24,2010-06-24,sz.002407,48.8000000000,49.4500000000,48.1500000000,48.7000000000,48.2000000000,1895016,92689060.4400,1.037300,65.220569,13.796387,6.689095,31.917869
25,2010-06-25,sz.002407,48.2000000000,48.2000000000,46.3300000000,47.1600000000,48.7000000000,1407754,66464477.8000,-3.162200,63.158153,13.360115,6.477571,30.908556
26,2010-06-28,sz.002407,46.8800000000,47.2900000000,45.0300000000,45.3000000000,47.1600000000,1348766,62160098.8000,-3.944000,60.667183,12.833190,6.222094,29.689516
27,2010-06-29,sz.002407,45.5000000000,45.9500000000,42.2200000000,42.3100000000,45.3000000000,2013192,88020689.0400,-6.600400,56.662881,11.986142,5.811408,27.729877
28,2010-06-30,sz.002407,41.5100000000,42.0900000000,40.7500000000,41.6500000000,42.3100000000,1417548,58682848.4700,-1.559900,55.778988,11.799169,5.720755,27.297315
29,2010-07-01,sz.002407,41.9000000000,42.6000000000,41.2800000000,41.6300000000,41.6500000000,1578410,66284010.5500,-0.048000,55.752203,11.793503,5.718008,27.284207
30,2010-07-02,sz.002407,41.2900000000,41.6700000000,39.8100000000,41.2100000000,41.6300000000,1745263,71026700.3500,-1.008900,55.189726,11.674520,5.660320,27.008940
