,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-06-03,sz.002422,83.3600000000,93.1800000000,82.1700000000,89.6400000000,83.3600000000,36645732,3162385197.0600,7.533587,47.233297,12.950467,6.326925,270.684879
1,2010-06-04,sz.002422,92.0000000000,92.4800000000,87.2200000000,90.6100000000,89.6400000000,17004360,1534418293.6800,1.082100,47.744412,13.090604,6.395389,273.613977
2,2010-06-07,sz.002422,88.0300000000,95.9800000000,87.4300000000,94.3200000000,90.6100000000,10624434,983549557.3900,4.094500,49.699293,13.626595,6.657247,284.817021
3,2010-06-08,sz.002422,94.0000000000,94.3000000000,91.3300000000,92.8500000000,94.3200000000,5146536,478346864.1400,-1.558500,48.924717,13.414222,6.553492,280.378079
4,2010-06-09,sz.002422,92.8800000000,95.3400000000,92.2800000000,93.2800000000,92.8500000000,4354044,407298437.9800,0.463113,49.151294,13.476345,6.583842,281.676545
5,2010-06-10,sz.002422,93.0000000000,99.1700000000,92.6500000000,97.9000000000,93.2800000000,5545282,536959269.9200,4.952800,51.585674,14.143805,6.909929,295.627506
6,2010-06-11,sz.002422,98.0000000000,99.9300000000,97.1000000000,97.6900000000,97.9000000000,3574903,351297829.6200,-0.214500,51.475020,14.113466,6.895107,294.993372
7,2010-06-17,sz.002422,98.0900000000,98.5000000000,89.0000000000,89.0100000000,97.6900000000,7100638,657859869.0600,-8.885200,46.901336,12.859449,6.282459,268.782475
8,2010-06-18,sz.002422,88.0000000000,89.0000000000,84.1000000000,87.1000000000,89.0100000000,4506257,391769298.4500,-2.145800,45.894915,12.583508,6.147648,263.014870
9,2010-06-21,sz.002422,86.1000000000,91.9800000000,85.3300000000,90.9000000000,87.1000000000,2838922,253781675.3600,4.362800,47.897219,13.132501,6.415858,274.489686
10,2010-06-22,sz.002422,90.1300000000,94.1700000000,90.0400000000,91.3200000000,90.9000000000,2103292,194448613.9000,0.462000,48.118526,13.193180,6.445502,275.757956
11,2010-06-23,sz.002422,90.6500000000,93.3000000000,90.5500000000,92.9300000000,91.3200000000,2103731,193906760.8400,1.763000,48.966871,13.425779,6.559139,280.619654
12,2010-06-24,sz.002422,92.8000000000,96.8400000000,92.0000000000,96.4000000000,92.9300000000,2977375,283181359.8700,3.734000,50.795291,13.927097,6.804056,291.097973
13,2010-06-25,sz.002422,95.9100000000,98.2900000000,95.0100000000,96.4100000000,96.4000000000,3042463,294161140.6700,0.010400,50.800560,13.928542,6.804762,291.128170
14,2010-06-28,sz.002422,95.9800000000,100.4800000000,95.3200000000,97.2700000000,96.4100000000,3107904,305213307.0200,0.892000,51.253713,14.052788,6.865462,293.725102
15,2010-06-29,sz.002422,97.2700000000,97.2700000000,97.2700000000,97.2700000000,97.2700000000,0,0.0000,0.000000,51.253713,14.052788,6.865462,293.725102
16,2010-06-30,sz.002422,92.8200000000,95.3800000000,89.5100000000,93.8000000000,97.2700000000,3428919,317453503.1300,-3.567400,49.425293,13.551470,6.620544,283.246783
17,2010-07-01,sz.002422,92.8000000000,94.0000000000,89.0000000000,89.0100000000,93.8000000000,2181362,198223921.9000,-5.106600,46.901336,12.859449,6.282459,268.782475
18,2010-07-02,sz.002422,88.0600000000,89.2700000000,83.2000000000,86.9000000000,89.0100000000,2380400,205769582.3900,-2.370500,45.789531,12.554613,6.133532,262.410932
19,2010-07-05,sz.002422,85.8000000000,89.8800000000,85.0000000000,89.2100000000,86.9000000000,1426779,125901014.2400,2.658200,47.006721,12.888344,6.296575,269.386413
20,2010-07-06,sz.002422,88.9000000000,92.5600000000,88.6500000000,91.0800000000,89.2100000000,1468319,133608117.9700,2.096200,47.992065,13.158506,6.428563,275.033230
21,2010-07-07,sz.002422,92.4000000000,92.4000000000,88.0000000000,90.7000000000,91.0800000000,1188222,106712933.9000,-0.417200,47.791835,13.103607,6.401742,273.885749
22,2010-07-08,sz.002422,92.0000000000,96.5800000000,90.7800000000,95.8200000000,90.7000000000,1995879,186959608.9900,5.645000,50.489676,13.843303,6.763119,289.346554
23,2010-07-09,sz.002422,95.3100000000,97.8900000000,94.8200000000,96.7500000000,95.8200000000,2076460,200560915.5600,0.970600,50.979714,13.977662,6.828760,292.154864
24,2010-07-12,sz.002422,96.7800000000,98.8700000000,95.4100000000,97.0000000000,96.7500000000,1464609,141924343.5700,0.258400,51.111444,14.013780,6.846405,292.909786
25,2010-07-13,sz.002422,95.5200000000,96.7700000000,93.4000000000,94.8000000000,97.0000000000,1379826,130597198.8600,-2.268000,49.952215,13.695942,6.691126,286.266472
26,2010-07-14,sz.002422,94.8500000000,98.6800000000,94.2000000000,95.2000000000,94.8000000000,1243158,120005332.9300,0.421900,50.162984,13.753731,6.719359,287.474347
27,2010-07-15,sz.002422,95.4900000000,96.7800000000,90.2100000000,90.3000000000,95.2000000000,1546137,143870347.0800,-5.147100,47.581066,13.045818,6.373509,272.677873
28,2010-07-16,sz.002422,89.5000000000,91.9600000000,89.0300000000,91.4000000000,90.3000000000,970861,88053307.2300,1.218160,48.160680,13.204737,6.451149,275.999531
29,2010-07-19,sz.002422,90.9800000000,95.6000000000,90.2000000000,95.4000000000,91.4000000000,1546460,144984617.2600,4.376400,50.268369,13.782625,6.733475,288.078285
30,2010-07-20,sz.002422,95.5000000000,104.1800000000,95.3200000000,100.9500000000,95.4000000000,5186493,518632115.0500,5.817600,53.192786,14.584445,7.125202,304.837556
31,2010-07-21,sz.002422,101.0000000000,103.9500000000,100.0300000000,100.9400000000,100.9500000000,3678018,373837964.3400,-0.009900,53.187517,14.583000,7.124496,304.807359
32,2010-07-22,sz.002422,101.8100000000,106.4400000000,101.0200000000,105.7000000000,100.9400000000,3028602,315681634.0000,4.715700,55.695666,15.270686,7.460464,319.181077
33,2010-07-23,sz.002422,105.7700000000,105.8000000000,102.2600000000,104.8000000000,105.7000000000,2780106,288819358.6000,-0.851500,55.221436,15.140662,7.396941,316.463357
34,2010-07-26,sz.002422,104.8000000000,105.8000000000,103.0000000000,104.8900000000,104.8000000000,1794267,187152707.7800,0.085900,55.268859,15.153664,7.403293,316.735129
35,2010-07-27,sz.002422,104.6600000000,107.9700000000,104.5200000000,106.8000000000,104.8900000000,1761249,187162977.6700,1.821000,56.275281,15.429605,7.538104,322.502734
36,2010-07-28,sz.002422,105.2800000000,108.1000000000,103.0700000000,106.4800000000,106.8000000000,2210548,234670697.9600,-0.299600,56.106666,15.383374,7.515518,321.536434
37,2010-07-29,sz.002422,106.5000000000,106.5000000000,103.5000000000,105.8000000000,106.4800000000,1977647,207018576.8300,-0.638600,55.748359,15.285134,7.467522,319.483045
38,2010-07-30,sz.002422,105.9000000000,108.4500000000,105.0000000000,108.2100000000,105.8000000000,2171620,233651525.2000,2.277900,57.018241,15.633311,7.637624,326.760495
39,2010-08-02,sz.002422,109.2000000000,110.5000000000,108.0100000000,108.1800000000,108.2100000000,1639181,178685377.2500,-0.027700,57.002433,15.628977,7.635506,326.669904
40,2010-08-03,sz.002422,107.9300000000,110.5000000000,107.5600000000,107.6900000000,108.1800000000,1695466,184292769.6300,-0.452900,56.744241,15.558186,7.600921,325.190257
41,2010-08-04,sz.002422,107.9100000000,108.5000000000,104.4000000000,107.1100000000,107.6900000000,2143108,226234448.2900,-0.538600,56.438627,15.474392,7.559984,323.438837
42,2010-08-05,sz.002422,106.9000000000,109.4000000000,105.8000000000,106.8000000000,107.1100000000,1489234,160488536.9300,-0.289400,56.275281,15.429605,7.538104,322.502734
43,2010-08-06,sz.002422,106.3500000000,108.5100000000,105.1000000000,108.2700000000,106.8000000000,1344398,143997933.1500,1.376400,57.049856,15.641979,7.641859,326.941676
44,2010-08-09,sz.002422,108.9700000000,113.4800000000,108.4000000000,113.4500000000,108.2700000000,2135794,238425083.6200,4.784300,59.779313,16.390344,8.007471,342.583663
45,2010-08-10,sz.002422,113.4500000000,113.4900000000,103.5000000000,103.8000000000,113.4500000000,3207742,346790388.6100,-8.505900,54.694514,14.996190,7.326359,313.443668
46,2010-08-11,sz.002422,103.8800000000,107.2600000000,103.8800000000,107.0000000000,103.8000000000,1887122,199821479.3500,3.082900,56.380665,15.458500,7.552220,323.106672
47,2010-08-12,sz.002422,105.3500000000,107.3700000000,104.6000000000,104.8100000000,107.0000000000,1723436,182248724.7300,-2.046700,55.226706,15.142106,7.397647,316.493554
48,2010-08-13,sz.002422,105.4000000000,107.3800000000,104.3800000000,107.0000000000,104.8100000000,1084332,115137623.8000,2.089500,56.380665,15.458500,7.552220,323.106672
49,2010-08-16,sz.002422,106.6000000000,109.3900000000,106.0000000000,107.5100000000,107.0000000000,1217258,131814784.4000,0.476600,56.649395,15.532181,7.588217,324.646713
50,2010-08-17,sz.002422,107.8000000000,109.4000000000,106.1000000000,109.2000000000,107.5100000000,1424477,152675419.1000,1.571900,57.539894,15.776338,7.707500,329.749986
51,2010-08-18,sz.002422,108.8000000000,110.5000000000,107.3800000000,109.8900000000,109.2000000000,1442336,157554807.0300,0.631900,57.903470,15.876024,7.756201,331.833571
52,2010-08-19,sz.002422,109.3000000000,115.2000000000,108.8000000000,111.3000000000,109.8900000000,2510795,283243210.5800,1.283100,58.646430,16.079729,7.855721,336.091332
53,2010-08-20,sz.002422,110.0000000000,111.0200000000,106.5600000000,108.1400000000,111.3000000000,1541867,166956098.4500,-2.839200,56.981356,15.623198,7.632683,326.549117
54,2010-08-23,sz.002422,108.2000000000,108.8100000000,105.1100000000,106.2000000000,108.1400000000,1299731,138451460.2400,-1.794000,55.959127,15.342922,7.495755,320.690921
55,2010-08-24,sz.002422,106.7000000000,110.8000000000,105.6500000000,109.6900000000,106.2000000000,1829531,198868805.6400,3.286300,50.662524,3.988551,7.394188,5.790935
56,2010-08-25,sz.002422,109.0900000000,111.6500000000,107.0000000000,107.1500000000,109.6900000000,1320908,144340046.9300,-2.315600,49.489374,3.896191,7.222967,5.656840
57,2010-08-26,sz.002422,107.9800000000,112.5000000000,107.5000000000,112.5000000000,107.1500000000,2045282,226061494.6300,4.993000,51.960379,4.090728,7.583610,5.939286
58,2010-08-27,sz.002422,113.0000000000,117.7500000000,112.4000000000,116.1200000000,112.5000000000,2042132,234000020.9800,3.217800,53.632348,4.222358,7.827634,6.130399
59,2010-08-30,sz.002422,116.7700000000,119.4900000000,115.8000000000,116.8500000000,116.1200000000,2393214,281493703.8600,0.628700,53.969514,4.248903,7.876843,6.168938
60,2010-08-31,sz.002422,116.1000000000,118.1300000000,114.8100000000,115.6300000000,116.8500000000,1498123,174001685.4500,-1.044100,53.406032,4.204541,7.794603,6.104530
61,2010-09-01,sz.002422,115.9100000000,116.9900000000,111.7000000000,112.3900000000,115.6300000000,2728088,309937932.8600,-2.802000,51.909573,4.086728,7.576195,5.933478
62,2010-09-02,sz.002422,113.0100000000,119.9400000000,112.0000000000,118.6000000000,112.3900000000,2035446,237139816.3700,5.525400,54.777786,4.312536,7.994810,6.261327
63,2010-09-03,sz.002422,116.3100000000,121.1000000000,115.1600000000,117.4900000000,118.6000000000,4738923,561441575.8800,-0.935900,54.265110,4.272174,7.919985,6.202726
64,2010-09-06,sz.002422,118.3300000000,119.3700000000,114.0000000000,115.5000000000,117.4900000000,2766298,321252112.2100,-1.693800,53.345989,4.199814,7.785840,6.097667
65,2010-09-07,sz.002422,115.8800000000,119.0000000000,115.0500000000,117.8600000000,115.5000000000,1382050,162842787.3400,2.043300,54.436002,4.285628,7.944927,6.222260
66,2010-09-08,sz.002422,117.4000000000,118.7900000000,116.5500000000,117.9100000000,117.8600000000,1135402,133516265.2700,0.042426,54.459096,4.287446,7.948297,6.224899
67,2010-09-09,sz.002422,118.1000000000,121.8600000000,116.6100000000,116.9900000000,117.9100000000,1513264,179979382.6400,-0.780300,54.034175,4.253993,7.886280,6.176329
68,2010-09-10,sz.002422,116.7000000000,118.0000000000,113.7100000000,116.3000000000,116.9900000000,2604749,301748969.2300,-0.589800,53.715485,4.228904,7.839767,6.139901
69,2010-09-13,sz.002422,116.9800000000,118.3500000000,115.0100000000,118.3500000000,116.3000000000,1418821,165629603.5200,1.762700,54.662319,4.303446,7.977958,6.248128
70,2010-09-14,sz.002422,118.5000000000,118.7200000000,115.6000000000,116.2500000000,118.3500000000,1023607,119396678.3800,-1.774400,53.692392,4.227085,7.836397,6.137262
71,2010-09-15,sz.002422,116.4000000000,116.9500000000,110.9100000000,111.1000000000,116.2500000000,1721704,197067566.5200,-4.430100,51.313761,4.039821,7.489236,5.865374
72,2010-09-16,sz.002422,112.0000000000,113.9000000000,108.0000000000,110.2200000000,111.1000000000,2074228,231209000.2600,-0.792100,50.907315,4.007822,7.429915,5.818916
73,2010-09-17,sz.002422,110.3300000000,111.4800000000,108.0100000000,110.5000000000,110.2200000000,923975,101876525.8300,0.254000,51.036639,4.018004,7.448790,5.833698
74,2010-09-20,sz.002422,110.5300000000,113.6200000000,110.0000000000,111.7100000000,110.5000000000,1153686,129179043.5400,1.095000,51.595502,4.062002,7.530356,5.897579
75,2010-09-21,sz.002422,112.0500000000,116.4900000000,111.5300000000,116.0300000000,111.7100000000,1509644,172606598.3600,3.867200,53.590780,4.219086,7.821567,6.125647
76,2010-09-27,sz.002422,116.9900000000,122.3800000000,116.6400000000,122.2800000000,116.0300000000,2062589,248679719.2700,5.386500,56.477468,4.446348,8.242878,6.455607
77,2010-09-28,sz.002422,121.0000000000,123.7900000000,120.4500000000,122.0000000000,122.2800000000,1109671,135058484.4700,-0.229000,56.348144,4.436167,8.224004,6.440825
78,2010-09-29,sz.002422,122.0000000000,123.0000000000,119.8000000000,122.2200000000,122.0000000000,1298399,156920649.5800,0.180300,56.449756,4.444167,8.238834,6.452440
79,2010-09-30,sz.002422,121.7700000000,122.9900000000,121.5100000000,122.7600000000,122.2200000000,951691,116329906.6600,0.441800,56.699165,4.463802,8.275235,6.480948
80,2010-10-08,sz.002422,123.7000000000,124.8800000000,122.1100000000,123.7500000000,122.7600000000,1578498,194571433.1700,0.806500,57.156417,4.499801,8.341971,6.533214
81,2010-10-11,sz.002422,123.4000000000,123.4000000000,116.7000000000,118.3600000000,123.7500000000,3103446,369571589.0300,-4.355600,54.666937,4.303809,7.978632,6.248656
82,2010-10-12,sz.002422,117.3000000000,120.3900000000,116.0000000000,116.0000000000,118.3600000000,1797175,211841668.5100,-1.993900,53.576924,4.217995,7.819545,6.124063
83,2010-10-13,sz.002422,116.1900000000,116.9000000000,112.0100000000,113.3000000000,116.0000000000,2684349,304707044.6800,-2.327600,52.329875,4.119817,7.637538,5.981520
84,2010-10-14,sz.002422,113.3500000000,114.5800000000,111.8800000000,112.0100000000,113.3000000000,2075442,234695963.7400,-1.138600,51.734063,4.072910,7.550579,5.913417
85,2010-10-15,sz.002422,112.4900000000,114.4900000000,111.0000000000,111.8000000000,112.0100000000,1589829,178681621.3600,-0.187500,51.637070,4.065274,7.536423,5.902330
86,2010-10-18,sz.002422,110.5000000000,113.5000000000,106.0100000000,113.4000000000,111.8000000000,2449224,268776321.7900,1.431100,52.376062,4.123454,7.644279,5.986800
87,2010-10-19,sz.002422,112.6800000000,115.9600000000,112.0100000000,115.8400000000,113.4000000000,1472440,168805896.1300,2.151700,53.503025,4.212177,7.808759,6.115616
88,2010-10-20,sz.002422,114.2800000000,116.9000000000,112.8000000000,114.9800000000,115.8400000000,2107858,241196016.9200,-0.742400,53.105817,4.180906,7.750786,6.070214
89,2010-10-21,sz.002422,114.9600000000,115.3400000000,112.6900000000,113.9000000000,114.9800000000,970138,110427802.1400,-0.939300,52.606997,4.141635,7.677984,6.013197
90,2010-10-22,sz.002422,113.7000000000,119.2000000000,113.2200000000,118.9800000000,113.9000000000,1752111,204947898.4800,4.460100,54.953297,4.326354,8.020426,6.281388
91,2010-10-25,sz.002422,119.9900000000,121.9900000000,117.0000000000,119.5500000000,118.9800000000,1657817,198145678.0500,0.479100,55.216563,4.347080,8.058850,6.311481
92,2010-10-26,sz.002422,120.3000000000,121.0000000000,115.2100000000,116.1800000000,119.5500000000,2347081,273917352.2600,-2.818900,47.064638,4.109731,7.442445,6.758092
93,2010-10-27,sz.002422,116.9700000000,119.0000000000,115.2000000000,115.7000000000,116.1800000000,1507112,175582521.1800,-0.413200,46.870189,4.092751,7.411696,6.730171
94,2010-10-28,sz.002422,115.9500000000,116.8800000000,114.0100000000,116.1700000000,115.7000000000,1381936,159623262.0600,0.406200,47.060587,4.109377,7.441804,6.757511
95,2010-10-29,sz.002422,116.1800000000,118.4500000000,114.2100000000,117.8300000000,116.1700000000,1583118,184952978.2900,1.428900,47.733054,4.168098,7.548143,6.854071
96,2010-11-01,sz.002422,117.3600000000,124.5800000000,116.2200000000,122.0800000000,117.8300000000,3139908,382134414.3300,3.606900,49.454734,4.318436,7.820397,7.101290
97,2010-11-02,sz.002422,122.6600000000,122.6600000000,119.1000000000,119.3300000000,122.0800000000,1703903,205941097.1600,-2.252600,48.340706,4.221158,7.644233,6.941325
98,2010-11-03,sz.002422,118.9300000000,122.8800000000,117.6500000000,120.0800000000,119.3300000000,1429856,172310699.1000,0.628500,48.644532,4.247689,7.692277,6.984952
99,2010-11-04,sz.002422,120.0800000000,132.0900000000,119.5100000000,132.0900000000,120.0800000000,3875649,496248108.7500,10.001700,53.509795,4.672528,8.461633,7.683564
100,2010-11-05,sz.002422,132.0000000000,136.3800000000,130.6600000000,134.4100000000,132.0900000000,2946683,392928966.8300,1.756400,54.449629,4.754596,8.610252,7.818516
101,2010-11-08,sz.002422,133.6100000000,138.5300000000,133.0000000000,135.9000000000,134.4100000000,2004925,271889153.1600,1.108500,55.053230,4.807303,8.705700,7.905188
102,2010-11-09,sz.002422,135.0000000000,138.2600000000,133.1000000000,138.0000000000,135.9000000000,1502967,204015951.3900,1.545300,55.903942,4.881588,8.840226,8.027343
103,2010-11-10,sz.002422,138.2500000000,150.0000000000,138.2000000000,143.0000000000,138.0000000000,3166317,459817259.1500,3.623200,57.929447,5.058457,9.160524,8.318189
104,2010-11-11,sz.002422,144.5900000000,146.8000000000,141.4200000000,142.0000000000,143.0000000000,1890862,272368476.3300,-0.699300,57.524346,5.023083,9.096464,8.260020
105,2010-11-12,sz.002422,140.2200000000,150.1900000000,140.1500000000,144.0100000000,142.0000000000,3740688,540551009.5200,1.415500,58.338599,5.094184,9.225224,8.376940
106,2010-11-15,sz.002422,143.7000000000,155.9600000000,143.7000000000,155.5300000000,144.0100000000,2869891,432515724.2300,7.999400,63.005363,5.501691,9.963190,9.047049
107,2010-11-16,sz.002422,155.1000000000,158.5100000000,146.0000000000,147.2500000000,155.5300000000,3139011,476697503.4200,-5.323700,59.651127,5.208795,9.432777,8.565408
108,2010-11-17,sz.002422,145.2000000000,149.3500000000,138.0900000000,138.8200000000,147.2500000000,2760019,397145915.3900,-5.725000,56.236125,4.910594,8.892754,8.075042
109,2010-11-18,sz.002422,139.6000000000,142.5600000000,136.5000000000,141.5000000000,138.8200000000,1829760,256172363.0400,1.930600,57.321796,5.005396,9.064434,8.230935
110,2010-11-19,sz.002422,142.1100000000,155.2100000000,139.9000000000,155.2000000000,141.5000000000,3098843,458647055.1300,9.682000,62.871680,5.490017,9.942051,9.027853
111,2010-11-22,sz.002422,154.0000000000,158.0000000000,149.2000000000,152.0000000000,155.2000000000,2757707,424616275.2100,-2.061900,61.575357,5.376821,9.737060,8.841711
112,2010-11-23,sz.002422,150.0000000000,159.7000000000,149.1500000000,157.7800000000,152.0000000000,3142014,490626382.1500,3.802600,63.916841,5.581282,10.107325,9.177929
113,2010-11-24,sz.002422,156.9000000000,161.8800000000,155.4100000000,161.8100000000,157.7800000000,1741770,276797432.1800,2.554200,65.549398,5.723838,10.365485,9.412351
114,2010-11-25,sz.002422,161.5000000000,163.7700000000,155.0000000000,156.4000000000,161.8100000000,2304541,364037970.2700,-3.343400,63.357801,5.532466,10.018922,9.097656
115,2010-11-26,sz.002422,155.3000000000,157.5500000000,153.3000000000,157.0000000000,156.4000000000,1442706,224223691.8300,0.383600,63.600862,5.553690,10.057358,9.132557
116,2010-11-29,sz.002422,157.2000000000,166.4900000000,155.5300000000,165.8100000000,157.0000000000,2435322,396077327.7100,5.611500,67.169802,5.865334,10.621723,9.645027
117,2010-11-30,sz.002422,165.0000000000,165.8100000000,153.5000000000,162.1000000000,165.8100000000,3354060,535940649.0800,-2.237500,65.666877,5.734097,10.384062,9.429220
118,2010-12-01,sz.002422,159.3000000000,162.3000000000,157.5000000000,158.3400000000,162.1000000000,1561641,248820267.8000,-2.319600,64.143697,5.601091,10.143198,9.210504
119,2010-12-02,sz.002422,160.2100000000,160.2100000000,155.6000000000,156.0000000000,158.3400000000,1513314,237515193.4600,-1.477800,63.195761,5.518316,9.993298,9.074388
120,2010-12-03,sz.002422,155.2000000000,156.0000000000,151.2500000000,153.1700000000,156.0000000000,1369336,209616195.8700,-1.814100,62.049325,5.418209,9.812010,8.909769
121,2010-12-06,sz.002422,153.1800000000,154.9800000000,146.5300000000,151.4000000000,153.1700000000,2092994,314804896.4600,-1.155600,61.332296,5.355597,9.698624,8.806810
122,2010-12-07,sz.002422,150.1600000000,157.1200000000,150.1600000000,154.8600000000,151.4000000000,1545514,239156851.7400,2.285300,62.733946,5.477990,9.920270,9.008075
123,2010-12-08,sz.002422,154.0100000000,156.8600000000,151.8800000000,152.0800000000,154.8600000000,1319734,203221790.5400,-1.795200,61.607765,5.379651,9.742185,8.846365
124,2010-12-09,sz.002422,151.0300000000,151.5000000000,147.2000000000,147.3500000000,152.0800000000,1357674,202280957.9300,-3.110200,59.691637,5.212333,9.439183,8.571225
125,2010-12-10,sz.002422,146.7000000000,155.5500000000,146.3500000000,152.9900000000,147.3500000000,1416392,215069642.0600,3.827600,61.976407,5.411841,9.800479,8.899299
126,2010-12-13,sz.002422,154.5000000000,162.0300000000,154.5000000000,159.7100000000,152.9900000000,1756925,280333271.9100,4.392400,64.698686,5.649553,10.230960,9.290196
127,2010-12-14,sz.002422,159.7300000000,161.6100000000,158.5100000000,160.0000000000,159.7100000000,973022,155896379.2200,0.181600,64.816165,5.659812,10.249537,9.307065
128,2010-12-15,sz.002422,160.0000000000,160.8100000000,157.1000000000,158.3900000000,160.0000000000,1044075,165748955.4900,-1.006300,64.163952,5.602860,10.146401,9.213412
129,2010-12-16,sz.002422,158.0100000000,165.5000000000,158.0100000000,161.9900000000,158.3900000000,1337474,218047817.6400,2.272900,65.622316,5.730206,10.377015,9.422821
