,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-06-10,sz.002429,31.5100000000,34.0000000000,31.5000000000,33.0100000000,30.0000000000,33736513,1111394700.9800,10.033330,56.208530,20.816156,5.229346,-83.421943
1,2010-06-11,sz.002429,32.0600000000,34.9400000000,32.0600000000,33.8900000000,33.0100000000,22104887,743990740.9400,2.665900,57.706970,21.371085,5.368753,-85.645854
2,2010-06-17,sz.002429,33.6800000000,33.9000000000,30.5000000000,30.5000000000,33.8900000000,14767737,467125050.5900,-10.003000,51.934570,19.233346,4.831719,-77.078741
3,2010-06-18,sz.002429,29.2800000000,29.7800000000,27.4500000000,27.4500000000,30.5000000000,8314889,233462425.8700,-10.000000,46.741113,17.310011,4.348547,-69.370867
4,2010-06-21,sz.002429,26.7100000000,27.3500000000,25.8200000000,27.1000000000,27.4500000000,6396244,171218927.0500,-1.275000,46.145143,17.089301,4.293101,-68.486357
5,2010-06-22,sz.002429,26.9100000000,27.8000000000,26.8500000000,27.1200000000,27.1000000000,4714548,128941661.3200,0.073800,46.179198,17.101913,4.296269,-68.536900
6,2010-06-23,sz.002429,27.4000000000,27.6600000000,26.5900000000,27.1000000000,27.1200000000,3834811,104148964.8500,-0.073700,46.145143,17.089301,4.293101,-68.486357
7,2010-06-24,sz.002429,26.8500000000,27.4000000000,26.8500000000,27.2100000000,27.1000000000,3464481,94147286.1000,0.405900,46.332448,17.158667,4.310527,-68.764346
8,2010-06-25,sz.002429,27.0100000000,27.0400000000,25.8000000000,25.9500000000,27.2100000000,4271135,112030784.8700,-4.630700,44.186954,16.364109,4.110922,-65.580109
9,2010-06-28,sz.002429,26.0000000000,26.1600000000,25.5000000000,25.5000000000,25.9500000000,3083585,79369662.4400,-1.734100,43.420706,16.080338,4.039634,-64.442882
10,2010-06-29,sz.002429,25.5000000000,25.6800000000,23.6100000000,23.6100000000,25.5000000000,4646760,113120313.7700,-7.411800,40.202466,14.888501,3.740226,-59.666527
11,2010-06-30,sz.002429,23.1500000000,23.4600000000,22.4600000000,22.9600000000,23.6100000000,3308611,75623933.0900,-2.753100,39.095663,14.478610,3.637255,-58.023866
12,2010-07-01,sz.002429,22.9100000000,23.3000000000,22.5200000000,22.7000000000,22.9600000000,2400757,54979680.6700,-1.132400,38.652942,14.314654,3.596066,-57.366801
13,2010-07-02,sz.002429,22.7900000000,22.9700000000,21.7500000000,22.8200000000,22.7000000000,3103243,69875875.1100,0.528600,38.857275,14.390326,3.615076,-57.670062
14,2010-07-05,sz.002429,22.5800000000,22.6900000000,21.8800000000,22.3500000000,22.8200000000,2257497,50313667.6400,-2.059600,38.056972,14.093944,3.540620,-56.482291
15,2010-07-06,sz.002429,22.3000000000,23.1000000000,22.2100000000,23.0600000000,22.3500000000,3400789,77631297.7600,3.176700,39.265940,14.541671,3.653096,-58.276583
16,2010-07-07,sz.002429,22.8900000000,23.3700000000,22.7500000000,23.2300000000,23.0600000000,3109274,71706642.5000,0.737200,39.555412,14.648873,3.680027,-58.706202
17,2010-07-08,sz.002429,23.2300000000,23.3800000000,22.7500000000,22.7800000000,23.2300000000,2829187,65141776.0100,-1.937200,38.789164,14.365102,3.608740,-57.568975
18,2010-07-09,sz.002429,22.8100000000,24.0000000000,22.4600000000,23.7300000000,22.7800000000,5136734,120326218.0900,4.170300,40.406798,14.964174,3.759236,-59.969788
19,2010-07-12,sz.002429,23.7100000000,24.2000000000,23.5000000000,24.1000000000,23.7300000000,4996684,119270387.1200,1.559200,41.036824,15.197496,3.817850,-60.904841
20,2010-07-13,sz.002429,23.8100000000,23.8100000000,23.1600000000,23.4500000000,24.1000000000,3028918,70950180.9200,-2.697100,39.930022,14.787605,3.714879,-59.262180
21,2010-07-14,sz.002429,23.4700000000,23.7300000000,23.3500000000,23.4900000000,23.4500000000,2837791,66851281.1700,0.170600,39.998133,14.812829,3.721216,-59.363267
22,2010-07-15,sz.002429,23.3700000000,23.5200000000,22.4000000000,22.4100000000,23.4900000000,2509202,57611557.6600,-4.597700,38.159138,14.131780,3.550125,-56.633921
23,2010-07-16,sz.002429,22.0900000000,22.8500000000,22.0900000000,22.7100000000,22.4100000000,1754109,39358025.2000,1.338685,38.669970,14.320960,3.597650,-57.392073
24,2010-07-19,sz.002429,22.7100000000,22.7100000000,22.7100000000,22.7100000000,22.7100000000,0,0.0000,0.000000,38.669970,14.320960,3.597650,-57.392073
25,2010-07-20,sz.002429,23.1500000000,23.7800000000,23.0300000000,23.4900000000,22.7100000000,3639348,85119486.3600,3.434600,39.998133,14.812829,3.721216,-59.363267
26,2010-07-21,sz.002429,23.4100000000,24.1800000000,23.3200000000,23.7800000000,23.4900000000,4322241,102724274.0000,1.234600,40.491937,14.995704,3.767157,-60.096146
27,2010-07-22,sz.002429,23.6000000000,23.9700000000,23.4800000000,23.9100000000,23.7800000000,3363864,80030581.6500,0.546700,40.713297,15.077682,3.787751,-60.424679
28,2010-07-23,sz.002429,24.0900000000,24.9500000000,24.0500000000,24.3700000000,23.9100000000,5117673,125198787.3600,1.923900,41.496573,15.367759,3.860623,-61.587178
29,2010-07-26,sz.002429,24.4000000000,24.7900000000,24.0200000000,24.6700000000,24.3700000000,4288850,104771018.6500,1.231000,42.007405,15.556939,3.908148,-62.345329
30,2010-07-27,sz.002429,24.5800000000,24.5800000000,24.2600000000,24.2600000000,24.6700000000,2490065,60694289.9300,-1.661900,41.309268,15.298392,3.843197,-61.309189
31,2010-07-28,sz.002429,24.0800000000,24.5500000000,24.0400000000,24.5400000000,24.2600000000,3147272,76779231.0100,1.154200,41.786044,15.474961,3.887554,-62.016797
32,2010-07-29,sz.002429,24.6400000000,25.5800000000,24.5400000000,25.4800000000,24.5400000000,6042968,151460333.0500,3.830500,43.386651,16.067726,4.036466,-64.392339
33,2010-07-30,sz.002429,25.4900000000,25.4900000000,24.7500000000,24.8900000000,25.4800000000,4528981,113049109.6300,-2.315500,37.694002,15.695671,3.993310,-62.901307
34,2010-08-02,sz.002429,24.8400000000,25.2900000000,24.6900000000,25.1500000000,24.8900000000,3821087,95639811.4300,1.044600,38.087752,15.859628,4.035024,-63.558372
35,2010-08-03,sz.002429,25.2600000000,25.3700000000,24.6300000000,24.6500000000,25.1500000000,3075732,76782488.3800,-1.988100,37.330540,15.544327,3.954804,-62.294786
36,2010-08-04,sz.002429,24.5300000000,24.7000000000,24.1100000000,24.7000000000,24.6500000000,2965845,72324759.9600,0.202800,37.406261,15.575857,3.962826,-62.421145
37,2010-08-05,sz.002429,24.6400000000,25.2000000000,24.6200000000,24.8600000000,24.7000000000,3049839,76047926.5800,0.647800,37.648569,15.676753,3.988497,-62.825492
38,2010-08-06,sz.002429,24.7000000000,25.1900000000,24.6000000000,25.1500000000,24.8600000000,3080530,76943489.6700,1.166500,38.087752,15.859628,4.035024,-63.558372
39,2010-08-09,sz.002429,25.3500000000,25.9500000000,25.1500000000,25.9200000000,25.1500000000,4905648,125460280.8800,3.061600,39.253858,16.345191,4.158561,-65.504294
40,2010-08-10,sz.002429,25.9500000000,25.9500000000,24.7000000000,24.7000000000,25.9200000000,4713892,119924954.7100,-4.706800,37.406261,15.575857,3.962826,-62.421145
41,2010-08-11,sz.002429,25.0100000000,25.4900000000,24.9000000000,25.3400000000,24.7000000000,3526391,89053688.9200,2.591100,38.375493,15.979442,4.065507,-64.038535
42,2010-08-12,sz.002429,24.9900000000,25.5300000000,24.9300000000,25.0000000000,25.3400000000,2674579,67345662.2500,-1.341800,37.860589,15.765037,4.010958,-63.179296
43,2010-08-13,sz.002429,25.0200000000,25.4400000000,24.9000000000,25.4000000000,25.0000000000,2336404,58897338.3500,1.600000,38.466358,16.017278,4.075133,-64.190165
44,2010-08-16,sz.002429,25.3700000000,25.8800000000,25.2000000000,25.7300000000,25.4000000000,3803637,97518687.1400,1.299200,38.966118,16.225377,4.128078,-65.024132
45,2010-08-17,sz.002429,25.8000000000,26.4900000000,25.5700000000,26.4700000000,25.7300000000,5044865,131298886.3300,2.876000,40.086791,16.692022,4.246802,-66.894239
46,2010-08-18,sz.002429,26.3300000000,26.4600000000,25.8100000000,25.9200000000,26.4700000000,3306004,86201184.5000,-2.077800,39.253858,16.345191,4.158561,-65.504294
47,2010-08-19,sz.002429,26.2900000000,26.6200000000,26.1600000000,26.2000000000,25.9200000000,3927950,103530040.9900,1.080200,39.677897,16.521759,4.203484,-66.211902
48,2010-08-20,sz.002429,26.0000000000,26.0200000000,25.3000000000,25.3300000000,26.2000000000,2901132,74353640.3600,-3.320600,38.360348,15.973136,4.063903,-64.013263
49,2010-08-23,sz.002429,25.3300000000,25.6400000000,25.3000000000,25.4100000000,25.3300000000,1595629,40577815.3100,0.315800,38.481502,16.023584,4.076738,-64.215437
50,2010-08-24,sz.002429,25.6800000000,26.1200000000,25.6700000000,25.8900000000,25.4100000000,2859611,74073124.0100,1.889000,39.208425,16.326273,4.153748,-65.428479
51,2010-08-25,sz.002429,26.0000000000,26.4800000000,25.6100000000,25.6400000000,25.8900000000,3044546,79347812.2100,-0.965600,38.829820,16.168622,4.113638,-64.796686
52,2010-08-26,sz.002429,25.6500000000,25.9500000000,25.1800000000,25.3900000000,25.6400000000,1864905,47428554.1700,-0.975000,38.451214,16.010972,4.073529,-64.164893
53,2010-08-27,sz.002429,25.3000000000,25.7400000000,25.3000000000,25.5000000000,25.3900000000,1779887,45449562.1600,0.433200,38.659129,4.890460,4.091177,8.099445
54,2010-08-30,sz.002429,25.6700000000,26.2700000000,25.5800000000,26.0700000000,25.5000000000,3244047,84426937.8800,2.235300,39.523275,4.999776,4.182627,8.280491
55,2010-08-31,sz.002429,26.0900000000,26.6500000000,26.0100000000,26.5600000000,26.0700000000,4699290,123748277.8900,1.879600,40.266136,5.093750,4.261242,8.436127
56,2010-09-01,sz.002429,26.6800000000,26.8000000000,25.6400000000,25.9200000000,26.5600000000,4156804,108948719.7300,-2.409600,39.295868,4.971009,4.158561,8.232847
57,2010-09-02,sz.002429,26.0700000000,26.8400000000,25.8800000000,26.8200000000,25.9200000000,4930800,130296099.7100,3.472200,40.660308,5.143614,4.302956,8.518710
58,2010-09-03,sz.002429,26.7800000000,27.2600000000,26.5000000000,26.9300000000,26.8200000000,4552852,122307417.7900,0.410100,40.827073,5.164710,4.320604,8.553649
59,2010-09-06,sz.002429,26.9000000000,27.0500000000,26.1500000000,26.4000000000,26.9300000000,3432817,91099451.2800,-1.968100,40.023569,5.063065,4.235572,8.385307
60,2010-09-07,sz.002429,26.4600000000,26.7600000000,26.2000000000,26.7300000000,26.4000000000,2298512,60840070.0300,1.250000,40.523864,5.126353,4.288516,8.490124
61,2010-09-08,sz.002429,26.7000000000,26.9800000000,26.4100000000,26.8900000000,26.7300000000,2900796,77677801.3900,0.598578,40.766431,5.157038,4.314186,8.540944
62,2010-09-09,sz.002429,26.9000000000,27.2000000000,26.4100000000,26.4400000000,26.8900000000,3401328,90969203.3400,-1.673500,40.084211,5.070736,4.241989,8.398012
63,2010-09-10,sz.002429,26.4300000000,26.7900000000,25.2600000000,25.6300000000,26.4400000000,6700159,172284978.2500,-3.063500,38.856215,4.915392,4.112034,8.140736
64,2010-09-13,sz.002429,25.6100000000,25.9900000000,25.3000000000,25.7300000000,25.6300000000,3451221,88292526.5000,0.390200,39.007819,4.934570,4.128078,8.172498
65,2010-09-14,sz.002429,25.7600000000,25.9800000000,25.6100000000,25.8300000000,25.7300000000,2933678,75575469.2200,0.388700,39.159424,4.953749,4.144122,8.204261
66,2010-09-15,sz.002429,25.8000000000,25.8000000000,24.8600000000,25.0000000000,25.8300000000,3074096,77883358.2100,-3.213300,37.901107,4.794569,4.010958,7.940632
67,2010-09-16,sz.002429,25.0000000000,25.0000000000,25.0000000000,25.0000000000,25.0000000000,0,0.0000,0.000000,37.901107,4.794569,4.010958,7.940632
68,2010-09-17,sz.002429,24.5800000000,24.7000000000,23.7700000000,24.6000000000,25.0000000000,4312153,104660322.1000,-1.600000,37.294689,4.717856,3.946783,7.813582
69,2010-09-20,sz.002429,24.3500000000,24.4000000000,23.9500000000,23.9500000000,24.6000000000,2342829,56673911.8000,-2.642300,36.309261,4.593197,3.842498,7.607125
70,2010-09-21,sz.002429,23.9500000000,24.1800000000,23.3000000000,23.3500000000,23.9500000000,1572171,37168298.9700,-2.505200,35.399634,4.478127,3.746235,7.416550
71,2010-09-27,sz.002429,23.4600000000,24.1900000000,23.4600000000,24.0800000000,23.3500000000,1702066,40597514.1400,3.126300,36.506346,4.618129,3.863355,7.648417
