,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-06-18,sz.002434,30.0000000000,32.5000000000,30.0000000000,31.2100000000,30.0000000000,23437781,730015888.8200,4.033330,37.662730,11.642566,6.839808,-1809.268434
1,2010-06-21,sz.002434,29.9800000000,29.9800000000,28.0900000000,29.6000000000,31.2100000000,9207779,267174338.9600,-5.158600,35.719860,11.041972,6.486969,-1715.935458
2,2010-06-22,sz.002434,29.0000000000,29.8800000000,28.5900000000,28.7800000000,29.6000000000,6035402,175531905.5800,-2.770300,34.730323,10.736080,6.307263,-1668.399408
3,2010-06-23,sz.002434,28.3000000000,29.2900000000,28.2400000000,29.0600000000,28.7800000000,3610913,103765564.2300,0.972900,35.068213,10.840531,6.368626,-1684.631230
4,2010-06-24,sz.002434,29.0000000000,29.3500000000,28.7500000000,28.9200000000,29.0600000000,3261028,94656804.7700,-0.481800,34.899268,10.788305,6.337944,-1676.515319
5,2010-06-25,sz.002434,28.8400000000,28.8400000000,27.3300000000,27.8200000000,28.9200000000,4335682,121370859.5200,-3.803600,33.571841,10.377962,6.096875,-1612.747447
6,2010-06-28,sz.002434,27.6200000000,28.6100000000,27.5700000000,28.3200000000,27.8200000000,3034180,85456707.4400,1.797300,34.175217,10.564482,6.206452,-1641.732843
7,2010-06-29,sz.002434,28.2700000000,28.3400000000,26.0000000000,26.2200000000,28.3200000000,3288801,88602078.9900,-7.415300,31.641038,9.781098,5.746228,-1519.994179
8,2010-06-30,sz.002434,25.9000000000,25.9900000000,24.7100000000,25.6600000000,26.2200000000,2432818,61870524.1800,-2.135800,30.965257,9.572196,5.623501,-1487.530535
9,2010-07-01,sz.002434,25.6800000000,25.8800000000,24.9000000000,25.0100000000,25.6600000000,1995746,50820688.8000,-2.533100,30.180868,9.329720,5.481051,-1449.849520
10,2010-07-02,sz.002434,25.0000000000,25.7300000000,24.9000000000,25.5500000000,25.0100000000,2516302,63662756.2000,2.159100,30.832514,9.531162,5.599394,-1481.153748
11,2010-07-05,sz.002434,24.8500000000,25.4400000000,24.7000000000,25.1300000000,25.5500000000,1503859,37683592.1200,-1.643800,30.325678,9.374485,5.507349,-1456.806015
12,2010-07-06,sz.002434,25.1400000000,25.7800000000,25.0000000000,25.5400000000,25.1300000000,2077221,52785321.8300,1.631500,30.820446,9.527431,5.597203,-1480.574040
13,2010-07-07,sz.002434,25.6800000000,25.6800000000,25.2000000000,25.5000000000,25.5400000000,2296752,58280824.9300,-0.156600,30.772176,9.512510,5.588436,-1478.255209
14,2010-07-08,sz.002434,25.6000000000,25.7500000000,25.1100000000,25.7400000000,25.5000000000,2903214,73880083.1700,0.941200,31.061797,9.602039,5.641034,-1492.168199
15,2010-07-09,sz.002434,25.6000000000,26.4700000000,25.2500000000,26.2200000000,25.7400000000,2976297,77380642.9000,1.864800,31.641038,9.781098,5.746228,-1519.994179
16,2010-07-12,sz.002434,26.2200000000,26.9800000000,26.1800000000,26.7100000000,26.2200000000,2957559,78569849.7300,1.868800,32.232346,9.963888,5.853613,-1548.399868
17,2010-07-13,sz.002434,26.3000000000,26.3800000000,25.7000000000,25.9400000000,26.7100000000,1986400,51674254.3300,-2.882800,31.303147,9.676647,5.684864,-1503.762357
18,2010-07-14,sz.002434,26.2000000000,26.5100000000,25.9300000000,26.4400000000,25.9400000000,1727117,45268026.0200,1.927500,31.906523,9.863167,5.794442,-1532.747754
19,2010-07-15,sz.002434,26.3600000000,26.4400000000,25.3100000000,25.4300000000,26.4400000000,1618687,42072550.5500,-3.820000,30.687704,9.486397,5.573096,-1474.197253
20,2010-07-16,sz.002434,25.2800000000,25.4000000000,24.8400000000,25.2800000000,25.4300000000,1260766,31659442.6100,-0.589853,30.506691,9.430441,5.540223,-1465.501634
21,2010-07-19,sz.002434,25.1400000000,25.8900000000,24.8800000000,25.7800000000,25.2800000000,1501875,38380407.3400,1.977800,31.110067,9.616961,5.649800,-1494.487030
22,2010-07-20,sz.002434,25.8000000000,26.4500000000,25.6500000000,26.3000000000,25.7800000000,2358332,61673995.3100,2.017100,31.737578,9.810942,5.763760,-1524.631843
23,2010-07-21,sz.002434,26.3900000000,26.7000000000,26.2600000000,26.3700000000,26.3000000000,2269112,60136231.1400,0.266200,31.822051,9.837054,5.779101,-1528.689798
24,2010-07-22,sz.002434,26.3100000000,26.6900000000,26.2000000000,26.6900000000,26.3700000000,2073469,55002160.0000,1.213500,32.208211,9.956427,5.849230,-1547.240452
25,2010-07-23,sz.002434,26.9800000000,27.1500000000,26.5400000000,26.8700000000,26.6900000000,2576957,69209015.1700,0.674400,32.425427,10.023574,5.888678,-1557.675194
26,2010-07-26,sz.002434,26.9300000000,27.3400000000,26.7500000000,27.1500000000,26.8700000000,2238179,60695139.0600,1.042100,32.763317,10.128025,5.950041,-1573.907016
27,2010-07-27,sz.002434,27.0100000000,27.2200000000,26.6000000000,26.8500000000,27.1500000000,1949993,52416859.2500,-1.105000,32.401291,10.016113,5.884295,-1556.515778
28,2010-07-28,sz.002434,27.8000000000,29.5000000000,27.8000000000,29.0700000000,26.8500000000,8706538,251214777.0200,8.268200,34.796094,2.869975,6.215560,4.281534
29,2010-07-29,sz.002434,28.6000000000,29.4300000000,28.5500000000,29.1200000000,29.0700000000,5736886,166396506.6500,0.172000,34.855943,2.874911,6.226250,4.288898
30,2010-07-30,sz.002434,29.2500000000,29.7700000000,29.0400000000,29.1700000000,29.1200000000,3941504,115849241.4100,0.171700,34.915792,2.879848,6.236941,4.296262
31,2010-08-02,sz.002434,29.3900000000,29.6600000000,29.0500000000,29.4500000000,29.1700000000,4039635,118607173.2000,0.959900,35.250945,2.907491,6.296809,4.337502
32,2010-08-03,sz.002434,29.6100000000,29.6100000000,28.6200000000,28.6200000000,29.4500000000,3907809,113817183.1000,-2.818300,34.257455,2.825548,6.119343,4.215256
33,2010-08-04,sz.002434,28.5800000000,29.4500000000,28.5700000000,29.3500000000,28.6200000000,4191562,122054931.9300,2.550700,35.131247,2.897619,6.275427,4.322773
34,2010-08-05,sz.002434,29.3600000000,30.2900000000,29.3600000000,29.5600000000,29.3500000000,4389551,131140107.4400,0.715500,35.382612,2.918351,6.320328,4.353703
35,2010-08-06,sz.002434,29.7100000000,30.5000000000,29.4000000000,30.4000000000,29.5600000000,4230947,127013344.6300,2.841700,36.388072,3.001281,6.499932,4.477421
36,2010-08-09,sz.002434,30.2800000000,30.6600000000,30.0300000000,30.4900000000,30.4000000000,3579504,108636469.4600,0.296100,36.495800,3.010167,6.519175,4.490676
37,2010-08-10,sz.002434,30.4800000000,30.4800000000,29.2100000000,29.2100000000,30.4900000000,3871738,115426073.2800,-4.198100,34.963671,2.883797,6.245493,4.302153
