,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-08-10,sz.002460,60.9000000000,63.3300000000,58.0800000000,59.2000000000,20.7000000000,17052545,1026890634.9600,185.990300,138.118615,27.854043,18.579493,-841.152827
1,2010-08-11,sz.002460,55.0000000000,63.4800000000,53.5100000000,62.3000000000,59.2000000000,14118682,835869011.0100,5.236500,145.351178,29.312616,19.552406,-885.199681
2,2010-08-12,sz.002460,60.0000000000,62.9700000000,56.1800000000,57.4000000000,62.3000000000,9380158,561242547.3300,-7.865200,133.919062,27.007130,18.014576,-815.577234
3,2010-08-13,sz.002460,56.2900000000,57.8800000000,54.0000000000,57.2500000000,57.4000000000,6008513,335168625.6300,-0.261300,133.569100,26.936554,17.967499,-813.445935
4,2010-08-16,sz.002460,56.0000000000,59.1800000000,55.0100000000,58.0300000000,57.2500000000,5556145,318264472.1200,1.362400,135.388906,27.303549,18.212297,-824.528692
5,2010-08-17,sz.002460,57.1000000000,63.8300000000,57.1000000000,63.8300000000,58.0300000000,9472045,577446875.8100,9.994800,148.920797,30.032493,20.032585,-906.938935
6,2010-08-18,sz.002460,64.0400000000,69.5300000000,62.0300000000,64.7500000000,63.8300000000,10670133,695880931.5700,1.441300,151.067235,30.465360,20.321320,-920.010904
7,2010-08-19,sz.002460,63.9200000000,68.0300000000,63.1000000000,66.2000000000,64.7500000000,6831512,449864094.4700,2.239400,154.450208,31.147596,20.776392,-940.613465
8,2010-08-20,sz.002460,65.0000000000,71.3700000000,65.0000000000,69.0000000000,66.2000000000,7382458,503992664.9200,4.229600,160.982845,32.465017,21.655152,-980.397721
9,2010-08-23,sz.002460,68.0000000000,70.9700000000,66.6700000000,67.6400000000,69.0000000000,5566685,379404743.3900,-1.971000,157.809850,31.825126,21.228326,-961.073939
10,2010-08-24,sz.002460,67.0600000000,68.9600000000,63.8200000000,65.0200000000,67.6400000000,5121387,336870496.3300,-3.873400,151.697168,30.592397,20.406058,-923.847243
11,2010-08-25,sz.002460,64.4600000000,66.4800000000,63.9000000000,64.2800000000,65.0200000000,4037707,262674419.5700,-1.138100,149.970685,30.244221,20.173814,-913.332833
12,2010-08-26,sz.002460,64.5000000000,65.0000000000,61.8800000000,62.9000000000,64.2800000000,3936485,248093310.0400,-2.146900,146.751028,29.594921,19.740711,-893.724879
13,2010-08-27,sz.002460,62.6500000000,69.1900000000,62.5500000000,68.0800000000,62.9000000000,6250656,413028980.6600,8.235300,158.836407,32.032150,21.366417,-967.325751
14,2010-08-30,sz.002460,67.7000000000,70.8900000000,66.8900000000,69.2500000000,68.0800000000,6375627,440289268.6700,1.718600,161.566116,32.582643,21.733613,-983.949886
15,2010-08-31,sz.002460,67.2000000000,70.5000000000,67.1000000000,68.3500000000,69.2500000000,5838409,400369357.1400,-1.299600,159.466340,32.159187,21.451154,-971.162090
16,2010-09-01,sz.002460,67.7500000000,69.5000000000,63.3300000000,64.7400000000,68.3500000000,5960225,395387830.4100,-5.281600,151.043904,30.460655,20.318182,-919.868818
17,2010-09-02,sz.002460,64.7400000000,64.7400000000,64.7400000000,64.7400000000,64.7400000000,0,0.0000,0.000000,151.043904,30.460655,20.318182,-919.868818
18,2010-09-03,sz.002460,65.5900000000,71.2100000000,64.7700000000,71.2100000000,64.7400000000,9980284,700281981.2500,9.993800,166.138962,33.504838,22.348745,-1011.798865
19,2010-09-06,sz.002460,73.0000000000,73.0000000000,64.5100000000,65.6000000000,71.2100000000,8016832,542115913.9500,-7.878100,153.050357,30.865291,20.588087,-932.088268
20,2010-09-07,sz.002460,64.4000000000,66.9900000000,63.6800000000,65.3000000000,65.6000000000,3517834,231334189.2000,-0.457300,152.350432,30.724139,20.493934,-927.825669
