,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-08-31,sz.002465,48.1000000000,53.4500000000,46.5100000000,49.9300000000,38.0000000000,54077311,2641648323.0600,31.394740,78.333597,17.090004,17.489157,822.797839
1,2010-09-01,sz.002465,50.0000000000,52.2000000000,48.2600000000,50.4400000000,49.9300000000,35549535,1793100625.3500,1.021400,79.133720,17.264567,17.667796,831.202143
2,2010-09-02,sz.002465,49.0000000000,49.9700000000,48.0000000000,48.9500000000,50.4400000000,21897684,1071243766.2900,-2.954000,76.796106,16.754571,17.145889,806.648392
3,2010-09-03,sz.002465,49.8800000000,52.0500000000,49.3000000000,49.9700000000,48.9500000000,19176047,968583105.8100,2.083800,78.396352,17.103696,17.503168,823.457000
4,2010-09-06,sz.002465,50.3800000000,51.5000000000,46.8800000000,47.4500000000,49.9700000000,14493246,705726929.2600,-5.043000,74.442804,16.241152,16.620478,781.929851
5,2010-09-07,sz.002465,47.3000000000,48.8700000000,46.8900000000,47.7100000000,47.4500000000,8067748,386666117.8400,0.547900,74.850710,16.330144,16.711550,786.214398
6,2010-09-08,sz.002465,47.0200000000,47.3000000000,46.0100000000,46.2800000000,47.7100000000,10146242,472042407.5800,-2.997276,72.607228,15.840685,16.210658,762.649389
7,2010-09-09,sz.002465,46.5100000000,47.2500000000,46.1300000000,46.7400000000,46.2800000000,7495911,350084872.9700,0.993900,73.328907,15.998133,16.371784,770.229742
8,2010-09-10,sz.002465,46.5500000000,46.9900000000,44.6400000000,45.3000000000,46.7400000000,7931784,360942097.5200,-3.080900,71.069737,15.505251,15.867390,746.499942
9,2010-09-13,sz.002465,45.2000000000,45.8800000000,44.6900000000,45.4000000000,45.3000000000,5343783,241922820.0500,0.220800,71.226624,15.539479,15.902418,748.147845
10,2010-09-14,sz.002465,45.5800000000,46.1400000000,45.3300000000,45.5200000000,45.4000000000,4065448,185673081.8600,0.264300,71.414888,15.580553,15.944451,750.125328
11,2010-09-15,sz.002465,45.3000000000,45.3000000000,42.4500000000,42.7000000000,45.5200000000,7782918,341795049.3400,-6.195100,66.990679,14.615325,14.956679,703.654471
12,2010-09-16,sz.002465,42.7100000000,43.1900000000,40.5200000000,41.5900000000,42.7000000000,5376569,224258712.4700,-2.599500,65.249235,14.235395,14.567876,685.362750
13,2010-09-17,sz.002465,41.3800000000,41.8000000000,40.8600000000,40.9300000000,41.5900000000,2784269,114639764.4800,-1.586900,64.213782,14.009491,14.336695,674.486592
14,2010-09-20,sz.002465,41.2000000000,42.5900000000,40.4100000000,42.1700000000,40.9300000000,4636116,192872756.4900,3.029600,66.159179,14.433917,14.771034,694.920586
15,2010-09-21,sz.002465,42.0000000000,42.4000000000,40.9800000000,41.1200000000,42.1700000000,2681718,111394159.0800,-2.489900,64.511867,14.074524,14.403247,677.617608
16,2010-09-27,sz.002465,41.1300000000,41.8600000000,41.1200000000,41.5000000000,41.1200000000,2521371,104710746.3100,0.924100,65.108037,14.204590,14.536351,683.879638
17,2010-09-28,sz.002465,41.3000000000,41.3700000000,39.9000000000,39.9100000000,41.5000000000,4215535,170278461.1700,-3.831300,62.613536,13.660366,13.979416,657.677984
18,2010-09-29,sz.002465,39.9000000000,40.3900000000,39.5100000000,39.7400000000,39.9100000000,3002195,119928926.9000,-0.426000,62.346829,13.602179,13.919870,654.876550
19,2010-09-30,sz.002465,39.6000000000,40.4500000000,39.5600000000,40.2100000000,39.7400000000,2285459,91571603.5100,1.182700,63.084197,13.763050,14.084498,662.621693
20,2010-10-08,sz.002465,40.2800000000,40.9700000000,40.2800000000,40.7500000000,40.2100000000,2949868,120091186.6100,1.342900,63.931386,13.947881,14.273646,671.520367
21,2010-10-11,sz.002465,40.6800000000,41.2100000000,40.3000000000,40.9700000000,40.7500000000,3534820,143839402.1000,0.539900,64.276537,14.023182,14.350706,675.145753
22,2010-10-12,sz.002465,41.0000000000,41.2500000000,40.5800000000,40.7300000000,40.9700000000,2807039,114842270.4600,-0.585800,63.900009,13.941035,14.266640,671.190787
23,2010-10-13,sz.002465,40.8000000000,40.8000000000,40.0000000000,40.3200000000,40.7300000000,3840961,154437087.1600,-1.006600,63.256772,13.800700,14.123028,664.434386
24,2010-10-14,sz.002465,40.1500000000,41.5600000000,40.0800000000,40.6500000000,40.3200000000,4204446,172047842.3300,0.818500,63.774499,13.913653,14.238619,669.872465
25,2010-10-15,sz.002465,40.6800000000,40.7000000000,39.7100000000,39.8400000000,40.6500000000,3921572,157326581.3200,-1.992600,62.503716,13.636406,13.954897,656.524452
26,2010-10-18,sz.002465,39.6400000000,39.6600000000,38.0200000000,38.6500000000,39.8400000000,3792659,145855601.6600,-2.986900,60.636762,13.229094,13.538071,636.914410
27,2010-10-19,sz.002465,38.6500000000,41.4800000000,38.5000000000,40.9700000000,38.6500000000,4650749,188021047.2900,6.002600,64.276537,14.023182,14.350706,675.145753
28,2010-10-20,sz.002465,40.4000000000,41.1800000000,40.0300000000,40.1000000000,40.9700000000,4120498,166812004.4400,-2.123500,60.081491,3.218367,14.633116,4.323353
29,2010-10-21,sz.002465,40.0200000000,40.9600000000,40.0200000000,40.2300000000,40.1000000000,2503711,101177850.7000,0.324200,60.276269,3.228801,14.680555,4.337369
30,2010-10-22,sz.002465,40.3900000000,41.4600000000,40.2500000000,40.9000000000,40.2300000000,3781271,154993555.9100,1.665400,61.280124,3.282574,14.925048,4.409604
31,2010-10-25,sz.002465,41.1300000000,41.9900000000,41.1300000000,41.6500000000,40.9000000000,4644564,193281101.7500,1.833700,62.403843,3.342768,15.198735,4.490465
32,2010-10-26,sz.002465,41.6800000000,41.8000000000,40.5600000000,40.8700000000,41.6500000000,3954092,161954025.4200,-1.872700,61.235175,3.280166,14.914101,4.406370
33,2010-10-27,sz.002465,40.8400000000,41.5900000000,40.4500000000,40.8500000000,40.8700000000,3007204,123267472.1100,-0.048900,61.205210,3.278561,14.906802,4.404213
