,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-11-02,sz.002493,58.0000000000,65.0000000000,57.6700000000,63.2500000000,53.8000000000,34528555,2102503112.3600,17.565060,26.923552,14.017875,2.501547,-60.930583
1,2010-11-03,sz.002493,63.5000000000,65.5000000000,61.0200000000,61.9900000000,63.2500000000,17614970,1116891978.3700,-1.992100,26.387209,13.738626,2.451714,-59.716788
2,2010-11-04,sz.002493,63.0100000000,65.0000000000,59.7000000000,64.2900000000,61.9900000000,13530515,845247785.7800,3.710300,27.366247,14.248367,2.542679,-61.932446
3,2010-11-05,sz.002493,65.2000000000,69.7000000000,65.2000000000,66.3300000000,64.2900000000,12802211,857315595.0600,3.173100,28.234612,14.700485,2.623362,-63.897638
4,2010-11-08,sz.002493,68.5800000000,72.9600000000,67.0100000000,72.9600000000,66.3300000000,12979833,923022554.8900,9.995500,31.056796,16.169868,2.885579,-70.284512
5,2010-11-09,sz.002493,72.0000000000,76.2000000000,70.0600000000,75.0000000000,72.9600000000,12489725,911149424.7600,2.796100,31.925160,16.621986,2.966262,-72.249704
6,2010-11-10,sz.002493,74.4000000000,77.0000000000,73.3800000000,74.4200000000,75.0000000000,6947686,520059750.5300,-0.773300,31.678272,16.493443,2.943322,-71.690973
7,2010-11-11,sz.002493,74.0000000000,75.6000000000,71.2400000000,71.6500000000,74.4200000000,7683123,562923846.0200,-3.722100,30.499170,15.879537,2.833769,-69.022550
8,2010-11-12,sz.002493,69.2300000000,70.4900000000,64.5600000000,65.9800000000,71.6500000000,10762725,726334727.8600,-7.913500,28.085627,14.622915,2.609519,-63.560473
9,2010-11-15,sz.002493,66.1200000000,67.3900000000,64.5000000000,66.7200000000,65.9800000000,5760003,381203349.6300,1.121600,28.400622,14.786919,2.638786,-64.273336
10,2010-11-16,sz.002493,66.7000000000,68.8700000000,64.0000000000,64.2000000000,66.7200000000,6063637,404500871.8400,-3.777000,27.327937,14.228420,2.539120,-61.845746
11,2010-11-17,sz.002493,62.7700000000,63.9700000000,60.5100000000,61.4800000000,64.2000000000,3955218,248203504.3300,-4.236800,26.170118,13.625596,2.431543,-59.225490
12,2010-11-18,sz.002493,61.9800000000,63.6600000000,61.2100000000,62.9700000000,61.4800000000,3571243,222761721.4000,2.423600,26.804364,13.955820,2.490473,-60.660851
13,2010-11-19,sz.002493,63.6500000000,63.7000000000,61.0200000000,63.1500000000,62.9700000000,4248072,265038579.6200,0.285900,26.880985,13.995712,2.497592,-60.834250
14,2010-11-22,sz.002493,62.3000000000,65.8700000000,62.2600000000,64.8700000000,63.1500000000,4792775,309674337.0100,2.723700,27.613135,14.376910,2.565618,-62.491177
15,2010-11-23,sz.002493,64.0300000000,64.7800000000,61.6000000000,62.7000000000,64.8700000000,3705489,232447127.9200,-3.345200,26.689434,13.895980,2.479795,-60.400752
16,2010-11-24,sz.002493,62.5000000000,64.9900000000,62.3600000000,64.8600000000,62.7000000000,3464326,222697594.5300,3.445000,27.608878,14.374694,2.565223,-62.481544
17,2010-11-25,sz.002493,65.3600000000,66.6000000000,64.4000000000,66.0800000000,64.8600000000,3793242,248497817.8100,1.881000,28.128194,14.645078,2.613474,-63.656805
18,2010-11-26,sz.002493,65.9000000000,65.9000000000,63.8500000000,63.9500000000,66.0800000000,3395869,219430959.4000,-3.223400,27.221520,14.173014,2.529232,-61.604914
19,2010-11-29,sz.002493,63.1100000000,63.9200000000,62.3500000000,63.3500000000,63.9500000000,3481921,219141461.5500,-0.938200,26.966119,14.040038,2.505502,-61.026916
20,2010-11-30,sz.002493,63.0100000000,64.2300000000,60.6000000000,62.0600000000,63.3500000000,3736847,232073802.6900,-2.036300,26.417006,13.754140,2.454483,-59.784221
21,2010-12-01,sz.002493,61.9600000000,63.5000000000,61.3000000000,62.4400000000,62.0600000000,2350142,146548776.9100,0.612300,26.578760,13.838358,2.469512,-60.150287
22,2010-12-02,sz.002493,63.5000000000,64.2800000000,62.6100000000,63.0000000000,62.4400000000,2747509,174309225.6900,0.896900,26.817134,13.962468,2.491660,-60.689751
23,2010-12-03,sz.002493,62.8800000000,64.5000000000,62.8600000000,63.6400000000,63.0000000000,2722451,173841988.9000,1.015900,27.089563,14.104309,2.516972,-61.306282
24,2010-12-06,sz.002493,63.9100000000,64.3800000000,61.5000000000,62.0000000000,63.6400000000,2234234,139575449.4600,-2.577000,26.391466,13.740842,2.452110,-59.726422
25,2010-12-07,sz.002493,61.8300000000,63.0000000000,60.8000000000,62.3800000000,62.0000000000,2507759,153812820.7900,0.612900,26.553220,13.825060,2.467139,-60.092487
26,2010-12-08,sz.002493,62.0000000000,62.1200000000,60.8200000000,61.0000000000,62.3800000000,2012774,123479179.3700,-2.212200,25.965797,13.519215,2.412559,-58.763092
27,2010-12-09,sz.002493,60.8100000000,61.2000000000,58.1000000000,58.7500000000,61.0000000000,2492700,149429493.4700,-3.688500,25.008042,13.020556,2.323572,-56.595601
28,2010-12-10,sz.002493,58.7500000000,58.7500000000,58.7500000000,58.7500000000,58.7500000000,0,0.0000,0.000000,25.008042,13.020556,2.323572,-56.595601
29,2010-12-13,sz.002493,60.0000000000,63.1000000000,59.5500000000,62.9000000000,58.7500000000,3323748,204956079.9400,7.063800,26.774568,13.940306,2.487705,-60.593418
30,2010-12-14,sz.002493,62.9600000000,62.9600000000,62.1100000000,62.8500000000,62.9000000000,1680402,105058485.5500,-0.079500,26.753284,13.929224,2.485727,-60.545252
31,2010-12-15,sz.002493,62.9000000000,64.3500000000,62.4000000000,63.1300000000,62.8500000000,2258475,143231021.1500,0.445500,26.872471,13.991280,2.496801,-60.814984
32,2010-12-16,sz.002493,63.0000000000,63.9000000000,62.4500000000,63.5500000000,63.1300000000,1747338,110815330.7200,0.665300,27.051252,14.084363,2.513412,-61.219582
33,2010-12-17,sz.002493,63.7500000000,65.8200000000,63.3400000000,65.4800000000,63.5500000000,3642356,236951133.4500,3.037000,27.872793,14.512102,2.589744,-63.078808
34,2010-12-20,sz.002493,65.8100000000,66.4500000000,61.8800000000,63.4600000000,65.4800000000,3332045,212875458.8400,-3.084900,27.012942,14.064417,2.509853,-61.132883
35,2010-12-21,sz.002493,63.8900000000,65.0000000000,63.1800000000,64.9800000000,63.4600000000,2758383,176537623.1500,2.395200,27.659959,14.401289,2.569969,-62.597143
36,2010-12-22,sz.002493,64.9900000000,65.0000000000,63.7500000000,63.9100000000,64.9800000000,1816261,116631556.0100,-1.646700,27.204493,14.164149,2.527650,-61.566381
37,2010-12-23,sz.002493,64.0200000000,64.0200000000,62.0100000000,62.2000000000,63.9100000000,2090029,131706308.1800,-2.675600,26.476599,13.785167,2.460020,-59.919087
38,2010-12-24,sz.002493,61.5000000000,62.2500000000,60.6000000000,61.3700000000,62.2000000000,1529249,93638464.0100,-1.334400,26.123294,13.601217,2.427193,-59.119524
39,2010-12-27,sz.002493,61.3600000000,63.9600000000,61.3000000000,62.1400000000,61.3700000000,2728136,171275201.0600,1.254700,26.451059,13.771870,2.457647,-59.861288
40,2010-12-28,sz.002493,61.9800000000,64.0000000000,61.2900000000,63.0100000000,62.1400000000,2523467,159350690.7200,1.400100,26.821391,13.964685,2.492055,-60.699384
41,2010-12-29,sz.002493,63.1000000000,64.1000000000,62.9200000000,63.8900000000,63.0100000000,1760688,111994896.1200,1.396600,27.195980,14.159716,2.526859,-61.547114
42,2010-12-30,sz.002493,63.8900000000,63.9000000000,62.5000000000,63.3800000000,63.8900000000,1597847,100824630.1100,-0.798200,26.978889,14.046686,2.506689,-61.055816
43,2010-12-31,sz.002493,63.2800000000,64.1000000000,62.8500000000,63.9600000000,63.3800000000,1854943,117941824.6400,0.915100,27.225777,14.175230,2.529628,-61.614547
44,2011-01-04,sz.002493,64.8000000000,64.9400000000,63.7000000000,64.2800000000,63.9600000000,2129869,136808865.4300,0.500300,27.361991,14.246150,2.542284,-61.922813
45,2011-01-05,sz.002493,64.8400000000,66.3000000000,64.3800000000,65.5900000000,64.2800000000,3360901,220539644.2400,2.038000,27.919617,14.536481,2.594095,-63.184774
