,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-11-15,sz.002500,12.8800000000,13.6000000000,12.3500000000,13.2700000000,7.8000000000,259539689,3396366009.3000,70.128210,68.665295,10.455654,22.495611,-10.214266
1,2010-11-16,sz.002500,13.0000000000,14.5800000000,12.9000000000,13.7400000000,13.2700000000,188871870,2591073199.6000,3.541800,71.097298,10.825975,23.292366,-10.576037
2,2010-11-17,sz.002500,12.9800000000,13.2300000000,12.3700000000,12.3700000000,13.7400000000,104249490,1314862070.7600,-9.970900,64.008266,9.746529,20.969911,-9.521513
3,2010-11-18,sz.002500,12.1000000000,12.3800000000,11.3200000000,11.8000000000,12.3700000000,85611553,1007700682.5400,-4.607900,61.058815,9.297417,20.003633,-9.082769
4,2010-11-19,sz.002500,11.7800000000,12.9500000000,11.4000000000,12.6500000000,11.8000000000,86758218,1055552040.3300,7.203400,65.457120,9.967146,21.444573,-9.737036
5,2010-11-22,sz.002500,12.3400000000,12.5900000000,11.9300000000,12.1300000000,12.6500000000,63297831,776699443.5300,-4.110700,62.766392,9.557429,20.563057,-9.336778
6,2010-11-23,sz.002500,11.9800000000,12.6300000000,11.6200000000,12.2500000000,12.1300000000,60548871,741107296.9200,0.989300,63.387329,9.651979,20.766484,-9.429145
7,2010-11-24,sz.002500,12.3000000000,13.4800000000,12.1300000000,13.0300000000,12.2500000000,94677543,1232437531.6500,6.367300,67.423420,10.266554,22.088758,-10.029532
8,2010-11-25,sz.002500,12.8800000000,13.2500000000,12.6200000000,13.0100000000,13.0300000000,63561518,821555202.9200,-0.153500,67.319931,10.250796,22.054853,-10.014137
9,2010-11-26,sz.002500,12.8600000000,12.9500000000,12.4800000000,12.6100000000,13.0100000000,40310660,513199540.4800,-3.074600,65.250140,9.935629,21.376764,-9.706247
10,2010-11-29,sz.002500,12.4500000000,12.6800000000,12.1500000000,12.3100000000,12.6100000000,31817638,392737183.6000,-2.379100,63.697798,9.699254,20.868197,-9.475329
11,2010-11-30,sz.002500,12.2700000000,12.5900000000,11.5800000000,12.0100000000,12.3100000000,40657722,490569605.0200,-2.437000,62.145455,9.462879,20.359630,-9.244411
12,2010-12-01,sz.002500,11.9800000000,12.3900000000,11.8900000000,12.1400000000,12.0100000000,27284352,331967738.0000,1.082400,62.818137,9.565308,20.580009,-9.344476
13,2010-12-02,sz.002500,12.4400000000,12.5300000000,11.9800000000,11.9800000000,12.1400000000,31782671,388753999.9300,-1.318000,61.990221,9.439242,20.308774,-9.221319
14,2010-12-03,sz.002500,11.9000000000,12.0900000000,11.7000000000,11.8400000000,11.9800000000,22566521,267861522.2000,-1.168600,61.265794,9.328933,20.071442,-9.113558
15,2010-12-06,sz.002500,11.8700000000,12.7500000000,11.6200000000,12.4100000000,11.8400000000,55053865,673090992.9200,4.814200,64.215245,9.778046,21.037720,-9.552302
16,2010-12-07,sz.002500,12.1500000000,12.4800000000,11.9200000000,12.2300000000,12.4100000000,34389311,419225838.9500,-1.450400,63.283840,9.636221,20.732579,-9.413751
17,2010-12-08,sz.002500,12.1200000000,12.1900000000,11.8200000000,11.8900000000,12.2300000000,24280764,291593348.3300,-2.780000,61.524518,9.368329,20.156204,-9.152044
18,2010-12-09,sz.002500,11.7800000000,12.1000000000,11.7800000000,11.8000000000,11.8900000000,17764482,211832800.6700,-0.756900,61.058815,9.297417,20.003633,-9.082769
