,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-11-25,sz.002511,52.0000000000,54.9900000000,47.8000000000,49.2200000000,38.0000000000,23897777,1185132466.6900,29.526320,68.433206,12.560399,4.652189,-364.366645
1,2010-11-26,sz.002511,50.4000000000,53.0000000000,49.5100000000,51.7600000000,49.2200000000,16146562,823782720.3100,5.160500,71.964704,13.208579,4.892266,-383.169800
2,2010-11-29,sz.002511,50.8800000000,51.2700000000,48.9800000000,49.1900000000,51.7600000000,8621207,428777289.4900,-4.965200,68.391495,12.552743,4.649354,-364.144561
3,2010-11-30,sz.002511,49.0000000000,50.5000000000,48.0800000000,50.4100000000,49.1900000000,8158115,403591643.7800,2.480200,70.087727,12.864074,4.764666,-373.175997
4,2010-12-01,sz.002511,50.5400000000,52.0000000000,49.0200000000,49.3600000000,50.4100000000,7216868,364195581.8200,-2.082900,68.627855,12.596125,4.665422,-365.403039
5,2010-12-02,sz.002511,49.6100000000,49.8000000000,47.0000000000,47.3000000000,49.3600000000,7503035,361397619.5700,-4.173400,65.763727,12.070436,4.470714,-350.153237
6,2010-12-03,sz.002511,46.7000000000,46.9900000000,44.2600000000,45.9900000000,47.3000000000,5927622,269258913.0400,-2.769600,63.942364,11.736139,4.346895,-340.455547
7,2010-12-06,sz.002511,45.3500000000,46.2800000000,44.5000000000,44.8200000000,45.9900000000,2520541,114279684.5100,-2.544000,62.315650,11.437568,4.236309,-331.794251
8,2010-12-07,sz.002511,44.4900000000,45.0300000000,43.6000000000,44.8300000000,44.8200000000,2555226,113352844.9400,0.022300,62.329553,11.440119,4.237254,-331.868279
9,2010-12-08,sz.002511,44.6600000000,45.3600000000,43.8100000000,44.6900000000,44.8300000000,2193047,97700462.9300,-0.312300,62.134904,11.404393,4.224021,-330.831885
10,2010-12-09,sz.002511,44.0900000000,44.3400000000,42.6900000000,42.8400000000,44.6900000000,2308086,100135047.4300,-4.139600,59.562750,10.932294,4.049163,-317.136674
11,2010-12-10,sz.002511,42.4900000000,42.8300000000,42.0200000000,42.7500000000,42.8400000000,2055116,87197495.2600,-0.210100,59.437618,10.909327,4.040656,-316.470420
12,2010-12-13,sz.002511,43.1500000000,43.5500000000,42.7000000000,43.5000000000,42.7500000000,2067195,89398728.1500,1.754400,60.480383,11.100718,4.111545,-322.022533
13,2010-12-14,sz.002511,43.5200000000,44.7000000000,42.9100000000,44.5700000000,43.5000000000,2739683,120145261.7500,2.459800,61.968061,11.373770,4.212679,-329.943547
14,2010-12-15,sz.002511,44.2800000000,44.4500000000,43.5000000000,43.6000000000,44.5700000000,1897129,83468584.2500,-2.176400,60.619418,11.126237,4.120997,-322.762814
15,2010-12-16,sz.002511,43.5000000000,44.7000000000,43.2600000000,43.9000000000,43.6000000000,1667940,73459208.8400,0.688100,61.036524,11.202794,4.149352,-324.983660
16,2010-12-17,sz.002511,43.6100000000,44.4800000000,43.5700000000,43.9500000000,43.9000000000,1319731,58151169.2200,0.113900,61.106042,11.215553,4.154078,-325.353800
17,2010-12-20,sz.002511,44.0500000000,44.9800000000,43.3300000000,44.2300000000,43.9500000000,2435188,107681778.4500,0.637100,61.495341,11.287006,4.180543,-327.426589
18,2010-12-21,sz.002511,44.2900000000,45.8400000000,44.2900000000,45.1600000000,44.2300000000,3717594,168203145.4400,2.102600,62.788370,11.524332,4.268445,-334.311209
19,2010-12-22,sz.002511,44.6500000000,45.1100000000,43.8800000000,44.1000000000,45.1600000000,2155963,95610354.9700,-2.347200,61.314595,11.253832,4.168256,-326.464223
20,2010-12-23,sz.002511,44.0300000000,44.3000000000,41.6600000000,41.7100000000,44.1000000000,4180025,177962861.9300,-5.419500,57.991650,10.643930,3.942357,-308.771491
21,2010-12-24,sz.002511,41.5000000000,41.5000000000,39.8200000000,40.1600000000,41.7100000000,2380861,96200064.2100,-3.716100,55.836602,10.248387,3.795854,-297.297125
22,2010-12-27,sz.002511,40.1500000000,40.8000000000,38.9900000000,39.5600000000,40.1600000000,1892681,75705073.5000,-1.494000,55.002390,10.095274,3.739143,-292.855434
23,2010-12-28,sz.002511,39.5000000000,39.5600000000,38.8000000000,38.8500000000,39.5600000000,1170609,45747611.8400,-1.794700,54.015239,9.914090,3.672035,-287.599434
24,2010-12-29,sz.002511,38.9900000000,39.8800000000,38.8800000000,39.7000000000,38.8500000000,1095225,43059302.3400,2.187900,55.197039,10.131000,3.752375,-293.891829
25,2010-12-30,sz.002511,39.6600000000,39.8900000000,38.9700000000,39.5000000000,39.7000000000,1047496,41156437.9900,-0.503800,54.918968,10.079963,3.733472,-292.411265
26,2010-12-31,sz.002511,39.5200000000,40.3500000000,39.5200000000,40.1000000000,39.5000000000,1088333,43553507.7300,1.519000,55.753181,10.233076,3.790183,-296.852955
27,2011-01-04,sz.002511,40.2600000000,40.5700000000,40.0100000000,40.2800000000,40.1000000000,1063372,42838894.3900,0.448900,56.003444,10.279010,3.807196,-298.185463
28,2011-01-05,sz.002511,40.0000000000,40.6700000000,40.0000000000,40.1100000000,40.2800000000,835272,33590723.6500,-0.422000,55.767084,10.235628,3.791128,-296.926984
29,2011-01-06,sz.002511,40.0500000000,40.3900000000,39.1500000000,39.3100000000,40.1100000000,1026180,40735980.8200,-1.994500,54.654801,10.031477,3.715513,-291.004730
30,2011-01-07,sz.002511,39.5000000000,39.6600000000,38.9100000000,39.2000000000,39.3100000000,1443633,56696982.2000,-0.279800,54.501862,10.003406,3.705116,-290.190420
31,2011-01-10,sz.002511,39.0000000000,39.1500000000,38.3500000000,38.3800000000,39.2000000000,1194273,46258349.5300,-2.091800,53.361772,9.794151,3.627611,-284.120111
32,2011-01-11,sz.002511,38.0100000000,38.3600000000,37.0000000000,37.3000000000,38.3800000000,1201337,45092853.7400,-2.814000,51.860190,9.518547,3.525531,-276.125068
33,2011-01-12,sz.002511,37.4100000000,38.9900000000,37.3000000000,38.7900000000,37.3000000000,1349575,51504960.5500,3.994600,53.931817,9.898778,3.666364,-287.155265
