,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-12-31,sz.002531,25.7100000000,26.9000000000,25.1500000000,25.3200000000,24.9000000000,22039361,569950751.6700,1.686747,50.520317,15.573175,10.191369,-318.713184
1,2011-01-04,sz.002531,25.3200000000,25.3200000000,24.6100000000,25.1400000000,25.3200000000,8378505,209343311.5200,-0.710900,50.161168,15.462466,10.118919,-316.447450
2,2011-01-05,sz.002531,24.9500000000,25.6900000000,24.9500000000,25.4100000000,25.1400000000,5777554,146686196.7800,1.074000,50.699891,15.628530,10.227594,-319.846051
3,2011-01-06,sz.002531,25.4700000000,25.4900000000,25.0400000000,25.0400000000,25.4100000000,3516548,88598628.1800,-1.456100,49.961640,15.400960,10.078668,-315.188709
4,2011-01-07,sz.002531,25.0900000000,25.4500000000,24.9600000000,25.3800000000,25.0400000000,4348144,109754972.6400,1.357800,50.640033,15.610079,10.215519,-319.468428
5,2011-01-10,sz.002531,25.4600000000,26.3000000000,25.2500000000,26.0200000000,25.3800000000,8848941,229129866.9100,2.521700,51.917008,16.003713,10.473121,-327.524370
6,2011-01-11,sz.002531,25.7500000000,25.8000000000,24.9000000000,24.9300000000,26.0200000000,4967526,124959358.7300,-4.189100,49.742160,15.333304,10.034393,-313.804095
7,2011-01-12,sz.002531,25.0100000000,25.6000000000,24.9200000000,25.3700000000,24.9300000000,2424942,60835711.4000,1.764900,50.620080,15.603928,10.211494,-319.342554
8,2011-01-13,sz.002531,25.1300000000,25.1500000000,24.6000000000,24.6400000000,25.3700000000,3270104,81121941.0100,-2.877400,49.163531,15.154938,9.917667,-310.153746
9,2011-01-14,sz.002531,24.4700000000,24.4800000000,23.3200000000,23.4600000000,24.6400000000,3545567,84568407.1400,-4.789000,46.809109,14.429174,9.442714,-295.300604
10,2011-01-17,sz.002531,23.3700000000,23.3700000000,22.5100000000,22.7000000000,23.4600000000,1994008,45373674.7800,-3.239600,45.292701,13.961733,9.136812,-285.734174
11,2011-01-18,sz.002531,22.7100000000,22.9500000000,22.5100000000,22.7500000000,22.7000000000,835661,19027264.2400,0.220300,45.392465,13.992486,9.156937,-286.363544
12,2011-01-19,sz.002531,22.7000000000,23.1300000000,22.7000000000,23.0500000000,22.7500000000,1216574,27877794.9500,1.318700,45.991047,14.177002,9.277688,-290.139766
13,2011-01-20,sz.002531,22.9600000000,23.1500000000,21.8900000000,21.9000000000,23.0500000000,1640178,36932988.1900,-4.989200,43.696482,13.469690,8.814810,-275.664247
14,2011-01-21,sz.002531,21.8600000000,22.5000000000,21.7400000000,22.0900000000,21.9000000000,1033881,22849319.8400,0.867600,44.075584,13.586550,8.891285,-278.055854
15,2011-01-24,sz.002531,22.1800000000,22.2600000000,21.9400000000,22.1900000000,22.0900000000,808680,17887495.8300,0.452700,44.275112,13.648055,8.931536,-279.314595
16,2011-01-25,sz.002531,22.2500000000,22.5800000000,21.7500000000,22.5000000000,22.1900000000,1422453,31497530.1400,1.397000,44.893646,13.838722,9.056311,-283.216692
17,2011-01-26,sz.002531,22.2600000000,22.7800000000,22.2100000000,22.5200000000,22.5000000000,1024695,23134445.5400,0.088900,44.933552,13.851023,9.064362,-283.468440
18,2011-01-27,sz.002531,22.3100000000,22.8300000000,22.1200000000,22.7200000000,22.5200000000,1305528,29555923.9300,0.888100,45.332606,13.974034,9.144862,-285.985922
19,2011-01-28,sz.002531,22.7000000000,22.7900000000,22.4100000000,22.5000000000,22.7200000000,1154869,26062896.5600,-0.968300,44.893646,13.838722,9.056311,-283.216692
20,2011-01-31,sz.002531,22.4800000000,22.7300000000,22.2000000000,22.6500000000,22.5000000000,1006001,22596323.6800,0.666700,45.192937,13.930980,9.116687,-285.104803
21,2011-02-01,sz.002531,22.4900000000,22.6800000000,22.4100000000,22.5200000000,22.6500000000,747332,16815229.4400,-0.574000,44.933552,13.851023,9.064362,-283.468440
22,2011-02-09,sz.002531,22.3600000000,22.4800000000,22.1500000000,22.1900000000,22.5200000000,802296,17869402.9600,-1.465400,44.275112,13.648055,8.931536,-279.314595
23,2011-02-10,sz.002531,22.1600000000,22.9400000000,22.0200000000,22.9000000000,22.1900000000,1572170,35451304.1700,3.199600,45.691756,14.084744,9.217313,-288.251655
24,2011-02-11,sz.002531,22.8000000000,23.3900000000,22.8000000000,23.2800000000,22.9000000000,1985380,45799885.5900,1.659400,46.449959,14.318465,9.370264,-293.034870
25,2011-02-14,sz.002531,23.2800000000,23.6600000000,23.1100000000,23.4800000000,23.2800000000,1777779,41555599.2200,0.859100,46.849014,14.441475,9.450764,-295.552352
26,2011-02-15,sz.002531,23.4100000000,23.5600000000,23.2500000000,23.2600000000,23.4800000000,1677208,39244306.6700,-0.937000,46.410054,14.306163,9.362214,-292.783122
27,2011-02-16,sz.002531,23.1800000000,23.6400000000,23.1800000000,23.6400000000,23.2600000000,1559587,36608610.4100,1.633700,47.168258,14.539884,9.515165,-297.566338
28,2011-02-17,sz.002531,23.7000000000,23.7500000000,23.2700000000,23.4700000000,23.6400000000,1477450,34629443.6600,-0.719100,46.829061,14.435325,9.446739,-295.426478
