,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2011-11-03,sz.002625,20.2000000000,21.0000000000,19.1900000000,19.2300000000,11.1800000000,13561177,276034238.7700,72.003570,30.659746,7.652333,6.870059,-50.516320
1,2011-11-04,sz.002625,18.3300000000,19.1900000000,18.0300000000,18.8600000000,19.2300000000,6433382,120684635.4800,-1.924100,30.069829,7.505096,6.737874,-49.544347
2,2011-11-07,sz.002625,18.7000000000,19.4400000000,18.6000000000,19.0700000000,18.8600000000,3670430,69914577.8000,1.113500,30.404647,7.588663,6.812898,-50.096008
3,2011-11-08,sz.002625,18.8300000000,19.2500000000,18.6800000000,19.1800000000,19.0700000000,3200927,60689939.4900,0.576800,30.580027,7.632436,6.852196,-50.384973
4,2011-11-09,sz.002625,19.1900000000,20.2800000000,19.1400000000,20.2800000000,19.1800000000,5823712,114595928.3100,5.735100,32.333835,8.070167,7.245180,-53.274622
5,2011-11-10,sz.002625,20.0000000000,22.2900000000,19.9000000000,21.7000000000,20.2800000000,9777795,207034276.5700,7.002000,34.597841,8.635238,7.752485,-57.004896
6,2011-11-11,sz.002625,21.6000000000,21.6000000000,20.4500000000,20.7500000000,21.7000000000,5740169,119976475.2900,-4.377900,33.083189,8.257197,7.413091,-54.509290
7,2011-11-14,sz.002625,20.9900000000,21.3500000000,20.6100000000,21.2100000000,20.7500000000,4466023,93779670.7900,2.216900,33.816600,8.440249,7.577429,-55.717689
8,2011-11-15,sz.002625,21.0000000000,21.4700000000,20.6100000000,20.9000000000,21.2100000000,4300184,90234133.9700,-1.461600,33.322345,8.316888,7.466679,-54.903333
9,2011-11-16,sz.002625,21.0000000000,21.1900000000,20.1000000000,20.8000000000,20.9000000000,3580587,74155596.0100,-0.478500,33.162908,8.277094,7.430953,-54.640638
10,2011-11-17,sz.002625,20.9300000000,20.9300000000,20.3600000000,20.7000000000,20.8000000000,2907197,60194737.9600,-0.480800,33.003471,8.237301,7.395228,-54.377942
11,2011-11-18,sz.002625,20.5800000000,20.9700000000,20.2100000000,20.8400000000,20.7000000000,3847611,79600681.1900,0.676300,33.226682,8.293012,7.445244,-54.745716
12,2011-11-21,sz.002625,20.7500000000,21.5500000000,20.6500000000,21.4800000000,20.8400000000,5696834,120640515.6400,3.071000,34.247080,8.547692,7.673888,-56.426966
13,2011-11-22,sz.002625,20.9100000000,21.2700000000,20.4900000000,21.0800000000,21.4800000000,4477461,93258150.8900,-1.862200,33.609331,8.388517,7.530985,-55.376185
14,2011-11-23,sz.002625,21.2500000000,21.4400000000,20.9000000000,21.2500000000,21.0800000000,4252950,90077903.7600,0.806500,33.880374,8.456166,7.591719,-55.822767
15,2011-11-24,sz.002625,21.0000000000,21.8700000000,20.9000000000,21.3500000000,21.2500000000,5265147,112785716.8200,0.470600,34.039811,8.495960,7.627445,-56.085462
16,2011-11-25,sz.002625,21.3500000000,21.7200000000,20.9400000000,21.6900000000,21.3500000000,5552869,118804183.7100,1.592500,34.581897,8.631258,7.748912,-56.978627
17,2011-11-28,sz.002625,21.8000000000,22.1600000000,21.5000000000,21.9800000000,21.6900000000,5312290,115926202.5800,1.337000,35.044265,8.746660,7.852517,-57.740443
18,2011-11-29,sz.002625,22.1800000000,23.2400000000,21.9000000000,22.9800000000,21.9800000000,7667549,173125491.5500,4.549600,36.638635,9.144598,8.209774,-60.367397
19,2011-11-30,sz.002625,23.0000000000,23.2900000000,21.3100000000,22.0000000000,22.9800000000,5800059,129140258.7000,-4.264600,35.076152,8.754619,7.859662,-57.792982
20,2011-12-01,sz.002625,22.5000000000,22.6800000000,21.5500000000,22.2500000000,22.0000000000,5541579,122986116.4900,1.136400,35.474745,8.854103,7.948977,-58.449721
21,2011-12-02,sz.002625,22.0000000000,22.2000000000,21.5300000000,21.6900000000,22.2500000000,3358431,73035042.3400,-2.516900,34.581897,8.631258,7.748912,-56.978627
22,2011-12-05,sz.002625,21.7800000000,21.9800000000,19.5200000000,19.6800000000,21.6900000000,3395194,70027839.8900,-9.266900,31.377213,7.831405,7.030825,-51.698450
23,2011-12-06,sz.002625,19.9800000000,19.9800000000,18.9000000000,19.2900000000,19.6800000000,4752069,91267484.2400,-1.981700,30.755408,7.676209,6.891495,-50.673938
24,2011-12-07,sz.002625,18.8800000000,19.3700000000,18.6000000000,19.2700000000,19.2900000000,3683047,69936097.6500,-0.103700,30.723521,7.668250,6.884350,-50.621399
25,2011-12-08,sz.002625,19.0500000000,19.4500000000,18.4500000000,18.9800000000,19.2700000000,2703976,51071159.3300,-1.504900,30.261153,7.552849,6.780745,-49.859582
26,2011-12-09,sz.002625,18.6200000000,19.0400000000,18.5100000000,18.6800000000,18.9800000000,1439078,26986440.9800,-1.580600,29.782842,7.433467,6.673568,-49.071496
27,2011-12-12,sz.002625,18.6400000000,19.2100000000,18.6400000000,18.9200000000,18.6800000000,1945717,36849570.2500,1.284800,30.165491,7.528972,6.759310,-49.701965
28,2011-12-13,sz.002625,18.7700000000,18.9500000000,17.8500000000,18.7000000000,18.9200000000,2289770,42196201.5400,-1.162800,29.814729,7.441426,6.680713,-49.124035
29,2011-12-14,sz.002625,18.7000000000,19.4900000000,18.6000000000,19.2300000000,18.7000000000,4701611,90217555.9300,2.834200,30.659746,7.652333,6.870059,-50.516320
30,2011-12-15,sz.002625,19.5100000000,19.5100000000,18.4000000000,18.4000000000,19.2300000000,2938475,55711388.8000,-4.316200,29.336418,7.322045,6.573536,-48.335949
31,2011-12-16,sz.002625,18.3900000000,18.6800000000,17.0200000000,18.1000000000,18.4000000000,3027670,53456690.6600,-1.630400,28.858107,7.202664,6.466358,-47.547863
32,2011-12-19,sz.002625,17.7000000000,17.7000000000,16.9300000000,17.4300000000,18.1000000000,1950726,33784364.2900,-3.701700,27.789879,6.936046,6.226996,-45.787804
33,2011-12-20,sz.002625,17.2600000000,17.5400000000,16.9300000000,17.0000000000,17.4300000000,1695004,29269763.3000,-2.467000,27.104299,6.764933,6.073375,-44.658214
34,2011-12-21,sz.002625,17.2000000000,17.2100000000,15.5800000000,15.8100000000,17.0000000000,1669636,27965983.5300,-7.000000,25.206999,6.291388,5.648239,-41.532139
35,2011-12-22,sz.002625,15.5700000000,15.5700000000,14.6100000000,14.9200000000,15.8100000000,1974651,29570086.4300,-5.629300,23.788009,5.937223,5.330280,-39.194150
36,2011-12-23,sz.002625,14.8700000000,15.3500000000,14.7500000000,15.1800000000,14.9200000000,1498073,22612933.1300,1.742600,24.202545,6.040687,5.423167,-39.877158
37,2011-12-26,sz.002625,15.1600000000,15.1600000000,14.5100000000,14.5100000000,15.1800000000,1167257,17338407.4400,-4.413700,23.134317,5.774069,5.183804,-38.117099
38,2011-12-27,sz.002625,14.4200000000,14.4200000000,13.3100000000,13.3500000000,14.5100000000,1519218,21180284.0100,-7.994500,21.284847,5.312462,4.769386,-35.069832
39,2011-12-28,sz.002625,13.3300000000,13.6000000000,13.0000000000,13.5500000000,13.3500000000,1463173,19407449.6400,1.498100,21.603721,5.392049,4.840837,-35.595223
40,2011-12-29,sz.002625,13.3500000000,13.6600000000,13.3100000000,13.3800000000,13.5500000000,1068409,14409966.1200,-1.254600,21.332678,5.324400,4.780104,-35.148641
41,2011-12-30,sz.002625,13.4100000000,13.7900000000,13.4100000000,13.6900000000,13.3800000000,1352558,18432882.0900,2.316900,21.826933,5.447761,4.890853,-35.962997
42,2012-01-04,sz.002625,13.8900000000,14.0600000000,12.7000000000,12.7800000000,13.6900000000,1537552,20843606.2800,-6.647200,20.376056,5.085638,4.565749,-33.572469
43,2012-01-05,sz.002625,12.5300000000,12.7500000000,11.8800000000,11.9200000000,12.7800000000,1508204,18420276.6700,-6.729300,19.004897,4.743412,4.258508,-31.313289
44,2012-01-06,sz.002625,11.9800000000,12.3000000000,11.7200000000,12.1800000000,11.9200000000,1015772,12194782.3300,2.181200,19.419433,4.846875,4.351395,-31.996297
45,2012-01-09,sz.002625,12.1000000000,13.4000000000,12.0100000000,13.1800000000,12.1800000000,1651689,20841693.0100,8.210200,21.013804,5.244813,4.708652,-34.623250
46,2012-01-10,sz.002625,13.1500000000,13.7400000000,12.9600000000,13.7200000000,13.1800000000,3031730,40528135.6600,4.097100,21.874764,5.459699,4.901571,-36.041805
47,2012-01-11,sz.002625,13.6500000000,13.8500000000,13.3500000000,13.5200000000,13.7200000000,2169000,29414630.2000,-1.457700,21.555890,5.380111,4.830120,-35.516415
48,2012-01-12,sz.002625,13.6000000000,13.7600000000,13.4000000000,13.5400000000,13.5200000000,1657404,22521908.6100,0.147900,21.587777,5.388070,4.837265,-35.568954
49,2012-01-13,sz.002625,13.5400000000,13.5400000000,12.4000000000,12.4200000000,13.5400000000,2317371,29875934.0800,-8.271800,19.802082,4.942380,4.437137,-32.626765
50,2012-01-16,sz.002625,12.3000000000,12.6800000000,12.1200000000,12.2000000000,12.4200000000,1125228,13929861.2700,-1.771300,19.451321,4.854834,4.358540,-32.048836
51,2012-01-17,sz.002625,12.2900000000,13.0500000000,12.1900000000,13.0100000000,12.2000000000,1399069,17768082.7100,6.639300,20.742761,5.177163,4.647918,-34.176668
