,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-10-11,sz.002701,22.9000000000,24.8300000000,22.5100000000,23.8600000000,21.6000000000,54115887,1267758572.1300,10.462960,19.566107,2.531218,2.230637,4.487611
1,2012-10-12,sz.002701,23.0500000000,23.4900000000,21.5000000000,21.7900000000,23.8600000000,28464113,638948935.7300,-8.675600,17.868628,2.311620,2.037116,4.098283
2,2012-10-15,sz.002701,21.5600000000,21.7800000000,20.6100000000,21.2800000000,21.7900000000,15376098,325405310.6200,-2.340500,17.450409,2.257516,1.989437,4.002362
3,2012-10-16,sz.002701,21.1700000000,21.5800000000,20.7200000000,21.4600000000,21.2800000000,12531706,265709545.4300,0.845900,17.598016,2.276611,2.006265,4.036217
4,2012-10-17,sz.002701,21.3000000000,21.4800000000,20.7300000000,20.7300000000,21.4600000000,9554415,201132893.8900,-3.401700,16.999388,2.199168,1.938018,3.898918
5,2012-10-18,sz.002701,20.6700000000,22.0800000000,20.6700000000,21.6900000000,20.7300000000,14326561,307904920.7600,4.631000,17.786624,2.301011,2.027767,4.079475
6,2012-10-19,sz.002701,21.6800000000,21.7500000000,21.3500000000,21.4000000000,21.6900000000,6973178,149848918.3500,-1.337026,17.548813,2.270246,2.000655,4.024932
7,2012-10-22,sz.002701,21.0500000000,21.1800000000,20.7400000000,21.1400000000,21.4000000000,6602046,138569872.8700,-1.215000,17.335603,2.242664,1.976348,3.976031
8,2012-10-23,sz.002701,21.0600000000,21.2000000000,20.7100000000,20.7500000000,21.1400000000,6607797,138075332.7800,-1.844800,17.015789,2.201290,1.939888,3.902679
9,2012-10-24,sz.002701,20.5700000000,20.5800000000,19.8800000000,20.1300000000,20.7500000000,10637183,214741133.1500,-2.988000,16.507365,2.135517,1.881925,3.786069
10,2012-10-25,sz.002701,20.1900000000,20.5900000000,20.0000000000,20.5000000000,20.1300000000,7436558,151237467.4000,1.838100,16.810779,2.174768,1.916516,3.855659
11,2012-10-26,sz.002701,20.5000000000,20.8500000000,20.2300000000,20.5200000000,20.5000000000,6808723,139878028.8000,0.097600,16.827180,2.176890,1.918385,3.859421
12,2012-10-29,sz.002701,20.3800000000,21.2900000000,20.2800000000,21.1500000000,20.5200000000,7584612,158857264.0700,3.070200,17.343804,2.243725,1.977283,3.977912
13,2012-10-30,sz.002701,21.1800000000,21.2900000000,20.7600000000,21.2100000000,21.1500000000,5023487,105642048.7700,0.283700,17.393006,2.250090,1.982892,3.989196
14,2012-10-31,sz.002701,21.2700000000,21.6300000000,21.0800000000,21.1500000000,21.2100000000,5901470,125965484.4800,-0.282900,17.343804,2.243725,1.977283,3.977912
15,2012-11-01,sz.002701,21.1800000000,21.6000000000,21.1000000000,21.3300000000,21.1500000000,6574730,140374220.9800,0.851100,17.491411,2.262820,1.994111,4.011766
16,2012-11-02,sz.002701,21.4600000000,21.4700000000,20.8100000000,21.1100000000,21.3300000000,6409652,135354108.2700,-1.031400,17.311002,2.239481,1.973544,3.970388
17,2012-11-05,sz.002701,21.0000000000,21.1700000000,20.7100000000,20.7100000000,21.1100000000,4291769,89823430.9900,-1.894800,16.982987,2.197047,1.936148,3.895156
18,2012-11-06,sz.002701,20.4100000000,22.3300000000,20.4100000000,21.8500000000,20.7100000000,14622630,315326571.9100,5.504600,17.917830,2.317985,2.042725,4.109568
19,2012-11-07,sz.002701,21.6500000000,22.1500000000,21.5000000000,21.7000000000,21.8500000000,6686799,145702017.1400,-0.686500,17.794825,2.302072,2.028702,4.081356
20,2012-11-08,sz.002701,21.5200000000,22.4400000000,21.5200000000,21.7300000000,21.7000000000,10328273,228166291.3600,0.138200,17.819426,2.305255,2.031507,4.086999
21,2012-11-09,sz.002701,21.8500000000,22.6000000000,21.7300000000,22.4000000000,21.7300000000,10503842,234388064.7300,3.083300,18.368851,2.376332,2.094144,4.213013
22,2012-11-12,sz.002701,22.3100000000,22.5400000000,21.8200000000,22.1800000000,22.4000000000,6964126,153938387.4800,-0.982100,18.188443,2.352993,2.073576,4.171635
23,2012-11-13,sz.002701,22.1100000000,22.5400000000,21.6400000000,21.7000000000,22.1800000000,7642797,168730994.7100,-2.164100,17.794825,2.302072,2.028702,4.081356
24,2012-11-14,sz.002701,21.6600000000,22.2800000000,21.3600000000,21.8500000000,21.7000000000,7196354,157294592.3300,0.691200,17.917830,2.317985,2.042725,4.109568
25,2012-11-15,sz.002701,21.6000000000,21.6500000000,20.8000000000,20.9000000000,21.8500000000,7425838,156789577.3200,-4.347800,17.138794,2.217203,1.953911,3.930891
26,2012-11-16,sz.002701,20.6600000000,21.1600000000,20.5500000000,20.8200000000,20.9000000000,4263956,88983196.3900,-0.382800,17.073191,2.208716,1.946432,3.915845
27,2012-11-19,sz.002701,20.5800000000,21.0000000000,20.5000000000,20.8800000000,20.8200000000,3798486,78851474.9500,0.288200,17.122393,2.215081,1.952041,3.927130
28,2012-11-20,sz.002701,21.0000000000,22.2900000000,20.9200000000,21.9300000000,20.8800000000,11170175,242284008.9000,5.028700,17.983433,2.326472,2.050204,4.124615
29,2012-11-21,sz.002701,21.7000000000,22.0800000000,21.4800000000,22.0700000000,21.9300000000,7802653,169988697.8000,0.638400,18.098239,2.341324,2.063293,4.150946
30,2012-11-22,sz.002701,21.8900000000,22.5300000000,21.8200000000,21.9500000000,22.0700000000,8099552,179517504.6600,-0.543700,17.999834,2.328594,2.052074,4.128376
31,2012-11-23,sz.002701,22.0500000000,22.4900000000,21.7100000000,21.7900000000,21.9500000000,5750121,126522200.9400,-0.728900,17.868628,2.311620,2.037116,4.098283
32,2012-11-26,sz.002701,21.7200000000,22.0500000000,20.9600000000,21.0800000000,21.7900000000,5083921,109408081.0400,-3.258400,17.286401,2.236298,1.970739,3.964746
33,2012-11-27,sz.002701,20.9800000000,20.9800000000,20.0000000000,20.0100000000,21.0800000000,5667505,115917364.7000,-5.075900,16.408960,2.122786,1.870706,3.763499
34,2012-11-28,sz.002701,20.1000000000,20.4500000000,19.9300000000,20.1600000000,20.0100000000,3696065,74632796.5300,0.749600,16.531966,2.138699,1.884729,3.791711
35,2012-11-29,sz.002701,20.2000000000,20.4400000000,18.1400000000,18.2000000000,20.1600000000,10865987,206229252.8900,-9.722200,14.924692,1.930770,1.701492,3.423073
36,2012-11-30,sz.002701,18.0100000000,18.3600000000,17.7800000000,18.2600000000,18.2000000000,5140281,93160542.0900,0.329700,14.973894,1.937135,1.707101,3.434358
37,2012-12-03,sz.002701,18.2600000000,18.2900000000,16.9100000000,17.1100000000,18.2600000000,7672653,134138779.8100,-6.297900,14.030850,1.815136,1.599589,3.218065
38,2012-12-04,sz.002701,17.0500000000,17.6600000000,17.0000000000,17.6500000000,17.1100000000,4014203,69574179.5000,3.156000,14.473671,1.872423,1.650073,3.319628
