,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2014-01-23,sz.002709,16.3900000000,19.8300000000,16.3900000000,19.8300000000,13.6600000000,5926407,116329119.0000,45.168380,29.360856,4.354673,4.005968,141.415496
1,2014-01-24,sz.002709,21.8100000000,21.8100000000,21.8100000000,21.8100000000,19.8300000000,5683243,123951529.0000,9.984900,32.292500,4.789481,4.405958,155.535651
2,2014-01-27,sz.002709,23.3000000000,23.9900000000,23.0300000000,23.9900000000,21.8100000000,13644893,324416672.0000,9.995400,35.520270,5.268210,4.846352,171.082085
3,2014-01-28,sz.002709,24.6000000000,25.9500000000,24.0900000000,25.5700000000,23.9900000000,18907406,472824864.0000,6.586100,37.859662,5.615178,5.165537,182.349683
4,2014-01-29,sz.002709,25.1300000000,25.5100000000,23.5800000000,24.6300000000,25.5700000000,11668733,288245984.0000,-3.676200,36.467872,5.408754,4.975642,175.646175
5,2014-01-30,sz.002709,24.3800000000,27.0900000000,24.0900000000,25.5100000000,24.6300000000,10483663,267498219.0000,3.572900,37.770824,5.602002,5.153416,181.921800
6,2014-02-07,sz.002709,24.9500000000,28.0600000000,24.9000000000,28.0600000000,25.5100000000,12978611,350584960.0000,9.996100,41.546426,6.161983,5.668555,200.106848
7,2014-02-10,sz.002709,28.0600000000,30.7900000000,27.5000000000,29.3200000000,28.0600000000,12785973,370726080.0000,4.490400,43.412018,6.438679,5.923095,209.092402
8,2014-02-11,sz.002709,28.8800000000,31.9900000000,28.6600000000,31.9000000000,29.3200000000,12187605,368546704.0000,8.799500,47.232038,7.005248,6.444295,227.491392
9,2014-02-12,sz.002709,32.0000000000,34.1800000000,30.7000000000,31.6700000000,31.9000000000,12766512,411006320.0000,-0.721000,46.891494,6.954740,6.397831,225.851172
10,2014-02-13,sz.002709,31.2500000000,34.1600000000,30.8200000000,32.5100000000,31.6700000000,11169908,361927696.0000,2.652400,48.135222,7.139204,6.567524,231.841541
11,2014-02-14,sz.002709,32.0800000000,33.9000000000,31.6000000000,33.9000000000,32.5100000000,9981840,331034832.0000,4.275600,50.193295,7.444448,6.848326,241.754175
12,2014-02-17,sz.002709,35.7400000000,36.2900000000,33.0800000000,34.7400000000,33.9000000000,9646661,333497856.0000,2.477900,51.437022,7.628912,7.018019,247.744544
13,2014-02-18,sz.002709,34.2000000000,36.2400000000,33.7800000000,34.4500000000,34.7400000000,9385707,326875200.0000,-0.834800,51.007640,7.565228,6.959434,245.676441
14,2014-02-19,sz.002709,35.0000000000,35.0000000000,31.4500000000,32.9000000000,34.4500000000,7223957,237730079.0000,-4.499300,48.712667,7.224848,6.646310,234.622784
15,2014-02-20,sz.002709,32.2000000000,33.8000000000,31.4500000000,32.8800000000,32.9000000000,4992672,163718004.0000,-0.060800,48.683054,7.220456,6.642270,234.480156
16,2014-02-21,sz.002709,32.5000000000,32.8500000000,31.6000000000,32.7500000000,32.8800000000,3972412,127990445.0000,-0.395400,48.490572,7.191908,6.616008,233.553075
17,2014-02-24,sz.002709,32.8000000000,33.9900000000,32.4000000000,33.9900000000,32.7500000000,4720280,157607419.0000,3.786300,50.326551,7.464212,6.866507,242.396001
18,2014-02-25,sz.002709,34.0900000000,35.5000000000,30.5900000000,31.0000000000,33.9900000000,7077132,234529795.0000,-8.796700,45.899473,6.807607,6.262481,221.073140
19,2014-02-26,sz.002709,29.0000000000,30.5000000000,28.4700000000,29.4200000000,31.0000000000,5495634,160470664.0000,-5.096800,43.560081,6.460639,5.943296,209.805541
20,2014-02-27,sz.002709,29.6400000000,32.3600000000,29.3300000000,32.0500000000,29.4200000000,10438582,328725136.0000,8.939500,47.454133,7.038188,6.474597,228.561101
