,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2017-01-19,sz.002841,22.8700000000,27.4500000000,22.8700000000,27.4500000000,19.0600000000,23300,637982.0000,44.018890,17.870829,10.098918,1.424202,21.824473
1,2017-01-20,sz.002841,30.2000000000,30.2000000000,30.2000000000,30.2000000000,27.4500000000,8126,245405.0000,10.018210,19.661167,11.110650,1.566882,24.010896
2,2017-01-23,sz.002841,33.2200000000,33.2200000000,33.2200000000,33.2200000000,30.2000000000,6958,231144.0000,10.000000,21.627284,12.221715,1.723570,26.411985
3,2017-01-24,sz.002841,36.5400000000,36.5400000000,36.5400000000,36.5400000000,33.2200000000,9848,359845.0000,9.993979,23.788711,13.443150,1.895824,29.051594
4,2017-01-25,sz.002841,40.1900000000,40.1900000000,40.1900000000,40.1900000000,36.5400000000,47436,1906452.0000,9.989046,26.164977,14.785994,2.085198,31.953573
5,2017-01-26,sz.002841,44.2100000000,44.2100000000,44.2100000000,44.2100000000,40.1900000000,75977,3358943.0000,10.002490,28.782126,16.264961,2.293770,35.149725
6,2017-02-03,sz.002841,48.6300000000,48.6300000000,48.6300000000,48.6300000000,44.2100000000,95418,4640177.0000,9.997743,31.659688,17.891089,2.523095,38.663903
7,2017-02-06,sz.002841,53.4900000000,53.4900000000,53.4900000000,53.4900000000,48.6300000000,174535,9335877.0000,9.993832,34.823704,19.679094,2.775249,42.527908
8,2017-02-07,sz.002841,58.8400000000,58.8400000000,58.8400000000,58.8400000000,53.4900000000,161433,9498717.0000,10.001870,38.306725,21.647372,3.052826,46.781494
9,2017-02-08,sz.002841,64.7200000000,64.7200000000,58.9000000000,64.7200000000,58.8400000000,26026191,1616011152.0000,9.993204,42.134793,23.810637,3.357901,51.456463
10,2017-02-09,sz.002841,63.6000000000,71.0800000000,63.6000000000,68.0100000000,64.7200000000,20148940,1363227376.0000,5.083437,44.276689,25.021036,3.528598,54.072219
11,2017-02-10,sz.002841,68.8000000000,73.4400000000,66.6600000000,72.0800000000,68.0100000000,15532378,1085397808.0000,5.984413,46.926389,26.518398,3.739764,57.308125
12,2017-02-13,sz.002841,71.1900000000,75.5800000000,69.1000000000,74.1100000000,72.0800000000,12463777,900720768.0000,2.816314,48.247984,27.265240,3.845087,58.922102
13,2017-02-14,sz.002841,73.0000000000,74.2500000000,70.9300000000,71.8700000000,74.1100000000,9300844,673791856.0000,-3.022531,46.789672,26.441139,3.728868,57.141162
14,2017-02-15,sz.002841,71.4500000000,74.9200000000,69.8800000000,69.9500000000,71.8700000000,10992578,797268768.0000,-2.671498,45.539691,25.734766,3.629252,55.614641
15,2017-02-16,sz.002841,68.8100000000,73.9500000000,68.8100000000,71.7000000000,69.9500000000,10647846,763342704.0000,2.501787,46.678997,26.378595,3.720048,57.006001
16,2017-02-17,sz.002841,71.3000000000,71.7700000000,65.0000000000,66.3900000000,71.7000000000,11208094,763301712.0000,-7.405855,43.222017,24.425034,3.444546,52.784218
17,2017-02-20,sz.002841,66.5000000000,66.9000000000,62.9800000000,65.0000000000,66.3900000000,7208507,464722240.0000,-2.093688,42.317082,23.913650,3.372428,51.679080
18,2017-02-21,sz.002841,65.0000000000,68.5000000000,64.6000000000,66.8000000000,65.0000000000,6313310,420174656.0000,2.769236,43.488940,24.575874,3.465819,53.110193
19,2017-02-22,sz.002841,66.6300000000,73.4800000000,65.8000000000,73.4800000000,66.8000000000,10393177,728528800.0000,10.000000,47.837834,27.033461,3.812401,58.421213
20,2017-02-23,sz.002841,76.0000000000,80.1000000000,75.2500000000,78.0100000000,73.4800000000,13577298,1050219712.0000,6.164941,50.787009,28.700059,4.047433,62.022847
21,2017-02-24,sz.002841,76.8700000000,78.8800000000,76.0000000000,76.8000000000,78.0100000000,7472218,578347392.0000,-1.551082,49.999260,28.254897,3.984654,61.060821
22,2017-02-27,sz.002841,77.1800000000,81.0400000000,76.4800000000,79.2000000000,76.8000000000,8114115,639924352.0000,3.124992,51.561737,29.137862,4.109174,62.968972
23,2017-02-28,sz.002841,82.0000000000,87.1200000000,80.1200000000,87.1200000000,79.2000000000,6682813,555070208.0000,10.000010,47.378700,32.051649,4.267197,69.265869
