,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2017-12-13,sz.002916,23.1600000000,27.7900000000,23.1600000000,27.7900000000,19.3000000000,29866,822337.1400,43.989600,19.148486,4.344763,1.421576,-42.986728
1,2017-12-14,sz.002916,30.5700000000,30.5700000000,30.5700000000,30.5700000000,27.7900000000,14602,446383.1400,10.003600,21.064024,4.779395,1.563784,-47.286947
2,2017-12-15,sz.002916,33.6300000000,33.6300000000,33.6300000000,33.6300000000,30.5700000000,24885,836882.5500,10.009800,23.172493,5.257804,1.720316,-52.020282
3,2017-12-18,sz.002916,36.9900000000,36.9900000000,36.9900000000,36.9900000000,33.6300000000,32395,1198291.0500,9.991100,25.487676,5.783115,1.892194,-57.217670
4,2017-12-19,sz.002916,40.6900000000,40.6900000000,40.6900000000,40.6900000000,36.9900000000,99222,4037343.1800,10.002700,28.037132,6.361583,2.081465,-62.940984
5,2017-12-20,sz.002916,44.7600000000,44.7600000000,44.7600000000,44.7600000000,40.6900000000,130822,5855592.7200,10.002500,30.841535,6.997898,2.289663,-69.236629
6,2017-12-21,sz.002916,49.2400000000,49.2400000000,49.2400000000,49.2400000000,44.7600000000,305646,15050009.0400,10.008900,33.928444,7.698313,2.518833,-76.166480
7,2017-12-22,sz.002916,54.1600000000,54.1600000000,54.1600000000,54.1600000000,49.2400000000,431387,23363919.9200,9.991900,37.318532,8.467519,2.770512,-83.776940
8,2017-12-25,sz.002916,59.5800000000,59.5800000000,59.5800000000,59.5800000000,54.1600000000,501199,29861436.4200,10.007400,41.053142,9.314896,3.047768,-92.160822
9,2017-12-26,sz.002916,65.5400000000,65.5400000000,65.5400000000,65.5400000000,59.5800000000,427280,28003931.2000,10.003400,45.159834,10.246698,3.352647,-101.379997
10,2017-12-27,sz.002916,72.0900000000,72.0900000000,72.0900000000,72.0900000000,65.5400000000,516917,37264546.5300,9.993900,49.673061,11.270742,3.687707,-111.511810
11,2017-12-28,sz.002916,79.3000000000,79.3000000000,79.3000000000,79.3000000000,72.0900000000,2982907,236544525.1000,10.001400,54.641057,12.397973,4.056529,-122.664538
12,2017-12-29,sz.002916,87.0000000000,87.2300000000,83.6000000000,87.2300000000,79.3000000000,44805613,3872659607.2500,10.000000,60.105162,13.637770,4.462182,-134.930991
13,2018-01-02,sz.002916,87.2300000000,87.2300000000,87.2300000000,87.2300000000,87.2300000000,0,0.0000,0.000000,60.105162,13.637770,4.462182,-134.930991
14,2018-01-03,sz.002916,87.2300000000,87.2300000000,87.2300000000,87.2300000000,87.2300000000,0,0.0000,0.000000,60.105162,13.637770,4.462182,-134.930991
15,2018-01-04,sz.002916,87.2300000000,95.9500000000,86.1100000000,95.9500000000,87.2300000000,27274110,2536362341.7800,9.996552,66.113611,15.001078,4.908247,-148.419450
16,2018-01-05,sz.002916,101.5000000000,103.5000000000,92.6100000000,92.8000000000,95.9500000000,32529340,3152738004.6800,-3.282954,63.943128,14.508599,4.747111,-143.546899
17,2018-01-08,sz.002916,95.9400000000,102.0000000000,94.0800000000,99.0000000000,92.8000000000,27813970,2706073962.1500,6.681031,68.215190,15.477923,5.064267,-153.137317
18,2018-01-09,sz.002916,96.6100000000,97.4400000000,92.0600000000,92.2400000000,99.0000000000,22943895,2160253669.3300,-6.828285,63.557264,14.421047,4.718465,-142.680668
19,2018-01-10,sz.002916,90.0800000000,97.8500000000,90.0200000000,95.0000000000,92.2400000000,22434182,2126405964.7500,2.992197,65.459021,14.852553,4.859650,-146.949950
20,2018-01-11,sz.002916,93.5400000000,102.5000000000,93.0000000000,96.1000000000,95.0000000000,26530546,2586440766.5400,1.157893,66.216968,15.024530,4.915920,-148.651476
21,2018-01-12,sz.002916,95.0000000000,100.0000000000,94.0400000000,94.0400000000,96.1000000000,21183371,2052320430.9600,-2.143598,64.797541,14.702464,4.810542,-145.464982
22,2018-01-15,sz.002916,95.3000000000,96.8800000000,84.6400000000,84.7100000000,94.0400000000,26354980,2385099344.0900,-9.921311,58.368776,13.243787,4.333273,-131.032950
23,2018-01-16,sz.002916,82.0000000000,84.5000000000,80.3500000000,82.1500000000,84.7100000000,19495805,1602897274.1800,-3.022073,56.604827,12.843550,4.202319,-127.073036
24,2018-01-17,sz.002916,83.0000000000,86.6800000000,81.1100000000,83.8000000000,82.1500000000,17334683,1455976167.2300,2.008523,57.741747,13.101515,4.286723,-129.625325
25,2018-01-18,sz.002916,82.0000000000,82.7300000000,79.8000000000,79.9100000000,83.8000000000,14981758,1213874214.1500,-4.642004,55.061372,12.493342,4.087733,-123.608111
