,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2019-01-17,sz.002945,4.3400000000,5.2100000000,4.3400000000,5.2100000000,3.6200000000,315101,1636204.2100,43.922660,32.736634,3.595470,12.633235,-14.253542
1,2019-01-18,sz.002945,5.7300000000,5.7300000000,5.7300000000,5.7300000000,5.2100000000,252311,1445742.0300,9.980806,36.004014,3.954327,13.894134,-15.676161
2,2019-01-21,sz.002945,6.3000000000,6.3000000000,6.3000000000,6.3000000000,5.7300000000,576554,3632290.2000,9.947647,39.585565,4.347689,15.276273,-17.235569
3,2019-01-22,sz.002945,6.9300000000,6.9300000000,6.9300000000,6.9300000000,6.3000000000,1026139,7111143.2700,9.999994,43.544122,4.782458,16.803900,-18.959126
4,2019-01-23,sz.002945,7.6200000000,7.6200000000,7.6200000000,7.6200000000,6.9300000000,2001014,15247726.6800,9.956711,47.879684,5.258634,18.477016,0.000000
5,2019-01-24,sz.002945,8.3800000000,8.3800000000,8.3800000000,8.3800000000,7.6200000000,2097446,17576597.4800,9.973756,52.655085,5.783117,20.319868,0.000000
6,2019-01-25,sz.002945,9.2200000000,9.2200000000,9.2200000000,9.2200000000,8.3800000000,2344194,21613468.6800,10.023870,57.933161,6.362809,22.356704,0.000000
7,2019-01-28,sz.002945,10.1400000000,10.1400000000,9.5100000000,9.5700000000,9.2200000000,184418345,1817268628.0300,3.796089,60.132359,6.604347,23.205386,0.000000
8,2019-01-29,sz.002945,9.5000000000,9.8800000000,9.2700000000,9.4300000000,9.5700000000,120496712,1163887999.3600,-1.462899,59.252680,6.507731,22.865914,0.000000
9,2019-01-30,sz.002945,9.4400000000,9.7800000000,9.4000000000,9.6200000000,9.4300000000,89212905,856583183.3200,2.014842,60.446530,6.638852,23.326627,0.000000
10,2019-01-31,sz.002945,9.3400000000,9.4200000000,8.6600000000,8.6600000000,9.6200000000,96939043,870474818.4700,-9.979211,54.414444,5.976347,20.998813,0.000000
11,2019-02-01,sz.002945,9.0000000000,9.5000000000,9.0000000000,9.3000000000,8.6600000000,86160673,792755724.8400,7.390305,58.435835,6.418017,22.550689,0.000000
12,2019-02-11,sz.002945,9.1900000000,10.1800000000,9.0700000000,9.7900000000,9.3000000000,105148266,1007945196.4400,5.268815,61.514712,6.756171,23.738843,0.000000
13,2019-02-12,sz.002945,9.7900000000,10.4800000000,9.6600000000,9.9000000000,9.7900000000,126320403,1263669362.8100,1.123592,62.205889,6.832083,24.005572,0.000000
14,2019-02-13,sz.002945,9.9400000000,10.8900000000,9.8500000000,10.8900000000,9.9000000000,152790970,1587008297.8600,10.000010,68.426477,7.515291,26.406129,0.000000
15,2019-02-14,sz.002945,10.5300000000,10.7300000000,10.2900000000,10.5800000000,10.8900000000,118086760,1243974009.8300,-2.846652,66.478616,7.301357,25.654440,0.000000
16,2019-02-15,sz.002945,10.4100000000,10.7600000000,10.3400000000,10.5100000000,10.5800000000,81248323,857257011.8000,-0.661623,66.038777,7.253050,25.484703,0.000000
17,2019-02-18,sz.002945,10.7900000000,11.1900000000,10.4800000000,10.8400000000,10.5100000000,108750292,1175551069.5100,3.139866,68.112306,7.480786,26.284889,0.000000
18,2019-02-19,sz.002945,10.6800000000,11.2900000000,10.5500000000,10.6500000000,10.8400000000,109541337,1186383317.2700,-1.752772,66.918456,7.349665,25.824176,0.000000
19,2019-02-20,sz.002945,10.7100000000,10.7800000000,10.2100000000,10.5200000000,10.6500000000,67742338,710355231.2000,-1.220649,66.101611,7.259951,25.508951,0.000000
20,2019-02-21,sz.002945,10.4400000000,10.9400000000,10.2000000000,10.4400000000,10.5200000000,88908651,939228691.1400,-0.760465,65.598937,7.204742,25.314967,0.000000
21,2019-02-22,sz.002945,10.5700000000,11.4800000000,10.3900000000,11.4800000000,10.4400000000,123212756,1353119212.8200,9.961685,72.133697,7.922456,27.836764,0.000000
22,2019-02-25,sz.002945,12.6300000000,12.6300000000,12.1000000000,12.6300000000,11.4800000000,76319754,960139949.5000,10.017430,79.359634,8.716082,30.625290,0.000000
23,2019-02-26,sz.002945,13.8900000000,13.8900000000,13.8900000000,13.8900000000,12.6300000000,17757372,246649897.0800,9.976249,87.276747,9.585619,33.680545,0.000000
24,2019-02-27,sz.002945,14.0000000000,15.2800000000,13.8000000000,15.2800000000,13.8900000000,161085698,2366874029.7200,10.007190,96.010705,10.544871,37.051024,-41.803095
25,2019-02-28,sz.002945,14.5100000000,14.7800000000,13.7500000000,13.8600000000,15.2800000000,88471609,1249146057.3800,-9.293194,108.572631,9.564916,37.390450,-37.918253
26,2019-03-01,sz.002945,14.0300000000,15.1500000000,13.6200000000,14.6000000000,13.8600000000,109669406,1586300591.9200,5.339111,114.369438,10.075597,39.386765,-39.942748
27,2019-03-04,sz.002945,14.7000000000,16.0600000000,14.0400000000,15.1600000000,14.6000000000,141235331,2137548927.2600,3.835613,118.756211,10.462058,40.897491,-41.474799
28,2019-03-05,sz.002945,14.5800000000,15.3600000000,14.4000000000,15.1600000000,15.1600000000,93710487,1395658451.8900,0.000000,118.756211,10.462058,40.897491,-41.474799
29,2019-03-06,sz.002945,15.2400000000,16.6800000000,14.9600000000,16.6800000000,15.1600000000,132415652,2085823933.1500,10.026390,130.663166,11.511025,44.998031,-45.633222
30,2019-03-07,sz.002945,16.7100000000,18.3500000000,15.4200000000,17.7000000000,16.6800000000,138369430,2399858495.2400,6.115110,138.653359,12.214936,47.749709,-48.423742
31,2019-03-08,sz.002945,15.9300000000,16.8000000000,15.9300000000,15.9300000000,17.7000000000,94836979,1530902146.7100,-10.000000,124.788023,10.993442,42.974738,-43.581368
32,2019-03-11,sz.002945,15.0800000000,15.7800000000,14.3900000000,15.3100000000,15.9300000000,66549689,1007411015.8900,-3.892027,119.931239,10.565575,41.302149,-41.885169
33,2019-03-12,sz.002945,15.5800000000,16.0800000000,15.3100000000,15.6100000000,15.3100000000,60040455,945794595.5300,1.959499,122.281296,10.772607,42.111466,-42.705911
34,2019-03-13,sz.002945,15.6100000000,15.6600000000,14.6100000000,14.9000000000,15.6100000000,54027742,812690275.9300,-4.548367,116.719495,10.282630,40.196083,-40.763489
35,2019-03-14,sz.002945,14.5000000000,15.1200000000,14.0200000000,14.3600000000,14.9000000000,39522571,575236003.7400,-3.624161,112.489392,9.909971,38.739312,-39.286155
36,2019-03-15,sz.002945,14.6000000000,14.9500000000,14.2000000000,14.5100000000,14.3600000000,35590755,520137665.5600,1.044572,113.664421,10.013487,39.143970,-39.696526
37,2019-03-18,sz.002945,14.5300000000,14.8200000000,13.8800000000,14.8100000000,14.5100000000,37178654,540292889.9700,2.067541,116.014478,10.220520,39.953287,-40.517267
38,2019-03-19,sz.002945,14.7400000000,15.6900000000,14.6000000000,15.1700000000,14.8100000000,55040303,839622702.5900,2.430788,118.834546,10.468959,40.924468,-41.502157
39,2019-03-20,sz.002945,14.9900000000,15.6600000000,14.8800000000,15.5100000000,15.1700000000,55518762,851517458.8300,2.241267,121.497944,10.703597,41.841694,-42.432330
40,2019-03-21,sz.002945,15.6000000000,16.5000000000,15.2800000000,15.7400000000,15.5100000000,77711953,1231922586.8600,1.482911,123.299654,10.862322,42.462170,-43.061565
