,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2019-08-02,sz.002966,9.4300000000,11.3200000000,9.4300000000,11.3200000000,7.8600000000,1695323,19143329.6900,44.020300,16.407733,1.610800,4.479409,3.155832
1,2019-08-05,sz.002966,12.4500000000,12.4500000000,12.4500000000,12.4500000000,11.3200000000,834170,10385416.5000,9.982300,18.045608,1.771596,4.926558,3.470857
2,2019-08-06,sz.002966,13.7000000000,13.7000000000,13.7000000000,13.7000000000,12.4500000000,2392697,32779948.9000,10.040200,19.857416,1.949467,5.421192,3.819337
3,2019-08-07,sz.002966,15.0700000000,15.0700000000,12.8900000000,13.0100000000,13.7000000000,156395790,2105558625.2200,-5.036500,18.857298,1.851282,5.148154,3.626976
4,2019-08-08,sz.002966,12.4500000000,12.8300000000,11.8000000000,12.0500000000,13.0100000000,112025790,1369081068.8900,-7.378900,17.465829,1.714677,4.768275,3.359344
5,2019-08-09,sz.002966,11.8000000000,11.8500000000,11.1600000000,11.2000000000,12.0500000000,83274979,958878768.8200,-7.053900,16.233800,1.593725,4.431924,3.122378
6,2019-08-12,sz.002966,11.0300000000,11.4300000000,11.0300000000,11.3200000000,11.2000000000,50186195,564987235.4900,1.071400,16.407733,1.610800,4.479409,3.155832
7,2019-08-13,sz.002966,11.1300000000,11.1600000000,10.7600000000,10.8100000000,11.3200000000,52705649,575030080.9000,-4.505300,15.668516,1.538229,4.277598,3.013652
8,2019-08-14,sz.002966,10.9600000000,11.0300000000,10.6000000000,10.6400000000,10.8100000000,46859025,505168278.6500,-1.572600,15.422110,1.514039,4.210327,2.966259
9,2019-08-15,sz.002966,10.2500000000,10.5700000000,10.1500000000,10.4100000000,10.6400000000,43972170,454478544.1000,-2.161700,15.088737,1.481310,4.119315,2.902139
10,2019-08-16,sz.002966,10.4200000000,10.7400000000,10.3200000000,10.5000000000,10.4100000000,49480146,522942156.2300,0.864600,15.219187,1.494117,4.154928,2.927229
11,2019-08-19,sz.002966,10.4100000000,11.2000000000,10.3200000000,10.9800000000,10.5000000000,70928891,758472834.1300,4.571400,15.914921,1.562419,4.344868,3.061045
12,2019-08-20,sz.002966,10.8500000000,10.9400000000,10.7100000000,10.7500000000,10.9800000000,47529197,513850811.4200,-2.094700,15.581549,1.529691,4.253855,2.996925
13,2019-08-21,sz.002966,10.7700000000,10.8400000000,10.4500000000,10.5000000000,10.7500000000,34857994,369950187.7700,-2.325600,15.219187,1.494117,4.154928,2.927229
14,2019-08-22,sz.002966,10.5300000000,10.5900000000,10.4400000000,10.5500000000,10.5000000000,24393721,256703188.6100,0.476200,15.291660,1.501232,4.174714,2.941168
15,2019-08-23,sz.002966,10.5500000000,10.7000000000,10.4600000000,10.5300000000,10.5500000000,29538876,312609874.2100,-0.189600,14.765668,1.452942,3.959971,-18.642930
16,2019-08-26,sz.002966,10.2400000000,10.3200000000,10.2100000000,10.2300000000,10.5300000000,26004456,266544690.0600,-2.849000,14.344994,1.411548,3.847151,-18.111792
17,2019-08-27,sz.002966,10.2800000000,10.8300000000,10.2800000000,10.5800000000,10.2300000000,47477980,501905455.9000,3.421300,14.835780,1.459842,3.978774,-18.731453
18,2019-08-28,sz.002966,10.5100000000,10.5500000000,10.3700000000,10.3900000000,10.5800000000,26931962,280908857.4800,-1.795800,14.569353,1.433625,3.907322,-18.395065
19,2019-08-29,sz.002966,10.4300000000,10.4800000000,10.3000000000,10.3200000000,10.3900000000,21707053,225084894.9500,-0.673700,14.471196,1.423966,3.880997,-18.271133
20,2019-08-30,sz.002966,10.4000000000,10.4900000000,10.1600000000,10.2000000000,10.3200000000,28513436,293261622.5400,-1.162800,14.302926,1.407409,3.835869,-18.058678
21,2019-09-02,sz.002966,10.2100000000,10.7000000000,10.2100000000,10.5600000000,10.2000000000,50827562,534876924.9700,3.529400,14.807735,1.457082,3.971253,-18.696043
22,2019-09-03,sz.002966,10.5100000000,10.5500000000,10.3500000000,10.4700000000,10.5600000000,36722884,383034029.9400,-0.852300,14.681533,1.444664,3.937407,-18.536702
23,2019-09-04,sz.002966,10.4700000000,10.9900000000,10.4000000000,10.7800000000,10.4700000000,70592550,760424776.2400,2.960800,15.116230,1.487438,4.053987,-19.085544
24,2019-09-05,sz.002966,10.9000000000,11.3500000000,10.8100000000,10.9800000000,10.7800000000,92840553,1027222390.8700,1.855300,15.396679,1.515034,4.129200,-19.439636
25,2019-09-06,sz.002966,11.0600000000,11.1500000000,10.7300000000,10.8700000000,10.9800000000,48066083,521575028.1000,-1.001800,15.242432,1.499856,4.087833,-19.244886
26,2019-09-09,sz.002966,11.1500000000,11.1500000000,10.8600000000,10.9300000000,10.8700000000,53796343,590111581.6600,0.552000,15.326567,1.508135,4.110397,-19.351113
27,2019-09-10,sz.002966,10.8800000000,10.9500000000,10.7200000000,10.8600000000,10.9300000000,36775504,397157691.8600,-0.640400,15.228410,1.498476,4.084073,-19.227181
28,2019-09-11,sz.002966,10.9400000000,10.9400000000,10.7500000000,10.8000000000,10.8600000000,33021779,358310712.8900,-0.552500,15.144275,1.490197,4.061509,-19.120953
29,2019-09-12,sz.002966,10.8000000000,10.8700000000,10.7600000000,10.8600000000,10.8000000000,25400804,274646449.4700,0.555600,15.228410,1.498476,4.084073,-19.227181
30,2019-09-16,sz.002966,10.8600000000,10.8900000000,10.7000000000,10.7300000000,10.8600000000,27093326,291282359.7700,-1.197100,15.046117,1.480539,4.035184,-18.997021
31,2019-09-17,sz.002966,10.6700000000,10.6900000000,10.2800000000,10.3600000000,10.7300000000,32616741,341644246.8800,-3.448300,14.527286,1.429486,3.896040,-18.341952
32,2019-09-18,sz.002966,10.3800000000,10.4800000000,10.3300000000,10.3500000000,10.3600000000,18439165,191665174.5200,-0.096500,14.513263,1.428106,3.892279,-18.324247
33,2019-09-19,sz.002966,10.4000000000,10.4700000000,10.2300000000,10.4300000000,10.3500000000,21108904,218121644.3000,0.772900,14.625443,1.439144,3.922364,-18.465884
34,2019-09-20,sz.002966,10.4400000000,10.4600000000,10.3300000000,10.4100000000,10.4300000000,18155164,189014075.3900,-0.191800,14.597398,1.436385,3.914843,-18.430475
35,2019-09-23,sz.002966,10.3400000000,10.3800000000,10.2500000000,10.3300000000,10.4100000000,15571118,160234144.0700,-0.768500,14.485218,1.425346,3.884758,-18.288838
36,2019-09-24,sz.002966,10.4000000000,10.5900000000,10.3800000000,10.4500000000,10.3300000000,29674073,311634780.5100,1.161700,14.653488,1.441904,3.929886,-18.501293
37,2019-09-25,sz.002966,10.3500000000,10.5700000000,10.2700000000,10.3800000000,10.4500000000,27562210,287112989.0900,-0.669900,14.555331,1.432245,3.903561,-18.377361
38,2019-09-26,sz.002966,10.3900000000,10.8700000000,10.3100000000,10.7400000000,10.3800000000,71502476,760453329.3600,3.468200,15.060140,1.481919,4.038945,-19.014726
39,2019-09-27,sz.002966,10.6300000000,10.7500000000,10.4900000000,10.6600000000,10.7400000000,44010680,466317868.5700,-0.744900,14.947960,1.470880,4.008859,-18.873089
40,2019-09-30,sz.002966,10.6500000000,10.7400000000,10.0900000000,10.1300000000,10.6600000000,40620906,424780618.4300,-4.971900,14.204769,1.397750,3.809545,-17.934746
41,2019-10-08,sz.002966,9.9700000000,10.0700000000,9.7100000000,9.8700000000,10.1300000000,34747154,344063303.4000,-2.566600,13.840184,1.361875,3.711768,-17.474427
42,2019-10-09,sz.002966,9.8100000000,10.2900000000,9.7700000000,10.0500000000,9.8700000000,31916216,321576187.6900,1.823700,14.092589,1.386711,3.779459,-17.793109
43,2019-10-10,sz.002966,10.0000000000,10.0600000000,9.9200000000,9.9800000000,10.0500000000,21252536,211821491.8800,-0.696500,13.994432,1.377053,3.753135,-17.669177
44,2019-10-11,sz.002966,9.9600000000,10.1700000000,9.9300000000,10.0800000000,9.9800000000,26121057,263165081.4800,1.002000,14.134656,1.390851,3.790741,-17.846223
45,2019-10-14,sz.002966,10.1000000000,11.0900000000,10.0900000000,10.7600000000,10.0800000000,81400437,871668584.1700,6.746000,15.088185,1.484678,4.046466,-19.050135
46,2019-10-15,sz.002966,10.6600000000,11.2200000000,10.6100000000,11.1100000000,10.7600000000,82798169,902898805.4300,3.252800,15.578972,1.532972,4.178089,-19.669796
47,2019-10-16,sz.002966,11.1500000000,11.3900000000,10.8300000000,10.9600000000,11.1100000000,70641415,780924574.1000,-1.350100,15.368634,1.512274,4.121679,-19.404227
48,2019-10-17,sz.002966,10.8700000000,10.9800000000,10.7100000000,10.8000000000,10.9600000000,36925077,399860308.2600,-1.459900,15.144275,1.490197,4.061509,-19.120953
49,2019-10-18,sz.002966,10.8100000000,10.9300000000,10.2400000000,10.3300000000,10.8000000000,48575849,512770962.7800,-4.351900,14.485218,1.425346,3.884758,-18.288838
50,2019-10-21,sz.002966,10.2400000000,10.4000000000,10.0600000000,10.2400000000,10.3300000000,27814067,284582885.8500,-0.871300,14.359016,1.412928,3.850912,-18.129497
51,2019-10-22,sz.002966,10.3100000000,10.3800000000,10.1400000000,10.2700000000,10.2400000000,23253184,238008424.5600,0.293000,14.401084,1.417067,3.862194,-18.182610
52,2019-10-23,sz.002966,10.2300000000,10.3400000000,10.1600000000,10.1900000000,10.2700000000,19702435,201558398.4600,-0.779000,14.288904,1.406029,3.832109,-18.040974
53,2019-10-24,sz.002966,10.1500000000,10.5100000000,10.1200000000,10.4100000000,10.1900000000,32305020,335255234.9000,2.159000,14.597398,1.436385,3.914843,-18.430475
54,2019-10-25,sz.002966,10.3800000000,10.3900000000,10.1800000000,10.3400000000,10.4100000000,23337234,239832743.9500,-0.672400,14.499241,1.426726,3.888518,-18.306542
55,2019-10-28,sz.002966,10.3000000000,10.3300000000,10.2000000000,10.3300000000,10.3400000000,22027891,226107138.0700,-0.096700,14.485218,1.425346,3.884758,-18.288838
56,2019-10-29,sz.002966,10.3100000000,10.3100000000,10.0900000000,10.0900000000,10.3300000000,27170183,276782683.2000,-2.323300,14.148679,1.392231,3.794502,-17.863928
57,2019-10-30,sz.002966,10.0600000000,10.1500000000,9.9100000000,9.9200000000,10.0900000000,22569555,225769804.0600,-1.684800,13.910297,1.368774,3.730571,-17.562950
58,2019-10-31,sz.002966,9.9500000000,9.9700000000,9.8100000000,9.8800000000,9.9200000000,15241616,150512304.0000,-0.403200,13.569428,1.203029,3.590273,-3.702674
59,2019-11-01,sz.002966,9.8400000000,10.0400000000,9.8100000000,9.9700000000,9.8800000000,15353471,152512423.5500,0.910900,13.693036,1.213988,3.622978,-3.736403
60,2019-11-04,sz.002966,9.9600000000,10.0700000000,9.8700000000,9.9000000000,9.9700000000,15821912,157425782.4600,-0.702100,13.596896,1.205464,3.597541,-3.710169
61,2019-11-05,sz.002966,9.9200000000,10.0700000000,9.8500000000,10.0400000000,9.9000000000,21893107,218692280.3100,1.414100,13.789176,1.222511,3.648416,-3.762636
