,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2021-01-19,sz.003035,1.6800000000,2.0200000000,1.6800000000,2.0200000000,1.4000000000,5902479,11893600.3400,44.285700,21.877410,1.767438,4.040633,-11.548985
1,2021-01-20,sz.003035,2.2200000000,2.2200000000,2.2200000000,2.2200000000,2.0200000000,1262682,2803154.0400,9.901000,24.043490,1.942432,4.440696,-12.692449
2,2021-01-21,sz.003035,2.4400000000,2.4400000000,2.4400000000,2.4400000000,2.2200000000,994791,2427290.0400,9.909900,26.426178,2.134925,4.880765,-13.950259
3,2021-01-22,sz.003035,2.6800000000,2.6800000000,2.6800000000,2.6800000000,2.4400000000,2936473,7869747.6400,9.836100,29.025475,2.344918,5.360840,-15.322415
4,2021-01-25,sz.003035,2.9500000000,2.9500000000,2.9500000000,2.9500000000,2.6800000000,1625298,4794629.1000,10.074600,31.949683,2.581159,5.900925,-16.866092
5,2021-01-26,sz.003035,3.2500000000,3.2500000000,3.2500000000,3.2500000000,2.9500000000,1297217,4215955.2500,10.169500,35.198803,2.843650,6.501019,-18.581287
6,2021-01-27,sz.003035,3.5800000000,3.5800000000,3.5800000000,3.5800000000,3.2500000000,1408466,5042308.2800,10.153800,38.772835,3.132390,7.161122,-20.468003
7,2021-01-28,sz.003035,3.9400000000,3.9400000000,3.9400000000,3.9400000000,3.5800000000,1595289,6285438.6600,10.055900,42.671780,3.447379,7.881235,-22.526238
8,2021-01-29,sz.003035,4.3300000000,4.3300000000,4.3300000000,4.3300000000,3.9400000000,4810237,20828326.2100,9.898500,46.895636,3.788617,8.661357,-24.755992
9,2021-02-01,sz.003035,4.7600000000,4.7600000000,4.7600000000,4.7600000000,4.3300000000,15180956,72261350.5600,9.930700,51.552709,4.164854,9.521492,-27.214439
10,2021-02-02,sz.003035,5.2400000000,5.2400000000,5.2400000000,5.2400000000,4.7600000000,10650171,55806896.0400,10.084000,56.751301,4.584839,10.481642,-29.958753
11,2021-02-03,sz.003035,5.7600000000,5.7600000000,5.7600000000,5.7600000000,5.2400000000,5079063,29255402.8800,9.923700,62.383109,5.039823,11.521805,-32.931759
12,2021-02-04,sz.003035,6.3400000000,6.3400000000,6.3400000000,6.3400000000,5.7600000000,71258308,451777672.7200,10.069400,68.664742,5.547305,12.681987,-36.247804
13,2021-02-05,sz.003035,6.7000000000,6.9700000000,6.6200000000,6.9700000000,6.3400000000,158034902,1075879350.3700,9.936900,75.487895,6.098536,13.942184,-39.849715
14,2021-02-08,sz.003035,7.6500000000,7.6700000000,6.9300000000,7.4000000000,6.9700000000,443973024,3248418637.5400,6.169300,80.144967,6.474772,14.802319,-42.308162
15,2021-02-09,sz.003035,7.5100000000,8.1400000000,7.2100000000,8.1400000000,7.4000000000,328792912,2543843520.1900,10.000000,78.350715,7.122250,15.336995,-46.538978
16,2021-02-10,sz.003035,8.0100000000,8.5500000000,7.3300000000,7.3300000000,8.1400000000,383631008,2969714096.8900,-9.950900,70.554145,6.413524,13.810832,-41.907950
17,2021-02-18,sz.003035,7.3400000000,7.6700000000,6.9800000000,7.1800000000,7.3300000000,295577776,2162616549.2100,-2.046400,69.110336,6.282279,13.528209,-41.050352
18,2021-02-19,sz.003035,7.0200000000,7.1500000000,6.4700000000,6.7000000000,7.1800000000,247701768,1657575079.9000,-6.685200,64.490146,5.862294,12.623816,-38.306039
19,2021-02-22,sz.003035,6.6800000000,7.1000000000,6.4900000000,6.7900000000,6.7000000000,223245071,1526922565.3300,1.343300,65.356432,5.941041,12.793390,-38.820597
20,2021-02-23,sz.003035,6.6000000000,6.6000000000,6.1800000000,6.1800000000,6.7900000000,194765389,1226116176.3000,-8.983800,59.484941,5.407310,11.644057,-35.333033
21,2021-02-24,sz.003035,6.0900000000,6.2400000000,5.7600000000,5.8100000000,6.1800000000,168469619,1004865546.1200,-5.987100,55.923545,5.083571,10.946921,-33.217625
22,2021-02-25,sz.003035,5.9000000000,6.1000000000,5.7000000000,6.1000000000,5.8100000000,148272935,876263304.9100,4.991400,58.714909,5.337312,11.493325,-34.875647
