,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2009-10-30,sz.300009,37.0000000000,64.8800000000,37.0000000000,50.0800000000,17.0000000000,15016121,686712167.7300,194.588200,94.933165,8.643107,22.280426,13.641857
1,2009-11-02,sz.300009,45.0700000000,52.5300000000,45.0700000000,51.8500000000,50.0800000000,9289688,445886017.9100,3.534300,98.288431,8.948585,23.067893,14.124008
2,2009-11-03,sz.300009,50.0100000000,51.0000000000,46.6700000000,46.6700000000,51.8500000000,4783047,229675737.2200,-9.990400,88.469066,8.054589,20.763329,12.712969
3,2009-11-04,sz.300009,45.5500000000,47.9800000000,44.1800000000,46.7400000000,46.6700000000,4168956,191432625.4100,0.150000,88.601760,8.066670,20.794471,12.732037
4,2009-11-05,sz.300009,46.0000000000,48.3500000000,44.6100000000,46.6000000000,46.7400000000,4351300,202885444.1400,-0.299500,88.336372,8.042508,20.732186,12.693901
5,2009-11-06,sz.300009,45.9800000000,46.9700000000,44.6100000000,44.8000000000,46.6000000000,2848969,129138799.3700,-3.862700,84.924237,7.731853,19.931372,12.203578
6,2009-11-09,sz.300009,45.2000000000,45.3000000000,42.0000000000,42.7500000000,44.8000000000,2214530,95389695.5400,-4.575900,81.038195,7.378052,19.019334,11.645156
7,2009-11-10,sz.300009,42.8000000000,43.5500000000,40.5600000000,40.7500000000,42.7500000000,2736701,114831099.6600,-4.678400,77.246935,7.032880,18.129540,11.100353
8,2009-11-11,sz.300009,40.3900000000,40.9800000000,38.9000000000,40.4400000000,40.7500000000,2405324,95713728.9000,-0.760700,76.659289,6.979378,17.991622,11.015909
9,2009-11-12,sz.300009,40.0000000000,41.9200000000,39.8100000000,40.9600000000,40.4400000000,1997486,81899445.7100,1.285900,77.645017,7.069123,18.222968,11.157557
10,2009-11-13,sz.300009,41.1500000000,44.3800000000,40.6800000000,43.7600000000,40.9600000000,4164120,180025673.8900,6.835900,82.952782,7.552364,19.468679,11.920281
11,2009-11-16,sz.300009,43.2800000000,43.8000000000,42.2100000000,43.4500000000,43.7600000000,2427490,104274161.1100,-0.708400,82.365137,7.498862,19.330761,11.835837
