,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2009-10-30,sz.300017,41.5000000000,63.5000000000,36.0000000000,44.9000000000,24.0000000000,16426958,732547325.3100,87.083340,85.265022,21.238021,13.422905,70.496239
1,2009-11-02,sz.300017,40.4100000000,47.0000000000,40.4100000000,41.3000000000,44.9000000000,7531541,317362739.0400,-8.017800,78.428628,19.535195,12.346681,64.843979
2,2009-11-03,sz.300017,42.5600000000,43.8900000000,40.7000000000,41.9800000000,41.3000000000,4321634,184078550.8700,1.646500,79.719947,19.856840,12.549967,65.911628
3,2009-11-04,sz.300017,42.4900000000,43.7800000000,41.9900000000,43.0800000000,41.9800000000,2865965,122945695.1200,2.620300,81.808845,20.377148,12.878814,67.638707
4,2009-11-05,sz.300017,43.0000000000,44.6000000000,42.0000000000,43.3000000000,43.0800000000,3852299,167292037.0100,0.510700,82.226625,20.481209,12.944583,67.984123
5,2009-11-06,sz.300017,43.0000000000,43.3400000000,41.0500000000,41.4900000000,43.3000000000,2684583,112364270.2900,-4.180100,78.789438,19.625066,12.403481,65.142293
6,2009-11-09,sz.300017,41.2800000000,41.5600000000,39.1500000000,40.0500000000,41.4900000000,1793976,71863343.1300,-3.470700,76.054881,18.943936,11.972992,62.881389
7,2009-11-10,sz.300017,40.0600000000,40.2700000000,38.0000000000,38.0400000000,40.0500000000,2100052,81519038.6900,-5.018700,72.237894,17.993192,11.372100,59.725544
8,2009-11-11,sz.300017,37.8800000000,38.5000000000,37.0100000000,38.4400000000,38.0400000000,1431400,54004889.7700,1.051500,72.997493,18.182394,11.491681,60.353573
9,2009-11-12,sz.300017,38.2100000000,39.2600000000,38.0000000000,38.6400000000,38.4400000000,1314323,50839981.1400,0.520300,73.377293,18.276996,11.551471,60.667587
10,2009-11-13,sz.300017,38.6700000000,41.4800000000,38.4000000000,40.7200000000,38.6400000000,2574532,104277638.4200,5.383000,77.327209,19.260851,12.173289,63.933337
11,2009-11-16,sz.300017,40.6000000000,40.9900000000,40.0000000000,40.7000000000,40.7200000000,1415726,57319484.9200,-0.049100,77.289229,19.251391,12.167310,63.901936
12,2009-11-17,sz.300017,40.5200000000,41.9100000000,40.5000000000,40.8000000000,40.7000000000,1066108,43834510.0000,0.245700,77.479129,19.298691,12.197205,64.058943
13,2009-11-18,sz.300017,41.0000000000,42.5800000000,40.8000000000,42.0000000000,40.8000000000,2029845,84699159.4800,2.941200,79.757927,19.866300,12.555946,65.943029
14,2009-11-19,sz.300017,42.1200000000,46.2000000000,41.6700000000,44.8900000000,42.0000000000,3983508,176739261.5300,6.881000,85.246032,21.233290,13.419915,70.480538
15,2009-11-20,sz.300017,44.0500000000,45.5600000000,43.5000000000,44.1000000000,44.8900000000,1992303,88399466.9100,-1.759900,83.745824,20.859615,13.183744,69.240181
16,2009-11-23,sz.300017,44.4500000000,46.7500000000,44.2000000000,46.2300000000,44.1000000000,2418708,110509649.2100,4.829900,87.790690,21.867120,13.820510,72.584434
