,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2009-12-25,sz.300033,74.0000000000,78.8800000000,70.3000000000,70.3800000000,52.8000000000,9661747,717010584.7500,33.295450,84.431215,31.703620,29.703172,55.637725
1,2009-12-28,sz.300033,69.8800000000,73.4000000000,69.5000000000,70.8000000000,70.3800000000,2823223,201759499.0500,0.596800,84.935067,31.892814,29.880428,55.969749
2,2009-12-29,sz.300033,70.4000000000,72.4800000000,70.0300000000,72.1000000000,70.8000000000,2134155,151742486.7700,1.836200,86.494610,32.478417,30.429080,56.997443
3,2009-12-30,sz.300033,71.7800000000,72.4400000000,70.4600000000,70.6800000000,72.1000000000,1771074,126105361.4300,-1.969500,84.791110,31.838759,29.829784,55.874885
4,2009-12-31,sz.300033,70.6000000000,71.7100000000,70.0600000000,70.8600000000,70.6800000000,1019272,72095042.8400,0.254700,85.007046,31.919842,29.905751,56.017181
5,2010-01-04,sz.300033,72.0100000000,76.0600000000,71.6100000000,74.5700000000,70.8600000000,3627417,270247685.5200,5.235700,89.457740,33.591062,31.471519,58.950060
6,2010-01-05,sz.300033,74.6000000000,74.6800000000,72.7000000000,73.6500000000,74.5700000000,1775468,130424584.2000,-1.233700,88.354064,33.176635,31.083242,58.222769
7,2010-01-06,sz.300033,73.1000000000,76.0000000000,73.1000000000,73.1200000000,73.6500000000,1714526,127669479.3500,-0.719600,87.718250,32.937889,30.859561,57.803786
8,2010-01-07,sz.300033,73.0000000000,73.0000000000,70.8800000000,71.2000000000,73.1200000000,1387438,99786651.9200,-2.625800,85.414927,32.073000,30.049244,56.285963
9,2010-01-08,sz.300033,70.5200000000,71.1900000000,66.9500000000,68.2500000000,71.2000000000,2182159,150317229.4200,-4.143300,81.875965,30.744132,28.804226,53.953890
10,2010-01-11,sz.300033,71.6000000000,74.8800000000,70.7000000000,71.9000000000,68.2500000000,2430874,176287692.9100,5.348000,86.254680,32.388324,30.344672,56.839336
11,2010-01-12,sz.300033,71.1800000000,73.9900000000,71.1800000000,72.6900000000,71.9000000000,1740600,127207584.4600,1.098700,87.202402,32.744190,30.678084,57.463857
12,2010-01-13,sz.300033,71.1700000000,79.6000000000,71.0000000000,76.9500000000,72.6900000000,2481989,186611730.6400,5.860500,92.312902,34.663165,32.475974,60.831529
13,2010-01-14,sz.300033,76.8900000000,80.8000000000,76.8800000000,77.9500000000,76.9500000000,1968590,155240786.8000,1.299500,93.512550,35.113628,32.898014,61.622062
14,2010-01-15,sz.300033,77.6200000000,82.8200000000,77.1200000000,82.0000000000,77.9500000000,2222696,178811763.8700,5.195600,98.371123,36.938005,34.607276,64.823721
15,2010-01-18,sz.300033,82.7100000000,84.9700000000,80.5200000000,82.1600000000,82.0000000000,1790863,147635297.3700,0.195100,98.563067,37.010079,34.674802,64.950206
16,2010-01-19,sz.300033,81.7000000000,86.0000000000,80.5000000000,85.8800000000,82.1600000000,1963947,163762109.0100,4.527800,103.025757,38.685803,36.244791,67.890990
17,2010-01-20,sz.300033,85.0000000000,85.6100000000,77.5000000000,78.2200000000,85.8800000000,2320990,187881596.7800,-8.919400,93.836455,35.235253,33.011965,61.835506
