,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-05-26,sz.300088,35.1300000000,38.0000000000,35.1300000000,36.1200000000,24.0000000000,22101860,801333616.5400,50.499990,64.683523,13.159036,15.125184,-916.811180
1,2010-05-27,sz.300088,34.4100000000,34.8900000000,32.5100000000,33.8000000000,36.1200000000,13875409,462550338.6600,-6.423000,60.528878,12.313827,14.153688,-857.924083
2,2010-05-28,sz.300088,33.5000000000,34.3700000000,33.2400000000,33.8300000000,33.8000000000,7441643,250754921.1900,0.088800,60.582602,12.324756,14.166251,-858.685554
3,2010-05-31,sz.300088,33.3400000000,33.3500000000,30.4500000000,30.4500000000,33.8300000000,8348211,267234605.3200,-9.991100,54.529714,11.093374,12.750882,-772.893146
4,2010-06-01,sz.300088,30.0300000000,30.6800000000,28.0000000000,29.0100000000,30.4500000000,6341673,185262116.9000,-4.729100,51.950969,10.568761,12.147884,-736.342534
5,2010-06-02,sz.300088,28.5000000000,29.2000000000,27.6000000000,29.1500000000,29.0100000000,4530175,129114340.9700,0.482600,52.201680,10.619765,12.206509,-739.896066
6,2010-06-03,sz.300088,29.1800000000,29.7700000000,28.5000000000,28.5000000000,29.1500000000,5161979,150920873.2200,-2.229800,51.037663,10.382960,11.934323,-723.397525
7,2010-06-04,sz.300088,28.0500000000,29.2800000000,28.0500000000,29.0100000000,28.5000000000,3291024,94380351.3900,1.789500,51.950969,10.568761,12.147884,-736.342534
8,2010-06-07,sz.300088,28.2500000000,30.5000000000,28.0300000000,30.0500000000,29.0100000000,5335352,158533134.3000,3.585000,53.813396,10.947648,12.583383,-762.740198
9,2010-06-08,sz.300088,29.7300000000,30.1500000000,29.3300000000,29.9100000000,30.0500000000,3568534,106101444.6000,-0.465900,53.562685,10.896644,12.524758,-759.186666
10,2010-06-09,sz.300088,29.9600000000,31.4700000000,29.8100000000,30.6100000000,29.9100000000,5764204,175944186.2600,2.340357,54.816241,11.151664,12.817882,-776.954325
11,2010-06-10,sz.300088,30.6600000000,31.2700000000,30.1100000000,30.9900000000,30.6100000000,4058233,125167961.4900,1.241400,55.496743,11.290103,12.977006,-786.599625
12,2010-06-11,sz.300088,31.1200000000,32.4600000000,31.1200000000,32.1800000000,30.9900000000,6359487,203725481.5200,3.839900,57.627790,11.723637,13.475316,-816.804645
13,2010-06-17,sz.300088,32.2200000000,32.5800000000,30.0800000000,30.0800000000,32.1800000000,4605463,143195572.0600,-6.525800,53.867120,10.958577,12.595945,-763.501669
14,2010-06-18,sz.300088,29.8500000000,29.8900000000,28.0100000000,28.3200000000,30.0800000000,3158088,91363522.5700,-5.851100,50.715320,10.317384,11.858948,-718.828699
15,2010-06-21,sz.300088,28.0800000000,29.6800000000,27.9000000000,29.5600000000,28.3200000000,2582543,75023733.8600,4.378500,52.935906,10.769134,12.378196,-750.302837
16,2010-06-22,sz.300088,30.0000000000,31.8800000000,30.0000000000,30.9400000000,29.5600000000,5462797,170528470.1100,4.668500,55.407204,11.271888,12.956068,-785.330507
17,2010-06-23,sz.300088,30.3000000000,31.8800000000,30.1000000000,31.7600000000,30.9400000000,4478479,139603480.3800,2.650300,56.875656,11.570625,13.299442,-806.144049
18,2010-06-24,sz.300088,31.7900000000,32.2000000000,31.1000000000,31.6000000000,31.7600000000,3078550,97583260.5200,-0.503800,56.589129,11.512335,13.232442,-802.082870
19,2010-06-25,sz.300088,31.0600000000,31.5000000000,29.9700000000,30.6100000000,31.6000000000,2757621,84691360.9300,-3.132900,54.816241,11.151664,12.817882,-776.954325
20,2010-06-28,sz.300088,30.4800000000,30.6000000000,29.4000000000,29.8200000000,30.6100000000,1718747,51580610.1000,-2.580900,53.401513,10.863855,12.487070,-756.902253
21,2010-06-29,sz.300088,29.8600000000,30.7800000000,28.0000000000,28.7100000000,29.8200000000,3396222,99956517.0400,-3.722300,51.413730,10.459466,12.022260,-728.727823
22,2010-06-30,sz.300088,28.3000000000,28.6900000000,26.5600000000,28.4000000000,28.7100000000,3294791,90902021.2700,-1.079800,50.858584,10.346529,11.892448,-720.859289
23,2010-07-01,sz.300088,27.8800000000,28.5500000000,26.9800000000,27.0100000000,28.4000000000,2709075,74677785.0700,-4.894400,48.369379,9.840132,11.310388,-685.577795
24,2010-07-02,sz.300088,27.0100000000,27.1800000000,24.9800000000,26.6000000000,27.0100000000,2909857,76200593.8300,-1.518000,47.635153,9.690763,11.138701,-675.171024
25,2010-07-05,sz.300088,25.8100000000,26.9600000000,25.5300000000,26.6600000000,26.6000000000,1562365,41230816.2900,0.225600,47.742600,9.712622,11.163826,-676.693966
26,2010-07-06,sz.300088,26.3900000000,27.4900000000,26.3900000000,27.3300000000,26.6600000000,1919080,52094869.0700,2.513100,48.942433,9.956713,11.444388,-693.700153
27,2010-07-07,sz.300088,27.2000000000,27.7200000000,26.8800000000,27.3700000000,27.3300000000,1549989,42268928.7700,0.146400,49.014065,9.971285,11.461137,-694.715448
28,2010-07-08,sz.300088,27.5700000000,27.6300000000,26.4200000000,26.9900000000,27.3700000000,1668120,45088533.6600,-1.388400,48.333563,9.832846,11.302013,-685.070148
29,2010-07-09,sz.300088,26.8900000000,28.2600000000,26.8000000000,28.2000000000,26.9900000000,2483330,68942715.1200,4.483100,50.500425,10.273666,11.808698,-715.782815
30,2010-07-12,sz.300088,28.0000000000,28.3300000000,27.6800000000,28.1000000000,28.2000000000,1971473,55160365.7200,-0.354600,50.321345,10.237235,11.766824,-713.244578
31,2010-07-13,sz.300088,27.9000000000,28.0400000000,27.0000000000,27.8600000000,28.1000000000,1860216,51138922.1000,-0.854100,49.891554,10.149799,11.666324,-707.152809
32,2010-07-14,sz.300088,27.7800000000,28.1100000000,27.3000000000,27.6200000000,27.8600000000,1608255,44554333.0800,-0.861500,49.461764,10.062364,11.565824,-701.061040
33,2010-07-15,sz.300088,27.5000000000,27.6900000000,26.0000000000,26.4400000000,27.6200000000,1793222,48313199.8600,-4.272300,47.348625,9.632473,11.071702,-671.109845
34,2010-07-16,sz.300088,26.0300000000,26.8500000000,25.8000000000,26.7400000000,26.4400000000,1255437,32947868.4400,1.134642,47.885864,9.741767,11.197326,-678.724555
35,2010-07-19,sz.300088,26.3000000000,27.3000000000,26.1200000000,27.0200000000,26.7400000000,1453765,39083122.7700,1.047100,48.387287,9.843775,11.314576,-685.831619
36,2010-07-20,sz.300088,27.1800000000,27.7600000000,27.0000000000,27.5600000000,27.0200000000,1761830,48334670.4200,1.998500,49.354316,10.040505,11.540700,-699.538098
37,2010-07-21,sz.300088,27.5000000000,28.1900000000,27.5000000000,27.7100000000,27.5600000000,2091663,58268294.4200,0.544300,49.622935,10.095152,11.603512,-703.345454
38,2010-07-22,sz.300088,27.6800000000,27.9700000000,27.1600000000,27.9700000000,27.7100000000,1746835,48243616.6500,0.938300,50.088542,10.189874,11.712386,-709.944870
