,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2014-07-31,sz.300390,10.1600000000,12.2000000000,10.1600000000,12.2000000000,8.4700000000,29302,356564.0000,44.037770,24.373682,4.575176,2.577850,174.252978
1,2014-08-01,sz.300390,13.4200000000,13.4200000000,13.4200000000,13.4200000000,12.2000000000,12100,162382.0000,10.000000,26.811050,5.032693,2.835635,191.678276
2,2014-08-04,sz.300390,14.7600000000,14.7600000000,14.7600000000,14.7600000000,13.4200000000,10700,157932.0000,9.985100,29.488159,5.535213,3.118776,210.817538
3,2014-08-05,sz.300390,16.2400000000,16.2400000000,16.2400000000,16.2400000000,14.7600000000,22350,362964.0000,10.027100,32.444967,6.090234,3.431498,231.956424
4,2014-08-06,sz.300390,17.8600000000,17.8600000000,17.8600000000,17.8600000000,16.2400000000,34670,619206.0000,9.975400,35.681472,6.697757,3.773803,255.094934
5,2014-08-07,sz.300390,19.6500000000,19.6500000000,19.6500000000,19.6500000000,17.8600000000,57450,1128892.0000,10.022400,39.257610,7.369033,4.152029,280.661559
6,2014-08-08,sz.300390,21.6200000000,21.6200000000,21.6200000000,21.6200000000,19.6500000000,79006,1708109.0000,10.025500,43.193361,8.107811,4.568288,308.799130
7,2014-08-11,sz.300390,23.7800000000,23.7800000000,23.7800000000,23.7800000000,21.6200000000,84636,2012644.0000,9.990700,47.508701,8.917842,5.024694,339.650477
8,2014-08-12,sz.300390,26.1600000000,26.1600000000,26.1600000000,26.1600000000,23.7800000000,781615,20447048.0000,10.008400,52.263567,9.810377,5.527586,373.644091
9,2014-08-13,sz.300390,26.9000000000,28.7800000000,26.5800000000,28.7800000000,26.1600000000,10188765,286469024.0000,10.015300,57.497915,10.792914,6.081190,411.065632
10,2014-08-14,sz.300390,28.7900000000,29.6900000000,27.5500000000,28.0700000000,28.7800000000,10608409,301512784.0000,-2.467000,56.079446,10.526654,5.931168,400.924680
11,2014-08-15,sz.300390,27.1700000000,27.5000000000,25.8700000000,26.6300000000,28.0700000000,7287754,193765582.0000,-5.130000,53.202553,9.986633,5.626897,380.357116
12,2014-08-18,sz.300390,26.8000000000,27.7700000000,26.5000000000,27.3000000000,26.6300000000,5349404,145594164.0000,2.516000,54.541108,10.237893,5.768467,389.926746
