,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2015-05-28,sz.300463,33.5500000000,40.2600000000,33.5500000000,40.2600000000,27.9600000000,6500,259344.0000,43.991410,32.480191,9.408660,7.805265,-1049.819305
1,2015-05-29,sz.300463,44.2900000000,44.2900000000,44.2900000000,44.2900000000,40.2600000000,3000,132870.0000,10.009900,35.731437,10.350461,8.586567,-1154.905539
2,2015-06-01,sz.300463,48.7200000000,48.7200000000,48.7200000000,48.7200000000,44.2900000000,4100,199752.0000,10.002300,39.305387,11.385741,9.445418,-1270.422169
3,2015-06-02,sz.300463,53.5900000000,53.5900000000,53.5900000000,53.5900000000,48.7200000000,4200,225078.0000,9.995900,43.234313,12.523847,10.389572,-1397.412234
4,2015-06-03,sz.300463,58.9500000000,58.9500000000,58.9500000000,58.9500000000,53.5900000000,5700,336015.0000,10.001900,47.558551,13.776466,11.428723,-1537.179534
5,2015-06-04,sz.300463,64.8500000000,64.8500000000,64.8500000000,64.8500000000,58.9500000000,5300,343705.0000,10.008500,52.318440,15.155281,12.572564,-1691.027867
6,2015-06-05,sz.300463,71.3400000000,71.3400000000,71.3400000000,71.3400000000,64.8500000000,6600,470844.0000,10.007700,57.554317,16.671977,13.830790,-1860.261034
7,2015-06-08,sz.300463,78.4700000000,78.4700000000,78.4700000000,78.4700000000,71.3400000000,21300,1671411.0000,9.994400,63.306522,18.338240,15.213094,-2046.182833
8,2015-06-09,sz.300463,86.3200000000,86.3200000000,86.3200000000,86.3200000000,78.4700000000,14700,1268904.0000,10.003800,69.639595,20.172765,16.734985,-2250.879344
9,2015-06-10,sz.300463,94.9500000000,94.9500000000,94.9500000000,94.9500000000,86.3200000000,32700,3104865.0000,9.997700,76.601940,22.189574,18.408096,-2475.915127
10,2015-06-11,sz.300463,104.4500000000,104.4500000000,104.4500000000,104.4500000000,94.9500000000,23200,2423240.0000,10.005300,84.266168,24.409700,20.249874,-2723.637019
11,2015-06-12,sz.300463,114.9000000000,114.9000000000,114.9000000000,114.9000000000,104.4500000000,26000,2987400.0000,10.004800,92.696819,26.851839,22.275831,-2996.131101
12,2015-06-15,sz.300463,126.3900000000,126.3900000000,126.3900000000,126.3900000000,114.9000000000,220048,27811866.0000,10.000000,101.966501,29.537023,24.503414,-3295.744211
13,2015-06-16,sz.300463,131.0000000000,139.0300000000,124.8900000000,139.0300000000,126.3900000000,17491256,2360431504.0000,10.000800,112.163958,32.490959,26.953950,-3625.344709
14,2015-06-17,sz.300463,130.0100000000,133.4100000000,125.1300000000,125.2400000000,139.0300000000,8886458,1124628400.0000,-9.918700,101.038726,29.268271,24.280462,-3265.756824
15,2015-06-18,sz.300463,127.8000000000,134.0000000000,120.3000000000,122.2000000000,125.2400000000,9324228,1193318352.0000,-2.427300,98.586173,28.557830,23.691093,-3186.485819
16,2015-06-19,sz.300463,111.1400000000,118.4600000000,109.9800000000,109.9800000000,122.2000000000,6916630,779525024.0000,-10.000000,88.727556,25.702047,21.321984,-2867.837237
17,2015-06-23,sz.300463,109.0000000000,112.7900000000,100.8500000000,108.9100000000,109.9800000000,5315475,571381584.0000,-0.972900,87.864322,25.451991,21.114541,-2839.935929
18,2015-06-24,sz.300463,111.4000000000,117.0000000000,108.9100000000,112.7500000000,108.9100000000,6488603,733392768.0000,3.525800,90.962283,26.349389,21.859008,-2940.067726
19,2015-06-25,sz.300463,109.2000000000,109.9700000000,104.3300000000,105.3900000000,112.7500000000,4112398,441858960.0000,-6.527700,85.024523,24.629376,20.432114,-2748.148449
20,2015-06-26,sz.300463,101.0000000000,103.3300000000,94.8500000000,94.8500000000,105.3900000000,3732219,360003248.0000,-10.000900,76.521264,22.166205,18.388708,-2473.307528
21,2015-06-29,sz.300463,95.0000000000,95.0000000000,85.3700000000,85.3700000000,94.8500000000,3982431,344314496.0000,-9.994700,68.873172,19.950753,16.550807,-2226.107155
22,2015-06-30,sz.300463,82.7700000000,92.0000000000,76.8300000000,87.7600000000,85.3700000000,4624242,384205024.0000,2.799600,70.801330,20.509290,17.014160,-2288.428768
23,2015-07-01,sz.300463,85.0000000000,91.5000000000,78.9800000000,78.9800000000,87.7600000000,4167136,359645328.0000,-10.004600,63.717970,18.457426,15.311968,-2059.481587
24,2015-07-02,sz.300463,77.4000000000,79.6000000000,71.6800000000,73.0000000000,78.9800000000,3687323,280373248.0000,-7.571500,58.893540,17.059915,14.152617,-1903.547175
25,2015-07-03,sz.300463,71.0000000000,78.0800000000,66.3100000000,71.3000000000,73.0000000000,4435876,317769104.0000,-2.328800,57.522047,16.662629,13.823035,-1859.217994
26,2015-07-06,sz.300463,78.4300000000,78.4300000000,66.0100000000,71.0000000000,71.3000000000,5084803,377715488.0000,-0.420800,57.280019,16.592520,13.764874,-1851.395198
27,2015-07-07,sz.300463,67.8900000000,68.9200000000,63.9000000000,63.9000000000,71.0000000000,1869450,121815335.0000,-10.000000,51.552017,14.933268,12.388387,-1666.255678
28,2015-07-08,sz.300463,57.5100000000,58.5000000000,57.5100000000,57.5100000000,63.9000000000,5571935,320663056.0000,-10.000000,46.396815,13.439941,11.149548,-1499.630110
29,2015-07-09,sz.300463,57.5500000000,63.2600000000,57.5200000000,63.2600000000,57.5100000000,2374147,145966283.0000,9.998300,51.035690,14.783702,12.264309,-1649.567045
30,2015-07-10,sz.300463,69.5900000000,69.5900000000,69.5900000000,69.5900000000,63.2600000000,291657,20296410.0000,10.006300,56.142486,16.263007,13.491515,-1814.628053
31,2015-07-13,sz.300463,76.5500000000,76.5500000000,76.5500000000,76.5500000000,69.5900000000,138254,10583343.0000,10.001400,61.757541,17.889541,14.840861,-1996.116935
32,2015-07-14,sz.300463,84.2100000000,84.2100000000,84.2100000000,84.2100000000,76.5500000000,242740,20441135.0000,10.006500,67.937329,19.679664,16.325916,-2195.859008
33,2015-07-15,sz.300463,86.8000000000,86.8000000000,77.0000000000,77.1800000000,84.2100000000,5705807,462093136.0000,-8.348200,62.265801,18.036770,14.963000,-2012.544808
34,2015-07-16,sz.300463,72.7000000000,84.9000000000,72.0000000000,83.4400000000,77.1800000000,4688315,378302976.0000,8.110900,67.316123,19.499717,16.176635,-2175.780497
35,2015-07-17,sz.300463,82.2600000000,91.7600000000,82.2600000000,89.5800000000,83.4400000000,5531817,479787088.0000,7.358600,72.269635,20.934619,17.367006,-2335.887068
36,2015-07-20,sz.300463,88.0000000000,98.5400000000,87.0000000000,98.5400000000,89.5800000000,5719584,546798960.0000,10.002200,79.498212,23.028548,19.104094,-2569.527926
37,2015-07-21,sz.300463,96.0000000000,99.9400000000,94.0600000000,97.7900000000,98.5400000000,3323247,325289472.0000,-0.761100,78.893141,22.853275,18.958690,-2549.970935
38,2015-07-22,sz.300463,96.3000000000,102.9600000000,96.3000000000,101.0200000000,97.7900000000,2840951,285964704.0000,3.303000,81.498979,23.608118,19.584895,-2634.196378
39,2015-07-23,sz.300463,101.2000000000,111.1200000000,99.0000000000,111.1200000000,101.0200000000,3463780,368508272.0000,9.998000,89.647263,25.968463,21.542997,-2897.563864
40,2015-07-24,sz.300463,112.0000000000,121.0000000000,101.0100000000,105.0000000000,111.1200000000,5656880,641707616.0000,-5.507600,84.709887,24.538234,20.356504,-2737.978813
41,2015-07-27,sz.300463,101.8200000000,115.3500000000,97.0000000000,97.9000000000,105.0000000000,4737302,515369616.0000,-6.761900,78.981885,22.878982,18.980016,-2552.839293
42,2015-07-28,sz.300463,90.8000000000,107.0000000000,90.0600000000,100.8100000000,97.9000000000,4126959,407235920.0000,2.972400,81.329559,23.559042,19.544182,-2628.720421
43,2015-07-29,sz.300463,102.0000000000,104.8800000000,90.7300000000,101.9900000000,100.8100000000,5966890,567167888.0000,1.170500,82.281537,23.834805,19.772951,-2659.490087
44,2015-07-30,sz.300463,98.0200000000,105.5000000000,96.0000000000,98.0100000000,101.9900000000,4498495,454781024.0000,-3.902300,79.070629,22.904689,19.001342,-2555.707652
45,2015-07-31,sz.300463,94.8800000000,101.0000000000,92.8000000000,93.7200000000,98.0100000000,2413861,232329901.0000,-4.377100,75.609625,21.902127,18.169634,-2443.841661
46,2015-08-03,sz.300463,91.4900000000,93.0200000000,84.3500000000,84.3800000000,93.7200000000,2349533,207095812.0000,-9.965900,68.074479,19.719392,16.358874,-2200.291926
47,2015-08-04,sz.300463,85.9900000000,92.7300000000,84.2000000000,92.7000000000,84.3800000000,2177776,193065002.0000,9.860200,74.786729,21.663755,17.971885,-2417.244152
48,2015-08-05,sz.300463,91.2000000000,99.0000000000,91.2000000000,95.4100000000,92.7000000000,2255210,216271290.0000,2.923400,76.973050,22.297075,18.497276,-2487.910082
49,2015-08-06,sz.300463,92.5000000000,101.6800000000,91.6800000000,96.4500000000,95.4100000000,2451193,240211706.0000,1.090000,77.812082,22.540121,18.698903,-2515.029110
50,2015-08-07,sz.300463,96.0000000000,100.8800000000,95.3200000000,100.0000000000,96.4500000000,1912058,188799109.0000,3.680700,80.676083,23.369747,19.387146,-2607.598870
51,2015-08-10,sz.300463,101.0400000000,106.0000000000,99.6000000000,105.0600000000,100.0000000000,1944288,200615934.0000,5.060000,84.758292,24.552256,20.368136,-2739.543373
52,2015-08-11,sz.300463,104.3500000000,106.8000000000,103.1300000000,104.0000000000,105.0600000000,2011806,210799953.0000,-1.008900,83.903126,24.304537,20.162632,-2711.902825
53,2015-08-12,sz.300463,102.7800000000,103.8800000000,98.0000000000,98.0100000000,104.0000000000,1565730,158210247.0000,-5.759600,79.070629,22.904689,19.001342,-2555.707652
