,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2017-03-06,sz.300618,14.9400000000,17.9300000000,14.9400000000,17.9300000000,12.4500000000,3700,63797.0000,44.016070,32.318456,5.757148,2.895775,-103.677791
1,2017-03-07,sz.300618,19.7200000000,19.7200000000,19.7200000000,19.7200000000,17.9300000000,2538,50049.0000,9.983262,35.544894,6.331900,3.184868,-114.028223
2,2017-03-08,sz.300618,21.6900000000,21.6900000000,21.6900000000,21.6900000000,19.7200000000,2000,43380.0000,9.989864,39.095779,6.964447,3.503032,-125.419481
3,2017-03-09,sz.300618,23.8600000000,23.8600000000,23.8600000000,23.8600000000,21.6900000000,3357,80098.0000,10.004610,43.007159,7.661213,3.853496,-137.967211
4,2017-03-10,sz.300618,26.2500000000,26.2500000000,26.2500000000,26.2500000000,23.8600000000,2400,63000.0000,10.016760,47.315085,8.428619,4.239492,-151.787062
5,2017-03-13,sz.300618,28.8800000000,28.8800000000,28.8800000000,28.8800000000,26.2500000000,6457,186478.0000,10.019040,52.055606,9.273086,4.664249,-166.994680
6,2017-03-14,sz.300618,31.7700000000,31.7700000000,31.7700000000,31.7700000000,28.8800000000,4714,149763.0000,10.006930,57.264771,10.201037,5.130997,-183.705712
7,2017-03-15,sz.300618,34.9500000000,34.9500000000,34.9500000000,34.9500000000,31.7700000000,6400,223680.0000,10.009440,62.996656,11.222104,5.644581,-202.093631
8,2017-03-16,sz.300618,38.4500000000,38.4500000000,38.4500000000,38.4500000000,34.9500000000,14400,553680.0000,10.014310,69.305334,12.345920,6.209847,-222.331906
9,2017-03-17,sz.300618,42.3000000000,42.3000000000,42.3000000000,42.3000000000,38.4500000000,13300,562590.0000,10.013000,76.244880,13.582117,6.831639,-244.594008
10,2017-03-20,sz.300618,46.5300000000,46.5300000000,46.5300000000,46.5300000000,42.3000000000,24700,1149291.0000,9.999999,83.869367,14.940329,7.514803,-269.053409
11,2017-03-21,sz.300618,51.1800000000,51.1800000000,51.1800000000,51.1800000000,46.5300000000,28700,1468866.0000,9.993556,92.250897,16.433399,8.265798,-295.941403
12,2017-03-22,sz.300618,56.3000000000,56.3000000000,56.3000000000,56.3000000000,51.1800000000,38375,2160512.0000,10.003910,101.479591,18.077381,9.092701,-325.547108
13,2017-03-23,sz.300618,61.9300000000,61.9300000000,61.9300000000,61.9300000000,56.3000000000,46957,2908047.0000,10.000000,111.627551,19.885119,10.001971,-358.101819
14,2017-03-24,sz.300618,68.1200000000,68.1200000000,68.1200000000,68.1200000000,61.9300000000,73071,4977596.0000,9.995159,122.784898,21.872668,11.001684,-393.894653
15,2017-03-27,sz.300618,74.9300000000,74.9300000000,74.9300000000,74.9300000000,68.1200000000,96799,7253149.0000,9.997060,135.059783,24.059292,12.101529,-433.272554
