,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2017-03-17,sz.300628,106.4000000000,127.6800000000,106.4000000000,127.6800000000,88.6700000000,5300,669256.0000,43.994590,22.052630,11.850580,10.320932,33.525150
1,2017-03-20,sz.300628,140.4500000000,140.4500000000,140.4500000000,140.4500000000,127.6800000000,2000,280900.0000,10.001560,24.258238,13.035824,11.353187,36.878191
2,2017-03-21,sz.300628,154.5000000000,154.5000000000,154.5000000000,154.5000000000,140.4500000000,1300,200850.0000,10.003560,26.684926,14.339870,12.488910,40.567322
3,2017-03-22,sz.300628,169.9500000000,169.9500000000,169.9500000000,169.9500000000,154.5000000000,700,118965.0000,9.999998,29.353418,15.773857,13.737801,44.624055
4,2017-03-23,sz.300628,186.9500000000,186.9500000000,186.9500000000,186.9500000000,169.9500000000,1900,355205.0000,10.002940,32.289624,17.351707,15.111985,49.087773
5,2017-03-24,sz.300628,205.6500000000,205.6500000000,205.6500000000,205.6500000000,186.9500000000,6900,1418985.0000,10.002670,35.519450,19.087342,16.623588,53.997863
6,2017-03-27,sz.300628,226.2200000000,226.2200000000,226.2200000000,226.2200000000,205.6500000000,6900,1560918.0000,10.002430,39.072258,20.996540,18.286351,59.398962
7,2017-03-28,sz.300628,248.8400000000,248.8400000000,248.8400000000,248.8400000000,226.2200000000,5500,1368620.0000,9.999113,42.979139,23.096008,20.114825,65.338334
8,2017-03-29,sz.300628,273.7200000000,273.7200000000,273.7200000000,273.7200000000,248.8400000000,8900,2436108.0000,9.998395,47.276362,25.405238,22.125984,71.871117
9,2017-03-30,sz.300628,301.0900000000,301.0900000000,301.0900000000,301.0900000000,273.7200000000,143050,43070924.0000,9.999268,52.003653,27.945576,24.338420,79.057703
10,2017-03-31,sz.300628,331.2000000000,331.2000000000,331.2000000000,331.2000000000,301.0900000000,300910,99661392.0000,10.000340,57.204191,30.740227,26.772343,86.963736
11,2017-04-05,sz.300628,364.3200000000,364.3200000000,334.3200000000,346.6200000000,331.2000000000,9932831,3488990736.0000,4.655792,59.867502,32.171429,28.018809,91.012591
12,2017-04-06,sz.300628,353.0000000000,378.0000000000,348.0200000000,359.0100000000,346.6200000000,5199925,1883940896.0000,3.574524,62.007477,33.321403,29.020347,94.265854
