,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2017-09-01,sz.300699,13.5100000000,16.2100000000,13.5100000000,16.2100000000,11.2600000000,20000,319705.0000,43.960910,29.924696,3.812761,9.416856,418.754738
1,2017-09-04,sz.300699,17.8300000000,17.8300000000,17.8300000000,17.8300000000,16.2100000000,10002,178335.0000,9.993837,32.915319,4.193802,10.357961,460.604379
2,2017-09-05,sz.300699,19.6100000000,19.6100000000,19.6100000000,19.6100000000,17.8300000000,20984,411496.0000,9.983178,36.201313,4.612476,11.392014,506.587318
3,2017-09-06,sz.300699,21.5700000000,21.5700000000,21.5700000000,21.5700000000,19.6100000000,19761,426244.0000,9.994896,39.819598,5.073489,12.530635,557.220216
4,2017-09-07,sz.300699,23.7300000000,23.7300000000,23.7300000000,23.7300000000,21.5700000000,21501,510218.0000,10.013910,43.807096,5.581543,13.785441,613.019737
5,2017-09-08,sz.300699,26.1000000000,26.1000000000,26.1000000000,26.1000000000,23.7300000000,35792,934171.0000,9.987362,48.182268,6.138992,15.162243,674.244212
6,2017-09-11,sz.300699,28.7100000000,28.7100000000,28.7100000000,28.7100000000,26.1000000000,39669,1138896.0000,9.999995,53.000494,6.752891,16.678467,741.668633
7,2017-09-12,sz.300699,31.5800000000,31.5800000000,31.5800000000,31.5800000000,28.7100000000,122092,3855665.3600,9.996520,58.298698,7.427945,18.345733,815.809663
8,2017-09-13,sz.300699,34.7400000000,34.7400000000,34.7400000000,34.7400000000,31.5800000000,143422,4982480.2800,10.006340,64.132260,8.171210,20.181468,897.442296
9,2017-09-14,sz.300699,38.2100000000,38.2100000000,38.2100000000,38.2100000000,34.7400000000,163077,6231172.1700,9.988478,70.538101,8.987390,22.197291,987.083193
10,2017-09-15,sz.300699,42.0300000000,42.0300000000,42.0300000000,42.0300000000,38.2100000000,399792,16803257.7600,9.997382,77.590066,9.885894,24.416439,1085.765679
11,2017-09-18,sz.300699,46.2300000000,46.2300000000,46.2300000000,46.2300000000,42.0300000000,396036,18308744.2800,9.992864,85.343534,10.873778,26.856340,1194.264748
12,2017-09-19,sz.300699,50.8500000000,50.8500000000,50.8500000000,50.8500000000,46.2300000000,1204953,61271860.0500,9.993508,93.872349,11.960450,29.540231,1313.613723
13,2017-09-20,sz.300699,55.9400000000,55.9400000000,55.9400000000,55.9400000000,50.8500000000,1045737,58498527.7800,10.009830,103.268814,13.157671,32.497159,1445.104261
14,2017-09-21,sz.300699,61.5300000000,61.5300000000,61.5300000000,61.5300000000,55.9400000000,462793,28475653.2900,9.992849,113.588311,14.472497,35.744551,1589.511355
15,2017-09-22,sz.300699,67.6800000000,67.6800000000,67.6800000000,67.6800000000,61.5300000000,1611649,109076404.3200,9.995127,124.941604,15.919041,39.317263,1748.384991
16,2017-09-25,sz.300699,74.4500000000,74.4500000000,74.4500000000,74.4500000000,67.6800000000,3158199,235127915.5500,10.002950,137.439457,17.511416,43.250152,1923.275156
17,2017-09-26,sz.300699,77.9800000000,78.0000000000,69.0900000000,69.9800000000,74.4500000000,60636671,4503394113.3800,-6.004021,129.187551,16.460025,40.653400,1807.801147
18,2017-09-27,sz.300699,69.9500000000,73.2600000000,68.0200000000,71.9000000000,69.9800000000,31876410,2275140180.1000,2.743638,132.731994,16.911629,41.768783,1857.400722
19,2017-09-28,sz.300699,71.0000000000,79.0900000000,70.5000000000,79.0900000000,71.9000000000,40201710,3101553408.5000,9.999992,146.005193,18.602792,45.945661,2043.140794
20,2017-09-29,sz.300699,78.7300000000,80.0000000000,71.1800000000,71.5900000000,79.0900000000,36876710,2771710192.8200,-9.482868,132.159714,16.838714,41.588695,1849.392457
21,2017-10-09,sz.300699,73.0900000000,76.5000000000,71.0800000000,73.7000000000,71.5900000000,25526778,1898047266.3900,2.947340,136.054909,17.335008,42.814455,1903.900322
22,2017-10-10,sz.300699,72.0100000000,75.9500000000,71.0100000000,73.0300000000,73.7000000000,20126173,1481160498.5300,-0.909088,134.818046,17.177417,42.425233,1886.592138
23,2017-10-11,sz.300699,74.6500000000,79.6000000000,71.9900000000,72.6500000000,73.0300000000,28945913,2191757807.6100,-0.520330,134.116542,17.088037,42.204480,1876.775555
24,2017-10-12,sz.300699,71.0000000000,71.0000000000,67.0100000000,67.2000000000,72.6500000000,22735908,1557473233.4600,-7.501727,124.055494,15.806140,39.038418,1735.985097
25,2017-10-13,sz.300699,68.5000000000,70.0100000000,68.0800000000,68.6500000000,67.2000000000,13146950,906789912.6200,2.157745,126.732286,16.147195,39.880764,1773.443109
26,2017-10-16,sz.300699,69.0000000000,73.5400000000,67.3000000000,71.8300000000,68.6500000000,19725417,1412045742.3700,4.632193,132.602770,16.895164,41.728118,1855.592404
27,2017-10-17,sz.300699,71.5000000000,74.7400000000,70.7000000000,73.2200000000,71.8300000000,17941797,1309371407.8100,1.935124,135.168798,17.222107,42.535609,1891.500429
28,2017-10-18,sz.300699,72.9400000000,74.4700000000,71.5100000000,72.6600000000,73.2200000000,13781945,1005918369.7000,-0.764815,134.135003,17.090389,42.210289,1877.033886
29,2017-10-19,sz.300699,73.3100000000,79.8900000000,73.0000000000,77.8800000000,72.6600000000,24646106,1885862527.3300,7.184136,143.771456,18.318188,45.242738,2011.882729
30,2017-10-20,sz.300699,76.8800000000,80.8000000000,76.5000000000,79.5000000000,77.8800000000,20051356,1575382462.8500,2.080127,146.762080,18.699228,46.183842,2053.732369
31,2017-10-23,sz.300699,80.7500000000,81.5000000000,76.8800000000,78.0500000000,79.5000000000,15012350,1179469913.0800,-1.823896,144.085287,18.358173,45.341495,2016.274358
32,2017-10-24,sz.300699,77.5700000000,78.2600000000,72.5800000000,74.6600000000,78.0500000000,18200179,1363475867.2900,-4.343369,137.827130,17.560810,43.372147,1928.700109
33,2017-10-25,sz.300699,74.0000000000,75.8600000000,73.2500000000,75.4000000000,74.6600000000,10955191,819859794.2400,0.991157,139.193218,17.734866,43.802034,1947.816612
34,2017-10-26,sz.300699,74.9300000000,76.6000000000,72.5900000000,76.3500000000,75.4000000000,12740393,951540779.8400,1.259943,140.946978,17.958316,44.353916,1972.358068
35,2017-10-27,sz.300699,75.8300000000,77.3900000000,74.6800000000,74.9000000000,76.3500000000,8998510,681961512.8100,-1.899145,138.270186,17.617260,43.511570,1934.900056
