,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2018-10-16,sz.300760,58.5600000000,70.2700000000,58.5600000000,70.2700000000,48.8000000000,419948,29448511.2000,43.995900,26.242860,11.545337,6.830346,121.164705
1,2018-10-17,sz.300760,77.3000000000,77.3000000000,77.3000000000,77.3000000000,70.2700000000,186547,14420083.1000,10.004280,28.868266,12.700363,7.513673,133.286349
2,2018-10-18,sz.300760,85.0300000000,85.0300000000,73.3800000000,80.9700000000,77.3000000000,55718541,4493959114.0500,4.747734,30.238855,13.303343,7.870402,139.614433
3,2018-10-19,sz.300760,79.5000000000,89.0700000000,79.4000000000,89.0700000000,80.9700000000,35319206,3011157565.2000,10.003700,33.263861,14.634170,8.657734,153.581049
4,2018-10-22,sz.300760,94.0000000000,97.9800000000,92.0100000000,97.9800000000,89.0700000000,17685766,1689793609.0300,10.003370,36.591368,16.098080,9.523799,168.944327
5,2018-10-23,sz.300760,102.0000000000,105.8000000000,94.6700000000,94.7000000000,97.9800000000,32962614,3319210156.1500,-3.347629,35.366427,15.559177,9.204978,163.288709
6,2018-10-24,sz.300760,95.3900000000,100.5000000000,95.2000000000,97.0500000000,94.7000000000,24149984,2351484901.8200,2.481527,36.244052,15.945281,9.433401,167.340752
7,2018-10-25,sz.300760,93.1200000000,101.3700000000,93.1200000000,99.5800000000,97.0500000000,19315338,1871745883.2600,2.606902,37.188900,16.360959,9.679321,171.703164
8,2018-10-26,sz.300760,99.8000000000,103.0000000000,92.5100000000,97.2000000000,99.5800000000,18272124,1778309679.0000,-2.390043,36.300071,15.969926,9.447982,167.599393
9,2018-10-29,sz.300760,96.5000000000,98.3600000000,94.0100000000,97.5200000000,97.2000000000,10286018,994737034.0800,0.329218,36.419577,16.022502,9.479086,168.151161
10,2018-10-30,sz.300760,96.5000000000,99.9000000000,92.7100000000,97.3500000000,97.5200000000,14005735,1350378208.2800,-0.174321,33.892590,13.795653,9.028179,63.471171
11,2018-10-31,sz.300760,97.8000000000,101.9400000000,97.8000000000,99.0000000000,97.3500000000,13522723,1347886601.6900,1.694917,34.467040,14.029478,9.181199,64.546954
12,2018-11-01,sz.300760,100.9800000000,105.6000000000,99.1000000000,102.3300000000,99.0000000000,15664145,1601231269.9700,3.363638,35.626386,14.501378,9.490021,66.718078
13,2018-11-02,sz.300760,106.2900000000,107.3800000000,102.6700000000,105.4000000000,102.3300000000,16217663,1701272338.5400,3.000097,36.695213,14.936434,9.774731,68.719686
14,2018-11-05,sz.300760,104.8800000000,106.5700000000,99.4500000000,102.4200000000,105.4000000000,13349537,1373603233.1400,-2.827328,35.657720,14.514133,9.498367,66.776758
15,2018-11-06,sz.300760,100.7000000000,112.6600000000,99.8500000000,112.6600000000,102.4200000000,13529740,1425402758.2500,9.998053,39.222796,15.965262,10.448019,73.453129
16,2018-11-07,sz.300760,112.6500000000,113.6800000000,108.7000000000,110.0000000000,112.6600000000,11559522,1285698030.2500,-2.361089,38.296711,15.588309,10.201332,71.718837
17,2018-11-08,sz.300760,112.0000000000,112.9900000000,107.7900000000,109.2800000000,110.0000000000,9042712,999397652.6100,-0.654547,38.046042,15.486276,10.134560,71.249405
18,2018-11-09,sz.300760,107.5000000000,113.8000000000,107.0000000000,110.7800000000,109.2800000000,8703255,969217062.1100,1.372621,38.568270,15.698844,10.273669,72.227389
19,2018-11-12,sz.300760,109.9200000000,112.7700000000,109.1700000000,112.0100000000,110.7800000000,7992319,889722777.4700,1.110312,38.996497,15.873150,10.387738,73.029336
20,2018-11-13,sz.300760,110.0000000000,117.0000000000,108.5300000000,110.0600000000,112.0100000000,13639629,1539492049.1000,-1.740920,38.317601,15.596811,10.206896,71.757957
