,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2019-03-19,sz.300763,31.9700000000,38.3600000000,31.9700000000,38.3600000000,26.6400000000,9612,363287.3200,43.994000,25.992640,8.772325,3.691192,45.469882
1,2019-03-20,sz.300763,42.2000000000,42.2000000000,42.2000000000,42.2000000000,38.3600000000,2700,113940.0000,10.010430,28.594615,9.650472,4.060696,50.021612
2,2019-03-21,sz.300763,46.4200000000,46.4200000000,46.4200000000,46.4200000000,42.2000000000,4285,198909.7000,9.999993,31.454076,10.615520,4.466765,55.023773
3,2019-03-22,sz.300763,51.0600000000,51.0600000000,51.0600000000,51.0600000000,46.4200000000,24426,1247191.5600,9.995699,34.598128,11.676614,4.913249,60.523780
4,2019-03-25,sz.300763,56.1700000000,56.1700000000,56.1700000000,56.1700000000,51.0600000000,45100,2533267.0000,10.007830,38.060652,12.845190,5.404959,66.580899
5,2019-03-26,sz.300763,61.7900000000,61.7900000000,61.7900000000,61.7900000000,56.1700000000,76900,4751651.0000,10.005350,41.868750,14.130395,5.945744,73.242545
6,2019-03-27,sz.300763,67.9700000000,67.9700000000,67.9700000000,67.9700000000,61.7900000000,131028,8905973.1600,10.001620,46.056302,15.543664,6.540415,80.567985
7,2019-03-28,sz.300763,74.7700000000,74.7700000000,70.0000000000,70.2800000000,67.9700000000,11463821,819629694.1100,3.398554,47.621552,16.071924,6.762694,83.306135
8,2019-03-29,sz.300763,67.2000000000,67.9000000000,64.4500000000,66.9200000000,70.2800000000,7199878,479316209.5500,-4.780878,45.344825,15.303545,6.439378,79.323371
9,2019-04-01,sz.300763,66.0000000000,69.0800000000,65.0200000000,67.4900000000,66.9200000000,6683334,447948795.8900,0.851763,45.731055,15.433895,6.494227,79.999019
10,2019-04-02,sz.300763,67.4500000000,67.4500000000,65.8300000000,66.7300000000,67.4900000000,5148262,343032646.8400,-1.126085,45.216081,15.260095,6.421096,79.098155
11,2019-04-03,sz.300763,66.4000000000,66.4000000000,64.6500000000,64.9100000000,66.7300000000,4514438,295013257.5600,-2.727408,43.982854,14.843890,6.245966,76.940825
12,2019-04-04,sz.300763,64.6500000000,67.0300000000,64.6500000000,66.5200000000,64.9100000000,4790070,316470913.2200,2.480346,45.073786,15.212071,6.400888,78.849233
13,2019-04-08,sz.300763,66.3000000000,67.5000000000,65.3000000000,65.3300000000,66.5200000000,4325684,286245730.7300,-1.788928,44.267445,14.939937,6.286381,77.438671
14,2019-04-09,sz.300763,64.4000000000,64.4000000000,60.5000000000,61.1900000000,65.3300000000,4163618,256689466.8900,-6.337063,41.462191,13.993185,5.888009,72.531337
15,2019-04-10,sz.300763,61.1000000000,61.7800000000,60.5700000000,61.0000000000,61.1900000000,1906589,116543031.3000,-0.310506,41.333448,13.949735,5.869726,72.306121
16,2019-04-11,sz.300763,61.3800000000,61.4800000000,59.6700000000,60.0000000000,61.0000000000,2008331,121398397.1200,-1.639344,40.655850,13.721051,5.773501,71.120775
17,2019-04-12,sz.300763,59.9900000000,60.4900000000,57.6100000000,58.6900000000,60.0000000000,2424169,142733378.0400,-2.183336,39.768197,13.421474,5.647446,69.567972
18,2019-04-15,sz.300763,58.8500000000,59.7300000000,58.5100000000,58.6000000000,58.6900000000,1641019,97095845.0200,-0.153348,39.707214,13.400893,5.638786,69.461290
19,2019-04-16,sz.300763,58.5600000000,59.5000000000,57.0000000000,59.4900000000,58.6000000000,2124502,123487981.5900,1.518777,40.310275,13.604422,5.724426,70.516249
20,2019-04-17,sz.300763,59.1900000000,59.8900000000,58.9900000000,59.4400000000,59.4900000000,1713881,101978028.6500,-0.084053,40.276396,13.592988,5.719615,70.456981
21,2019-04-18,sz.300763,59.4500000000,59.6800000000,58.5200000000,59.0400000000,59.4400000000,1590335,93922553.3600,-0.672944,40.005357,13.501514,5.681125,69.982843
22,2019-04-19,sz.300763,58.4600000000,59.6800000000,58.3100000000,59.5900000000,59.0400000000,1562104,92449099.5900,0.931570,40.378035,13.627290,5.734049,70.634783
23,2019-04-22,sz.300763,59.5900000000,59.5900000000,57.5700000000,58.0600000000,59.5900000000,1762958,102970160.6100,-2.567543,39.341311,13.277403,5.586825,68.821203
24,2019-04-23,sz.300763,57.5700000000,59.5500000000,57.1600000000,58.2800000000,58.0600000000,1961551,114884351.4400,0.378914,39.490382,13.327714,5.607994,69.081980
25,2019-04-24,sz.300763,57.6300000000,58.2500000000,55.1500000000,56.3600000000,58.2800000000,1972787,111522012.4400,-3.294437,38.189395,12.888640,5.423242,66.806115
26,2019-04-25,sz.300763,55.9900000000,56.3900000000,51.8100000000,52.0400000000,56.3600000000,2238938,121245443.8900,-7.665010,35.005718,5.020706,4.892500,6.570603
27,2019-04-26,sz.300763,51.8200000000,51.8400000000,50.3000000000,50.9200000000,52.0400000000,1720030,87936848.0500,-2.152196,34.252328,4.912651,4.787204,6.429191
28,2019-04-29,sz.300763,50.9200000000,51.4800000000,47.4300000000,47.4700000000,50.9200000000,1860787,91917268.5100,-6.775328,31.931618,4.579803,4.462855,5.993592
29,2019-04-30,sz.300763,47.5300000000,48.4400000000,47.2500000000,47.6500000000,47.4700000000,1048196,50199744.3000,0.379188,32.052699,4.597169,4.479778,6.016319
30,2019-05-06,sz.300763,44.2400000000,46.0000000000,42.9500000000,44.0800000000,47.6500000000,1584277,70487346.3600,-7.492129,29.651269,4.252743,4.144147,5.565568
31,2019-05-07,sz.300763,44.9400000000,46.0000000000,44.1800000000,45.9700000000,44.0800000000,1751000,78901457.0000,4.287657,30.922614,4.435086,4.321834,5.804201
32,2019-05-08,sz.300763,44.8800000000,47.0000000000,44.5400000000,46.0000000000,45.9700000000,1716826,78808034.7200,0.065257,30.942794,4.437980,4.324654,5.807989
33,2019-05-09,sz.300763,45.6000000000,46.8800000000,45.2100000000,45.6500000000,46.0000000000,1331191,61317280.9200,-0.760866,30.707360,4.404213,4.291749,5.763798
34,2019-05-10,sz.300763,46.3000000000,46.7800000000,44.4800000000,46.5300000000,45.6500000000,1829784,84373356.3400,1.927705,31.299309,4.489113,4.374482,5.874907
35,2019-05-13,sz.300763,45.8700000000,46.3700000000,45.3000000000,45.6500000000,46.5300000000,1043100,47825356.0000,-1.891247,30.707360,4.404213,4.291749,5.763798
36,2019-05-14,sz.300763,44.8000000000,45.5000000000,44.5900000000,44.8900000000,45.6500000000,1000690,44986022.1000,-1.664846,30.196131,4.330890,4.220299,5.667840
37,2019-05-15,sz.300763,44.9900000000,46.3000000000,44.9900000000,46.1800000000,44.8900000000,1464184,66821247.3600,2.873693,31.063875,4.455346,4.341577,5.830716
38,2019-05-16,sz.300763,46.6900000000,48.5500000000,46.2000000000,48.0800000000,46.1800000000,2651907,126991648.5600,4.114338,32.341947,4.638654,4.520204,6.070611
39,2019-05-17,sz.300763,47.5000000000,48.0400000000,44.5100000000,44.7400000000,48.0800000000,1931941,89644036.6900,-6.946755,30.095231,4.316418,4.206196,5.648900
40,2019-05-20,sz.300763,44.8800000000,45.0000000000,42.7500000000,43.5800000000,44.7400000000,1029739,44686277.5500,-2.592758,29.314934,4.204504,4.097140,5.502438
41,2019-05-21,sz.300763,43.3000000000,44.5900000000,43.3000000000,43.9900000000,43.5800000000,910830,40113478.6500,0.940798,29.590729,4.244060,4.135686,5.554205
42,2019-05-22,sz.300763,44.1700000000,44.2400000000,43.1800000000,43.4200000000,43.9900000000,852054,37156741.8200,-1.295757,29.207307,4.189067,4.082098,5.482236
43,2019-05-23,sz.300763,43.4000000000,43.4000000000,41.4000000000,41.4600000000,43.4200000000,1143656,47976733.2000,-4.514047,27.888875,3.999971,3.897830,5.234766
44,2019-05-24,sz.300763,41.6600000000,42.5500000000,41.5000000000,41.9800000000,41.4600000000,793209,33299947.8100,1.254222,28.238663,4.050139,3.946717,5.300421
