,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600000,34.7609369000,37.6349358400,31.3410387200,33.4443563800,86595009,1872035076.0000,1,6.499842,-2.252464
1,2007-01-12,sh.600000,33.3961888000,39.0639073800,33.0911274600,36.2862436000,139828428,3169460127.0000,1,10.495555,8.497360
2,2007-01-19,sh.600000,36.8000311200,39.2565777000,33.1553509000,35.0338865200,137244386,3095029376.0000,1,10.301596,-3.451327
3,2007-01-26,sh.600000,36.1256850000,43.0457606600,35.2426127000,42.6764758800,192380349,4628030088.0000,1,14.440114,21.814849
4,2007-02-02,sh.600000,42.3874704000,45.4862513800,35.8527353800,36.9284780000,141841346,3672555536.0000,1,10.646645,-13.468774
5,2007-02-09,sh.600000,36.3665229000,39.3368570000,33.0590157400,36.1899084400,152212889,3430492915.0000,1,11.425135,-2.000000
6,2007-02-16,sh.600000,36.7679194000,41.9860739000,36.2862436000,40.9263871400,74501755,1867439024.0000,1,5.592119,13.087844
7,2007-03-02,sh.600000,40.5571023600,40.5571023600,34.0063114800,35.2426127000,144942613,3270302622.0000,1,10.879427,-13.887799
8,2007-03-09,sh.600000,34.8412162000,40.4286554800,34.0384232000,39.8506445200,149394565,3507909176.0000,1,11.213591,13.075171
9,2007-03-16,sh.600000,39.8185328000,39.8345886600,36.1417408600,37.1050924600,88909777,2089401205.0000,1,6.673589,-6.889605
10,2007-03-23,sh.600000,36.3022994600,42.7567551800,36.2059643000,41.3598953600,182325896,4664018173.0000,1,13.685425,11.466897
11,2007-03-30,sh.600000,40.1396500000,45.4701955200,39.8185328000,42.9012579200,124258147,3263913973.0000,1,9.326846,3.726708
12,2007-04-06,sh.600000,43.1902634000,47.8464628000,42.8691462000,45.3578045000,100028785,2833593673.0000,1,7.508184,5.726048
13,2007-04-13,sh.600000,45.3578045000,50.1906183600,44.7958494000,47.9106862400,98273279,2923024679.0000,1,7.376415,5.628319
14,2007-04-20,sh.600000,47.5253456000,50.3190652400,42.3874704000,44.8761287000,104170738,2996119708.0000,1,7.819080,-6.333780
15,2007-04-27,sh.600000,44.8921845600,48.3281386000,43.5274364600,44.1375591400,138584569,3899502836.0000,1,10.402190,-1.645796
16,2007-04-30,sh.600000,43.6719392000,44.1857267200,42.7085876000,43.1902634000,38233396,1032084070.0000,1,2.869808,-2.146235
17,2007-05-11,sh.600000,44.4105087600,48.8900937000,43.7522185000,47.0276139400,168925499,4853040213.0000,1,12.679588,8.884758
18,2007-05-18,sh.600000,46.2087650800,48.3602503200,43.3347661400,44.5389556400,267762383,7617739091.0000,1,8.212038,-5.291909
19,2007-05-25,sh.600000,43.3668778600,49.5323281000,43.3508220000,47.2684518400,220235905,6306777885.0000,1,6.754442,6.128335
20,2007-06-01,sh.600000,47.8464628000,57.2551967600,44.1536150000,53.0003938600,244376375,7742208645.0000,1,7.494809,12.126359
21,2007-06-08,sh.600000,54.2045833600,54.5899240000,46.8831112000,50.7365176000,137650583,4418392702.0000,1,4.221623,-4.271433
22,2007-06-15,sh.600000,50.7365176000,59.1337323800,49.2914902000,57.6565932600,185502454,6189536504.0000,1,5.689198,13.639241
23,2007-06-22,sh.600000,58.4433304000,61.8150610000,56.5005713400,60.0328605400,127584434,4732193816.0000,1,3.912903,4.121415
24,2007-06-29,sh.600000,59.9204695200,63.4206470000,57.6405374000,58.7483917400,104995929,3968890733.0000,1,3.220133,-2.139610
25,2007-07-06,sh.600000,58.1222132000,58.6038890000,52.2136567200,55.6174990400,54478983,1891100009.0000,1,1.670823,-5.329325
26,2007-07-13,sh.600000,55.7298900600,59.9525812400,54.5899240000,58.5075538400,51929018,1880269859.0000,1,1.592618,5.196305
27,2007-07-20,sh.600000,58.8928944800,66.2953910400,55.0715998000,66.2147789400,106821937,4048930330.0000,1,3.276135,13.173089
28,2007-07-27,sh.600000,66.7468188000,69.3264060000,64.1994764400,65.2474337400,85793365,3560485043.0000,1,2.631207,-1.460920
29,2007-08-03,sh.600000,64.9733526000,71.8737483600,63.6835590000,71.3094636600,104832349,4366869817.0000,1,3.215116,9.290833
30,2007-08-10,sh.600000,71.9059932000,74.4372131400,69.3264060000,71.8898707800,80938136,3618931887.0000,1,2.482302,0.813927
31,2007-08-17,sh.600000,71.8415035200,74.9692530000,64.7153938800,67.7786536800,101313869,4511653856.0000,1,3.107208,-5.718771
32,2007-08-24,sh.600000,69.5521198800,85.8518865000,69.5521198800,84.9329085600,123988180,6011957479.0000,1,3.802609,25.309229
33,2007-08-31,sh.600000,84.9329085600,88.8345342000,82.1920971600,88.6733100000,80002414,4238437116.0000,1,2.453604,4.403948
34,2007-09-07,sh.600000,89.2859619600,93.3488118000,82.0631178000,83.6914822200,79266055,4291405141.0000,1,2.431020,-5.618182
35,2007-09-14,sh.600000,82.2243420000,87.2222922000,79.4835306000,82.0792402200,66142585,3398560265.0000,1,2.028535,-1.926411
36,2007-09-21,sh.600000,82.8692388000,84.8845413000,76.9039434000,78.9676131600,79950759,4021306706.0000,1,2.452020,-3.791004
37,2007-09-28,sh.600000,78.9998580000,85.1102551800,78.3227163600,84.6427050000,82649979,4163657437.0000,1,2.534802,7.186607
38,2007-10-12,sh.600000,86.4806608800,92.5104459600,83.0304630000,88.6571875800,76778593,4238608739.0000,1,2.354732,4.742857
39,2007-10-19,sh.600000,88.6733100000,92.0590182000,80.7894466200,82.5629128200,94025334,5112437316.0000,1,2.883675,-6.873977
40,2007-10-26,sh.600000,82.0308729600,94.3161570000,79.7414893200,93.6228929400,77442596,4225905007.0000,1,2.375097,13.395821
41,2007-11-02,sh.600000,92.7845271000,98.2016602200,90.7692246000,93.3004445400,58106241,3382928884.0000,1,1.782068,-0.344412
42,2007-11-09,sh.600000,91.5753456000,93.1875876000,84.3363790200,86.5451505600,44296746,2413047677.0000,1,1.358542,-7.240366
43,2007-11-16,sh.600000,84.5298480600,90.8820815400,83.3529114000,85.2231121200,51191225,2763777982.0000,1,1.569990,-1.527571
44,2007-11-23,sh.600000,84.9006637200,85.9324986000,74.8080288000,77.3876160000,46986487,2321079655.0000,1,1.441034,-9.194098
45,2007-11-30,sh.600000,78.2904715200,84.1590324000,75.7753740000,83.6592373800,40539409,2021961320.0000,1,1.217866,8.104167
46,2007-12-07,sh.600000,82.8047491200,90.4467762000,82.4178110400,89.6406552000,38209268,2079068436.0000,1,1.079899,7.149740
47,2007-12-14,sh.600000,87.2384146200,88.1896374000,76.9200658200,79.7576117400,94139892,4776817270.0000,1,2.660651,-11.025180
48,2007-12-21,sh.600000,78.9837355800,81.3537313200,73.3570110000,79.2094494600,61495268,2947284008.0000,1,1.738025,-0.687285
