,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600009,41.0225980000,45.5544138000,40.9581646000,44.2872236000,34698779,702832982.0000,1,3.852079,9.042834
1,2007-01-12,sh.600009,44.3301792000,53.6945000000,43.4281116000,52.1480984000,48286365,1095189010.0000,1,5.360503,17.749758
2,2007-01-19,sh.600009,52.1480984000,55.1979460000,49.9573628000,53.9737114000,58473431,1415115519.0000,1,6.491418,3.500824
3,2007-01-26,sh.600009,54.0166670000,56.5940030000,51.9762760000,55.8208022000,66492265,1684980040.0000,1,7.381627,3.422205
4,2007-02-02,sh.600009,55.8208022000,59.3216836000,51.5681978000,55.7348910000,67171274,1742430130.0000,1,7.457008,-0.153905
5,2007-02-09,sh.600009,56.3147916000,57.2383370000,46.5423926000,56.4866140000,70232246,1704565593.0000,1,7.796821,1.348748
6,2007-02-16,sh.600009,56.4436584000,64.7555670000,55.1979460000,61.9634530000,37256088,1068067408.0000,1,4.135978,9.695817
7,2007-03-02,sh.600009,61.4265080000,62.2641422000,50.5802190000,54.1025782000,50174503,1297048538.0000,1,5.487159,-12.686308
8,2007-03-09,sh.600009,54.2529228000,58.1618824000,52.1910540000,56.3792250000,37744012,981344155.0000,1,3.785271,4.208019
9,2007-03-16,sh.600009,56.2503582000,56.9161700000,51.3319420000,51.7400202000,56818735,1399541824.0000,1,5.698236,-8.228571
10,2007-03-23,sh.600009,51.1171640000,53.4797220000,50.4728300000,52.2125318000,58816740,1431490247.0000,1,5.898612,0.913242
11,2007-03-30,sh.600009,52.3199208000,55.5415908000,51.5681978000,52.3413986000,101253061,2519209250.0000,1,10.154465,0.246812
12,2007-04-06,sh.600009,52.3843542000,63.0158652000,52.1051428000,60.1163622000,140617038,3753693179.0000,1,14.102199,14.854329
13,2007-04-13,sh.600009,59.9015842000,66.3664020000,57.6678930000,64.4119222000,111918781,3189597338.0000,1,11.224108,7.145409
14,2007-04-20,sh.600009,64.4334000000,69.6310276000,60.3526180000,64.4119222000,103755407,3150766909.0000,1,10.405420,0.000000
15,2007-04-27,sh.600009,65.4643344000,74.7427440000,63.7890660000,73.5829428000,82109523,2618181656.0000,1,8.234598,14.238079
16,2007-04-30,sh.600009,73.6044206000,76.5898348000,72.1654080000,75.0649110000,17309137,601469218.0000,1,1.735898,2.014011
17,2007-05-11,sh.600009,76.4609680000,76.4609680000,67.2255140000,69.1799938000,57292441,1902870946.0000,1,5.745743,-7.839771
18,2007-05-18,sh.600009,67.1825584000,71.5210740000,64.4334000000,68.1920150000,63484052,2010742049.0000,1,6.366687,-1.428128
19,2007-05-25,sh.600009,66.1516240000,74.1198878000,65.6146790000,70.8552622000,75573858,2495369951.0000,1,7.579150,3.905512
20,2007-06-01,sh.600009,70.9841290000,85.9112000000,69.8672834000,80.2195830000,136774275,4915336586.0000,1,13.716816,13.216126
21,2007-06-08,sh.600009,80.6491390000,92.9988740000,69.8458056000,90.2497156000,88274404,3404640661.0000,1,8.852862,12.503347
22,2007-06-15,sh.600009,90.2067600000,92.9773962000,85.6964220000,87.3287348000,91789964,3767328973.0000,1,9.205430,-3.236554
23,2007-06-22,sh.600009,87.6938574000,90.4215380000,81.6371178000,85.4601662000,73859120,2967106452.0000,1,7.407182,-2.139695
24,2007-06-29,sh.600009,85.7393776000,86.9421344000,78.4369256000,81.6371178000,61095295,2345727477.0000,1,6.127124,-4.473486
25,2007-07-06,sh.600009,81.6156400000,84.8158322000,75.2796890000,79.3175154000,43863174,1632258432.0000,1,4.398949,-2.841358
26,2007-07-13,sh.600009,80.2195830000,81.9378070000,77.1053020000,81.1646062000,33334278,1227885231.0000,1,3.343027,2.328730
27,2007-07-20,sh.600009,81.1860840000,82.2170184000,75.1723000000,81.4008620000,31853371,1185323616.0000,1,3.194510,0.291082
28,2007-07-27,sh.600009,81.4008620000,86.8777010000,81.1860840000,83.6130754000,51269677,2005572486.0000,1,5.141732,2.717678
29,2007-08-03,sh.600009,83.5486420000,89.3476480000,82.7324856000,86.2333670000,68214638,2729111209.0000,1,6.841108,3.133830
30,2007-08-10,sh.600009,87.4361238000,89.4765148000,82.6895300000,84.8587878000,72976582,2908684564.0000,1,7.318674,-1.594022
31,2007-08-17,sh.600009,84.7943544000,88.4670582000,80.5417500000,80.7350502000,78114487,3081777127.0000,1,7.833944,-4.859529
32,2007-08-24,sh.600009,82.9043080000,93.9098278800,82.9043080000,91.6461612300,70570459,2887644533.0000,1,7.077369,13.514694
33,2007-08-31,sh.600009,91.6892786900,94.2116501000,85.4803644500,90.3957548900,72745277,2983056862.0000,1,7.295477,-1.364385
34,2007-09-07,sh.600009,90.9562818700,92.8318913800,86.6229771400,90.1154914000,67325917,2820726502.0000,1,6.751980,-0.310041
35,2007-09-14,sh.600009,89.8999041000,90.9778406000,83.6478724000,85.1569835000,51753765,2086095566.0000,1,5.190281,-5.502392
36,2007-09-21,sh.600009,85.1569835000,89.6843168000,83.9712533500,86.6014184100,53878316,2148831460.0000,1,5.403347,1.696203
37,2007-09-28,sh.600009,86.8601231700,87.5284438000,81.0608248000,84.9413962000,41505928,1621951370.0000,1,4.162546,-1.916853
38,2007-10-12,sh.600009,86.6229771400,86.6229771400,76.3394629300,79.2283327500,84996425,3237525065.0000,1,8.524120,-6.725888
39,2007-10-19,sh.600009,79.7673010000,84.0790470000,77.3958407000,78.4953359300,85081843,3162158942.0000,1,8.532686,-0.925170
40,2007-10-26,sh.600009,77.1802534000,78.9480692600,72.5235677200,73.2565645400,36502434,1279826829.0000,1,3.660755,-6.673991
41,2007-11-02,sh.600009,74.3345010400,78.3013073600,70.4539296400,70.6910756700,40072694,1381142804.0000,1,4.018810,-3.502060
42,2007-11-09,sh.600009,70.2814598000,73.2565645400,68.5567614000,69.5269042500,27112697,894130902.0000,1,2.719078,-1.646844
43,2007-11-16,sh.600009,67.8884407700,73.4721518400,65.4954217400,70.0443137700,31562366,1029162505.0000,1,3.165326,0.744186
44,2007-11-23,sh.600009,70.1952248800,74.5932058000,68.7723487000,71.0144566200,25971266,865578966.0000,1,2.604606,1.385042
45,2007-11-30,sh.600009,72.1139518500,72.6098026400,68.3411741000,70.1305486900,24165804,782615371.0000,1,2.423540,-1.244687
