,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600021,5.3367272000,5.7723784000,5.2387056800,5.7070307200,39670700,200062725.0000,1,10.043845,8.264463
1,2007-01-12,sh.600021,5.7832696800,6.0446604000,5.3585097600,5.3911836000,77286163,412413099.0000,1,19.567343,-5.534351
2,2007-01-19,sh.600021,5.3585097600,5.8595086400,5.3367272000,5.8377260800,64011918,332785327.0000,1,16.206564,8.282828
3,2007-01-26,sh.600021,5.9357476000,6.2515947200,5.5436615200,5.8268348000,90679678,497602815.0000,1,22.958319,-0.186567
4,2007-02-02,sh.600021,5.8377260800,6.2515947200,5.7723784000,5.8486173600,83724955,462430580.0000,1,21.197519,0.373832
5,2007-02-09,sh.600021,5.8268348000,6.4585290400,5.7070307200,6.3931813600,70164873,390921631.0000,1,17.764372,9.310987
6,2007-02-16,sh.600021,6.3931813600,6.8506151200,6.3278336800,6.7634848800,89554873,542182939.0000,1,22.673540,5.792164
7,2007-03-02,sh.600021,6.7852674400,7.4387442400,6.3713988000,6.8397238400,101830982,641044562.0000,1,25.781611,1.127214
8,2007-03-09,sh.600021,6.8288325600,7.3733965600,6.6763546400,7.1555709600,83858757,545877030.0000,1,21.231395,4.617834
9,2007-03-16,sh.600021,7.1446796800,7.4060704000,6.9377453600,7.1446796800,77715103,515065820.0000,1,19.675942,-0.152207
10,2007-03-23,sh.600021,6.9159628000,7.7654826400,6.8070500000,7.6674611200,74702885,508747699.0000,1,18.913308,7.317073
11,2007-03-30,sh.600021,7.6892436800,8.0050908000,7.4387442400,7.6892436800,76431034,544486828.0000,1,19.350841,0.284091
12,2007-04-06,sh.600021,7.7001349600,8.4951984000,7.6783524000,8.4951984000,105494265,783056349.0000,1,26.709082,10.481586
13,2007-04-13,sh.600021,8.5823286400,9.2902618400,8.5060896800,8.8981757600,113700430,924660704.0000,1,28.786723,4.743590
14,2007-04-20,sh.600021,8.9090670400,10.2269119200,8.8110455200,10.1179991200,103211489,896871388.0000,1,26.131128,13.708690
15,2007-04-27,sh.600021,10.1288904000,10.6952369600,9.8674996800,10.1833468000,106391321,1008304936.0000,1,26.936199,0.645856
16,2007-04-30,sh.600021,10.1833468000,10.3467160000,9.9655212000,10.2922596000,20654993,192601863.0000,1,5.229440,1.069519
