,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600066,82.2989360000,88.7237600000,80.8915936000,85.6031312000,17663676,245927553.0000,1,6.316961,6.226272
1,2007-01-12,sh.600066,88.6625712000,102.7971840000,86.3373968000,92.9457872000,17788919,271666383.0000,1,6.361751,8.577555
2,2007-01-19,sh.600066,92.9457872000,113.6887904000,92.9457872000,112.5873920000,20252160,341089923.0000,1,7.242666,21.132324
3,2007-01-26,sh.600066,112.5262032000,118.5838944000,97.5961360000,108.9772528000,18771179,332884788.0000,1,6.713031,-3.206522
4,2007-02-02,sh.600066,107.7534768000,109.0996304000,89.3356480000,93.6800528000,16075846,259202433.0000,1,5.749114,-14.037058
5,2007-02-09,sh.600066,93.6800528000,105.5506800000,93.6800528000,95.4545280000,15563850,254708471.0000,1,5.566012,1.894187
6,2007-02-16,sh.600066,95.4545280000,116.2587200000,95.1485840000,111.3024272000,21432742,377533724.0000,1,7.664871,16.602564
7,2007-03-02,sh.600066,115.0349440000,115.0349440000,91.7832000000,94.5366960000,24402221,401010028.0000,1,8.726829,-15.063222
8,2007-03-09,sh.600066,94.8426400000,99.9213104000,93.9248080000,96.2499824000,16519188,262225029.0000,1,5.907664,1.812298
9,2007-03-16,sh.600066,96.4335488000,96.8618704000,92.0891440000,92.5786544000,28047804,431362494.0000,1,10.030579,-3.814367
10,2007-03-23,sh.600066,89.9475360000,96.0664160000,89.2132704000,94.1083744000,32805185,500129145.0000,1,11.731934,1.652346
11,2007-03-30,sh.600066,94.1083744000,103.5314496000,94.1083744000,99.6153664000,37187791,605546616.0000,1,13.299261,5.851756
12,2007-04-06,sh.600066,100.0436880000,108.6713088000,100.0436880000,104.0447606800,31154542,526625186.0000,1,11.141624,4.446498
13,2007-04-13,sh.600066,104.0447606800,113.9957729000,102.9740821500,109.5241155100,37053460,639943789.0000,1,13.251221,5.266344
14,2007-04-20,sh.600066,109.5241155100,129.1112345000,108.0125693500,126.9068963500,55017229,1049369357.0000,1,19.675502,15.871190
15,2007-04-27,sh.600066,126.9698774400,132.0713457300,119.7270520900,126.1511232700,30683060,610693409.0000,1,10.973010,-0.595533
16,2007-04-30,sh.600066,127.4737261600,135.2204002300,127.4107450700,133.8977973400,9327446,194719880.0000,1,3.335722,6.140789
17,2007-05-11,sh.600066,136.6689653000,137.9285871000,122.4352389600,127.2218018000,26556301,545485449.0000,1,9.497181,-4.985889
18,2007-05-18,sh.600066,125.9621800000,135.7872300400,123.5059174900,130.3708563000,31525949,645833900.0000,1,11.274448,2.475248
19,2007-05-25,sh.600066,125.8362178200,157.7676304500,124.7025582000,156.1301221100,39298035,898729336.0000,1,14.053935,19.758454
20,2007-06-01,sh.600066,156.1931032000,160.9796660400,141.7704335900,147.4387316900,32143023,774650579.0000,1,11.495129,-5.566761
21,2007-06-08,sh.600066,140.9516794200,153.0440487000,122.8131255000,151.0916349100,17852693,394814656.0000,1,6.384558,2.477574
22,2007-06-15,sh.600066,151.0916349100,169.6080753700,149.2651833000,160.7907227700,16943751,431022899.0000,1,6.059498,6.419341
23,2007-06-22,sh.600066,160.7907227700,176.5359952700,157.4527250000,162.9320798300,11418295,301618091.0000,1,4.083461,1.331767
24,2007-06-29,sh.600066,163.0580420100,184.2196882500,156.1931032000,171.5604891600,15262838,415707208.0000,1,5.458363,5.295709
25,2007-07-06,sh.600066,168.7893212000,172.5681866000,149.8949942000,161.5464958500,13554041,352285410.0000,1,4.847256,-5.837004
26,2007-07-13,sh.600066,161.8614013000,166.2700776000,153.5478974200,163.8767961800,5751124,147383979.0000,1,2.056742,1.442495
27,2007-07-20,sh.600066,165.0104558000,165.3883423400,148.5094102200,155.7522355700,8393093,203315645.0000,1,3.001575,-4.957725
28,2007-07-27,sh.600066,156.1931032000,175.0874302000,155.2483868500,170.0489430000,9458985,247610405.0000,1,3.382764,9.179135
29,2007-08-03,sh.600066,167.6556615800,182.6451610000,162.8690987400,179.3701443200,14287507,396947983.0000,1,5.109561,5.481481
30,2007-08-10,sh.600066,183.5898773500,187.1797994800,166.7739263200,169.6710564600,15404791,431223868.0000,1,5.509129,-5.407303
31,2007-08-17,sh.600066,167.0888317700,172.1903000600,161.8614013000,162.9950609200,13109527,347714193.0000,1,4.688286,-3.934670
32,2007-08-24,sh.600066,165.6402667000,181.8893879200,164.3806449000,178.3624468800,11980377,334059224.0000,1,4.284475,9.428130
33,2007-08-31,sh.600066,179.4961065000,191.7774190500,176.4730141800,183.7788206200,18992743,553451013.0000,1,6.792268,3.036723
34,2007-09-07,sh.600066,185.7942155000,241.8473856000,185.7942155000,232.7781086400,35156168,1214478579.0000,1,12.572703,26.662097
35,2007-09-14,sh.600066,230.5107894000,244.8704779200,205.3813344900,215.5212899800,17316400,607400129.0000,1,6.192767,-7.413420
36,2007-09-21,sh.600066,213.2539707400,234.7935035200,210.3568406000,220.4967960900,13725517,483240443.0000,1,4.908580,2.308591
37,2007-09-28,sh.600066,225.4723022000,232.0853166500,206.5779752000,213.8208005500,16001448,554531966.0000,1,5.722508,-3.027706
