,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600085,45.7510272000,52.4618880000,45.5646144000,51.7428672000,25673091,469538309.0000,1,13.216358,13.096624
1,2007-01-12,sh.600085,51.5298240000,56.9091648000,51.5298240000,53.2874304000,29158239,595140729.0000,1,15.010492,2.985075
2,2007-01-19,sh.600085,53.2874304000,69.7183872000,53.2874304000,66.7091520000,44888723,1058598698.0000,1,23.108454,25.187406
3,2007-01-26,sh.600085,67.1086080000,68.8395840000,58.8798144000,62.5814400000,33928934,820978138.0000,1,17.466418,-6.187625
4,2007-02-02,sh.600085,62.5814400000,66.2031744000,55.8705792000,56.0569920000,20397053,468285377.0000,1,10.500284,-10.425532
5,2007-02-09,sh.600085,55.5776448000,59.0662272000,53.1276480000,58.0276416000,19066093,401222065.0000,1,9.815114,3.515439
6,2007-02-16,sh.600085,57.9211200000,68.7330624000,57.4684032000,66.8689344000,27593889,662717339.0000,1,14.205174,15.236347
7,2007-03-02,sh.600085,66.6292608000,67.7477376000,55.8705792000,58.1874240000,22239022,506103236.0000,1,11.448519,-12.982875
8,2007-03-09,sh.600085,58.2673152000,61.7026368000,55.9504704000,60.4243776000,16047414,357885461.0000,1,8.261116,3.844394
9,2007-03-16,sh.600085,59.9450304000,62.5814400000,58.6401408000,59.5722048000,15033225,343798324.0000,1,7.739017,-1.410313
10,2007-03-23,sh.600085,57.2553600000,61.5162240000,56.9357952000,59.8385088000,32608394,721211830.0000,1,16.786612,0.447027
11,2007-03-30,sh.600085,60.1580736000,62.2618752000,57.1222080000,57.6281856000,36313475,810995529.0000,1,18.693966,-3.693814
12,2007-04-06,sh.600085,58.5336192000,64.0727424000,57.5216640000,62.6080704000,33678775,764532851.0000,1,17.337638,8.641405
13,2007-04-13,sh.600085,62.5814400000,75.9232704000,59.9184000000,75.9232704000,54861296,1347622633.0000,1,28.242277,21.267546
14,2007-04-20,sh.600085,79.8912000000,84.0988032000,75.0710976000,79.8912000000,53766425,1589104945.0000,1,27.678643,5.226236
15,2007-04-27,sh.600085,80.4238080000,91.2357504000,79.0390272000,84.6846720000,24796618,793854370.0000,1,12.765155,6.000000
16,2007-04-30,sh.600085,83.8857600000,90.9960768000,83.8857600000,89.3716224000,5848090,192482815.0000,1,3.010563,5.534591
17,2007-05-11,sh.600085,90.4102080000,90.5433600000,79.3585920000,86.3357568000,26988671,856825619.0000,1,13.893611,-3.396901
18,2007-05-18,sh.600085,82.0216320000,93.1797696000,81.2227200000,92.1678144000,21595777,705165701.0000,1,11.117381,6.755089
