,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
1,2007-01-12,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
2,2007-01-19,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
3,2007-01-26,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
4,2007-02-02,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
5,2007-02-09,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
6,2007-02-16,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
7,2007-03-02,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
8,2007-03-09,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
9,2007-03-16,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
10,2007-03-23,sh.600109,18.5213577600,18.5213577600,18.5213577600,18.5213577600,0,0.0000,1,0.000000,0.000000
11,2007-03-30,sh.600109,18.5213577600,50.3252928000,18.5213577600,40.5077356800,13348735,527050131.0000,1,48.540855,118.708241
12,2007-04-06,sh.600109,40.3014844800,45.8908920000,39.2908536000,44.3543205600,10503754,437886015.0000,1,38.195469,9.495927
13,2007-04-13,sh.600109,44.8493234400,47.7471528000,41.8689936000,42.5805602400,8526320,367744002.0000,1,31.004800,-3.999070
14,2007-04-20,sh.600109,42.5496225600,56.9665814400,41.0646139200,56.9047060800,12165009,578718274.0000,1,44.236396,33.640107
15,2007-04-27,sh.600109,58.7815920000,76.9729478400,57.0284568000,76.9729478400,12070858,799580281.0000,1,43.894029,35.266401
16,2007-04-30,sh.600109,81.9848520000,84.6661176000,78.3754560000,82.5417302400,4026837,324846413.0000,1,14.643044,7.234727
17,2007-05-11,sh.600109,83.4286104000,85.8004992000,72.0435441600,74.4773083200,9166748,689609074.0000,1,33.333629,-9.770115
18,2007-05-18,sh.600109,72.0641692800,89.9255232000,71.0535384000,89.9255232000,10119979,780073251.0000,1,36.799924,20.742177
19,2007-05-25,sh.600109,97.9693200000,97.9693200000,82.5829804800,92.7511646400,9500001,822196231.0000,1,34.545458,3.142202
20,2007-06-01,sh.600109,92.9161656000,93.9474216000,71.4866659200,74.8382479200,8883225,698575310.0000,1,32.302636,-19.312875
21,2007-06-08,sh.600109,75.5395020000,84.3361156800,60.6378528000,81.0257839200,9130299,649767976.0000,1,33.201087,8.267879
22,2007-06-15,sh.600109,85.0992451200,88.6570783200,81.0051588000,86.3161272000,9317682,766398725.0000,1,33.882480,6.529210
23,2007-06-22,sh.600109,88.6777034400,94.8755520000,83.6451741600,87.2751952800,6801513,600118657.0000,1,24.732775,1.111111
24,2007-06-29,sh.600109,87.2958204000,89.7914599200,71.1876016800,82.6242307200,7947962,613381383.0000,1,28.901680,-5.329080
25,2007-07-06,sh.600109,83.4595480800,91.3177188000,81.4795365600,90.5442768000,6063928,513878636.0000,1,22.050647,9.585622
26,2007-07-13,sh.600109,91.7817840000,113.8712875200,89.7192720000,113.8712875200,10010449,1016854515.0000,1,36.401633,25.763098
27,2007-07-20,sh.600109,113.8712875200,116.1194256000,92.8130400000,108.1890669600,12238133,1226723708.0000,1,44.502302,-4.990038
28,2007-07-27,sh.600109,108.1890669600,134.0426548800,108.1890669600,128.4944976000,12236752,1442621405.0000,1,44.497280,18.768468
29,2007-08-03,sh.600109,127.9788696000,154.6780874400,126.8444880000,150.7696272000,7996847,1075417818.0000,1,29.079444,17.335474
30,2007-08-10,sh.600109,150.8418151200,163.9697040000,142.6123922400,142.6123922400,8840099,1290136742.0000,1,32.145815,-5.410397
