,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600126,8.1873008400,9.0239593200,8.1275395200,8.7649936000,31598871,138082238.0000,1,14.017776,7.317073
1,2007-01-12,sh.600126,8.7849140400,10.0399017600,8.7052322800,9.0040388800,44179811,209113843.0000,1,19.598887,2.727273
2,2007-01-19,sh.600126,9.0040388800,9.9602200000,8.9243571200,9.9602200000,35970620,172609846.0000,1,15.348598,10.619469
3,2007-01-26,sh.600126,10.0797426400,10.8167989200,9.5418907600,10.0000608800,51622375,267259980.0000,1,20.032986,0.400000
4,2007-02-02,sh.600126,10.0797426400,10.4383105600,9.4422885600,9.4622090000,38104660,190554124.0000,1,14.787195,-5.378486
5,2007-02-09,sh.600126,9.4024476800,9.9402995600,9.3426863600,9.8406973600,20898763,101959208.0000,1,8.110139,4.000000
6,2007-02-16,sh.600126,9.8406973600,10.9363215600,9.7610156000,10.7371171600,39255916,205240096.0000,1,15.233960,9.109312
7,2007-03-02,sh.600126,10.8167989200,12.3506728000,10.7171967200,11.9124231200,80240179,469370617.0000,1,31.138636,10.946197
8,2007-03-09,sh.600126,11.8327413600,11.9124231200,11.0757646400,11.7929004800,40893886,236503969.0000,1,15.869604,-1.003344
9,2007-03-16,sh.600126,11.8327413600,12.2909114800,11.6335369600,11.7132187200,44270564,266900095.0000,1,17.179984,-0.675676
10,2007-03-23,sh.600126,11.4542530000,12.5100363200,11.2550486000,12.4502750000,42818465,259671371.0000,1,16.616471,6.292517
11,2007-03-30,sh.600126,12.5100363200,13.4462970000,12.5100363200,13.0279677600,57958154,379732196.0000,1,22.491698,4.640000
12,2007-04-06,sh.600126,13.1474904000,14.2032737200,13.1275699600,14.1435124000,59270895,406681832.0000,1,23.001131,8.562691
13,2007-04-13,sh.600126,14.2032737200,16.2550790400,14.2032737200,15.4781818800,66264935,510265858.0000,1,25.715293,9.436620
14,2007-04-20,sh.600126,15.4781818800,16.7132491600,15.1196139600,16.4542834400,62018686,497638404.0000,1,24.067460,6.306306
15,2007-04-27,sh.600126,16.5538856400,18.4861683200,16.5538856400,17.5698280800,62503801,554207793.0000,1,24.255718,6.779661
16,2007-04-30,sh.600126,17.4303850000,17.8885551200,17.3307828000,17.5897485200,11579967,102165321.0000,1,4.493813,0.113379
17,2007-05-11,sh.600126,17.8287938000,19.8208378000,17.6893507200,18.9044975600,71084378,663616857.0000,1,27.585564,7.474519
18,2007-05-18,sh.600126,18.5260092000,19.2232246000,17.4503054400,18.9244180000,63239905,589579153.0000,1,24.541376,0.105374
19,2007-05-25,sh.600126,18.2670434800,20.7371780400,18.1276004000,20.3786101200,90891475,904597252.0000,1,35.272062,7.684211
20,2007-06-01,sh.600126,20.5578940800,21.0758255200,16.6136469600,16.6136469600,71886195,691154169.0000,1,27.896723,-18.475073
21,2007-06-08,sh.600126,16.2152381600,16.4941243200,13.4662174400,16.3148403600,77873650,603731901.0000,1,30.220262,-1.798561
22,2007-06-15,sh.600126,16.3945221200,17.8088733600,15.9562724400,16.7929309200,59734544,510668298.0000,1,23.181058,2.930403
23,2007-06-22,sh.600126,17.0120557600,17.8287938000,15.9562724400,16.3546812400,60742286,526128576.0000,1,23.572130,-2.609727
24,2007-06-29,sh.600126,16.5937265200,16.7929309200,14.1435124000,14.4024781200,46506663,357615655.0000,1,18.047742,-11.936663
25,2007-07-06,sh.600126,14.5419212000,15.8367498000,14.1516800000,15.2371200000,30609827,230222481.0000,1,11.878691,5.795142
26,2007-07-13,sh.600126,15.3600000000,15.9334400000,14.9504000000,15.5033600000,29096271,220681193.0000,1,11.291328,1.747312
27,2007-07-20,sh.600126,15.4419200000,15.7491200000,15.0528000000,15.5852800000,16898448,126929088.0000,1,6.557745,0.528402
28,2007-07-27,sh.600126,15.5852800000,17.9814400000,15.5648000000,17.8176000000,67493907,563528350.0000,1,26.192218,14.323259
29,2007-08-03,sh.600126,17.8790400000,18.6777600000,17.0188800000,17.6537600000,50837691,447049991.0000,1,19.728475,-0.919540
30,2007-08-10,sh.600126,17.7971200000,19.4560000000,17.7971200000,18.2886400000,61324120,556324635.0000,1,23.797921,3.596288
31,2007-08-17,sh.600126,18.2886400000,18.9644800000,17.4489600000,18.3705600000,41468998,371393968.0000,1,16.092786,0.447928
32,2007-08-24,sh.600126,18.7392000000,20.3161600000,18.6777600000,19.8656000000,61005207,584180028.0000,1,23.674162,8.138239
33,2007-08-31,sh.600126,20.1932800000,23.5110400000,20.0499200000,22.7328000000,93233951,979095215.0000,1,36.181102,14.432990
34,2007-09-07,sh.600126,23.0604800000,27.4022400000,22.7532800000,26.3372800000,96886197,1155262313.0000,1,37.598421,15.855856
35,2007-09-14,sh.600126,25.7024000000,27.7504000000,22.7532800000,26.7673600000,94125934,1185554713.0000,1,36.527252,1.632970
36,2007-09-21,sh.600126,26.5216000000,29.4297600000,24.4736000000,25.4361600000,99960980,1322016563.0000,1,38.791646,-4.973221
37,2007-09-28,sh.600126,25.4361600000,25.7638400000,23.6953600000,25.1084800000,31327026,378213889.0000,1,12.157013,-1.288245
38,2007-10-12,sh.600126,25.4156800000,25.9072000000,22.9376000000,23.6953600000,48970155,585823494.0000,1,19.003744,-5.628059
39,2007-10-19,sh.600126,23.6953600000,24.7603200000,22.5689600000,22.8352000000,30042656,346276369.0000,1,11.658590,-3.630078
40,2007-10-26,sh.600126,22.6304000000,22.6304000000,19.0054400000,20.3161600000,25625672,261666009.0000,1,9.944500,-11.031390
41,2007-11-02,sh.600126,20.5414400000,23.2857600000,20.5414400000,20.7872000000,27275116,291092934.0000,1,10.584597,2.318548
42,2007-11-09,sh.600126,20.4800000000,22.3232000000,19.9065600000,20.4800000000,15604943,162156865.0000,1,6.055777,-1.477833
43,2007-11-16,sh.600126,20.1113600000,21.7497600000,19.2716800000,20.8281600000,16657694,168483875.0000,1,6.464316,1.700000
44,2007-11-23,sh.600126,20.9100800000,22.4870400000,20.4800000000,21.2582400000,19683118,207499966.0000,1,7.638386,2.064897
45,2007-11-30,sh.600126,21.6064000000,21.9340800000,20.5414400000,20.9305600000,12810350,132980739.0000,1,4.971285,-1.541426
46,2007-12-07,sh.600126,20.8896000000,22.6304000000,20.7052800000,22.3641600000,22289535,238858044.0000,1,8.649853,6.849315
47,2007-12-14,sh.600126,22.1184000000,23.7568000000,21.7497600000,22.7123200000,26849955,300655085.0000,1,10.419605,1.556777
48,2007-12-21,sh.600126,22.7123200000,24.1664000000,22.1184000000,24.0640000000,24264100,276367111.0000,1,9.416118,5.951307
49,2007-12-28,sh.600126,23.9820800000,24.9651200000,23.9616000000,24.3097600000,30064879,359862805.0000,1,11.667214,1.021277
50,2008-01-04,sh.600126,24.5555200000,26.1120000000,24.0640000000,25.7024000000,21840562,268006871.0000,1,8.475621,5.728728
51,2008-01-11,sh.600126,25.5590400000,27.6070400000,25.1904000000,26.7468800000,37948528,488734730.0000,1,14.726605,4.063745
52,2008-01-18,sh.600126,26.8697600000,28.2624000000,24.7603200000,25.7433600000,38510942,501196061.0000,1,14.944860,-3.751914
53,2008-01-25,sh.600126,25.7843200000,25.9072000000,21.5040000000,23.3472000000,33306240,376913646.0000,1,11.486742,-9.307876
54,2008-02-01,sh.600126,23.1219200000,23.3472000000,21.1558400000,21.7907200000,16074721,173233225.0000,1,5.543891,-6.666667
55,2008-02-05,sh.600126,22.4870400000,24.1868800000,22.3846400000,23.7363200000,9495528,109016753.0000,1,3.274842,8.928571
56,2008-02-15,sh.600126,23.5110400000,23.8796800000,22.7532800000,23.4905600000,6748310,77060691.0000,1,2.327375,-1.035375
57,2008-02-22,sh.600126,23.6544000000,24.8422400000,23.1424000000,23.4496000000,21885918,256496298.0000,1,7.548072,-0.174368
58,2008-02-29,sh.600126,23.3472000000,23.9411200000,22.5280000000,23.6748800000,12861708,146657341.0000,1,4.435779,0.960699
59,2008-03-07,sh.600126,23.8387200000,24.3507200000,22.3232000000,22.8556800000,18634130,212713428.0000,1,6.426587,-3.460208
60,2008-03-14,sh.600126,22.7328000000,22.8352000000,20.2547200000,20.6643200000,13720165,143989340.0000,1,4.731846,-9.587814
61,2008-03-21,sh.600126,20.4800000000,21.4016000000,17.7152000000,20.8691200000,20552364,196561292.0000,1,7.088153,0.991080
62,2008-03-28,sh.600126,21.2992000000,21.2992000000,18.4524800000,19.9680000000,14081317,139076005.0000,1,4.856401,-4.317959
63,2008-04-03,sh.600126,19.9680000000,20.8281600000,18.0224000000,19.0259200000,15004810,142873309.0000,1,5.174898,-4.717949
64,2008-04-11,sh.600126,18.6368000000,21.0124800000,18.5344000000,20.3980800000,16896182,166524657.0000,1,5.827199,7.212056
65,2008-04-18,sh.600126,20.1932800000,20.1932800000,17.2646400000,17.3465600000,12562751,114795169.0000,1,4.332674,-14.959839
66,2008-04-25,sh.600126,18.5344000000,20.1113600000,16.7116800000,20.1113600000,19324859,178789678.0000,1,6.664807,15.938607
67,2008-04-30,sh.600126,20.6438400000,21.3401600000,20.1932800000,21.2787200000,15849683,160265111.0000,1,5.466280,5.804481
68,2008-05-09,sh.600126,21.6064000000,22.0979200000,20.2547200000,21.5244800000,25155272,262529984.0000,1,8.675615,1.154957
69,2008-05-16,sh.600126,21.3606400000,23.4086400000,21.0534400000,22.3027200000,35586251,392956475.0000,1,12.273078,3.615604
70,2008-05-23,sh.600126,22.2412800000,22.8966400000,20.4390400000,22.0569600000,24999129,266926463.0000,1,8.621764,-1.101928
71,2008-05-30,sh.600126,21.9136000000,21.9136000000,20.0977091200,20.3161624800,18315772,160259874.0000,1,5.437226,-7.892293
72,2008-06-06,sh.600126,20.3161624800,20.6711491900,19.4150423700,19.6608024000,9060463,66464917.0000,1,2.403689,-3.225806
73,2008-06-13,sh.600126,19.0600556600,19.0600556600,16.6843753700,17.1758954300,10413314,67094424.0000,1,2.762593,-12.638889
74,2008-06-20,sh.600126,17.4762688000,17.4762688000,14.6090684500,15.4282685500,14563925,86436721.0000,1,3.863726,-10.174881
75,2008-06-27,sh.600126,15.2917352000,16.5478420200,15.0186685000,15.2371218600,14266933,82595873.0000,1,3.784936,-1.238938
76,2008-07-04,sh.600126,15.1825085200,15.5101885600,14.2540817400,15.0186685000,8940382,49040160.0000,1,2.371832,-1.433692
77,2008-07-11,sh.600126,15.1552018500,16.9847487400,14.9367484900,16.2474686500,23192022,138874044.0000,1,6.152711,8.181818
78,2008-07-18,sh.600126,16.1109353000,16.8482153900,15.2917352000,16.2474686500,12863090,75595070.0000,1,3.412504,0.000000
79,2008-07-25,sh.600126,16.0836286300,17.0666687500,15.8924819400,16.5205353500,14054610,85669327.0000,1,3.728608,1.680672
80,2008-08-01,sh.600126,16.5751486900,16.8482153900,15.0186685000,15.5374952300,10454327,61561101.0000,1,2.773473,-5.950413
81,2008-08-08,sh.600126,15.4555752200,15.4555752200,13.8444816900,14.0356283800,8633613,46895850.0000,1,2.290448,-9.666081
82,2008-08-15,sh.600126,14.0629350500,14.1175483900,13.3256549600,13.7625616800,8382509,42046764.0000,1,2.223832,-1.945525
83,2008-08-22,sh.600126,13.8171750200,14.3360017500,12.8341349000,13.5987216600,8007214,39981270.0000,1,2.124268,-1.190476
84,2008-08-29,sh.600126,13.7625616800,13.8444816900,12.3153081700,12.9706682500,5666065,26678147.0000,1,1.503175,-4.618474
85,2008-09-05,sh.600126,12.9160549100,12.9706682500,12.3153081700,12.3426148400,4575042,21078776.0000,1,1.213733,-4.842105
86,2008-09-12,sh.600126,12.3972281800,12.4245348500,11.7418681000,11.9876281300,3671627,16241332.0000,1,0.974062,-2.876106
87,2008-09-19,sh.600126,11.9876281300,12.0695481400,10.3765346000,12.0149348000,7617636,32061819.0000,1,2.020915,0.227790
88,2008-09-26,sh.600126,12.5337615300,13.1618149400,11.2503480400,12.1514681500,19147691,85451768.0000,1,5.079773,1.136364
89,2008-10-10,sh.600126,12.0695481400,12.0695481400,10.3765346000,10.4038412700,10635776,43227370.0000,1,2.821611,-14.382022
90,2008-10-17,sh.600126,10.0488545600,10.8953613300,9.5573345000,9.8304012000,7227820,26952386.0000,1,1.917499,-5.511811
91,2008-10-24,sh.600126,9.6938678500,10.1853879100,9.5027211600,9.5573345000,5773567,20837697.0000,1,1.531694,-2.777778
92,2008-10-31,sh.600126,9.5573345000,9.5846411700,8.7108277300,9.0112011000,8512880,28404588.0000,1,2.258419,-5.714286
93,2008-11-07,sh.600126,8.9565877600,9.3661878100,8.4104543600,9.0931211100,11086858,36251713.0000,1,2.941280,0.909091
94,2008-11-14,sh.600126,9.2842678000,10.7042146400,9.2296544600,10.6769079700,36757608,137736066.0000,1,9.751584,17.417417
95,2008-11-21,sh.600126,10.7042146400,11.1684280300,9.8850145400,10.4584546100,29139981,112820838.0000,1,7.730671,-2.046036
96,2008-11-28,sh.600126,10.4311479400,11.8784014500,9.8304012000,11.7145614300,47853272,195463092.0000,1,12.695200,12.010444
97,2008-12-05,sh.600126,11.6872547600,12.8614415700,11.1411213600,11.9603214600,58319625,252353365.0000,1,15.471864,2.097902
