,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600141,7.5942418400,7.7435668200,7.2955918800,7.3915865100,5183464,36031434.0000,1,9.599007,-3.076923
1,2007-01-12,sh.600141,7.3275900900,8.6501827700,7.3062579500,8.0102185700,17431325,132024250.0000,1,32.280231,8.369408
2,2007-01-19,sh.600141,7.9035578700,8.9488327300,7.9035578700,8.8101738200,14675710,116308264.0000,1,27.177241,9.986684
3,2007-01-26,sh.600141,8.8101738200,10.0261058000,8.4048631600,8.9488327300,18662598,163049394.0000,1,34.560367,1.573850
4,2007-02-02,sh.600141,9.0128291500,9.4821362300,8.1915417600,8.5328560000,13009318,107406598.0000,1,24.091330,-4.648391
5,2007-02-09,sh.600141,8.5115238600,9.1514880600,8.4688595800,8.9594988000,7832726,64904981.0000,1,14.505048,5.000000
6,2007-02-16,sh.600141,8.9808309400,9.9194451000,8.9701648700,9.5674647900,14014536,123489789.0000,1,25.952844,6.785714
7,2007-03-02,sh.600141,9.6207951400,10.1327665000,8.7461774000,9.0021630800,14008481,122736593.0000,1,25.941631,-5.908584
8,2007-03-09,sh.600141,9.0128291500,9.6954576300,8.8101738200,9.4714701600,12808935,111936879.0000,1,23.720250,5.213270
9,2007-03-16,sh.600141,9.4928023000,10.2394272000,9.2794809000,9.5781308600,19126967,175650990.0000,1,35.420309,1.126126
10,2007-03-23,sh.600141,9.3221451800,11.1780413600,9.1834862700,11.1353770800,18171462,176343229.0000,1,33.650856,16.258352
11,2007-03-30,sh.600141,11.1673752900,11.1673752900,10.0474379400,10.8047289100,21753128,218965168.0000,1,40.283570,-2.969349
12,2007-04-06,sh.600141,10.9327217500,11.4660252500,10.6660700000,11.3060342000,21762376,226163042.0000,1,33.777577,4.639684
13,2007-04-13,sh.600141,11.5300216700,12.5113001100,11.1993735000,11.8606698400,27375870,304391625.0000,1,28.491403,4.905660
14,2007-04-20,sh.600141,11.9140001900,12.9059447000,11.4126949000,12.2126501500,30344051,348914815.0000,1,31.580534,2.967626
15,2007-04-27,sh.600141,12.4366376200,12.8526143500,11.6366823700,12.3939733400,35045476,405666174.0000,1,36.473536,1.484716
