,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600153,24.8490577500,26.2044609000,24.3972567000,25.7526598500,33888610,285334137.0000,1,11.326407,4.395604
1,2007-01-12,sh.600153,25.8430200600,28.1020253100,24.8791778200,25.5418193600,67006367,595601254.0000,1,22.395176,-0.818713
2,2007-01-19,sh.600153,25.3912190100,28.2827457300,23.4936546000,25.2707387300,90394807,769355596.0000,1,30.212168,-1.061321
3,2007-01-26,sh.600153,25.3912190100,31.2043925200,25.3610989400,30.9935520300,143932087,1369057213.0000,1,48.105644,22.646007
4,2007-02-02,sh.600153,31.6260735000,36.0838438600,29.9092295100,31.7164337100,116826760,1267084422.0000,1,39.046377,2.332362
5,2007-02-09,sh.600153,31.7164337100,34.9995213400,31.7164337100,34.6079604300,52807792,582765809.0000,1,17.649663,9.116809
6,2007-02-16,sh.600153,34.7284407100,37.6500875000,34.2163995200,36.9573258900,85713009,1010456089.0000,1,28.647396,6.788512
7,2007-03-02,sh.600153,37.2284065200,39.3368114200,33.4332777000,34.2766396600,76818001,913525522.0000,1,25.674466,-7.253464
8,2007-03-09,sh.600153,34.1260393100,37.4994871500,32.7706361600,36.9272058200,66309649,776356026.0000,1,22.162316,7.732865
9,2007-03-16,sh.600153,36.8368456100,39.2765712800,36.3850445600,36.9573258900,71964119,907942031.0000,1,24.052179,0.081566
10,2007-03-23,sh.600153,35.5416826000,40.2102934500,35.3308421100,40.0596931000,54302252,697966083.0000,1,18.149148,8.394458
11,2007-03-30,sh.600153,41.0235353400,45.7222662600,41.0235353400,41.7765370900,90048730,1294065753.0000,1,30.096501,4.285714
12,2007-04-06,sh.600153,42.0174976500,44.5174634600,41.2343758300,44.2162627600,66147216,936801379.0000,1,22.108027,5.839942
13,2007-04-13,sh.600153,45.0295046500,49.6679954300,43.9150620600,46.9270690600,104080317,1594119134.0000,1,34.786202,6.130790
14,2007-04-20,sh.600153,47.3487500400,50.5715975300,44.5777036000,47.7403109500,86183453,1367533759.0000,1,28.804630,1.732991
15,2007-04-27,sh.600153,47.9210313700,54.6076869100,47.9210313700,52.2282013800,81236353,1393628923.0000,1,27.151187,9.400631
16,2007-04-30,sh.600153,51.8968806100,53.3727640400,50.5414774600,52.5896422200,20434491,351371082.0000,1,6.829710,0.692042
17,2007-05-11,sh.600153,54.5173267000,60.1196597200,53.2522837600,55.6920094300,79990226,1495141824.0000,1,26.734701,5.899198
18,2007-05-18,sh.600153,54.8185274000,58.6738963600,52.6498823600,53.9450453700,76487121,1405083352.0000,1,25.563877,-3.136831
19,2007-05-25,sh.600153,51.7764003300,60.4509804900,51.5053197000,59.6076185300,106781610,2000642359.0000,1,35.689041,10.496929
20,2007-06-01,sh.600153,60.4208604200,61.6859033600,48.1619919300,48.3728324200,110151701,2049026460.0000,1,36.815408,-18.847903
21,2007-06-08,sh.600153,49.6981155000,53.3125239000,42.1680980000,52.5294020800,89284498,1448738799.0000,1,29.841076,8.592777
22,2007-06-15,sh.600153,53.6137246000,64.7581505000,52.8908429200,62.9509463000,106118616,2116604014.0000,1,35.467452,19.839450
23,2007-06-22,sh.600153,64.6075501500,69.0086432000,57.1785900800,59.8280290600,64794836,1383141726.0000,1,21.656028,-4.960877
24,2007-06-29,sh.600153,60.0744885000,64.4799509900,55.6074111500,58.8113838700,57834830,1141569958.0000,1,19.329823,-1.699279
25,2007-07-06,sh.600153,58.8421913000,60.8446742500,52.2494012800,56.2235597500,36759576,678895631.0000,1,12.285955,-4.400210
26,2007-07-13,sh.600153,57.2402049400,60.0128736400,56.9321306400,58.9962284500,27723890,526762858.0000,1,9.266006,4.931507
27,2007-07-20,sh.600153,58.7805764400,66.2975893600,56.3159820400,65.5274036100,39656567,803053010.0000,1,13.254200,11.070496
28,2007-07-27,sh.600153,66.6056636600,73.2908759700,66.6056636600,70.6722444200,48989429,1106809641.0000,1,16.373472,7.851434
29,2007-08-03,sh.600153,70.4873998400,76.0327372400,68.7005689000,72.1201936300,51940889,1218314806.0000,1,17.359923,2.048823
30,2007-08-10,sh.600153,72.4590753600,77.9427979000,70.1793255400,72.9828016700,49642333,1203680306.0000,1,16.591689,1.196070
31,2007-08-17,sh.600153,72.5514976500,73.8454097100,69.6864066600,71.7196970400,31739613,733304777.0000,1,10.608159,-1.730688
32,2007-08-24,sh.600153,73.4757205500,85.8911148400,73.4757205500,84.4739730600,51077336,1342079009.0000,1,17.071302,17.783505
33,2007-08-31,sh.600153,84.7204325000,88.3557092400,80.5614294500,87.3698714800,48569138,1339586506.0000,1,16.233001,3.428155
34,2007-09-07,sh.600153,87.8011755000,88.4173241000,82.8719867000,83.0568312800,36885855,1018595131.0000,1,12.328160,-4.936530
35,2007-09-14,sh.600153,80.7154666000,93.4081277600,80.7154666000,91.0359556500,56241779,1606862451.0000,1,18.797386,9.606825
36,2007-09-21,sh.600153,91.0359556500,95.3181884200,87.1542194700,89.9268881700,31557258,928254078.0000,1,10.547212,-1.218274
37,2007-09-28,sh.600153,90.2657699000,93.3465129000,81.8245340800,88.7562058300,33723547,954856153.0000,1,11.271239,-1.301816
38,2007-10-12,sh.600153,89.5263915800,90.2657699000,77.3266493000,80.9311186100,30921043,843325141.0000,1,10.334573,-8.816383
39,2007-10-19,sh.600153,81.1775780500,83.7962096000,78.4049093500,81.0851557600,26475970,694901270.0000,1,8.848920,0.190331
40,2007-10-26,sh.600153,80.0993180000,80.0993180000,67.7763460000,71.6272747500,25229660,611597444.0000,1,8.432373,-11.664134
41,2007-11-02,sh.600153,73.0136091000,77.6347236000,70.4873998400,72.3666530700,19615225,477289849.0000,1,6.555891,1.032258
42,2007-11-09,sh.600153,72.5206902200,73.5681428400,65.5890184700,66.1743596400,12647020,288269175.0000,1,4.226945,-8.556833
43,2007-11-16,sh.600153,64.6956030000,68.6697614700,63.6481503800,66.0511299200,14583765,314326496.0000,1,4.874253,-0.186220
44,2007-11-23,sh.600153,66.5440488000,71.1651633000,66.0511299200,69.3167175000,16031796,358066467.0000,1,5.358221,4.944030
45,2007-11-30,sh.600153,70.0560958200,71.1035484400,67.2218122600,70.2409404000,16645584,377710307.0000,1,5.563364,1.333333
46,2007-12-07,sh.600153,69.7788289500,73.3524908300,69.3167175000,73.1984536800,10491152,243625013.0000,1,3.506401,4.210526
47,2007-12-14,sh.600153,72.1818084900,76.8645378500,71.3192004500,73.4449131200,18525592,447342315.0000,1,6.191709,0.336700
48,2007-12-21,sh.600153,73.7221799900,74.5539806000,67.8687682900,74.0610617200,14804532,341768986.0000,1,4.948039,0.838926
49,2007-12-28,sh.600153,74.5539806000,81.6396895000,74.5539806000,79.8836659900,22039479,560571826.0000,1,7.366136,7.861897
50,2008-01-04,sh.600153,79.9452808500,84.3815507700,78.5589465000,82.7487569800,12800877,343746775.0000,1,4.278368,3.586579
51,2008-01-11,sh.600153,82.7487569800,86.5688783000,82.6255272600,85.7370776900,18696739,517459948.0000,1,6.248910,3.611318
52,2008-01-18,sh.600153,88.1400572300,93.8086243500,82.5639124000,88.6021686800,37405776,1090984448.0000,1,12.501930,3.341718
53,2008-01-25,sh.600153,89.0950875600,89.4955841500,73.6297577000,86.3840337200,27135639,716699861.0000,1,9.069398,-2.503477
54,2008-02-01,sh.600153,85.6446554000,85.8603074100,75.4782035000,81.1775780500,15045211,398894913.0000,1,5.028480,-6.027104
55,2008-02-05,sh.600153,82.4098752500,88.3557092400,82.4098752500,87.2466417600,7765600,216412909.0000,1,2.595455,7.476281
56,2008-02-15,sh.600153,87.1234120400,87.1234120400,82.2866455300,84.2583210500,5159893,142666237.0000,1,1.724563,-3.425141
57,2008-02-22,sh.600153,85.7986925500,90.7586887800,83.1800610000,85.0285068000,16021133,453903995.0000,1,5.354657,0.914077
58,2008-02-29,sh.600153,85.6446554000,90.5430367700,80.7154666000,89.3415470000,13843145,388130709.0000,1,4.626720,5.072464
59,2008-03-07,sh.600153,89.3415470000,95.8727221600,87.8627903600,91.1899928000,26746690,807713957.0000,1,8.939402,2.068966
60,2008-03-14,sh.600153,91.0051482200,91.1283779400,79.5447842600,82.2866455300,11770905,326662039.0000,1,3.934126,-9.763514
61,2008-03-21,sh.600153,80.7154666000,82.3482603900,66.8521231000,78.5589465000,21663712,525033358.0000,1,7.240545,-4.530139
62,2008-03-28,sh.600153,82.5639124000,82.7795644100,64.0794544000,70.5798221300,30651294,719364716.0000,1,10.244416,-10.156863
63,2008-04-03,sh.600153,68.7005689000,70.9495112900,58.0720055500,61.3375931300,15902798,328497909.0000,1,5.315106,-13.094718
64,2008-04-11,sh.600153,59.7047993400,73.4757205500,58.5649244300,70.4565924100,27418198,595257050.0000,1,8.495351,14.866901
65,2008-04-18,sh.600153,68.7005689000,68.7929911900,60.3209479400,61.3375931300,12234102,257087005.0000,1,3.389323,-12.942720
66,2008-04-25,sh.600153,66.2359745000,71.4116227400,55.7614483000,68.7621837600,27102423,579633789.0000,1,7.508428,12.104470
67,2008-04-30,sh.600153,68.7313763300,70.6414369900,66.8521231000,69.8712512400,12313562,273591987.0000,1,3.411337,1.612903
68,2008-05-09,sh.600153,70.7954741400,73.5681428400,67.8379608600,70.0869032500,22919271,530061223.0000,1,6.349532,0.308642
69,2008-05-16,sh.600153,68.9778357700,75.0468994800,68.1152277300,73.9378320000,27827506,652868650.0000,1,7.709305,5.494505
70,2008-05-23,sh.600153,74.1842914400,75.3857812100,62.7855423400,65.7122481900,22039130,492506410.0000,1,6.105699,-11.125000
71,2008-05-30,sh.600153,64.9728698700,65.7122481900,61.8613194400,63.9254172500,10887699,225389355.0000,1,3.016317,-2.719175
72,2008-06-06,sh.600153,63.2784612200,65.0036773000,61.2451708400,62.8163497700,7182091,146516101.0000,1,1.989719,-1.734940
73,2008-06-13,sh.600153,62.8163497700,62.8163497700,51.0787189400,52.1877864200,11208297,198441523.0000,1,3.105135,-16.920059
74,2008-06-20,sh.600153,52.2185938500,52.7731275900,39.9264292800,43.3768614400,18517220,278086286.0000,1,5.129992,-16.883117
75,2008-06-27,sh.600153,43.3152465800,47.7823239300,41.9597196600,43.6233208800,12483745,183509465.0000,1,3.458484,0.568182
76,2008-07-04,sh.600153,43.1920168600,45.9954929900,42.0521419500,44.3626992000,9765589,139355135.0000,1,2.705449,1.694915
77,2008-07-11,sh.600153,44.1162397600,50.9862966500,44.1162397600,48.5217022500,19404042,304771147.0000,1,5.375677,9.375000
78,2008-07-18,sh.600153,48.0287833700,50.1236886100,44.0546249000,47.7515165000,13259142,204090847.0000,1,3.673300,-1.587302
79,2008-07-25,sh.600153,47.2585976200,53.2660464700,46.8272936000,52.5574755800,21894250,362460924.0000,1,6.065561,10.064516
80,2008-08-01,sh.600153,53.9130025000,54.4983436700,48.8605839800,51.1403338000,23402125,397565214.0000,1,6.483301,-2.696366
81,2008-08-08,sh.600153,50.4629743200,50.4629743200,41.7702472000,42.3911562800,19135641,154238245.0000,1,2.945177,-17.108168
82,2008-08-15,sh.600153,42.1653711600,42.1653711600,36.4078506000,38.2705778400,16310503,111394855.0000,1,2.510359,-9.720373
83,2008-08-22,sh.600153,38.2705778400,39.1737183200,34.0935531200,38.3270241200,18840922,124425378.0000,1,2.899817,0.147493
84,2008-08-29,sh.600153,37.8754538800,39.1737183200,35.4482638400,37.7061150400,12161825,79873520.0000,1,1.871833,-1.620029
85,2008-09-05,sh.600153,37.4238836400,37.4238836400,33.9242142800,34.0935531200,13043577,82507815.0000,1,2.007544,-9.580838
86,2008-09-12,sh.600153,34.7709084800,34.7709084800,30.7067763200,31.2712391200,15699246,91693205.0000,1,2.416280,-8.278146
87,2008-09-19,sh.600153,31.1583465600,31.2147928400,25.1185946000,29.5214044400,30396351,152703979.0000,1,3.890769,-5.595668
88,2008-09-26,sh.600153,31.8921482000,32.4566110000,28.5618176800,31.3841316800,65070881,351120806.0000,1,8.329149,6.309751
89,2008-10-10,sh.600153,30.7067763200,30.7067763200,26.4733053200,26.8684292800,18391795,93883780.0000,1,2.354171,-14.388489
90,2008-10-17,sh.600153,27.0377681200,29.4085118800,25.5137185600,26.8684292800,14975186,72949997.0000,1,1.916841,0.000000
91,2008-10-24,sh.600153,27.0942144000,27.8844623200,25.7395036800,26.0217350800,14740473,70171854.0000,1,1.886798,-3.151261
92,2008-10-31,sh.600153,25.4572722800,25.5137185600,23.1429748000,23.9896690000,15070059,64969471.0000,1,1.928985,-7.809111
93,2008-11-07,sh.600153,23.9896690000,24.7799169200,22.8042971200,23.5380987600,13781323,57948054.0000,1,1.764025,-1.882353
94,2008-11-14,sh.600153,24.0461152800,28.0538011600,23.8767764400,27.8280160400,55639467,256877871.0000,1,7.121917,18.225420
95,2008-11-21,sh.600153,27.6586772000,30.1987598000,26.0217350800,29.2956193200,81074212,404343739.0000,1,10.377594,5.273834
96,2008-11-28,sh.600153,29.2391730400,30.0858672400,26.3604127600,26.9813218400,83976845,422613958.0000,1,10.749134,-7.899807
97,2008-12-05,sh.600153,26.6426441600,34.2064456800,26.4733053200,34.2064456800,117432482,654595454.0000,1,15.031495,26.778243
98,2008-12-12,sh.600153,35.8433878000,38.7785943600,34.1499994000,34.4322308000,143005237,913998362.0000,1,18.304838,0.660066
99,2008-12-19,sh.600153,35.6176026800,39.1172720400,34.7144622000,38.1012390000,81075861,532831494.0000,1,10.377805,10.655738
100,2008-12-26,sh.600153,38.2141315600,39.9639662400,33.4161977600,35.4482638400,52159433,336976173.0000,1,6.676468,-6.962963
101,2008-12-31,sh.600153,35.1660324400,37.1416522400,34.1499994000,36.0127266400,24946788,159047614.0000,1,3.193218,1.592357
102,2009-01-09,sh.600153,35.8998340800,41.4880158000,35.8998340800,41.2622306800,55715584,382717877.0000,1,7.131660,14.576803
103,2009-01-16,sh.600153,41.0928918400,42.6169414000,39.7946274000,40.0768588000,67083257,488633829.0000,1,8.586735,-2.872777
104,2009-01-23,sh.600153,40.4155364800,41.4880158000,37.5932224800,38.3834704000,92945612,644483171.0000,1,11.897147,-4.225352
105,2009-02-06,sh.600153,38.8914869200,44.2538835200,38.2141315600,43.8023132800,115630725,844919460.0000,1,14.800868,14.117647
106,2009-02-13,sh.600153,44.0280984000,48.7695859200,42.6169414000,48.3180156800,162845647,1323360818.0000,1,20.844433,10.309278
107,2009-02-20,sh.600153,48.9953710400,49.2211561600,44.2538835200,46.9068586800,86723825,718563960.0000,1,11.100751,-2.920561
108,2009-02-27,sh.600153,47.0761975200,57.0107428000,45.9472719200,47.8664454400,204764278,1906081036.0000,1,26.210067,2.045728
109,2009-03-06,sh.600153,46.8504124000,57.9138832800,45.6085942400,54.6964453200,129539520,1199512942.0000,1,16.581210,14.268868
110,2009-03-13,sh.600153,55.2044618400,57.4058667600,50.8016520000,54.3577676400,144330968,1387972704.0000,1,18.474533,-0.619195
111,2009-03-20,sh.600153,54.1884288000,61.4135526400,52.3821478400,58.0267758400,147113565,1515099051.0000,1,18.830709,6.749740
112,2009-03-27,sh.600153,58.0267758400,61.5828914800,56.7849576800,58.6476849200,106260651,1119848893.0000,1,13.601488,1.070039
113,2009-04-03,sh.600153,58.7041312000,62.5989245200,56.1640486000,58.6476849200,118980829,1256431772.0000,1,15.229685,0.000000
114,2009-04-10,sh.600153,58.5347923600,59.8330568000,55.4302469600,58.1961146800,49821221,507107816.0000,1,5.681787,-0.769971
115,2009-04-17,sh.600153,58.4218998000,61.0184286800,57.1800816400,59.3250402800,93563232,972667438.0000,1,7.526031,1.939864
116,2009-04-24,sh.600153,58.5912386400,66.4937178400,58.4783460800,60.2281807600,110471412,1215572298.0000,1,8.886090,1.522360
117,2009-04-30,sh.600153,60.1152882000,64.9132220000,54.3013213600,62.8811559200,75525468,792152239.0000,1,6.075111,4.404873
118,2009-05-08,sh.600153,63.1069410400,73.6059491200,62.3731394000,71.7996681600,149735206,1818375674.0000,1,12.044388,14.183124
