,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600166,14.7926719500,15.4358316000,14.4925307800,15.2643223600,31675986,111001594.0000,1,8.790095,3.488372
1,2007-01-12,sh.600166,15.4358316000,19.1232802600,15.3500769800,16.6792735900,119517931,481791140.0000,1,33.166259,9.269663
2,2007-01-19,sh.600166,16.9365374500,21.8674281000,16.7650282100,21.8245507900,113659019,513325393.0000,1,31.540409,30.848329
3,2007-01-26,sh.600166,22.0818146500,23.0679927800,19.5091760500,20.4524768700,108528114,542637816.0000,1,30.116582,-6.286837
4,2007-02-02,sh.600166,20.4524768700,21.3529003800,18.0084702000,19.5520533600,68611393,318665852.0000,1,19.039681,-4.402516
5,2007-02-09,sh.600166,19.5520533600,21.5244096200,19.2519121900,21.1813911400,59518881,283852557.0000,1,16.516506,8.333333
6,2007-02-16,sh.600166,21.3529003800,25.5119994500,20.8383726600,23.9684162900,78985927,420574470.0000,1,21.918617,13.157895
7,2007-03-02,sh.600166,24.0541709100,26.4981775800,23.4967658800,24.2256801500,89025811,514194043.0000,1,24.704687,1.073345
8,2007-03-09,sh.600166,24.0112936000,25.2976129000,23.1537474000,24.6973305600,63129031,358496739.0000,1,17.518324,1.946903
9,2007-03-16,sh.600166,24.6973305600,28.2132699800,23.2823793300,26.2837910300,105994565,646529040.0000,1,29.413521,6.423611
10,2007-03-23,sh.600166,25.4691221400,31.6434547800,25.2118582800,30.7430312700,101312766,685851031.0000,1,28.114321,16.965742
11,2007-03-30,sh.600166,30.9145405100,33.0584060100,29.1994481100,30.3142581700,88651067,648447019.0000,1,24.600696,-1.394700
12,2007-04-06,sh.600166,30.3571354800,34.6877437900,30.0141170000,34.4304799300,77157103,579472607.0000,1,21.411117,13.578501
13,2007-04-13,sh.600166,34.4304799300,39.5757571300,33.7015656600,38.6324563100,98940683,830948317.0000,1,27.456067,12.204234
14,2007-04-20,sh.600166,38.5895790000,44.2922612300,38.0750512800,43.0488192400,130999035,1273849674.0000,1,36.352269,11.431743
15,2007-04-27,sh.600166,43.5633469600,50.0378207700,43.3918377200,46.3503721100,98455343,1080290732.0000,1,27.321385,7.669323
16,2007-04-30,sh.600166,46.2217401800,48.4513603000,45.1069301200,47.4651821700,17119372,187059674.0000,1,4.750630,2.405180
17,2007-05-11,sh.600166,48.2369737500,52.7390913000,46.3074948000,50.1235753900,98428413,1120293202.0000,1,27.313912,5.600723
18,2007-05-18,sh.600166,48.4513603000,54.1111652200,44.9354208800,54.1111652200,133416406,1553873047.0000,1,37.023090,7.955518
19,2007-05-25,sh.600166,53.1678644000,72.3768992800,52.8248459200,67.2744993900,165635981,2448268722.0000,1,45.964031,24.326466
20,2007-06-01,sh.600166,67.2744993900,70.7475615000,62.6008726000,64.5732288600,141843191,2172449411.0000,1,31.832217,-4.015296
21,2007-06-08,sh.600166,64.7876154100,71.4335984600,52.3103182000,69.8471379900,164481514,2380385401.0000,1,31.579793,8.167331
22,2007-06-15,sh.600166,71.9481261800,75.0352925000,67.3602540100,69.8471379900,140819020,2363210801.0000,1,27.036689,0.000000
23,2007-06-22,sh.600166,71.1763346000,74.1777463000,61.7862037100,61.9577129500,87116848,1403530177.0000,1,16.726087,-11.295273
24,2007-06-29,sh.600166,62.4722406700,65.6880389200,52.1388089600,55.4403618300,103003216,1424740111.0000,1,19.776206,-10.519031
25,2007-07-06,sh.600166,55.6547483800,57.6271046400,48.7943787800,54.3255517700,55478659,694528235.0000,1,10.651681,-2.010828
26,2007-07-13,sh.600166,55.7405030000,59.5994609000,53.8539013600,54.9258341100,47401727,619122020.0000,1,9.100942,1.104972
27,2007-07-20,sh.600166,54.0254106000,57.6699819500,52.0959316500,56.7695584400,36835411,472020437.0000,1,7.072252,3.356753
28,2007-07-27,sh.600166,57.4555954000,64.7018607900,57.4555954000,64.2302103800,78924326,1145289478.0000,1,15.153155,13.141994
29,2007-08-03,sh.600166,64.6589834800,68.0891682800,59.5994609000,61.5718171600,81294962,1194867125.0000,1,15.608308,-4.138852
30,2007-08-10,sh.600166,62.6008726000,69.1182237200,59.5994609000,61.9148356400,126755228,1912748659.0000,1,24.336497,0.557103
31,2007-08-17,sh.600166,61.9577129500,62.9438910800,57.9701231200,60.4570071000,61601420,868398371.0000,1,11.827226,-2.354571
32,2007-08-24,sh.600166,62.0005902600,67.4031313200,61.5289398500,64.1873330700,104918883,1570677249.0000,1,20.144006,6.170213
33,2007-08-31,sh.600166,64.6589834800,65.3450204400,60.6285163400,64.1873330700,90373407,1327194333.0000,1,17.351333,0.000000
34,2007-09-07,sh.600166,65.3878977500,75.8928387000,64.3159650000,70.7904388100,182443408,2949397126.0000,1,35.028405,10.287241
35,2007-09-14,sh.600166,70.3616657100,77.0934033800,66.4598305000,68.9038371700,121612252,2020842417.0000,1,23.349066,-2.665051
36,2007-09-21,sh.600166,68.6036960000,75.2496790500,65.1735112000,66.8886036000,84372640,1382712049.0000,1,16.199210,-2.924704
37,2007-09-28,sh.600166,67.1029901500,69.9328926100,64.5303515500,67.4888859400,42227162,653642936.0000,1,8.107446,0.897436
38,2007-10-12,sh.600166,68.6894506200,69.0324691000,59.8138474500,62.3436087400,59698175,901005824.0000,1,11.461811,-7.623888
39,2007-10-19,sh.600166,62.4722406700,64.1873330700,58.9134239400,59.1706878000,46354656,661919655.0000,1,8.899909,-5.089409
