,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sh.600188,13.0853448000,13.8123084000,12.8672557200,13.7214379500,47913516,352857560.0000,1,13.309310,6.789250
1,2007-01-12,sh.600188,13.7577861300,14.1576161100,12.9217779900,12.9399520800,89906890,680790193.0000,1,24.974136,-5.695364
2,2007-01-19,sh.600188,12.9036039000,14.6483165400,12.8490816300,14.6119683600,101096977,768204971.0000,1,28.082494,12.921348
3,2007-01-26,sh.600188,14.9027538000,15.6478914900,13.5942193200,14.8482315300,99997642,823058148.0000,1,27.777123,1.616915
4,2007-02-02,sh.600188,15.0844947000,15.6297174000,13.9940493000,14.3757051900,94214838,774781825.0000,1,26.170788,-3.182375
5,2007-02-09,sh.600188,14.3211829200,15.0481465200,14.1576161100,14.6664906300,52423118,420551181.0000,1,14.561977,2.022756
6,2007-02-16,sh.600188,14.6664906300,15.7751101200,14.6301424500,15.5024987700,74085672,622027942.0000,1,20.579353,5.700124
7,2007-03-02,sh.600188,15.7751101200,18.0832195500,15.3389319600,16.3748550900,132256878,1206617911.0000,1,36.738022,5.627198
8,2007-03-09,sh.600188,16.3566810000,16.7746850700,15.4298024100,16.3566810000,65324848,582592930.0000,1,18.145791,-0.110988
9,2007-03-16,sh.600188,16.3748550900,16.9564259700,15.5388469500,15.8478064800,71721251,646584013.0000,1,19.922570,-3.111111
10,2007-03-23,sh.600188,15.4479765000,17.1745150500,15.1935392400,16.6838146200,104421570,952825350.0000,1,29.005992,5.275229
11,2007-03-30,sh.600188,16.7201628000,17.6288673000,16.5202478100,16.7746850700,92915733,871233747.0000,1,25.809926,0.544662
12,2007-04-06,sh.600188,17.0109482400,18.2649604500,16.7746850700,18.1740900000,94125252,907826730.0000,1,26.145903,8.342362
13,2007-04-13,sh.600188,18.2649604500,19.0646204100,17.9014786500,18.5012236200,109360880,1113038118.0000,1,30.378022,1.800000
14,2007-04-20,sh.600188,18.5375718000,21.1364666700,18.3740049900,20.3549808000,141230884,1527862386.0000,1,39.230801,10.019646
15,2007-04-27,sh.600188,22.3904788800,22.3904788800,19.6643653800,21.6271671000,167261450,1951339684.0000,1,46.461514,6.250000
16,2007-04-30,sh.600188,21.4454262000,21.6271671000,21.1001184900,21.2091630300,21281694,249398743.0000,1,5.911582,-1.932773
17,2007-05-11,sh.600188,21.7543857300,26.7704345700,21.3545557500,26.7704345700,185444620,2444087022.0000,1,51.512394,26.221080
18,2007-05-18,sh.600188,25.6799891700,28.1698395000,24.1351915200,27.3701795400,201603213,2948719058.0000,1,56.000892,2.240326
19,2007-05-25,sh.600188,26.1706896000,31.4230016100,25.8072078000,29.5147221600,173502090,2783288439.0000,1,48.195025,7.835325
20,2007-06-01,sh.600188,29.9872485000,31.0776939000,25.1165923800,25.5891187200,171347095,2704914345.0000,1,47.596415,-13.300493
21,2007-06-08,sh.600188,25.8072078000,27.2247868200,20.9002035000,26.4978232200,145444531,1990153166.0000,1,40.401259,3.551136
22,2007-06-15,sh.600188,26.5705195800,29.4420258000,26.5705195800,27.7518354300,117958029,1828977977.0000,1,32.766119,4.732510
23,2007-06-22,sh.600188,28.2061876800,29.4965480700,24.9166773900,25.4437260000,93612577,1423227937.0000,1,26.003494,-8.316961
24,2007-06-29,sh.600188,26.2252118700,27.5337463500,22.5358716000,25.8072078000,85590018,1193245688.0000,1,23.775005,1.428571
25,2007-07-06,sh.600188,25.6254669000,30.8345610600,25.6254669000,30.1714522200,130595188,2003622489.0000,1,36.276441,16.910925
26,2007-07-13,sh.600188,30.4109081900,31.9213227700,28.8083951600,29.4530843100,110140137,1823029915.0000,1,30.594482,-2.380952
27,2007-07-20,sh.600188,29.4715040000,30.5582657100,28.1821257000,29.4346646200,56931358,904972338.0000,1,15.814266,-0.062539
